DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
19-12-18,ACFL,42.9,43.1,42.2,42.7,42.9,42.3,387,11.046,258452
20-12-18,ACFL,42.8,43.9,42.8,43.1,43,42.9,463,15.175,351718
23-12-18,ACFL,42.4,43.5,42,43.4,42.2,43,359,10.054,236474
24-12-18,ACFL,42,42.6,40.6,41.9,42.1,42.2,399,9.757,231364
26-12-18,ACFL,41.7,42.4,41.4,42,41.9,42.1,380,7.743,185107
27-12-18,ACFL,42.4,42.4,41.9,42.1,42.1,41.9,240,5.184,123377
01-01-19,ACFL,44.5,44.6,42.5,42.9,44.1,42.1,603,13.429,309105
02-01-19,ACFL,44.1,45.1,43.5,44.3,44.2,44.1,807,23.507,532294
03-01-19,ACFL,45.9,46,44.2,44.8,45.8,44.2,1096,33.555,743350
06-01-19,ACFL,46,47.1,45.5,46.1,46.3,45.8,950,31.316,674110
07-01-19,ACFL,45,46.6,44.7,46.5,44.9,46.3,697,21.255,467572
08-01-19,ACFL,45,45.8,44.2,45.3,44.6,44.9,789,27.292,607493
09-01-19,ACFL,44.3,45.4,44.2,45,44.4,44.6,466,15.285,342729
10-01-19,ACFL,44.9,45.2,44.4,45,44.6,44.4,437,13.897,310163
13-01-19,ACFL,46.1,46.4,45,45,46.1,44.6,824,32.044,699664
14-01-19,ACFL,48.6,48.6,46.5,46.5,48.2,46.1,1610,69.582,1458534
15-01-19,ACFL,46.4,48.7,46.2,48.6,46.6,48.2,833,32.515,690579
16-01-19,ACFL,45.6,47.3,45.6,46.6,45.9,46.6,501,16.821,363134
17-01-19,ACFL,46.2,46.2,45.3,45.9,45.8,45.9,402,13.905,304818
20-01-19,ACFL,46.2,46.4,45.3,46.3,45.5,45.8,365,14.94,326828
21-01-19,ACFL,45.5,46.3,45.5,46,45.8,45.5,305,8.719,189555
22-01-19,ACFL,45,46.3,44.5,45.6,44.7,45.8,440,13.438,298251
23-01-19,ACFL,44.9,45.1,44,44.7,44.9,44.7,403,15.355,345431
24-01-19,ACFL,44.5,45.7,44.5,44.8,44.8,44.9,429,13.109,290031
27-01-19,ACFL,44.5,45,44.2,44.9,44.5,44.8,467,14.491,325794
28-01-19,ACFL,45,45.7,44.2,44.8,44.8,44.5,508,18.664,413791
29-01-19,ACFL,43.2,44.9,43.2,44.8,43.4,44.8,1034,30.787,701802
30-01-19,ACFL,43.2,43.7,42.6,43.4,43,43.4,422,14.654,340234
31-01-19,ACFL,42,43.1,41.8,43.1,42.1,43,621,18.543,437863
03-02-19,ACFL,42,42.9,41.8,42.7,42.5,42.1,516,11.701,276024
04-02-19,ACFL,41.1,42.6,40.7,42.6,41.1,42.5,681,13.32,320500
05-02-19,ACFL,41.7,42.7,41.2,41.2,41.9,41.1,493,11.09,263409
06-02-19,ACFL,41.1,42.4,41,42.4,41.2,41.9,346,6.188,149331
07-02-19,ACFL,40.4,41.5,40.2,41.3,40.4,41.2,737,17.43,429616
10-02-19,ACFL,39.5,40.5,38.4,40.4,38.6,40.4,950,29.647,755197
11-02-19,ACFL,40.3,40.4,39.1,39.3,40.2,38.6,628,15.738,393815
12-02-19,ACFL,41.4,41.5,40.1,40.4,41,40.2,684,19.584,478189
13-02-19,ACFL,40.5,41.5,40.5,41,40.7,41,441,12.137,297244
14-02-19,ACFL,42.6,42.7,40.7,40.8,42.6,40.7,1100,34.029,809198
17-02-19,ACFL,42.3,43.9,42,42.7,42.3,42.6,925,33.004,768938
18-02-19,ACFL,42.1,43.1,42.1,42.4,42.2,42.3,637,19.877,467757
19-02-19,ACFL,41.8,42.5,41.8,42.5,41.9,42.2,279,6.602,157265
20-02-19,ACFL,41.4,42.1,41.4,41.8,41.5,41.9,311,9.846,236649
24-02-19,ACFL,40.9,41.9,40.6,41.9,40.8,41.5,302,5.916,144132
25-02-19,ACFL,40.3,41,40.1,40.8,40.3,40.8,364,9.199,227422
26-02-19,ACFL,39.9,40.7,39.8,40.7,40,40.3,370,5.374,133663
27-02-19,ACFL,39.9,40.2,39.5,39.9,39.9,40,295,6.334,158769
03-03-19,ACFL,40.8,40.8,39.9,40.1,40.5,39.9,297,5.213,129693
04-03-19,ACFL,40,41,39.8,40.6,40,40.5,249,4.96,122887
05-03-19,ACFL,40.2,40.4,39.8,40.4,40.2,40,190,3.947,98547
06-03-19,ACFL,40,40.4,39.9,40.4,39.9,40.2,200,4.37,108970
07-03-19,ACFL,40.2,40.3,39.9,40.2,40,39.9,240,5.235,130693
10-03-19,ACFL,41,41.8,40.3,40.3,40.9,40,438,10.311,251352
11-03-19,ACFL,40,41.3,39.9,41.2,40.1,40.9,465,16.775,415510
12-03-19,ACFL,39.7,40.5,39.4,40.3,39.5,40.1,226,4.993,125271
13-03-19,ACFL,39,39.8,38.6,39.5,38.8,39.5,256,9.072,230087
14-03-19,ACFL,37.9,39.1,36.9,38.9,37.2,38.8,429,9.531,249930
18-03-19,ACFL,36.3,37.4,36.2,37.3,36.9,37.2,319,7.584,205330
19-03-19,ACFL,36.8,37.6,36.5,37.2,36.8,36.9,221,4.127,111419
20-03-19,ACFL,36.3,37.4,36.3,37,36.6,36.8,222,4.878,132326
21-03-19,ACFL,37.1,37.1,36.7,36.9,36.9,36.6,158,2.957,80131
24-03-19,ACFL,36.5,37.2,35.8,37,36,36.9,253,4.85,134036
25-03-19,ACFL,35.8,36.9,35.7,36.1,36,36,216,5.013,138546
27-03-19,ACFL,36.6,36.8,36,36.5,36.3,36,197,5.247,143838
28-03-19,ACFL,36.3,36.7,36.2,36.5,36.2,36.3,154,2.718,74761
31-03-19,ACFL,35.8,36.4,35.7,36.2,35.8,36.2,145,3.401,94325
01-04-19,ACFL,35.7,36.2,35.6,36,35.8,35.8,155,2.523,70316
02-04-19,ACFL,35.8,36.8,35.7,35.8,36,35.8,319,7.231,199474
03-04-19,ACFL,35,36.1,34.9,36,35,36,296,5.006,141989
04-04-19,ACFL,34.8,35.3,34.7,35.2,34.8,35,224,5.554,158952
07-04-19,ACFL,33.5,35,33,35,33.3,34.8,275,5.099,150821
08-04-19,ACFL,31.4,33.6,31.3,33.5,31.8,33.3,670,12.628,391987
09-04-19,ACFL,31.9,32.8,31.5,32.1,31.7,31.8,425,8.638,271135
10-04-19,ACFL,31.6,32.3,31.1,31.9,31.6,31.7,217,4.056,127875
11-04-19,ACFL,32.8,32.8,31.6,31.6,32.5,31.6,283,7.587,235221
15-04-19,ACFL,31.8,32.9,31.7,32.5,31.8,32.5,224,3.643,113280
16-04-19,ACFL,31.5,31.8,31,31.8,31.3,31.8,227,3.748,119811
17-04-19,ACFL,31.5,31.9,31,31.5,31.5,31.3,278,4.729,150784
18-04-19,ACFL,33.2,33.2,31.6,31.6,32.9,31.5,379,7.594,234144
21-04-19,ACFL,31.8,33.3,31.8,33,31.9,32.9,334,6.685,206700
23-04-19,ACFL,30.9,32.4,30.7,31.8,31,31.9,343,9.523,304058
24-04-19,ACFL,30.5,31,30.1,31,30.4,31,204,4.258,140073
25-04-19,ACFL,31.6,31.6,30.2,30.2,31.4,30.4,188,3.628,116783
28-04-19,ACFL,31.6,32.6,30.7,31.3,31.6,31.4,442,13.149,414523
29-04-19,ACFL,31.3,31.7,30.8,31.6,31,31.6,209,3.862,123916
30-04-19,ACFL,31.9,32.2,31.1,31.4,31.5,31,335,8.276,261159
02-05-19,ACFL,34.4,34.6,31.9,31.9,34,31.5,467,14.451,436501
05-05-19,ACFL,34.5,35,34.1,34.5,34.5,34,632,15.901,459977
06-05-19,ACFL,34.5,34.6,33.5,34.6,34.3,34.5,534,13.369,393054
07-05-19,ACFL,34.7,35.2,34.1,34.5,34.3,34.3,433,13.764,397673
08-05-19,ACFL,34.5,34.5,33.6,34.3,34.2,34.3,296,5.871,172353
09-05-19,ACFL,36.2,37,34.5,34.5,36.2,34.2,1123,34.393,955836
12-05-19,ACFL,35.7,36.8,35.4,36.5,35.7,36.2,364,12.23,337822
13-05-19,ACFL,34.3,35.9,33.6,35.4,34.1,35.7,376,7.327,211034
14-05-19,ACFL,33.2,33.8,32.7,33.1,33.3,34.1,476,11.799,355400
15-05-19,ACFL,32.9,33.7,32.8,33.5,32.9,33.3,205,3.968,120413
16-05-19,ACFL,33.1,33.5,33,33,33.3,32.9,186,4.263,128141
19-05-19,ACFL,34,34.3,33.2,33.4,34,33.3,329,7.365,216660
20-05-19,ACFL,33.1,34.2,33.1,34,33.2,34,153,3.898,116659
21-05-19,ACFL,33.3,33.7,33,33.7,33,33.2,171,3.44,103968
22-05-19,ACFL,33.6,33.8,33.1,33.1,33.6,33,112,2.03,60530
23-05-19,ACFL,33.3,33.8,33,33.3,33.2,33.6,188,3.787,113866
26-05-19,ACFL,33.4,33.5,32.7,33.2,33,33.2,210,3.58,108137
27-05-19,ACFL,33.2,33.4,32.6,32.7,33,33,138,3.162,95911
28-05-19,ACFL,33.6,34,32.9,33.5,33.6,33,180,4.113,122283
29-05-19,ACFL,33.7,34,33.3,33.9,33.5,33.6,176,3.312,98675
30-05-19,ACFL,33.9,34.3,33.3,33.9,33.6,33.5,195,3.918,115963
09-06-19,ACFL,34.2,34.3,33.6,33.6,34,33.6,256,5.14,150920
10-06-19,ACFL,35,35.4,34,34.5,34.9,34,461,9.211,263743
