DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
20-12-18,ARAMIT,408,421.8,407.3,421.5,408.3,414.7,712,12.502,30476
23-12-18,ARAMIT,395.7,410,395.7,408.7,396.9,408.3,910,13.036,32503
24-12-18,ARAMIT,412,412,395.3,396,407.3,396.9,512,6.129,15221
26-12-18,ARAMIT,409,412.2,405.5,412.2,406.7,407.3,356,5.262,12920
27-12-18,ARAMIT,401.3,409.5,395.7,409.5,400.8,406.7,458,7.415,18532
01-01-19,ARAMIT,403.8,409,401.1,402.9,405.6,400.8,409,6.444,15890
02-01-19,ARAMIT,404,406.5,400,406.5,402.7,405.6,545,8.088,20065
03-01-19,ARAMIT,416.9,421.8,400.6,403.3,414.8,402.7,627,12.682,30634
06-01-19,ARAMIT,410.2,421.8,410.2,418,413.3,414.8,663,16.013,38488
07-01-19,ARAMIT,419.9,421.4,414.6,415,417.1,413.3,625,14.711,35207
08-01-19,ARAMIT,430.7,437.9,421.5,421.5,428.5,417.1,707,16.215,37802
09-01-19,ARAMIT,421.2,442,421,430,425.8,428.5,784,23.186,53735
10-01-19,ARAMIT,418,430,418,423.1,420.3,425.8,539,11.553,27344
13-01-19,ARAMIT,422.8,430,420.1,428,422.1,420.3,651,13.793,32417
14-01-19,ARAMIT,433,440,425.2,429.9,432.5,422.1,836,23.811,54749
15-01-19,ARAMIT,457.8,458,430,433,451,432.5,1345,38.443,86927
16-01-19,ARAMIT,446.4,477.1,446,462.6,449.6,451,1058,39.149,84936
17-01-19,ARAMIT,431.7,445,428,444,430.8,449.6,712,17.172,39294
20-01-19,ARAMIT,429,442.9,426.3,430.3,430.4,430.8,673,15.643,36035
21-01-19,ARAMIT,426.5,438.5,426.1,432,428.5,430.4,518,11.8,27254
22-01-19,ARAMIT,420,434.9,412,431,415.6,428.5,554,13.744,32714
23-01-19,ARAMIT,418.3,424,413,423,415,415.6,372,7.491,17952
24-01-19,ARAMIT,414.7,420,407.2,420,408.5,415,717,14.469,35199
27-01-19,ARAMIT,400,412.8,399.1,410.2,400.7,408.5,760,14.99,37165
28-01-19,ARAMIT,410,418,400,406,410.2,400.7,572,10.19,25025
29-01-19,ARAMIT,409,414.5,405,411.1,407,410.2,271,5.015,12260
30-01-19,ARAMIT,402,410,400.5,403.1,401.5,407,448,8.419,20881
31-01-19,ARAMIT,378.3,390,371,390,380.2,401.5,960,26.378,69310
03-02-19,ARAMIT,382,399,380.1,390,382,380.2,459,7.724,19833
04-02-19,ARAMIT,383.2,388.9,380,388.9,381.3,382,527,5.695,14903
05-02-19,ARAMIT,392,392,382.8,384.5,388.8,381.3,360,4.521,11695
06-02-19,ARAMIT,389,392.8,383,390.8,385.3,388.8,303,5.515,14279
07-02-19,ARAMIT,405,406.4,386.5,391,402.7,385.3,731,14.135,35497
