DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
20-12-18,AZIZPIPES,170.1,173,168.3,169,170.2,171.1,443,6.507,38276
23-12-18,AZIZPIPES,168.6,173.9,168.1,169.5,168.6,170.2,329,5.465,32080
24-12-18,AZIZPIPES,171.3,172,168,170,169.9,168.6,326,5.24,30814
26-12-18,AZIZPIPES,178.3,178.5,170,170,177.7,169.9,1161,18.579,106182
27-12-18,AZIZPIPES,174,181,172.4,181,173.1,177.7,718,10.897,62295
01-01-19,AZIZPIPES,178.5,178.9,173.7,173.8,176.8,173.1,681,11.195,63437
02-01-19,AZIZPIPES,194.4,194.4,178,178,193.6,176.8,2565,80.861,421639
03-01-19,AZIZPIPES,195.6,199,188.3,196,192.7,193.6,1632,37.732,194664
06-01-19,AZIZPIPES,199,205,194.2,195,199.6,192.7,2073,44.55,223200
07-01-19,AZIZPIPES,193.8,203,191.5,200,192.5,199.6,1536,33.78,172208
08-01-19,AZIZPIPES,193,197,188.4,195,189.8,192.5,1389,29.45,153278
09-01-19,AZIZPIPES,185,192,182.1,188.5,183.9,189.8,1428,27.022,145830
10-01-19,AZIZPIPES,189,190.7,185.1,187,189.8,183.9,1128,26.048,137876
13-01-19,AZIZPIPES,196.6,196.6,190.7,192,194.9,189.8,1347,31.739,163491
14-01-19,AZIZPIPES,192.8,199,190.1,199,191.1,194.9,1526,35.2,180466
15-01-19,AZIZPIPES,191.7,194.8,187,194.8,188.5,191.1,1239,29.337,154989
16-01-19,AZIZPIPES,189.3,192.4,189.1,192.4,189.7,188.5,720,15.743,82905
17-01-19,AZIZPIPES,191,194.5,187.5,190,189.5,189.7,810,18.986,99650
20-01-19,AZIZPIPES,188.1,192.9,188,192.5,188.8,189.5,633,16.149,85359
21-01-19,AZIZPIPES,187.4,191,185,189,186.8,188.8,457,8.103,43174
22-01-19,AZIZPIPES,191.4,191.7,187.8,189,190.4,186.8,750,14.524,76426
23-01-19,AZIZPIPES,187.6,195,187.2,192,188.1,190.4,898,19.779,103947
24-01-19,AZIZPIPES,185.4,190,184.6,188.1,185.2,188.1,552,12.137,65146
27-01-19,AZIZPIPES,175.2,185,173.2,185,174.8,185.2,752,16.278,92429
28-01-19,AZIZPIPES,184.8,184.8,173,175.2,183.3,174.8,700,12.489,69213
29-01-19,AZIZPIPES,183.7,186,181,185,182.4,183.3,435,10.074,55196
30-01-19,AZIZPIPES,178.5,183,178.3,182.5,179.1,182.4,889,15.793,87963
31-01-19,AZIZPIPES,177,182,173.3,182,174.2,179.1,509,9.238,52694
03-02-19,AZIZPIPES,176.3,178.7,175,178,176.5,174.2,380,7.906,44917
04-02-19,AZIZPIPES,176.2,179.7,176.2,177,176.7,176.5,226,3.201,18014
05-02-19,AZIZPIPES,178,179.8,175.8,179.8,176.4,176.7,249,3.662,20738
06-02-19,AZIZPIPES,174.7,177,172.7,176.4,173.8,176.4,369,5.646,32377
07-02-19,AZIZPIPES,179.1,181,173.7,173.9,179.1,173.8,519,8.987,50665
10-02-19,AZIZPIPES,177,182.9,175,180.2,176,179.1,441,6.507,36535
11-02-19,AZIZPIPES,177.1,177.4,174.2,177,175.8,176,283,4.112,23403
12-02-19,AZIZPIPES,176,178,174.9,177.9,175.1,175.8,330,5.907,33655
13-02-19,AZIZPIPES,182.4,183.9,176.9,178,181.4,175.1,842,14.927,82503
14-02-19,AZIZPIPES,178,183.7,175.3,182.5,176.1,181.4,390,8.047,45543
17-02-19,AZIZPIPES,177,178,174.1,178,175.3,176.1,310,5.142,29373
18-02-19,AZIZPIPES,177.2,178,175.3,178,176.2,175.3,289,6.192,35144
19-02-19,AZIZPIPES,177,178,176.6,177.8,177,176.2,208,5.12,28920
20-02-19,AZIZPIPES,176.9,178.9,174.5,177,175.4,177,228,3.982,22576
24-02-19,AZIZPIPES,175.9,177.9,175.4,177.9,176.6,175.4,260,7.094,40251
25-02-19,AZIZPIPES,177.5,177.5,175.1,176,176.9,176.6,298,5.363,30405
26-02-19,AZIZPIPES,176.5,177.4,175.4,177.4,176.3,176.9,265,5.972,33908
27-02-19,AZIZPIPES,176,176,173.6,175.6,175.1,176.3,260,5.612,32066
03-03-19,AZIZPIPES,177.6,177.8,175,175.3,176.9,175.1,368,6.602,37477
04-03-19,AZIZPIPES,172.5,177.5,172.5,177.5,173.2,176.9,340,6.71,38439
05-03-19,AZIZPIPES,170,174.5,170,174.3,170.5,173.2,193,2.666,15457
06-03-19,AZIZPIPES,165,170.5,164.8,170.5,165.5,170.5,252,3.598,21513
07-03-19,AZIZPIPES,165,168,164,168,164.4,165.5,120,1.308,7942
10-03-19,AZIZPIPES,165.5,167.3,165,166.2,165.6,164.4,166,2.092,12625
11-03-19,AZIZPIPES,166.7,166.7,165.7,165.8,166.2,165.6,118,2.108,12696
12-03-19,AZIZPIPES,167,167.9,165.5,167.9,166.8,166.2,200,3.815,22918
