DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
20-12-18,BBS,28.3,28.6,27.9,27.9,28.2,27.9,112,2.502,88900
23-12-18,BBS,28,28.2,27.9,28.1,28,28.2,100,2.656,94702
24-12-18,BBS,28.1,28.5,27.8,28.3,27.9,28,163,5.071,180682
26-12-18,BBS,28.1,28.3,27.8,28,27.9,27.9,185,4.801,171843
27-12-18,BBS,28.2,28.3,27.7,27.9,28,27.9,110,2.117,75530
01-01-19,BBS,29.6,29.6,28.4,28.5,29.3,28,341,12.426,428580
02-01-19,BBS,29.7,30.1,29.2,29.8,29.6,29.3,533,23.483,791127
03-01-19,BBS,31.5,32,29.5,29.8,31.3,29.6,1067,42.798,1382521
06-01-19,BBS,31,31.7,30.9,31.4,31.1,31.3,751,29.554,945083
07-01-19,BBS,30.5,31.3,30.4,31.2,30.6,31.1,519,18.265,592053
08-01-19,BBS,31.8,31.8,30.3,30.3,31.6,30.6,696,39.264,1255689
09-01-19,BBS,31.1,32.4,31.1,31.9,31.2,31.6,515,19.524,618183
10-01-19,BBS,30.8,31.7,30.7,31.2,30.9,31.2,360,13.284,427408
13-01-19,BBS,31.4,31.5,30.8,31.1,31.3,30.9,450,17.38,558633
14-01-19,BBS,31,31.4,30.8,31.2,30.9,31.3,456,19.613,631557
15-01-19,BBS,30.7,31.3,30.7,30.9,30.8,30.9,372,13.475,434992
16-01-19,BBS,29.8,30.9,29.8,30.8,30,30.8,503,15.43,509210
17-01-19,BBS,29.6,30,29.2,30,29.3,30,380,10.813,366950
20-01-19,BBS,29.5,30,29,29.4,29.6,29.3,257,6.799,230688
21-01-19,BBS,30.1,30.2,29.6,30.1,29.8,29.6,207,6.012,201122
22-01-19,BBS,29.4,30,29.1,30,29.3,29.8,297,7.5,255351
23-01-19,BBS,29.1,29.4,29,29.3,29.1,29.3,275,9.412,322495
24-01-19,BBS,29.8,29.9,28.8,29.1,29.4,29.1,335,10.281,352786
27-01-19,BBS,29.7,30.1,29.4,29.5,29.8,29.4,281,8.886,297699
28-01-19,BBS,29.8,29.9,29.4,29.9,29.7,29.8,331,9.064,305710
29-01-19,BBS,29.8,29.9,29.1,29.7,29.7,29.7,254,8.302,281270
30-01-19,BBS,31,31.4,29.8,29.8,30.9,29.7,1287,53.36,1720652
31-01-19,BBS,30.7,31.4,30.3,30.9,30.7,30.9,409,16.075,521502
03-02-19,BBS,30.1,31.3,30.1,31,30.3,30.7,424,19.637,641939
04-02-19,BBS,31.7,33.3,31,31,31.6,30.3,1129,67.223,2088852
05-02-19,BBS,31.2,31.7,30.9,31.7,31,31.6,431,13.488,432140
06-02-19,BBS,30.8,31.2,30.4,31,30.7,31,371,12.153,396495
07-02-19,BBS,30.5,31,30.5,30.7,30.7,30.7,345,10.792,350359
10-02-19,BBS,30.2,31,30.1,30.7,30.3,30.7,278,9.685,319350
11-02-19,BBS,31,31.1,30.5,30.5,30.9,30.3,450,21.935,712610
12-02-19,BBS,32.6,32.6,30.9,30.9,32.4,30.9,1332,66.51,2086272
13-02-19,BBS,32.6,32.8,31.8,32.4,32.4,32.4,923,41.552,1283574
14-02-19,BBS,32.8,32.8,31.7,32.5,32.4,32.4,780,37.859,1176292
17-02-19,BBS,32.9,33.5,32.5,32.8,33,32.4,1286,70.058,2116642
18-02-19,BBS,33.2,33.8,32.8,32.9,33,33,1114,67.228,2017240
19-02-19,BBS,32.4,33.3,32.3,33,32.6,33,1181,30.458,932955
20-02-19,BBS,31.8,32.5,31.4,32.5,31.6,32.6,749,29.141,912153
24-02-19,BBS,32.9,33,31.4,31.6,32.7,31.6,769,30.029,927481
25-02-19,BBS,32.1,33,32,32.8,32.2,32.7,416,17.784,548486
26-02-19,BBS,31.8,32.5,31.4,32.1,31.7,32.2,477,18.676,585108
27-02-19,BBS,31.6,32.1,31.4,31.8,31.7,31.7,440,16.456,519087
03-03-19,BBS,31.9,32.1,31.6,31.6,31.9,31.7,260,9.638,302645
04-03-19,BBS,31.3,31.9,31.3,31.8,31.4,31.9,312,11.228,355822
05-03-19,BBS,31.2,31.7,31.1,31.2,31.2,31.4,219,5.933,190205
06-03-19,BBS,31.4,32.3,31,31.5,31.3,31.2,253,9.633,305910
07-03-19,BBS,31.4,32,31.3,31.6,31.4,31.3,217,10.529,332932
10-03-19,BBS,31.6,32,31.5,31.5,31.7,31.4,164,5.51,173661
11-03-19,BBS,31.1,31.8,31.1,31.7,31.2,31.7,207,5.615,179185
12-03-19,BBS,31,31.2,30.6,31.1,30.8,31.2,216,6.096,197375
13-03-19,BBS,29.8,31,29.5,31,29.7,30.8,226,5.757,192336
14-03-19,BBS,28.8,30,28.5,30,28.7,29.7,354,12.774,440887
18-03-19,BBS,28.2,28.8,27.7,28.8,28.4,28.7,193,4.971,176491
19-03-19,BBS,29.1,29.1,27.9,28.2,28.9,28.4,228,5.794,204935
20-03-19,BBS,28.6,29.3,28.4,29.3,28.7,28.9,138,2.514,87614
21-03-19,BBS,28.2,28.7,28.1,28.7,28.3,28.7,241,6.722,237322
24-03-19,BBS,27.8,28.5,27.3,28.3,28,28.3,379,16.558,590457
25-03-19,BBS,28.6,29,28,28.3,28.5,28,186,5.481,193449
27-03-19,BBS,29.1,29.2,28.5,28.8,28.9,28.5,191,10.01,347311
28-03-19,BBS,29,29.2,28.6,29.1,28.9,28.9,140,3.192,110855
31-03-19,BBS,28.1,28.9,28,28.7,28.1,28.9,182,5.61,198291
01-04-19,BBS,28,28.6,27.8,28.1,28,28.1,162,7.183,255421
02-04-19,BBS,28.4,28.7,28.1,28.7,28.2,28,146,4.383,155123
03-04-19,BBS,28,28.4,27.9,28.2,28,28.2,115,3.237,115398
04-04-19,BBS,28,28.2,27.8,28,28.2,28,182,4.096,146170
07-04-19,BBS,27.7,28.6,27.7,28.6,27.8,28.2,131,2.814,100852
08-04-19,BBS,27.2,27.6,27.1,27.6,27.2,27.8,133,3.26,119328
09-04-19,BBS,27.5,28.1,26.7,27.3,27.4,27.2,113,1.842,66927
10-04-19,BBS,27.3,27.7,27,27.2,27.1,27.4,81,1.443,53072
11-04-19,BBS,27.7,27.7,26.6,27,27.5,27.1,121,2.76,101036
15-04-19,BBS,27,28,26.6,28,27,27.5,76,2.275,83999
16-04-19,BBS,26.5,27,26.5,26.9,26.6,27,113,2.797,104669
17-04-19,BBS,27,27.4,26.8,27.4,27,26.6,111,2.683,99366
18-04-19,BBS,27.8,27.8,27,27,27.7,27,123,2.133,77802
21-04-19,BBS,27.2,28.1,27,27.9,27.2,27.7,305,8.089,297380
23-04-19,BBS,26.8,27.2,26.4,27.2,26.5,27.2,175,3.458,129514
24-04-19,BBS,26.2,26.7,26,26.5,26.2,26.5,140,5.623,213200
25-04-19,BBS,26.9,26.9,26.2,26.5,26.6,26.2,128,2.894,109447
28-04-19,BBS,26.5,27.1,26.4,26.6,26.6,26.6,152,5.46,204789
29-04-19,BBS,26.8,26.8,26.5,26.5,26.6,26.6,102,2.203,82835
30-04-19,BBS,27.3,27.7,26.7,27,27.2,26.6,185,4.718,173291
02-05-19,BBS,28.1,28.3,27.2,27.2,28.1,27.2,301,10.352,370551
05-05-19,BBS,28.5,29,28.3,28.7,28.8,28.1,309,9.913,346534
06-05-19,BBS,28.5,28.8,27.8,28.8,28.5,28.8,398,13.913,489709
07-05-19,BBS,29.6,29.6,27.9,28.2,28.6,28.5,260,8.53,300440
08-05-19,BBS,28.4,28.9,27.6,28.3,28.5,28.6,250,8.549,303616
09-05-19,BBS,28.5,29.5,28.1,29,28.5,28.5,129,3.952,138230
12-05-19,BBS,28.4,29,28.3,28.8,28.4,28.5,174,5.499,191915
13-05-19,BBS,28.1,28.4,28,28.4,28.1,28.4,121,3.395,120550
14-05-19,BBS,28.2,28.4,28,28.4,28.1,28.1,73,1.502,53509
15-05-19,BBS,28,28.6,28,28.4,28.1,28.1,85,2.62,92956
16-05-19,BBS,28,28.3,27.9,28.2,28.1,28.1,68,1.095,38965
19-05-19,BBS,28.7,28.7,28.1,28.4,28.6,28.1,210,6.278,220822
20-05-19,BBS,28,28.5,28,28.5,28.1,28.6,100,2.888,102753
21-05-19,BBS,27.7,28.1,27.6,28.1,27.8,28.1,136,6.362,228341
