DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
17-12-20,BDCOM,23.9,24.3,23.7,24,23.9,24,358,8.89,370899
15-12-20,BDCOM,23.9,25,23.9,24.1,24,23.9,435,13.083,539207
14-12-20,BDCOM,23.9,24.9,23.5,24.5,23.9,24.5,641,25.877,1083584
13-12-20,BDCOM,24.5,25.3,24.3,25.1,24.5,25.2,478,17.153,695277
10-12-20,BDCOM,25.2,25.7,25.1,25.7,25.2,25.7,380,12.147,480535
09-12-20,BDCOM,25.4,25.9,25,25.2,25.7,25.3,425,12.046,470361
08-12-20,BDCOM,25.3,25.9,25.1,25.9,25.3,25.8,459,12.528,493496
07-12-20,BDCOM,25.8,26.4,25.7,26.1,25.8,25.9,588,26.372,1014497
06-12-20,BDCOM,25.9,26.4,25,25.6,25.9,25,1034,42.549,1647447
03-12-20,BDCOM,25,25.3,24.7,25,25,24.9,431,16.768,671654
02-12-20,BDCOM,24.9,25.6,24.7,24.8,24.9,24.8,639,19.884,792385
01-12-20,BDCOM,24.8,25.6,23.7,23.7,24.8,23.7,858,27.642,1110286
30-11-20,BDCOM,23.6,23.8,23.2,23.4,23.7,23.4,356,13.527,576541
29-11-20,BDCOM,23.4,24,23.3,23.8,23.4,23.5,407,12.62,536968
26-11-20,BDCOM,24.2,24.2,23,23.5,23.5,23.1,270,8.251,351198
25-11-20,BDCOM,23,24.1,22.8,24,23.1,23.7,525,20.887,893891
24-11-20,BDCOM,23.7,24.5,23.3,23.4,23.7,22.7,363,9.9,413718
23-11-20,BDCOM,23.5,23.5,22.3,22.8,22.7,23.1,204,4.926,217216
22-11-20,BDCOM,23.2,23.9,23,23.9,23.1,24.5,222,4.356,187643
19-11-20,BDCOM,0,0,0,0,24.5,24.5,0,0,0
18-11-20,BDCOM,24.9,25,24.2,25,24.5,25.1,358,8.881,362435
17-11-20,BDCOM,25,25.9,25,25.9,25.1,25.9,310,10.602,418626
16-11-20,BDCOM,26,26.7,25.7,26.3,25.9,25.6,547,13.975,534158
