DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
20-12-18,BEXIMCO,21.6,21.7,21.4,21.6,21.6,21.5,572,20.27,940053
23-12-18,BEXIMCO,22.5,22.7,21.5,21.6,22.5,21.6,1669,65.318,2949867
24-12-18,BEXIMCO,22.8,23.1,22.5,22.6,22.8,22.5,2105,77.981,3424833
26-12-18,BEXIMCO,22.8,22.9,22.5,22.9,22.8,22.8,1125,43.728,1925539
27-12-18,BEXIMCO,23.3,23.7,22.8,22.8,23.5,22.8,3585,154.624,6619262
01-01-19,BEXIMCO,25.5,25.8,23.7,23.7,25.5,23.5,6227,291.2,11542506
02-01-19,BEXIMCO,25.2,25.9,24.7,25.6,25.2,25.5,3945,169.748,6762630
03-01-19,BEXIMCO,26.5,26.6,24.9,25.2,26.4,25.2,5427,311.651,12076107
06-01-19,BEXIMCO,26,26.9,25.8,26.6,26.1,26.4,4534,258.093,9760186
07-01-19,BEXIMCO,25.5,26.2,25.2,26.1,25.3,26.1,4024,201.255,7868697
08-01-19,BEXIMCO,26.2,26.3,25.3,25.3,26.1,25.3,2885,200.487,7749962
09-01-19,BEXIMCO,25.8,26.6,25.7,26.3,25.8,26.1,2556,155.438,5953478
10-01-19,BEXIMCO,25.4,25.9,25.2,25.8,25.4,25.8,2134,110.14,4319582
13-01-19,BEXIMCO,25.7,25.8,25.2,25.4,25.6,25.4,1709,96.523,3785433
14-01-19,BEXIMCO,25.4,25.9,25.2,25.7,25.3,25.6,1586,79.464,3119730
15-01-19,BEXIMCO,25,25.6,24.9,25.3,25,25.3,2065,106.448,4226665
16-01-19,BEXIMCO,25.2,25.8,25.1,25.5,25.2,25,1498,70.046,2761858
17-01-19,BEXIMCO,25.3,25.6,24.8,25.3,25.1,25.2,1509,81.906,3248388
20-01-19,BEXIMCO,26.3,26.5,25,25.3,26.3,25.1,3817,222.685,8568844
21-01-19,BEXIMCO,25.6,26.8,25.5,26.8,25.7,26.3,1803,93.968,3600052
22-01-19,BEXIMCO,25.6,25.8,25.3,25.7,25.5,25.7,1072,72.309,2833075
23-01-19,BEXIMCO,25.6,26,25.4,25.6,25.6,25.5,1289,72.43,2823429
24-01-19,BEXIMCO,25.6,26,25.5,25.6,25.5,25.6,1147,55.858,2176376
27-01-19,BEXIMCO,25.7,26.1,25.5,25.6,25.8,25.5,1339,92.101,3563942
28-01-19,BEXIMCO,25.7,26.1,25.6,25.9,25.7,25.8,1185,91.027,3518744
29-01-19,BEXIMCO,25.7,26,25.6,25.7,25.7,25.7,926,66.589,2579401
30-01-19,BEXIMCO,25.8,26.1,25.6,25.7,25.7,25.7,1989,181.637,7011924
31-01-19,BEXIMCO,25.4,26.1,25.2,26.1,25.3,25.7,1331,88.455,3461313
03-02-19,BEXIMCO,24.7,25.5,24.5,25.3,24.7,25.3,1956,98.264,3936315
04-02-19,BEXIMCO,24.6,25,24.4,24.8,24.5,24.7,1407,53.593,2181370
05-02-19,BEXIMCO,24.2,24.7,24.1,24.7,24.2,24.5,1248,45.91,1889276
06-02-19,BEXIMCO,24.8,25.1,24.2,24.4,24.5,24.2,842,39.3,1600454
07-02-19,BEXIMCO,24,24.8,23.9,24.8,24.3,24.5,1249,68.297,2805481
10-02-19,BEXIMCO,24.3,24.4,24,24.3,24.2,24.3,938,33.742,1399100
11-02-19,BEXIMCO,23.8,24.2,23.8,24.2,23.9,24.2,962,48.394,2016177
12-02-19,BEXIMCO,24,24.2,23.9,24,24,23.9,1044,51.342,2137646
13-02-19,BEXIMCO,24.2,24.3,23.9,24,24,24,933,48.96,2033729
14-02-19,BEXIMCO,24.2,24.2,24,24.2,24.1,24,820,36.494,1515199
17-02-19,BEXIMCO,24.5,24.7,24,24.2,24.6,24.1,1974,123.063,5057749
18-02-19,BEXIMCO,24.2,24.7,24.1,24.7,24.2,24.6,802,30.857,1265849
19-02-19,BEXIMCO,23.9,24.3,23.9,24.2,24,24.2,1021,56.329,2342910
20-02-19,BEXIMCO,24,24.2,23.9,24.2,23.9,24,865,33.371,1392863
24-02-19,BEXIMCO,23.8,24,23.8,24,23.8,23.9,850,37.98,1591749
25-02-19,BEXIMCO,23.8,24,23.8,23.8,23.8,23.8,599,20.199,847412
26-02-19,BEXIMCO,23.9,24,23.8,23.8,23.8,23.8,584,23.446,981965
27-02-19,BEXIMCO,23.6,23.9,23.5,23.9,23.6,23.8,743,38.449,1625302
03-03-19,BEXIMCO,23.4,23.8,23.3,23.7,23.4,23.6,817,27.969,1189230
04-03-19,BEXIMCO,23.4,23.7,23.2,23.4,23.3,23.4,586,24.69,1059267
05-03-19,BEXIMCO,23,23.4,23,23.3,23.1,23.3,629,18.523,799289
06-03-19,BEXIMCO,23,23.2,22.9,23.1,23,23.1,639,25.32,1098788
07-03-19,BEXIMCO,23.1,23.2,22.9,23.1,23.1,23,465,14.161,614610
10-03-19,BEXIMCO,23.1,23.5,23.1,23.2,23.2,23.1,484,14.625,628399
11-03-19,BEXIMCO,23.1,23.2,23,23.2,23.1,23.2,405,17.763,769882
12-03-19,BEXIMCO,22.8,23.2,22.7,23.2,22.8,23.1,671,19.461,850865
13-03-19,BEXIMCO,22.6,23,22.5,22.8,22.5,22.8,741,25.571,1131290
14-03-19,BEXIMCO,22.3,22.7,22.2,22.5,22.2,22.5,815,23.099,1031779
18-03-19,BEXIMCO,22,22.6,22,22.6,22,22.2,773,25.129,1137143
19-03-19,BEXIMCO,22.7,22.8,22.1,22.1,22.6,22,801,23.619,1052027
20-03-19,BEXIMCO,22.8,23.4,22.7,22.7,22.9,22.6,1362,53.235,2308141
21-03-19,BEXIMCO,22.6,23,22.6,23,22.7,22.9,477,16.668,735139
24-03-19,BEXIMCO,22.4,22.8,22.3,22.7,22.4,22.7,538,17.727,787143
25-03-19,BEXIMCO,22.6,22.9,22.4,22.5,22.6,22.4,360,15.412,681555
27-03-19,BEXIMCO,22.5,22.8,22.5,22.7,22.5,22.6,326,13.643,604574
28-03-19,BEXIMCO,22.7,22.7,22.5,22.5,22.6,22.5,309,9.677,428099
31-03-19,BEXIMCO,22.6,22.7,22.4,22.6,22.5,22.6,395,15.046,666640
01-04-19,BEXIMCO,22.4,22.7,22.3,22.5,22.4,22.5,472,18.533,824126
02-04-19,BEXIMCO,22.6,22.7,22.4,22.5,22.4,22.4,311,11.039,490789
03-04-19,BEXIMCO,22.4,22.6,22.3,22.4,22.3,22.4,359,13.913,621566
04-04-19,BEXIMCO,22.2,22.4,22.1,22.3,22.2,22.3,472,17.134,771870
07-04-19,BEXIMCO,22,22.2,21.9,22.2,22.1,22.2,561,14.533,659637
08-04-19,BEXIMCO,21.7,22.1,21.7,22,21.7,22.1,541,15.02,688517
09-04-19,BEXIMCO,21.7,21.9,21.5,21.7,21.6,21.7,631,23.111,1067906
10-04-19,BEXIMCO,21.5,21.8,21.4,21.7,21.5,21.6,399,13.05,605757
11-04-19,BEXIMCO,22.3,22.5,21.5,21.5,22.3,21.5,674,19.566,889273
15-04-19,BEXIMCO,22.1,22.6,22.1,22.6,22.2,22.3,443,14.365,644532
16-04-19,BEXIMCO,21.7,22.2,21.6,22.2,21.8,22.2,498,19.891,911439
17-04-19,BEXIMCO,22.2,22.3,21.6,21.9,22,21.8,492,23.815,1084952
18-04-19,BEXIMCO,22.7,22.8,22,22.1,22.7,22,736,24.072,1072043
21-04-19,BEXIMCO,22.4,23,22.2,22.8,22.4,22.7,659,27.334,1215206
23-04-19,BEXIMCO,21.9,22.3,21.7,22.3,21.9,22.4,626,26.782,1219262
24-04-19,BEXIMCO,22,22.2,21.7,21.8,22,21.9,435,12.388,565105
25-04-19,BEXIMCO,22,22.1,21.9,22,22,22,393,18.018,818305
28-04-19,BEXIMCO,21.9,22.1,21.8,22,21.9,22,350,10.039,457992
29-04-19,BEXIMCO,22.4,22.4,21.8,22.1,22.4,21.9,947,36.327,1640727
30-04-19,BEXIMCO,23.1,23.2,22.3,22.5,22.9,22.4,1663,60.248,2636694
02-05-19,BEXIMCO,23.5,23.6,22.9,23,23.5,22.9,1195,43.803,1876540
05-05-19,BEXIMCO,23.7,23.8,23.4,23.6,23.6,23.5,1284,65.302,2767696
06-05-19,BEXIMCO,23.3,23.8,23.2,23.7,23.3,23.6,752,38.468,1643225
07-05-19,BEXIMCO,22.8,23.4,22.7,23.4,22.8,23.3,769,28.329,1234192
08-05-19,BEXIMCO,22.8,22.9,22.5,22.8,22.7,22.8,462,18.881,832457
09-05-19,BEXIMCO,23.1,23.2,22.7,22.8,23.1,22.7,603,29.109,1269206
12-05-19,BEXIMCO,23.1,23.4,23.1,23.4,23.1,23.1,700,27.738,1193074
13-05-19,BEXIMCO,22.9,23.2,22.8,23.1,22.8,23.1,345,15.53,676129
