DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
20-12-18,BRACBANK,72,72.6,71.2,71.9,71.9,71,699,40.67,565300
23-12-18,BRACBANK,72.5,72.5,71.7,72,72.3,71.9,710,28.693,397382
24-12-18,BRACBANK,72.2,72.6,70.8,72.3,71.7,72.3,1879,117.339,1639311
26-12-18,BRACBANK,73,73.1,71.9,72,72.9,71.7,992,53.966,743703
27-12-18,BRACBANK,72,73.7,71.9,73.1,72.7,72.9,1841,202.556,2772980
01-01-19,BRACBANK,74.9,75.1,73,73.6,74.9,72.7,896,46.05,619356
02-01-19,BRACBANK,75.3,75.4,73.8,75.1,74.5,74.9,1229,65.866,885714
03-01-19,BRACBANK,74.9,75.5,74.5,74.5,75,74.5,1683,129.918,1733547
06-01-19,BRACBANK,76.5,77.1,75,75,76.6,75,1673,220.252,2885543
07-01-19,BRACBANK,75.9,77,75.5,76.9,75.8,76.6,1660,255.981,3359620
08-01-19,BRACBANK,78.7,79.9,75.8,76.2,78.9,75.8,1901,230.008,2963023
09-01-19,BRACBANK,78,79.6,77.8,78.9,78.6,78.9,1630,194.591,2482809
10-01-19,BRACBANK,80,80.8,77.9,78.7,79.8,78.6,1508,144.573,1816965
13-01-19,BRACBANK,83,83,79.8,80,82.5,79.8,1884,120.256,1474239
14-01-19,BRACBANK,80.9,82.9,80.6,82.7,81.1,82.5,1613,207.288,2540920
15-01-19,BRACBANK,81.6,81.9,79.9,81,81.1,81.1,1768,200.125,2473831
16-01-19,BRACBANK,80.4,82,80.3,81.9,80.6,81.1,1239,116.211,1433425
17-01-19,BRACBANK,80.9,83,79.3,80.6,80.9,80.6,1629,152.717,1892744
20-01-19,BRACBANK,82.7,83,81.2,81.2,82.9,80.9,1360,107.966,1310181
21-01-19,BRACBANK,82.3,83.3,81.4,83,81.7,82.9,1052,57.692,700992
22-01-19,BRACBANK,82.1,82.6,81.4,81.7,82,81.7,987,93.89,1147243
23-01-19,BRACBANK,83,83.9,81.6,82.5,83.1,82,1405,130.547,1575159
24-01-19,BRACBANK,84.5,84.8,83,83.4,84.4,83.1,1577,139.703,1668654
27-01-19,BRACBANK,83.4,85.2,83.1,84.4,83.6,84.4,1405,141.039,1675853
28-01-19,BRACBANK,82,83.7,81.3,83.1,81.6,83.6,1677,103.625,1260568
29-01-19,BRACBANK,82.1,82.5,81.1,81.6,82.1,81.6,1320,106.94,1305553
30-01-19,BRACBANK,81.4,83.2,81,82.1,81.3,82.1,1003,68.702,836906
31-01-19,BRACBANK,78,81.6,76.7,81.3,78.5,81.3,1783,159.387,2015787
03-02-19,BRACBANK,78.1,79.4,78,78,78.5,78.5,568,36.624,465919
04-02-19,BRACBANK,78.9,79.4,78.5,78.5,78.7,78.5,584,40.851,517513
05-02-19,BRACBANK,79.2,79.4,78.8,79.4,79.2,78.7,549,43.481,549557
06-02-19,BRACBANK,81.5,81.5,79.1,79.2,80.9,79.2,1286,129.519,1606776
07-02-19,BRACBANK,80.9,82.8,80.7,80.9,81,80.9,1020,116.198,1426698
10-02-19,BRACBANK,79.9,81.4,79.1,81.1,80.3,81,557,50.32,625775
11-02-19,BRACBANK,79,80,78.7,79.4,78.8,80.3,735,49.224,622623
12-02-19,BRACBANK,79.2,80,78.8,80,79.7,78.8,496,30.275,381394
13-02-19,BRACBANK,80.5,80.5,79.2,79.7,80.2,79.7,798,100.982,1261514
14-02-19,BRACBANK,79,80,78.9,80,79.2,80.2,610,50.696,639326
17-02-19,BRACBANK,79.3,80.2,79,79.2,79.2,79.2,522,23.389,294270
18-02-19,BRACBANK,79.8,79.8,78.7,79.3,78.9,79.2,408,21.894,277068
19-02-19,BRACBANK,80.4,80.4,79,79.4,80,78.9,547,34.733,436798
20-02-19,BRACBANK,79,80,79,80,79.2,80,483,31.255,394252
24-02-19,BRACBANK,79.2,79.4,79,79.4,79.2,79.2,320,32.643,412769
25-02-19,BRACBANK,83.2,83.6,79.2,79.2,83.2,79.2,2863,257.852,3126942
26-02-19,BRACBANK,82.2,83.5,81.5,83.2,82.1,83.2,1369,190.808,2315225
27-02-19,BRACBANK,81.1,82.6,80.8,82,81.2,82.1,901,66.478,817338
03-03-19,BRACBANK,81.9,82.4,80.4,80.6,81.7,81.2,516,41.717,511294
04-03-19,BRACBANK,81.3,82.3,81.2,81.7,81.3,81.7,961,104.512,1280074
05-03-19,BRACBANK,83,83,81.3,81.3,82.7,81.3,1012,63.668,772861
06-03-19,BRACBANK,83.9,84.2,82.7,83,83.8,82.7,1726,184.979,2220964
07-03-19,BRACBANK,82,84,82,84,82.4,83.8,955,78.345,945201
10-03-19,BRACBANK,83,83.7,82.5,82.7,83.1,82.4,749,40.485,488127
11-03-19,BRACBANK,82.8,83.7,82.3,83.3,82.4,83.1,832,81.613,986839
12-03-19,BRACBANK,82.4,83,82,82.4,82.8,82.4,755,98.571,1197053
13-03-19,BRACBANK,83.5,85.4,82.9,83,84.1,82.8,2275,237.731,2822750
14-03-19,BRACBANK,88.3,88.9,84,84,88.5,84.1,4301,442.132,5093182
18-03-19,BRACBANK,88.7,90.4,87.4,89,88.6,88.5,3162,382.017,4306345
19-03-19,BRACBANK,85.6,88.9,84.5,88.6,86,88.6,2976,214.881,2504123
20-03-19,BRACBANK,83,87,82.9,87,83.2,86,2650,198.11,2358814
21-03-19,BRACBANK,81,84.1,81,84,81.7,83.2,2281,147.293,1789018
24-03-19,BRACBANK,76.4,78,73,76,75.8,81.7,2635,218.563,2870086
25-03-19,BRACBANK,79.4,79.4,75.8,76.5,77.9,75.8,1370,94.629,1217677
27-03-19,BRACBANK,77.6,78.3,77,78,77.7,77.9,1134,94.914,1223477
28-03-19,BRACBANK,77.4,78.4,77,78.2,77.3,77.7,863,59.589,766415
31-03-19,BRACBANK,77.6,78,76.5,76.5,77.8,77.3,781,49.284,638141
01-04-19,BRACBANK,79.2,80.1,77.5,77.8,79.4,77.8,1525,206.026,2603195
02-04-19,BRACBANK,79.5,81.9,79.5,79.5,80.2,79.4,771,57.339,710685
03-04-19,BRACBANK,77.7,79.9,77.2,79.9,77.4,80.2,907,67.965,873490
04-04-19,BRACBANK,78.4,79.5,76.5,79.5,77.7,77.4,640,52.692,681396
07-04-19,BRACBANK,78.2,78.2,77.4,77.9,78,77.7,396,22.091,283549
08-04-19,BRACBANK,75.1,78.3,75.1,78.3,76.2,78,944,58.453,759295
09-04-19,BRACBANK,75.2,76.3,73.5,76,75,76.2,564,43.5,579586
10-04-19,BRACBANK,73.6,77.2,73.3,75.9,73.7,75,765,39.712,533588
11-04-19,BRACBANK,0,0,0,0,73.7,73.7,0,0,0
15-04-19,BRACBANK,64.2,69.9,64.2,67,64.4,73.7,814,47.173,728116
16-04-19,BRACBANK,63.4,65.3,62.6,65.3,62.9,64.4,668,64.4,1018982
17-04-19,BRACBANK,63.9,64.8,61.6,64,62.9,62.9,516,38.802,621513
18-04-19,BRACBANK,64.3,66.1,62.2,63,65.2,62.9,651,34.953,544901
21-04-19,BRACBANK,63,64,62.4,64,62.8,65.2,1001,50.675,803321
23-04-19,BRACBANK,62.9,63.5,62.4,62.7,62.8,62.8,716,49.149,782331
24-04-19,BRACBANK,63.4,63.5,62.6,63,63.3,62.8,1158,79.833,1263953
25-04-19,BRACBANK,64,64.3,63.2,63.3,63.9,63.3,452,97.08,1524720
28-04-19,BRACBANK,62.8,64.8,62.8,64,63.1,63.9,322,15.491,243665
29-04-19,BRACBANK,61.5,63.2,61.5,63.2,61.7,63.1,740,65.1,1050312
30-04-19,BRACBANK,62.2,63.7,60,61.9,61.7,61.7,1043,165.895,2691653
02-05-19,BRACBANK,62.7,63.9,62.3,62.3,63.2,61.7,558,24.189,382622
05-05-19,BRACBANK,64.3,64.3,63.2,63.5,64.1,63.2,459,19.036,298568
06-05-19,BRACBANK,63.7,64.1,62.5,64.1,63.1,64.1,769,79.268,1256347
07-05-19,BRACBANK,63.4,63.8,62.8,63.3,63.4,63.1,385,42.559,671309
08-05-19,BRACBANK,62.4,63.3,62.4,63.3,62.7,63.4,438,37.172,591656
