DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
20-12-18,CITYBANK,29.2,29.4,29,29.4,29.1,28.9,331,17.645,605548
23-12-18,CITYBANK,29.4,29.4,29.1,29.1,29.3,29.1,281,14.806,505590
24-12-18,CITYBANK,29.3,29.5,29.2,29.3,29.3,29.3,443,20.395,695136
26-12-18,CITYBANK,30.3,30.3,29.5,29.5,30,29.3,627,21.377,712865
27-12-18,CITYBANK,30.3,30.4,29.9,30.3,30.2,30,575,29.269,972805
01-01-19,CITYBANK,30.8,31,30.3,30.3,30.8,30.2,633,41.208,1343742
02-01-19,CITYBANK,30.6,30.9,30,30.9,30.6,30.8,830,56.459,1853643
03-01-19,CITYBANK,31,31.4,30.2,30.7,31.1,30.6,1574,119.578,3899562
06-01-19,CITYBANK,32.5,32.5,30.8,31.5,32.1,31.1,1786,146.652,4646217
07-01-19,CITYBANK,31.7,32.8,31.6,32.4,31.7,32.1,1624,121.624,3796326
08-01-19,CITYBANK,33.2,33.6,31.6,31.8,33.3,31.7,2125,156.18,4776377
09-01-19,CITYBANK,32.9,33.6,32.5,33.5,33,33.3,1791,136.118,4131842
10-01-19,CITYBANK,32.9,33.1,32.5,33,32.8,33,1016,75.133,2292452
13-01-19,CITYBANK,32.9,33.2,32.7,33,33,32.8,1105,76.632,2324426
14-01-19,CITYBANK,32.6,33.2,32.5,33.1,32.5,33,1101,59.939,1829205
15-01-19,CITYBANK,32.5,32.9,32.1,32.6,32.7,32.5,970,60.516,1861609
16-01-19,CITYBANK,32.3,33,32.3,32.7,32.5,32.7,838,54.833,1682203
17-01-19,CITYBANK,32.4,32.5,31.9,32.5,32.3,32.5,997,68.394,2123915
20-01-19,CITYBANK,33.1,33.3,32.4,32.4,33.2,32.3,1679,113.35,3436118
21-01-19,CITYBANK,32.7,33.5,32.5,33.3,32.7,33.2,888,57.279,1739065
22-01-19,CITYBANK,32.7,33.2,32.4,32.8,32.8,32.7,844,48.222,1469683
23-01-19,CITYBANK,34.3,34.5,32.8,32.9,34.4,32.8,2923,277.64,8158724
24-01-19,CITYBANK,34.3,35.2,34.2,34.4,34.5,34.4,1936,171.697,4953846
27-01-19,CITYBANK,34,35,33.5,34.9,33.7,34.5,1631,117.804,3441241
28-01-19,CITYBANK,33.2,34,32.9,33.8,33,33.7,1100,76.143,2282038
29-01-19,CITYBANK,33.1,33.5,32.9,33.1,33,33,893,59.646,1797400
30-01-19,CITYBANK,32.7,33.6,32.7,33.1,32.8,33,693,34.998,1061726
31-01-19,CITYBANK,32.9,33,32,32.8,32.7,32.8,982,53.645,1654053
03-02-19,CITYBANK,32.2,33,32,32.7,32,32.7,594,28.517,885706
04-02-19,CITYBANK,31.8,32.5,31.6,32.2,31.8,32,716,35.073,1094986
05-02-19,CITYBANK,31.5,32.1,31.5,31.9,31.6,31.8,477,21.487,679197
06-02-19,CITYBANK,31.9,32.1,31.5,31.7,31.9,31.6,436,20.29,637972
07-02-19,CITYBANK,31.9,32.5,31.7,32,31.8,31.9,422,18.793,589012
10-02-19,CITYBANK,31.2,32,31.1,31.8,31.2,31.8,500,23.598,749351
11-02-19,CITYBANK,30.6,31.3,30.5,31.2,30.8,31.2,633,24.111,782909
12-02-19,CITYBANK,30.7,31.1,30.3,31,30.4,30.8,622,31.355,1024036
13-02-19,CITYBANK,30.3,30.7,30.2,30.5,30.3,30.4,575,32.163,1059108
14-02-19,CITYBANK,30.4,30.5,30.2,30.4,30.4,30.3,495,26.406,870464
17-02-19,CITYBANK,30.9,31.3,30.4,30.4,31,30.4,654,45.06,1461666
18-02-19,CITYBANK,30.5,31.3,30.3,31.1,30.4,31,582,36.587,1196112
19-02-19,CITYBANK,30.3,30.7,30.1,30.7,30.4,30.4,438,20.068,661772
20-02-19,CITYBANK,30.3,30.7,30.2,30.4,30.2,30.4,441,34.896,1150776
24-02-19,CITYBANK,29.7,30.2,29.7,30.2,29.7,30.2,612,34.605,1158009
25-02-19,CITYBANK,29.7,29.9,29.6,29.7,29.8,29.7,702,42.419,1422208
26-02-19,CITYBANK,29.6,29.8,29.5,29.8,29.6,29.8,502,33.957,1145869
27-02-19,CITYBANK,28.9,29.8,28.5,29.6,28.9,29.6,868,42.138,1451276
03-03-19,CITYBANK,29.3,29.5,28.7,29,29.1,28.9,472,20.16,691696
04-03-19,CITYBANK,29,29.5,28.8,29.3,28.9,29.1,455,16.94,582596
05-03-19,CITYBANK,29.2,29.5,28.7,29.2,29.2,28.9,494,25.596,875775
06-03-19,CITYBANK,29.2,29.5,29,29.4,29.3,29.2,629,27.785,949933
07-03-19,CITYBANK,29.2,29.5,29,29.4,29.2,29.3,399,20.69,708395
10-03-19,CITYBANK,29.2,29.8,29.1,29.3,29.2,29.2,384,18.007,614529
11-03-19,CITYBANK,28.9,29.2,28.7,29.2,28.9,29.2,473,26.255,906740
12-03-19,CITYBANK,28.5,29,28.5,28.9,28.6,28.9,433,22.412,781538
13-03-19,CITYBANK,29.3,30,28.7,29,29.3,28.6,861,49.128,1672341
14-03-19,CITYBANK,29.2,29.4,28.6,29.4,29.1,29.3,628,37.444,1291815
18-03-19,CITYBANK,28.9,29.4,28.7,29.3,28.9,29.1,475,18.611,644466
19-03-19,CITYBANK,28.9,29,28.7,28.9,28.9,28.9,449,20.69,716317
20-03-19,CITYBANK,28.7,29,28.7,28.9,28.8,28.9,332,15.567,539146
21-03-19,CITYBANK,28.7,28.8,28.6,28.7,28.6,28.8,302,13.788,481161
24-03-19,CITYBANK,28.1,28.7,28,28.7,28.1,28.6,425,16.72,594018
25-03-19,CITYBANK,27.5,28.1,27.5,28.1,27.6,28.1,458,26.893,969722
27-03-19,CITYBANK,26.7,27.8,26.6,27.8,26.8,27.6,685,26.198,970737
28-03-19,CITYBANK,26.5,26.9,26.4,26.8,26.5,26.8,488,24.414,919433
31-03-19,CITYBANK,26.9,26.9,26.6,26.9,26.7,26.5,327,17.764,664602
01-04-19,CITYBANK,26.5,26.8,26.3,26.7,26.4,26.7,422,24.669,929545
02-04-19,CITYBANK,26.3,26.7,26,26.4,26.2,26.4,501,24.471,930161
03-04-19,CITYBANK,25.7,26.3,25.7,26.2,25.8,26.2,388,11.498,444411
04-04-19,CITYBANK,25.7,25.8,25.3,25.8,25.5,25.8,403,19.739,772666
07-04-19,CITYBANK,24.8,25.7,24.8,25.6,25,25.5,395,8.163,324302
08-04-19,CITYBANK,24.1,25.1,24,25,24.1,25,632,27.104,1118928
09-04-19,CITYBANK,23.7,24.3,23.7,24.1,23.8,24.1,482,19.537,813916
10-04-19,CITYBANK,24,24.2,23.6,23.7,23.8,23.8,373,13.325,556979
11-04-19,CITYBANK,24.6,24.6,23.8,24,24.3,23.8,367,12.993,538334
15-04-19,CITYBANK,24.2,24.6,24.1,24.6,24.3,24.3,225,7.27,298789
16-04-19,CITYBANK,24.3,24.5,23.8,24.2,24.3,24.3,401,28.375,1174681
17-04-19,CITYBANK,24.3,24.4,24,24.4,24.3,24.3,242,8.857,365763
18-04-19,CITYBANK,24.1,24.2,22.5,23.7,24.1,24.3,754,51.894,2204094
21-04-19,CITYBANK,25,25,24,24.1,24.8,24.1,479,22.546,912699
23-04-19,CITYBANK,24.2,25.2,24.1,25.2,24.3,24.8,411,21.27,867498
24-04-19,CITYBANK,24.8,24.8,24.1,24.3,24.7,24.3,461,30.12,1230704
25-04-19,CITYBANK,25.4,25.5,24.6,24.9,25.4,24.7,557,29.615,1176813
28-04-19,CITYBANK,25.3,25.8,25,25,25.4,25.4,413,21.185,835881
29-04-19,CITYBANK,25.3,25.4,24.8,25.1,25.3,25.4,368,23.648,941012
30-04-19,CITYBANK,25.8,25.9,25.1,25.5,25.5,25.3,406,25.449,1003164
02-05-19,CITYBANK,26.1,26.5,25.5,25.5,26.2,25.5,442,25.304,973478
05-05-19,CITYBANK,27.6,27.7,26.5,26.5,27.6,26.2,637,43.876,1617340
06-05-19,CITYBANK,26.7,27.8,26.4,27.7,26.6,27.6,746,45.581,1691461
07-05-19,CITYBANK,25.5,26.7,25.5,26.7,25.9,26.6,662,50.779,1958214
08-05-19,CITYBANK,26.2,26.2,25.6,26.2,26.1,25.9,229,12.147,467185
09-05-19,CITYBANK,26,26.2,25.3,26.2,25.6,26.1,414,20.6,803890
12-05-19,CITYBANK,0,0,0,0,25.6,25.6,0,0,0
13-05-19,CITYBANK,24.5,24.8,23.6,24,24.1,25.6,602,37.667,1571331
14-05-19,CITYBANK,24,24.3,24,24.1,24,24.1,191,7.95,329705
15-05-19,CITYBANK,24.2,24.3,23.9,24,24.2,24,202,7.725,319757
16-05-19,CITYBANK,24.8,24.8,24.2,24.2,24.7,24.2,396,40.247,1632938
19-05-19,CITYBANK,25.4,25.8,25,25,25.3,24.7,770,82.413,3229832
20-05-19,CITYBANK,25.5,25.5,25,25.3,25.4,25.3,394,30.49,1205374
21-05-19,CITYBANK,25.3,25.4,25,25.4,25.3,25.4,299,22.146,878352
22-05-19,CITYBANK,25.2,25.4,25.2,25.3,25.2,25.3,226,15.668,620672
23-05-19,CITYBANK,25.2,25.4,25.2,25.2,25.3,25.2,279,38.162,1509053
26-05-19,CITYBANK,25.8,26.1,25.3,25.3,25.8,25.3,454,23.118,893125
27-05-19,CITYBANK,25.7,26,25.5,25.8,25.8,25.8,315,16.925,655424
28-05-19,CITYBANK,26.8,27.1,25.9,25.9,26.8,25.8,781,70.109,2623962
29-05-19,CITYBANK,27.3,27.3,26.6,26.9,27.2,26.8,406,16.879,624301
30-05-19,CITYBANK,27.1,27.4,26.9,27.3,27.2,27.2,344,17.206,635396
09-06-19,CITYBANK,27.2,27.4,27,27.2,27.2,27.2,213,7.86,289612
10-06-19,CITYBANK,27.1,27.3,26.6,27.3,26.9,27.2,436,40.857,1515764
11-06-19,CITYBANK,28.4,28.4,26.9,26.9,28,26.9,660,33.401,1209687
12-06-19,CITYBANK,27.8,28.1,27.5,28.1,27.6,28,481,22.974,827244
13-06-19,CITYBANK,28,28.1,27.4,27.5,27.9,27.6,304,14.88,535764
16-06-19,CITYBANK,27.6,28.3,27.6,28.1,27.7,27.9,283,15.527,558403
17-06-19,CITYBANK,27.7,27.9,27.2,27.4,27.5,27.7,345,32.406,1178520
18-06-19,CITYBANK,27.5,27.6,27.2,27.5,27.5,27.5,291,26.916,982792
19-06-19,CITYBANK,27.4,27.6,27.3,27.5,27.3,27.5,318,35.335,1289204
20-06-19,CITYBANK,27.3,28,27,27.6,27.2,27.3,325,21.085,769491
23-06-19,CITYBANK,27.7,27.7,27,27,27.6,27.2,249,15.778,576727
24-06-19,CITYBANK,27.2,27.8,27.2,27.6,27.3,27.6,361,14.451,527284
25-06-19,CITYBANK,27.3,27.7,27.2,27.4,27.3,27.3,390,30.99,1135044
26-06-19,CITYBANK,27.1,27.4,27,27.3,27.1,27.3,405,21.886,806070
27-06-19,CITYBANK,28,28.3,27.1,27.1,28.1,27.1,714,53.291,1909820
30-06-19,CITYBANK,28,28,27.5,27.8,27.8,28.1,359,17.769,637960
02-07-19,CITYBANK,27.3,27.8,27.2,27.8,27.3,27.8,286,20.976,765156
03-07-19,CITYBANK,27.7,27.7,27.1,27.6,27.4,27.3,246,17.518,642956
04-07-19,CITYBANK,28.5,29,27.3,27.5,28.5,27.4,625,38.307,1361176
07-07-19,CITYBANK,28.3,28.6,28,28.5,28.4,28.5,366,16.487,585156
08-07-19,CITYBANK,28.4,28.5,28,28.4,28.4,28.4,512,24.208,855197
09-07-19,CITYBANK,28,28.4,28,28.4,28.1,28.4,635,22.308,791054
10-07-19,CITYBANK,27.9,28,27.5,28,27.7,28.1,452,25.374,914742
11-07-19,CITYBANK,27.6,28,27.4,27.7,27.6,27.7,391,19.79,716094
14-07-19,CITYBANK,27.4,27.6,27,27.3,27.2,27.6,307,15.364,562697
15-07-19,CITYBANK,26.8,27.3,26.6,27.1,26.9,27.2,361,16.588,616928
16-07-19,CITYBANK,27.4,27.8,26.8,27.2,27.4,26.9,246,11.899,437289
17-07-19,CITYBANK,27.6,27.9,27.2,27.5,27.4,27.4,208,6.284,227601
18-07-19,CITYBANK,27.4,27.7,27.2,27.2,27.5,27.4,287,8.596,312778
21-07-19,CITYBANK,27,27.6,26.5,27.3,26.7,27.5,332,13.793,512201
22-07-19,CITYBANK,26.3,27,26.3,26.5,26.4,26.7,434,18.962,716447
23-07-19,CITYBANK,26.7,26.7,26.2,26.4,26.6,26.4,480,22.566,850097
24-07-19,CITYBANK,27.2,27.3,26.5,26.6,27.1,26.6,362,22.461,835159
25-07-19,CITYBANK,27.4,27.8,27.1,27.3,27.2,27.1,306,12.392,452083
28-07-19,CITYBANK,27.3,27.5,26.9,27.4,27.3,27.2,281,10.516,386828
29-07-19,CITYBANK,27.1,27.4,26.9,27.1,27,27.3,275,12.216,451335
30-07-19,CITYBANK,27.2,27.5,27.1,27.2,27.2,27,251,10.529,385847
31-07-19,CITYBANK,27.6,27.9,27.2,27.4,27.7,27.2,440,19.929,723194
01-08-19,CITYBANK,27.6,28.2,27.6,27.8,27.8,27.7,476,25.75,923265
04-08-19,CITYBANK,28.3,28.3,27.6,28.2,28.2,27.8,444,32.496,1161011
05-08-19,CITYBANK,27.9,28.2,27.9,28.1,28,28.2,313,27.806,992105
06-08-19,CITYBANK,28.2,28.9,28,28.2,28.2,28,583,44.327,1568037
07-08-19,CITYBANK,29.1,29.2,28.2,28.3,29,28.2,1238,94.502,3274258
08-08-19,CITYBANK,29.6,29.7,28.8,29,29.6,29,666,43.858,1494790
18-08-19,CITYBANK,28.8,29.7,28.7,29.6,28.8,29.6,336,19.022,654614
19-08-19,CITYBANK,28.6,29.3,28.6,29.2,28.7,28.8,442,34.249,1189623
20-08-19,CITYBANK,28.2,28.9,28.2,28.9,28.4,28.7,317,14.013,492201
21-08-19,CITYBANK,27.6,28.4,27.5,28.4,27.8,28.4,500,30.234,1081162
22-08-19,CITYBANK,27.7,28.2,27.5,28.2,27.8,27.8,262,13.004,468589
25-08-19,CITYBANK,27.6,28.2,27.5,27.7,27.6,27.8,260,12.916,466712
26-08-19,CITYBANK,27,27.5,27,27.5,27.1,27.6,342,15.659,575136
27-08-19,CITYBANK,27,27.2,26.7,27.1,27,27.1,425,40.326,1494485
28-08-19,CITYBANK,26.6,27.1,26.5,27.1,26.6,27,297,13.311,498885
29-08-19,CITYBANK,26.2,26.5,26.1,26.5,26.3,26.6,435,31.268,1190058
01-09-19,CITYBANK,26.3,26.5,26.1,26.1,26.5,26.3,308,15.904,603242
02-09-19,CITYBANK,25.8,26.6,25.6,26.6,25.8,26.5,297,15.247,587948
03-09-19,CITYBANK,25.2,26,25.2,25.8,25.4,25.8,368,30.297,1194343
04-09-19,CITYBANK,25.3,25.6,25.2,25.3,25.4,25.4,203,8.996,355123
05-09-19,CITYBANK,25.4,25.7,25.2,25.2,25.4,25.4,260,8.665,339384
08-09-19,CITYBANK,25.4,26,25.3,25.8,25.4,25.4,419,17.593,687933
09-09-19,CITYBANK,25.2,25.6,25.2,25.4,25.2,25.4,307,11.99,472879
11-09-19,CITYBANK,25,25.7,24.6,25.2,24.7,25.2,369,23.382,932899
12-09-19,CITYBANK,24.4,24.7,24.3,24.7,24.4,24.7,416,26.468,1084089
15-09-19,CITYBANK,24.6,24.9,24.4,24.8,24.5,24.4,271,14.57,593044
16-09-19,CITYBANK,24.4,24.9,24.4,24.9,24.4,24.5,267,13.204,538977
17-09-19,CITYBANK,24.4,24.7,24.2,24.6,24.3,24.4,244,18.323,750148
18-09-19,CITYBANK,24.5,24.8,24.3,24.6,24.4,24.3,432,19.404,790644
19-09-19,CITYBANK,24.4,24.7,24,24.5,24.3,24.4,216,14.597,600249
22-09-19,CITYBANK,24.4,24.4,24.1,24.4,24.4,24.3,141,4.379,180208
23-09-19,CITYBANK,25,25.5,24.7,24.7,25,24.4,823,81.596,3251324
24-09-19,CITYBANK,24.9,25.3,24.8,25.3,24.9,25,286,17.141,686407
25-09-19,CITYBANK,24.3,25.1,24.3,25.1,24.5,24.9,347,16.898,688012
26-09-19,CITYBANK,24.4,24.6,24.2,24.6,24.4,24.5,349,24.029,986023
29-09-19,CITYBANK,24.6,24.7,24.4,24.4,24.6,24.4,579,46.89,1905678
30-09-19,CITYBANK,24.4,24.8,24.3,24.8,24.5,24.6,629,64.733,2639953
01-10-19,CITYBANK,24,24.6,24,24.5,24.1,24.5,502,30.718,1268260
02-10-19,CITYBANK,23.7,24,23.7,24,23.8,24.1,420,18.498,775605
03-10-19,CITYBANK,23.6,23.9,23.5,23.8,23.6,23.8,385,18.003,760973
06-10-19,CITYBANK,23.3,23.7,22.8,23.7,23.2,23.6,433,21.239,915471
07-10-19,CITYBANK,23,23.2,22.3,23.2,22.9,23.2,776,48.746,2155267
09-10-19,CITYBANK,22.9,23,22.4,22.9,22.9,22.9,656,50.888,2248423
10-10-19,CITYBANK,23.2,23.2,22.6,22.9,22.9,22.9,363,27.96,1227324
13-10-19,CITYBANK,23.2,23.3,22.8,22.9,23.2,22.9,362,13.255,574960
14-10-19,CITYBANK,23.4,23.5,23,23.2,23.4,23.2,474,29.645,1275562
15-10-19,CITYBANK,23.9,23.9,23.4,23.4,23.7,23.4,419,33.741,1419249
16-10-19,CITYBANK,23.3,23.8,22.9,23.6,23.2,23.7,306,11.657,500017
17-10-19,CITYBANK,23.1,23.4,23,23.3,23.2,23.2,202,10.319,445529
20-10-19,CITYBANK,23.7,23.8,23.2,23.2,23.5,23.2,242,10.057,428776
21-10-19,CITYBANK,23.4,23.6,23.2,23.5,23.4,23.5,404,24.21,1030102
22-10-19,CITYBANK,22.7,23.6,22.5,23.6,22.7,23.4,530,31.711,1384074
23-10-19,CITYBANK,22.7,23.1,22.3,22.8,22.7,22.7,350,24.676,1086422
24-10-19,CITYBANK,23.1,23.1,22.6,22.6,23.1,22.7,364,19.422,844161
27-10-19,CITYBANK,22.8,23,22.4,23,22.7,23.1,218,9.232,406563
28-10-19,CITYBANK,22.9,23,22.5,22.8,22.8,22.7,166,6.439,283433
29-10-19,CITYBANK,22.6,23,22.3,23,22.5,22.8,303,15.01,665805
30-10-19,CITYBANK,22.3,22.7,22.1,22.7,22.4,22.5,537,14.937,670545
31-10-19,CITYBANK,21.9,22.6,21.8,22.5,22,22.4,479,20.478,929360
