DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
17-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,8,0.045,483
15-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,21,0.383,4141
14-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,15,0.75,8096
13-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,21,1.356,14639
10-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,15,0.753,8128
09-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,15,0.4,4320
08-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,10,0.125,1351
07-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,15,0.348,3763
06-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,16,0.305,3296
03-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,18,0.617,6662
02-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,10,0.229,2474
01-12-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,6,0.131,1411
30-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,4,0.139,1501
29-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,7,0.131,1415
26-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,8,0.214,2316
25-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,3,0.051,551
24-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,1,0.003,30
23-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,1,0.026,280
22-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,2,0.001,6
19-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,8,0.441,4767
18-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,7,0.018,195
17-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,3,0.018,195
16-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,5,0.185,2002
15-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,5,0.167,1808
12-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,7,0.19,2053
11-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,22,0.216,2330
10-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,5,0.116,1254
09-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,3,0.012,129
08-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,4,0.105,1130
05-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,6,0.025,271
04-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,2,0.046,500
03-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,14,0.139,1499
02-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,11,0.273,2949
01-11-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,5,0.096,1040
29-10-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,9,0.153,1655
28-10-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,19,2.682,28965
27-10-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,36,1.056,11402
25-10-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,17,0.165,1779
22-10-20,DBH,92.6,92.6,92.6,92.6,92.6,92.6,21,0.781,8436
