DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,SQURPHARMA,212.66,215.51,211.78,214.71,328027
24-12-18,SQURPHARMA,214.53,215.42,214.36,214.98,601612
26-12-18,SQURPHARMA,214.8,217.29,214.71,216.76,199814
27-12-18,SQURPHARMA,216.76,217.82,216.49,217.56,362616
01-01-19,SQURPHARMA,218.27,218.62,216.58,217.11,184478
01-02-19,SQURPHARMA,217.38,218.27,215.6,216.76,505258
01-03-19,SQURPHARMA,217.38,218.89,216.4,218.09,501703
01-06-19,SQURPHARMA,218.27,221.74,218.18,220.85,387354
01-07-19,SQURPHARMA,221.65,222.19,218.8,219.87,505773
01-08-19,SQURPHARMA,220.05,222.8,219.87,221.74,380791
01-09-19,SQURPHARMA,222.63,224.95,222.54,224.32,758282
01-10-19,SQURPHARMA,225.3,226.28,223.88,225.12,447200
13-01-19,SQURPHARMA,225.57,226.2,224.85,225.57,310690
14-01-19,SQURPHARMA,226.1,226.1,223.97,224.32,492756
15-01-19,SQURPHARMA,224.59,227.08,224.59,226.37,599133
16-01-19,SQURPHARMA,226.2,229.84,225.39,227.43,622232
17-01-19,SQURPHARMA,227.43,227.61,225.83,226.28,398995
20-01-19,SQURPHARMA,226.28,227,224.59,224.85,200982
21-01-19,SQURPHARMA,224.95,226.73,224.77,226.1,1031406
22-01-19,SQURPHARMA,226.9,231.44,226.55,229.66,1244613
23-01-19,SQURPHARMA,229.58,230.64,228.06,229.04,452709
24-01-19,SQURPHARMA,229.84,229.84,226.63,227.17,595317
27-01-19,SQURPHARMA,228.78,231.53,228.15,231,455358
28-01-19,SQURPHARMA,231,234.02,229.48,233.14,1181911
29-01-19,SQURPHARMA,233.94,234.38,233.14,233.94,634480
30-01-19,SQURPHARMA,234.29,234.29,227.08,228.78,513691
31-01-19,SQURPHARMA,229.13,230.2,225.03,225.65,503591
02-03-19,SQURPHARMA,226.01,229.31,225.3,228.68,314320
02-04-19,SQURPHARMA,228.06,230.55,226.28,229.13,336297
02-05-19,SQURPHARMA,229.84,229.84,227.61,228.51,270610
02-06-19,SQURPHARMA,228.95,231.44,225.57,226.28,637833
02-07-19,SQURPHARMA,226.46,229.84,225.83,228.95,416503
02-10-19,SQURPHARMA,228.06,230.38,227.43,228.86,283735
02-11-19,SQURPHARMA,228.06,229.58,226.9,227.8,330207
02-12-19,SQURPHARMA,226.46,228.86,226.46,227.8,409063
13-02-19,SQURPHARMA,228.86,228.86,226.37,226.9,249453
14-02-19,SQURPHARMA,226.73,227.97,225.75,226.28,493533
17-02-19,SQURPHARMA,227.17,227.17,226.01,226.28,337478
18-02-19,SQURPHARMA,226.28,228.51,226.28,228.06,703272
19-02-19,SQURPHARMA,228.06,231.53,227.17,230.2,907222
20-02-19,SQURPHARMA,230.73,232.24,229.66,231.53,1815363
24-02-19,SQURPHARMA,231.62,233.04,229.04,232.42,461041
25-02-19,SQURPHARMA,232.51,235.45,232.51,235.27,1848809
26-02-19,SQURPHARMA,235.27,238.12,235.27,237.05,1627682
27-02-19,SQURPHARMA,237.14,237.14,233.67,235,644497
03-03-19,SQURPHARMA,235,235,231.71,233.94,378071
03-04-19,SQURPHARMA,233.94,233.94,230.73,231.71,1327842
03-05-19,SQURPHARMA,231.71,231.8,228.33,229.93,771236
03-06-19,SQURPHARMA,229.04,230.64,228.24,228.68,607845
03-07-19,SQURPHARMA,228.68,231.62,228.68,229.58,261767
03-10-19,SQURPHARMA,229.93,231.62,229.66,231.26,220133
03-11-19,SQURPHARMA,233.4,233.4,228.95,229.84,235542
03-12-19,SQURPHARMA,229.84,231.09,228.78,230.28,483914
13-03-19,SQURPHARMA,229.21,229.84,227.7,228.41,372396
14-03-19,SQURPHARMA,227.61,230.38,227.61,229.48,773230
18-03-19,SQURPHARMA,228.41,230.2,228.24,229.21,827780
19-03-19,SQURPHARMA,229.31,234.11,228.51,233.49,593616
20-03-19,SQURPHARMA,233.49,234.2,231.18,233.58,639610
21-03-19,SQURPHARMA,233.76,233.76,231.36,231.53,238429
24-03-19,SQURPHARMA,231.62,231.62,230.46,231.09,243588
25-03-19,SQURPHARMA,231.09,232.86,230.11,231.18,177260
27-03-19,SQURPHARMA,230.91,233.4,228.95,229.58,603497
28-03-19,SQURPHARMA,229.93,230.91,229.58,229.93,167351
31-03-19,SQURPHARMA,229.21,230.11,228.6,228.86,187173
04-01-19,SQURPHARMA,228.86,230.55,228.78,229.04,204696
04-02-19,SQURPHARMA,229.21,230.82,229.04,229.84,195605
04-03-19,SQURPHARMA,229.84,229.84,228.51,228.95,259084
04-04-19,SQURPHARMA,228.95,229.84,228.51,229.4,131099
04-07-19,SQURPHARMA,228.51,229.31,227.61,228.06,136327
04-08-19,SQURPHARMA,228.06,228.06,222.72,223.43,459013
04-09-19,SQURPHARMA,225.03,227.08,222.9,225.21,218248
04-10-19,SQURPHARMA,224.59,226.37,222.72,222.99,235384
04-11-19,SQURPHARMA,223.61,225.75,222.8,224.85,169156
15-04-19,SQURPHARMA,225.83,225.83,222.72,222.99,327726
16-04-19,SQURPHARMA,222.99,224.05,218.62,219.69,311516
17-04-19,SQURPHARMA,219.87,222.54,219.34,221.12,213195
18-04-19,SQURPHARMA,221.02,222.9,220.59,221.83,188322
21-04-19,SQURPHARMA,221.92,224.05,221.83,222.9,144672
23-04-19,SQURPHARMA,222.9,222.9,219.87,220.22,122360
24-04-19,SQURPHARMA,220.94,222.45,219.16,220.32,159329
25-04-19,SQURPHARMA,221.39,223.61,221.02,222.19,113156
28-04-19,SQURPHARMA,222.37,222.72,220.94,221.47,112871
29-04-19,SQURPHARMA,221.83,222.37,219.69,220.59,227730
30-04-19,SQURPHARMA,221.83,224.5,221.02,222.63,277753
05-02-19,SQURPHARMA,222.72,224.95,222.1,222.72,286964
05-05-19,SQURPHARMA,224.05,224.85,223.17,224.05,161602
05-06-19,SQURPHARMA,224.59,225.65,223.52,224.32,143737
05-07-19,SQURPHARMA,224.5,224.5,221.92,222.19,205067
05-08-19,SQURPHARMA,222.27,222.27,220.94,221.47,120335
05-09-19,SQURPHARMA,221.57,221.83,220.05,220.59,142272
05-12-19,SQURPHARMA,220.94,221.39,220.4,220.59,85523
13-05-19,SQURPHARMA,220.59,221.83,217.38,218.27,308067
14-05-19,SQURPHARMA,218.44,219.87,216.94,217.56,219946
15-05-19,SQURPHARMA,217.56,218.99,209.81,212.4,500944
16-05-19,SQURPHARMA,213.38,213.38,212.31,212.66,199231
19-05-19,SQURPHARMA,213.38,217.2,213.38,215.96,181662
20-05-19,SQURPHARMA,216.49,217.91,212.66,213.38,169424
21-05-19,SQURPHARMA,213.38,213.81,212.21,212.84,131011
22-05-19,SQURPHARMA,213.81,214.44,212.48,212.75,272902
23-05-19,SQURPHARMA,212.93,213.73,212.04,212.31,133389
26-05-19,SQURPHARMA,212.48,212.93,211.06,211.68,127776
27-05-19,SQURPHARMA,212.04,212.04,209.28,210.08,924773
28-05-19,SQURPHARMA,211.78,216.58,210.7,215.51,560342
29-05-19,SQURPHARMA,215.6,220.14,214.71,218.44,179530
30-05-19,SQURPHARMA,218.72,219.16,217.47,218.09,173702
06-09-19,SQURPHARMA,218.09,219.96,216.94,217.29,143069
06-10-19,SQURPHARMA,218.09,219.52,217.38,219.34,173902
06-11-19,SQURPHARMA,219.87,221.3,219.52,220.67,618837
06-12-19,SQURPHARMA,220.94,221.3,220.05,220.4,202031
13-06-19,SQURPHARMA,220.49,221.3,220.05,220.85,289434
16-06-19,SQURPHARMA,220.85,221.74,218.27,218.44,145026
17-06-19,SQURPHARMA,218.44,218.54,216.31,217.47,493042
18-06-19,SQURPHARMA,218.27,222.27,218.27,220.49,289754
19-06-19,SQURPHARMA,220.94,223.61,220.85,222.9,297667
20-06-19,SQURPHARMA,223.61,224.5,222.19,223.34,218678
23-06-19,SQURPHARMA,223.34,224.95,222.72,223.25,316374
24-06-19,SQURPHARMA,223.61,224.05,222.72,223.79,218595
25-06-19,SQURPHARMA,223.17,224.23,223.07,223.34,426209
26-06-19,SQURPHARMA,223.34,226.2,223.34,225.75,450328
27-06-19,SQURPHARMA,225.83,227.08,225.21,225.83,1116926
30-06-19,SQURPHARMA,225.93,228.24,225.83,226.55,693730
07-02-19,SQURPHARMA,225.57,225.57,221.47,221.92,412494
07-03-19,SQURPHARMA,222.37,224.41,221.2,222.9,339648
07-04-19,SQURPHARMA,222.72,223.34,221.83,222.63,145942
07-07-19,SQURPHARMA,222.63,222.63,221.3,221.65,110350
07-08-19,SQURPHARMA,221.12,222.72,220.49,221.12,359373
07-09-19,SQURPHARMA,221.74,221.74,220.67,221.02,199880
07-10-19,SQURPHARMA,221.02,221.12,220.49,221.02,151579
07-11-19,SQURPHARMA,220.59,221.39,220.59,221.12,185712
14-07-19,SQURPHARMA,220.49,221.83,219.16,219.69,212515
15-07-19,SQURPHARMA,219.69,220.94,215.86,216.67,383382
16-07-19,SQURPHARMA,216.76,219.79,216.49,218.62,209017
17-07-19,SQURPHARMA,218.62,218.99,217.91,218.18,144265
18-07-19,SQURPHARMA,218.27,219.16,217.82,218.09,177543
21-07-19,SQURPHARMA,220.4,227.17,216.76,216.94,197843
22-07-19,SQURPHARMA,216.22,216.84,211.15,211.68,564453
23-07-19,SQURPHARMA,214.53,215.6,213.73,214.44,322892
24-07-19,SQURPHARMA,214.71,214.71,213.11,213.81,656033
25-07-19,SQURPHARMA,214.09,214.71,213.55,213.81,585743
28-07-19,SQURPHARMA,213.81,215.69,213.81,215.33,250873
29-07-19,SQURPHARMA,214.36,216.22,214.36,215.06,581199
30-07-19,SQURPHARMA,214.8,215.96,214.71,214.98,419476
31-07-19,SQURPHARMA,214.98,215.96,214.36,214.62,400609
08-01-19,SQURPHARMA,215.42,215.6,214.36,215.51,460137
08-04-19,SQURPHARMA,215.96,218,215.16,215.42,212208
08-05-19,SQURPHARMA,215.16,216.67,215.06,216.31,1217840
08-06-19,SQURPHARMA,216.84,216.94,214.89,215.24,450249
08-07-19,SQURPHARMA,215.33,216.58,214.98,216.49,275793
08-08-19,SQURPHARMA,216.76,216.76,214.62,214.8,310637
18-08-19,SQURPHARMA,214.8,215.86,214.53,214.8,177594
19-08-19,SQURPHARMA,214.8,215.6,214.36,214.53,340180
20-08-19,SQURPHARMA,214.71,216.04,214.53,214.8,176823
21-08-19,SQURPHARMA,214.8,215.6,214.71,214.89,199771
22-08-19,SQURPHARMA,215.06,215.96,214.8,215.24,217810
25-08-19,SQURPHARMA,215.24,215.78,214.71,215.06,96452
26-08-19,SQURPHARMA,214.98,215.51,214.36,214.98,285014
27-08-19,SQURPHARMA,215.16,217.82,215.16,217.02,628463
28-08-19,SQURPHARMA,217.74,218.62,216.31,216.58,105212
29-08-19,SQURPHARMA,216.94,216.94,215.33,215.51,189084
09-01-19,SQURPHARMA,215.6,215.6,213.81,214.53,119218
09-02-19,SQURPHARMA,214.71,215.6,213.55,214.53,287080
09-03-19,SQURPHARMA,214.18,214.62,213.55,213.91,201064
09-04-19,SQURPHARMA,213.81,213.81,209.55,210.17,437062
09-05-19,SQURPHARMA,210.35,212.75,210.26,210.7,183464
09-08-19,SQURPHARMA,212.48,213.38,210.08,210.43,201506
09-09-19,SQURPHARMA,211.15,212.4,210.26,210.8,155494
09-11-19,SQURPHARMA,211.15,211.15,207.85,208.57,443853
09-12-19,SQURPHARMA,208.65,209.28,206.79,208.39,358980
15-09-19,SQURPHARMA,208.48,208.48,206.7,207.41,141115
16-09-19,SQURPHARMA,207.59,207.59,205.99,206.6,215100
17-09-19,SQURPHARMA,207.05,207.05,200.47,201.71,582533
22-09-19,SQURPHARMA,196.01,204.47,194.33,202.79,414298
23-09-19,SQURPHARMA,203.14,207.41,201.09,201.89,433427
24-09-19,SQURPHARMA,201.98,202.16,198.96,200.29,499563
25-09-19,SQURPHARMA,203.05,203.05,198.42,200.29,258669
26-09-19,SQURPHARMA,201.18,201.36,200.02,200.64,224089
29-09-19,SQURPHARMA,200.47,203.14,199.76,202.16,91124
30-09-19,SQURPHARMA,202.96,202.96,201.36,201.44,297180
10-01-19,SQURPHARMA,201.54,201.8,200.02,200.82,76110
10-03-19,SQURPHARMA,199.94,201.27,199.67,200.2,111711
10-06-19,SQURPHARMA,199.58,203.14,199.58,201.18,144141
10-07-19,SQURPHARMA,201.36,204.02,200.29,203.22,197723
10-09-19,SQURPHARMA,204.47,206.34,203.67,205.45,967959
10-10-19,SQURPHARMA,205.45,205.45,202.25,202.87,314542
13-10-19,SQURPHARMA,202.87,207.59,202.87,206.52,401446
14-10-19,SQURPHARMA,205.54,206.34,203.76,204.29,542113
15-10-19,SQURPHARMA,204.74,205.8,204.47,205.19,633480
16-10-19,SQURPHARMA,206.7,207.59,202.96,203.59,342843
17-10-19,SQURPHARMA,204.65,204.92,201.89,203.32,479093
20-10-19,SQURPHARMA,203.32,206.7,203.22,205.63,152152
21-10-19,SQURPHARMA,205.63,205.63,199.94,202.16,385963
22-10-19,SQURPHARMA,202.25,204.92,199.58,203.32,254363
23-10-19,SQURPHARMA,203.32,205.45,202.69,203.4,241982
24-10-19,SQURPHARMA,204.92,205.54,203.76,205.1,228266
27-10-19,SQURPHARMA,205.19,207.32,203.59,204.12,297729
28-10-19,SQURPHARMA,205.9,205.9,203.22,203.49,320735
29-10-19,SQURPHARMA,204.74,205.8,201.36,201.89,263627
30-10-19,SQURPHARMA,203.14,203.76,200.47,202.69,171888
31-10-19,SQURPHARMA,203.14,203.14,200.29,200.56,185740
11-03-19,SQURPHARMA,201,203.59,200.02,202.79,156637
11-04-19,SQURPHARMA,202.6,203.05,201.09,201.62,163110
11-05-19,SQURPHARMA,201.62,202.16,200.82,201.27,365454
11-06-19,SQURPHARMA,201.98,203.14,201.18,202.25,386940
11-07-19,SQURPHARMA,202.87,203.49,202.25,203.14,333173
11-11-19,SQURPHARMA,203.14,203.85,202.42,202.79,290874
11-12-19,SQURPHARMA,202.87,206.25,202.79,205.63,178671
13-11-19,SQURPHARMA,205.8,208.48,205.37,207.23,270097
14-11-19,SQURPHARMA,207.59,207.59,200.91,202.52,554448
17-11-19,SQURPHARMA,202.69,204.02,202.07,203.49,105600
18-11-19,SQURPHARMA,204.02,205.27,203.14,203.67,320285
21-11-19,SQURPHARMA,201.87,204.82,201.4,202.82,383315
26-08-20,SQURPHARMA,198.16,204.44,198.16,202.35,958761
27-08-20,SQURPHARMA,202.92,204.25,200.54,201.4,905755
31-08-20,SQURPHARMA,201.4,205.01,200.82,203.78,1625883
09-01-20,SQURPHARMA,204.82,205.3,200.16,201.59,683166
13-09-20,SQURPHARMA,197.97,202.73,197.97,200.92,724338
14-09-20,SQURPHARMA,201.87,201.87,199.4,200.92,893487
15-09-20,SQURPHARMA,201.01,202.35,199.3,201.97,493250
16-09-20,SQURPHARMA,202.35,202.44,200.92,201.2,581198
17-09-20,SQURPHARMA,201.2,201.87,199.78,200.35,754590
14-12-20,SQURPHARMA,197.5,202.1,196.2,201.1,868335
17-12-20,SQURPHARMA,200.8,201.7,198.5,200.5,512105
21-12-20,SQURPHARMA,198.3,203.7,198.2,203.2,1054750
