DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
01-08-19,STYLECRAFT,319.71,319.71,295.56,295.56,115748
01-09-19,STYLECRAFT,273.42,274.55,273.42,273.42,76541
01-10-19,STYLECRAFT,253.09,292.73,252.95,284.95,484204
13-01-19,STYLECRAFT,276.36,290.91,276.36,280.62,272979
14-01-19,STYLECRAFT,286.55,286.55,277.27,278.4,213188
15-01-19,STYLECRAFT,280.69,280.69,276.36,276.73,180208
16-01-19,STYLECRAFT,280,283.09,276.44,279.75,159030
17-01-19,STYLECRAFT,282.36,282.36,278.07,278.22,106840
20-01-19,STYLECRAFT,279.6,279.6,269.45,271.67,162731
21-01-19,STYLECRAFT,272.69,277.85,271.89,272.22,101046
22-01-19,STYLECRAFT,272.22,275.64,270.18,270.62,98612
23-01-19,STYLECRAFT,272.11,274.55,267.35,269.05,116281
24-01-19,STYLECRAFT,272,272,265.49,265.78,103694
27-01-19,STYLECRAFT,267.27,268.65,255.64,258.11,168413
28-01-19,STYLECRAFT,260,261.82,255.64,256.18,118751
29-01-19,STYLECRAFT,261.05,269.42,258.95,268.69,116856
30-01-19,STYLECRAFT,271.56,283.64,270.04,281.35,273136
31-01-19,STYLECRAFT,288.73,289.05,272.73,274.51,171512
02-03-19,STYLECRAFT,278.18,281.82,271.27,273.75,80209
02-04-19,STYLECRAFT,277.96,277.96,270.11,274.15,86859
02-05-19,STYLECRAFT,275.6,280,274.18,275.89,104228
02-06-19,STYLECRAFT,276.73,281.82,276.73,279.89,147576
03-04-19,STYLECRAFT,300.76,303.45,291.27,293.49,136351
03-05-19,STYLECRAFT,292,301.82,292,296.58,138647
03-06-19,STYLECRAFT,296.58,301.09,294.58,295.09,98475
03-07-19,STYLECRAFT,294.95,297.09,292.8,293.6,69003
03-10-19,STYLECRAFT,294.55,297.09,291.24,292.65,67691
03-11-19,STYLECRAFT,292.76,292.8,287.27,288.47,80930
03-12-19,STYLECRAFT,289.09,289.13,277.09,279.31,122331
13-03-19,STYLECRAFT,277.16,295.27,276.8,288.87,121173
14-03-19,STYLECRAFT,290.91,298.44,287.27,290.65,115319
18-03-19,STYLECRAFT,290.91,294.11,281.82,284.07,90327
19-03-19,STYLECRAFT,283.67,286.91,265.45,279.93,70359
20-03-19,STYLECRAFT,280.44,285.78,278.18,281.05,56733
21-03-19,STYLECRAFT,280.4,286.91,274.55,281.67,77061
24-03-19,STYLECRAFT,281.82,286.91,281.82,285.2,95293
25-03-19,STYLECRAFT,287.24,298.18,285.85,293.13,152386
27-03-19,STYLECRAFT,293.27,296.36,291.64,295.27,99858
28-03-19,STYLECRAFT,295.27,299.64,293.05,293.64,109365
31-03-19,STYLECRAFT,293.49,294.36,287.64,289.96,65073
04-01-19,STYLECRAFT,289.82,293.78,284.18,286.47,70111
04-02-19,STYLECRAFT,286.91,290.55,285.09,286.44,60206
04-03-19,STYLECRAFT,287.31,288,281.82,282.25,53254
04-04-19,STYLECRAFT,286.87,286.87,280,283.42,61075
04-07-19,STYLECRAFT,285.45,285.45,278.91,280.04,54456
04-08-19,STYLECRAFT,280.95,282,272,272.84,71525
04-09-19,STYLECRAFT,272.84,272.95,261.82,264.91,81543
04-10-19,STYLECRAFT,267.27,267.27,261.82,262.73,44822
04-11-19,STYLECRAFT,264.65,271.64,264.65,269.42,39388
15-04-19,STYLECRAFT,271.56,275.64,262.91,263.93,51906
16-04-19,STYLECRAFT,264,264,254.36,256.91,77531
17-04-19,STYLECRAFT,259.89,260,247.24,251.02,73865
18-04-19,STYLECRAFT,252,259.16,251.27,258.04,66715
21-04-19,STYLECRAFT,259.82,266.36,259.71,262.04,55877
23-04-19,STYLECRAFT,263.64,263.64,254.55,254.8,45185
24-04-19,STYLECRAFT,255.27,255.27,247.64,248.33,65225
25-04-19,STYLECRAFT,250.4,255.56,249.53,253.71,42584
28-04-19,STYLECRAFT,253.71,253.71,247.45,247.89,55930
29-04-19,STYLECRAFT,248.07,250.87,238.55,239.82,64966
30-04-19,STYLECRAFT,239.85,242.87,236.36,238.65,57387
05-02-19,STYLECRAFT,240,250.55,238.65,248.95,53144
05-05-19,STYLECRAFT,250.91,257.71,250.91,255.35,66715
05-06-19,STYLECRAFT,258.91,259.27,249.93,250.76,54989
05-07-19,STYLECRAFT,252.73,253.64,249.09,249.82,34070
05-08-19,STYLECRAFT,250.15,250.95,245.78,246.62,33963
05-09-19,STYLECRAFT,249.05,249.82,246.62,247.96,30022
05-12-19,STYLECRAFT,251.64,251.64,247.27,247.71,18838
13-05-19,STYLECRAFT,248.15,248.4,241.82,242.73,26488
14-05-19,STYLECRAFT,243.13,245.85,240.36,241.2,18590
15-05-19,STYLECRAFT,241.45,243.6,240.04,240.76,13082
16-05-19,STYLECRAFT,241.82,242.58,240.8,240.95,19036
19-05-19,STYLECRAFT,245.45,245.78,241.82,242.87,24417
20-05-19,STYLECRAFT,243.27,244.07,240,240.36,31017
21-05-19,STYLECRAFT,240.36,241.82,237.09,237.53,23518
22-05-19,STYLECRAFT,238.76,241.09,237.09,237.96,25033
23-05-19,STYLECRAFT,238.07,240,234.55,235.2,33787
26-05-19,STYLECRAFT,235.42,236.8,232,233.16,48441
27-05-19,STYLECRAFT,233.45,234.51,229.09,229.85,33547
28-05-19,STYLECRAFT,232.04,237.09,231.42,235.93,28284
29-05-19,STYLECRAFT,240,240,236.58,238.4,41173
30-05-19,STYLECRAFT,238.55,238.91,233.89,234.44,35687
06-09-19,STYLECRAFT,238.36,245.42,236.55,242.55,34771
06-10-19,STYLECRAFT,243.6,250.91,243.27,247.09,59521
06-11-19,STYLECRAFT,249.09,254.36,248.25,252.33,63525
06-12-19,STYLECRAFT,254.15,255.93,248.76,249.49,47292
13-06-19,STYLECRAFT,249.09,251.64,248,248.47,36539
16-06-19,STYLECRAFT,250.18,253.82,247.64,249.75,59887
17-06-19,STYLECRAFT,249.75,259.64,249.75,251.05,72350
18-06-19,STYLECRAFT,252.73,254.4,249.45,250.36,34837
19-06-19,STYLECRAFT,250.95,250.98,247.64,248.55,42133
20-06-19,STYLECRAFT,249.09,249.09,246.58,247.16,33448
23-06-19,STYLECRAFT,248.36,248.36,241.82,243.02,28375
24-06-19,STYLECRAFT,244.36,244.36,240.11,240.65,28311
25-06-19,STYLECRAFT,240,242.44,240,240.65,31587
26-06-19,STYLECRAFT,243.6,243.6,240.36,241.38,32959
27-06-19,STYLECRAFT,241.82,244.47,240.8,241.45,21662
30-06-19,STYLECRAFT,242.22,243.45,239.27,240.18,26782
07-02-19,STYLECRAFT,240.36,240.36,236,236.95,45427
07-03-19,STYLECRAFT,237.67,240.73,233.45,233.67,43574
07-04-19,STYLECRAFT,233.67,235.24,232,233.75,24065
07-07-19,STYLECRAFT,233.85,234.44,229.09,230.04,47979
07-08-19,STYLECRAFT,229.85,229.85,220,222.95,65497
07-09-19,STYLECRAFT,221.27,223.27,211.02,213.56,77129
07-10-19,STYLECRAFT,214.55,214.55,197.56,200.58,117645
07-11-19,STYLECRAFT,201.67,210.91,201.56,210.18,86188
14-07-19,STYLECRAFT,210.33,216.36,207.27,207.45,58682
15-07-19,STYLECRAFT,207.45,207.45,200,200.87,37620
16-07-19,STYLECRAFT,201.82,206.4,200.73,202.51,23265
17-07-19,STYLECRAFT,201.89,206.18,201.09,201.56,17347
18-07-19,STYLECRAFT,205.13,205.13,200.8,201.09,27368
29-07-19,STYLECRAFT,196.36,206.76,196.36,206.76,72762
30-07-19,STYLECRAFT,210.87,222.25,210.87,221.45,242319
31-07-19,STYLECRAFT,221.82,238.04,221.82,238.04,132022
08-01-19,STYLECRAFT,250.91,255.89,248.73,255.89,201176
08-04-19,STYLECRAFT,275.05,275.05,261.82,275.05,277195
08-05-19,STYLECRAFT,280,282.18,254.55,279.2,392843
08-06-19,STYLECRAFT,286.18,294.55,281.82,287.13,235106
08-07-19,STYLECRAFT,296.36,296.36,269.09,271.31,195500
08-08-19,STYLECRAFT,269.82,274.55,262.55,269.6,122705
18-08-19,STYLECRAFT,270.55,274.91,265.45,267.6,111546
19-08-19,STYLECRAFT,267.67,286.87,267.67,283.6,213466
20-08-19,STYLECRAFT,286.55,293.75,279.93,283.09,239069
21-08-19,STYLECRAFT,283.09,285.09,276.36,276.76,141026
22-08-19,STYLECRAFT,276.36,278.91,273.09,274.58,87758
25-08-19,STYLECRAFT,276.36,276.4,265.67,266.58,132187
26-08-19,STYLECRAFT,267.27,268.98,257.09,262.11,114260
27-08-19,STYLECRAFT,260,280,260,278.58,119955
28-08-19,STYLECRAFT,276.73,284.55,273.13,275.02,210064
29-08-19,STYLECRAFT,275.64,277.82,270.98,273.16,114516
09-01-19,STYLECRAFT,272.76,281.64,269.64,278.4,143608
09-02-19,STYLECRAFT,281.82,294.55,280.36,293.56,508016
15-09-19,STYLECRAFT,309.09,314.55,295.89,295.89,204311
17-09-19,STYLECRAFT,320,327.27,292,295.45,360572
18-09-19,STYLECRAFT,294.55,303.64,281.45,283.42,263150
19-09-19,STYLECRAFT,283.67,285.45,263.64,268.76,201556
22-09-19,STYLECRAFT,265.13,285.64,257.93,282.95,198209
23-09-19,STYLECRAFT,285.45,290.95,276.36,278.84,145951
24-09-19,STYLECRAFT,278.07,282.51,269.05,269.6,135743
25-09-19,STYLECRAFT,269.6,274.15,264.44,266.95,117211
26-09-19,STYLECRAFT,270.91,285.56,269.09,284.58,162863
29-09-19,STYLECRAFT,287.27,301.38,287.27,292.62,253872
30-09-19,STYLECRAFT,292.73,295.64,270.91,272.11,348483
10-01-19,STYLECRAFT,272.69,280.4,272.29,276.98,372540
10-02-19,STYLECRAFT,278.55,280,272.07,273.05,201680
10-03-19,STYLECRAFT,273.56,276,268.15,269.56,164662
10-06-19,STYLECRAFT,270.18,272.36,264.73,265.89,142082
10-07-19,STYLECRAFT,267.27,274.51,264.73,265.89,278341
10-09-19,STYLECRAFT,267.64,270.84,255.02,255.82,222866
10-10-19,STYLECRAFT,256.73,259.24,246.18,247.53,191450
13-10-19,STYLECRAFT,247.64,250.51,235.64,236.98,143718
14-10-19,STYLECRAFT,237.45,240,227.27,228.69,150189
15-10-19,STYLECRAFT,232.73,245.78,231.42,241.53,175673
16-10-19,STYLECRAFT,245.09,248,230.15,232.95,180623
17-10-19,STYLECRAFT,234.07,234.11,221.82,224.33,190930
20-10-19,STYLECRAFT,224.76,224.76,207.53,209.56,192247
29-10-19,STYLECRAFT,197.82,209.53,196.36,209.53,186469
30-10-19,STYLECRAFT,309.09,309.09,254.55,269.45,981032
31-10-19,STYLECRAFT,269.27,275.64,261.85,264.36,333504
11-03-19,STYLECRAFT,265.45,267.93,248,249.09,347919
11-04-19,STYLECRAFT,249.09,249.09,238.18,242.8,218881
11-05-19,STYLECRAFT,243.64,253.82,242.8,251.02,153670
11-06-19,STYLECRAFT,253.09,254.55,245.45,246.29,178998
11-07-19,STYLECRAFT,245.09,248,242.51,243.49,137679
11-11-19,STYLECRAFT,244.07,246.91,238.76,241.27,103766
11-12-19,STYLECRAFT,241.31,244.55,238.91,240.11,100661
13-11-19,STYLECRAFT,241.82,242.36,236.51,237.02,109772
14-11-19,STYLECRAFT,238.18,250.91,235.31,246.62,151352
17-11-19,STYLECRAFT,248,250.18,237.82,246.98,197942
18-11-19,STYLECRAFT,247.67,261.78,247.64,260.62,308633
19-11-19,STYLECRAFT,261.82,268.69,260.36,262.8,290579
