DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,ACTIVEFINE,27.4,27.9,27.3,27.8,550872
24-12-18,ACTIVEFINE,27.8,28.2,27.6,28,647765
26-12-18,ACTIVEFINE,28.2,28.4,27.8,28,689080
27-12-18,ACTIVEFINE,28.1,28.2,27.7,28,709628
01-01-19,ACTIVEFINE,28.2,29.2,27.8,28.8,945820
01-02-19,ACTIVEFINE,28.8,29.5,28.3,29.3,1851320
01-03-19,ACTIVEFINE,29.3,31.3,28.9,30.8,2571260
01-06-19,ACTIVEFINE,31,31.2,30.3,30.8,2959580
01-07-19,ACTIVEFINE,30.9,31.2,30.4,30.7,3117920
01-08-19,ACTIVEFINE,30.7,32.2,30.2,31.8,5377040
01-09-19,ACTIVEFINE,31.9,32,29.4,29.9,9562210
01-10-19,ACTIVEFINE,29.8,30.2,29.4,29.6,5303080
13-01-19,ACTIVEFINE,30.1,30.5,29.7,30.2,3080430
14-01-19,ACTIVEFINE,30.3,31.2,30.3,31,5760910
15-01-19,ACTIVEFINE,31.2,31.6,31.1,31.4,6997550
16-01-19,ACTIVEFINE,31.6,31.6,30.4,30.6,3334930
17-01-19,ACTIVEFINE,30.6,30.6,29.3,29.5,6272850
20-01-19,ACTIVEFINE,29.6,29.7,28.8,29.4,2669040
21-01-19,ACTIVEFINE,29.4,30.2,29.3,29.8,1830530
22-01-19,ACTIVEFINE,29.8,30,29,29.2,1787910
23-01-19,ACTIVEFINE,29.7,29.7,28.6,28.7,2819590
24-01-19,ACTIVEFINE,28.7,29.1,28,28.8,3527750
27-01-19,ACTIVEFINE,29.2,29.3,28.5,28.6,2573070
28-01-19,ACTIVEFINE,28.6,29.2,28.6,28.7,2004010
29-01-19,ACTIVEFINE,28.7,28.8,28.3,28.4,1241570
30-01-19,ACTIVEFINE,28.9,30.1,28.9,29.4,3999700
31-01-19,ACTIVEFINE,29.6,29.7,28.9,29,1211150
02-03-19,ACTIVEFINE,29.3,29.4,28.4,28.5,1944720
02-04-19,ACTIVEFINE,28.9,28.9,28.5,28.6,1192030
02-05-19,ACTIVEFINE,28.9,28.9,28.3,28.4,887564
02-06-19,ACTIVEFINE,28.4,28.7,28.3,28.5,792806
02-07-19,ACTIVEFINE,28.5,28.7,28.2,28.3,1226620
02-10-19,ACTIVEFINE,28.3,28.3,27.8,27.9,1209760
02-11-19,ACTIVEFINE,28.2,28.3,27.8,28,953059
02-12-19,ACTIVEFINE,28,28.5,27.9,28.4,1156850
13-02-19,ACTIVEFINE,28.7,29.5,28.5,29.2,2154500
14-02-19,ACTIVEFINE,29.2,29.2,28.8,28.9,1252350
17-02-19,ACTIVEFINE,29.1,29.3,28.3,28.5,1091110
18-02-19,ACTIVEFINE,28.5,28.9,28.2,28.3,898684
19-02-19,ACTIVEFINE,28.3,28.7,28.2,28.3,742794
20-02-19,ACTIVEFINE,28.2,28.6,28.2,28.2,546096
24-02-19,ACTIVEFINE,28.2,28.2,27.9,28,731519
25-02-19,ACTIVEFINE,28,28.1,27.8,27.9,566451
26-02-19,ACTIVEFINE,28,28.2,27.8,27.9,474548
27-02-19,ACTIVEFINE,27.9,28.1,27.7,27.8,868523
03-03-19,ACTIVEFINE,27.8,28.2,27.6,27.9,1321270
03-04-19,ACTIVEFINE,27.9,28.2,27.5,27.7,1075080
03-05-19,ACTIVEFINE,27.9,27.9,27.5,27.6,519500
03-06-19,ACTIVEFINE,27.7,27.8,27.4,27.4,746359
03-07-19,ACTIVEFINE,27.6,27.9,27.2,27.7,925503
03-10-19,ACTIVEFINE,27.7,28.1,27.6,27.7,480212
03-11-19,ACTIVEFINE,27.8,27.8,27.5,27.5,524192
03-12-19,ACTIVEFINE,27.5,27.5,27.1,27.2,481151
13-03-19,ACTIVEFINE,27.3,27.4,26.8,27,606575
14-03-19,ACTIVEFINE,27.1,27.1,25.8,26.1,601528
18-03-19,ACTIVEFINE,26.3,26.3,25.3,25.6,533140
19-03-19,ACTIVEFINE,25.9,26.7,25.7,26.5,496404
20-03-19,ACTIVEFINE,26.5,26.7,26.3,26.3,359259
21-03-19,ACTIVEFINE,26.4,26.4,25.8,25.9,333144
24-03-19,ACTIVEFINE,25.9,26.2,25.8,26,429408
25-03-19,ACTIVEFINE,26.1,26.4,25.9,26.3,613396
27-03-19,ACTIVEFINE,26.4,26.5,26,26.2,228421
28-03-19,ACTIVEFINE,26.2,26.4,26.1,26.3,318390
31-03-19,ACTIVEFINE,26.4,26.4,25.9,26.2,457391
04-01-19,ACTIVEFINE,26.3,26.3,25.9,26,250123
04-02-19,ACTIVEFINE,26.1,26.3,26,26.2,183408
04-03-19,ACTIVEFINE,26.3,26.4,25.7,25.8,463466
04-04-19,ACTIVEFINE,25.8,26.2,25.4,25.7,472664
04-07-19,ACTIVEFINE,25.8,25.8,25.4,25.5,180615
04-08-19,ACTIVEFINE,25.4,25.5,24.8,24.9,392635
04-09-19,ACTIVEFINE,25,25,24,24.4,512413
04-10-19,ACTIVEFINE,24.4,24.5,23.5,23.7,428566
