DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,CNATEX,3.9,4.1,3.9,4,238964
24-12-18,CNATEX,4.1,4.2,4,4.1,260233
26-12-18,CNATEX,4,4.2,4,4.1,252395
27-12-18,CNATEX,4.1,4.2,4,4.1,289473
01-01-19,CNATEX,4.2,4.3,4,4.3,517870
01-02-19,CNATEX,4.3,4.7,4.3,4.7,1489860
01-03-19,CNATEX,4.8,5.1,4.8,5.1,2351800
01-06-19,CNATEX,5.3,5.6,5.3,5.4,2858390
01-07-19,CNATEX,5.7,5.8,5.3,5.3,1410140
01-08-19,CNATEX,5.4,5.7,5.3,5.5,1737420
01-09-19,CNATEX,5.5,5.7,5.4,5.4,1090120
01-10-19,CNATEX,5.4,5.5,5.2,5.4,883663
13-01-19,CNATEX,5.4,5.5,5.3,5.4,515479
14-01-19,CNATEX,5.4,5.5,5.2,5.3,482516
15-01-19,CNATEX,5.3,5.3,4.9,5,792799
16-01-19,CNATEX,5,5,4.7,4.9,507391
17-01-19,CNATEX,4.5,5,4.5,4.8,955941
20-01-19,CNATEX,4.8,4.8,4.5,4.7,642601
21-01-19,CNATEX,4.7,4.8,4.5,4.6,679455
22-01-19,CNATEX,4.6,4.8,4.5,4.8,429818
23-01-19,CNATEX,4.8,4.8,4.6,4.7,287847
24-01-19,CNATEX,4.8,4.9,4.7,4.7,539020
27-01-19,CNATEX,4.7,4.9,4.7,4.8,402411
28-01-19,CNATEX,4.8,4.9,4.7,4.8,405854
29-01-19,CNATEX,4.8,4.8,4.6,4.7,424097
30-01-19,CNATEX,4.6,4.7,4.6,4.7,174936
31-01-19,CNATEX,4.6,4.7,4.5,4.6,234015
02-03-19,CNATEX,4.6,4.6,4.4,4.4,430669
02-04-19,CNATEX,4.3,4.5,4.3,4.4,207296
02-05-19,CNATEX,4.4,4.5,4.3,4.4,413644
02-06-19,CNATEX,4.5,4.5,4.3,4.3,240405
02-07-19,CNATEX,4.3,4.4,4.1,4.1,772318
02-10-19,CNATEX,4.1,4.2,4,4.1,356993
02-11-19,CNATEX,4.1,4.3,4.1,4.3,174160
02-12-19,CNATEX,4.4,4.5,4.3,4.4,216566
13-02-19,CNATEX,4.4,4.4,4,4.2,358538
14-02-19,CNATEX,4.2,4.3,4,4.2,244072
17-02-19,CNATEX,4.4,4.4,4.2,4.2,194336
18-02-19,CNATEX,4.2,4.3,4,4.1,431338
19-02-19,CNATEX,4,4.2,4,4.1,315694
20-02-19,CNATEX,4.1,4.2,4,4.1,617347
24-02-19,CNATEX,4.1,4.1,4,4,193224
25-02-19,CNATEX,4,4.1,3.8,3.9,476829
26-02-19,CNATEX,3.9,4,3.7,3.8,483129
27-02-19,CNATEX,3.8,3.9,3.7,3.8,525743
03-03-19,CNATEX,3.9,3.9,3.8,3.9,131292
03-04-19,CNATEX,4,4,3.7,3.7,442469
03-05-19,CNATEX,3.6,3.7,3.4,3.6,1653360
03-06-19,CNATEX,3.5,3.7,3.5,3.6,304405
03-07-19,CNATEX,3.6,3.7,3.5,3.6,203605
03-10-19,CNATEX,3.7,3.7,3.5,3.6,174892
03-11-19,CNATEX,3.6,3.7,3.5,3.5,308308
03-12-19,CNATEX,3.6,3.6,3.5,3.6,172704
13-03-19,CNATEX,3.6,3.6,3.3,3.4,715493
14-03-19,CNATEX,3.4,3.5,3.3,3.4,698063
18-03-19,CNATEX,3.4,3.6,3.3,3.4,324131
19-03-19,CNATEX,3.4,3.5,3.3,3.3,418313
20-03-19,CNATEX,3.3,3.4,3.3,3.4,328790
21-03-19,CNATEX,3.4,3.4,3.3,3.4,283637
24-03-19,CNATEX,3.3,3.5,3.3,3.4,133770
25-03-19,CNATEX,3.4,3.5,3.3,3.4,167462
27-03-19,CNATEX,3.4,3.4,3.1,3.2,530162
28-03-19,CNATEX,3.2,3.3,3.1,3.2,213117
31-03-19,CNATEX,3.2,3.4,3.2,3.3,172202
04-01-19,CNATEX,3.3,3.4,3.3,3.4,143102
04-02-19,CNATEX,3.4,3.4,3.3,3.3,321134
04-03-19,CNATEX,3.3,3.4,3.2,3.3,220564
04-04-19,CNATEX,3.3,3.3,3.2,3.3,295523
04-07-19,CNATEX,3.3,3.3,3.1,3.1,304793
04-08-19,CNATEX,3.1,3.2,2.9,3,721506
04-09-19,CNATEX,3,3,2.8,2.9,332282
04-10-19,CNATEX,2.9,3,2.7,2.8,565829
04-11-19,CNATEX,2.9,3,2.8,2.9,258879
15-04-19,CNATEX,3,3.1,3,3.1,90810
16-04-19,CNATEX,3.2,3.3,3.1,3.1,324485
17-04-19,CNATEX,3.2,3.2,3,3.1,296658
18-04-19,CNATEX,3.1,3.2,3.1,3.1,83638
21-04-19,CNATEX,3.2,3.2,3.1,3.1,87965
23-04-19,CNATEX,3.1,3.2,3,3,122436
24-04-19,CNATEX,3,3.1,2.9,3.1,130728
25-04-19,CNATEX,3,3.1,3,3,105109
28-04-19,CNATEX,3,3,2.9,2.9,150718
29-04-19,CNATEX,3,3,2.9,3,219935
30-04-19,CNATEX,2.9,3,2.9,3,175341
05-02-19,CNATEX,3,3.2,3,3.2,275278
05-05-19,CNATEX,3.2,3.4,3.1,3.3,423720
05-06-19,CNATEX,3.4,3.4,3.2,3.2,285010
05-07-19,CNATEX,3.2,3.2,3.1,3.1,155513
05-08-19,CNATEX,3.1,3.1,3,3.1,213660
05-09-19,CNATEX,3,3.2,3,3.1,72582
05-12-19,CNATEX,3.1,3.2,3,3.2,84392
13-05-19,CNATEX,3.2,3.3,3,3,385927
14-05-19,CNATEX,3,3.1,3,3,99033
15-05-19,CNATEX,3.1,3.1,3,3.1,136256
16-05-19,CNATEX,3,3.2,3,3.1,123535
19-05-19,CNATEX,3.2,3.3,3.2,3.2,302892
20-05-19,CNATEX,3.1,3.2,3.1,3.1,61260
21-05-19,CNATEX,3.1,3.2,3,3.1,104824
22-05-19,CNATEX,3.1,3.1,3,3.1,38660
23-05-19,CNATEX,3.1,3.2,3,3.1,106660
