DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DELTASPINN,6.2,6.3,6.2,6.3,253905
24-12-18,DELTASPINN,6.3,6.3,6.2,6.2,35009
26-12-18,DELTASPINN,6.2,6.4,6.2,6.2,200586
27-12-18,DELTASPINN,6.3,6.4,6.2,6.2,169788
01-01-19,DELTASPINN,6.3,6.5,6.3,6.3,439081
01-02-19,DELTASPINN,6.3,6.7,6.3,6.6,760575
01-03-19,DELTASPINN,6.6,6.9,6.6,6.8,792004
01-06-19,DELTASPINN,6.8,7.4,6.8,7.4,1675380
01-07-19,DELTASPINN,7.6,8.1,7.5,8.1,4387450
01-08-19,DELTASPINN,7.5,7.7,7.3,7.3,493462
01-09-19,DELTASPINN,6.6,7,6.6,6.7,1949570
01-10-19,DELTASPINN,6.7,7.3,6.7,7.1,1040760
13-01-19,DELTASPINN,7.2,7.8,7.2,7.6,1271750
14-01-19,DELTASPINN,7.6,8,7.6,7.6,816552
15-01-19,DELTASPINN,7.7,8,7.7,7.8,716370
16-01-19,DELTASPINN,8,8.1,7.7,7.8,657569
17-01-19,DELTASPINN,7.8,7.9,7.7,7.8,231602
20-01-19,DELTASPINN,7.7,8,7.7,7.9,196009
21-01-19,DELTASPINN,7.9,7.9,7.8,7.8,250807
22-01-19,DELTASPINN,7.8,7.8,7.4,7.5,476946
23-01-19,DELTASPINN,7.5,7.6,7.4,7.4,242321
24-01-19,DELTASPINN,7.4,7.8,7.3,7.4,618815
27-01-19,DELTASPINN,7.5,7.6,7.3,7.5,144718
28-01-19,DELTASPINN,7.4,7.6,7.4,7.6,267806
29-01-19,DELTASPINN,7.6,7.7,7.5,7.5,205860
30-01-19,DELTASPINN,7.5,7.6,7.3,7.3,321044
31-01-19,DELTASPINN,7.4,7.4,7.1,7.2,193415
02-03-19,DELTASPINN,7.2,7.4,7,7,184883
02-04-19,DELTASPINN,7.3,7.5,7.2,7.3,122292
02-05-19,DELTASPINN,7.4,7.6,7.3,7.4,203682
02-06-19,DELTASPINN,7.4,7.6,7.2,7.3,266566
02-07-19,DELTASPINN,7.2,7.3,7.2,7.2,179639
02-10-19,DELTASPINN,7.3,7.3,7,7,84197
02-11-19,DELTASPINN,7.1,7.3,7.1,7.1,169770
02-12-19,DELTASPINN,7.2,7.2,7.1,7.1,113826
13-02-19,DELTASPINN,7,7.1,6.9,7,147935
14-02-19,DELTASPINN,7,7.1,6.9,6.9,191864
17-02-19,DELTASPINN,6.9,7.1,6.9,6.9,122016
18-02-19,DELTASPINN,7,7.1,6.9,7,136740
19-02-19,DELTASPINN,7.1,7.1,6.9,6.9,144545
20-02-19,DELTASPINN,7,7.1,6.9,7.1,306545
24-02-19,DELTASPINN,7,7.1,6.7,6.7,946207
25-02-19,DELTASPINN,6.7,6.9,6.7,6.8,157402
26-02-19,DELTASPINN,6.8,6.9,6.7,6.7,305416
27-02-19,DELTASPINN,6.8,6.9,6.7,6.7,143533
03-03-19,DELTASPINN,6.8,6.9,6.8,6.8,29500
03-04-19,DELTASPINN,6.9,6.9,6.8,6.9,113537
03-05-19,DELTASPINN,6.9,6.9,6.8,6.9,111979
03-06-19,DELTASPINN,6.9,6.9,6.8,6.8,58420
03-07-19,DELTASPINN,6.8,6.9,6.7,6.7,133063
03-10-19,DELTASPINN,6.8,6.9,6.8,6.8,100998
03-11-19,DELTASPINN,6.9,7.1,6.8,7,372890
03-12-19,DELTASPINN,7.1,7.3,7,7,330327
13-03-19,DELTASPINN,7.1,7.2,6.8,6.8,239572
14-03-19,DELTASPINN,6.9,6.9,6.6,6.7,89794
18-03-19,DELTASPINN,6.7,6.8,6.3,6.4,127560
19-03-19,DELTASPINN,6.4,6.5,6.2,6.3,284152
20-03-19,DELTASPINN,6.3,6.6,6.3,6.3,53000
21-03-19,DELTASPINN,6.3,6.4,6.2,6.3,95741
24-03-19,DELTASPINN,6.3,6.4,6.2,6.2,120989
25-03-19,DELTASPINN,6.3,6.6,6.3,6.5,99833
27-03-19,DELTASPINN,6.4,6.5,6.4,6.4,67601
28-03-19,DELTASPINN,6.4,6.6,6.4,6.5,45101
31-03-19,DELTASPINN,6.5,6.5,6.2,6.3,56728
04-01-19,DELTASPINN,6.3,6.3,6.2,6.2,62559
04-02-19,DELTASPINN,6.3,6.4,6.3,6.3,47870
04-03-19,DELTASPINN,6.3,6.3,6.2,6.2,86471
04-04-19,DELTASPINN,6.2,6.3,6,6.3,142395
04-07-19,DELTASPINN,6.2,6.3,6.1,6.2,77755
04-08-19,DELTASPINN,6.3,6.3,6.1,6.1,163463
04-09-19,DELTASPINN,6,6.2,6,6.1,72302
04-10-19,DELTASPINN,6.1,6.2,6,6,53809
04-11-19,DELTASPINN,6.1,6.1,6,6,39420
15-04-19,DELTASPINN,6.2,6.4,6.2,6.2,93600
16-04-19,DELTASPINN,6.2,6.2,6.1,6.1,24690
17-04-19,DELTASPINN,6.1,6.1,6,6,64518
18-04-19,DELTASPINN,6.2,6.2,6,6.1,35723
21-04-19,DELTASPINN,6.2,6.3,6.2,6.3,54247
23-04-19,DELTASPINN,6.2,6.2,6.1,6.1,43230
24-04-19,DELTASPINN,6.1,6.3,6,6.1,35556
25-04-19,DELTASPINN,6.1,6.2,6.1,6.1,24878
28-04-19,DELTASPINN,6,6.1,6,6,30760
29-04-19,DELTASPINN,6,6,5.9,5.9,27836
30-04-19,DELTASPINN,6.1,6.1,5.9,5.9,98323
05-02-19,DELTASPINN,6,6,5.9,6,60911
05-05-19,DELTASPINN,6.2,6.3,6.1,6.2,27431
05-06-19,DELTASPINN,6.4,6.4,6.1,6.2,38335
05-07-19,DELTASPINN,6.1,6.2,6.1,6.2,36150
05-08-19,DELTASPINN,6.1,6.1,6,6.1,13994
05-09-19,DELTASPINN,6,6.1,6,6.1,32149
05-12-19,DELTASPINN,6.2,6.7,6.2,6.3,152638
13-05-19,DELTASPINN,6.3,6.5,6.2,6.2,57624
14-05-19,DELTASPINN,6.2,6.3,6.1,6.1,71142
15-05-19,DELTASPINN,6.2,6.2,6.1,6.1,18397
16-05-19,DELTASPINN,6.1,6.2,6.1,6.1,41076
19-05-19,DELTASPINN,6.2,6.7,6.2,6.4,238697
20-05-19,DELTASPINN,6.3,6.3,6.2,6.3,4501
21-05-19,DELTASPINN,6.3,6.3,6.2,6.2,40134
22-05-19,DELTASPINN,6.2,6.3,6.2,6.2,36267
23-05-19,DELTASPINN,6.1,6.4,6.1,6.3,67258
26-05-19,DELTASPINN,6.3,6.3,6.1,6.2,81162
27-05-19,DELTASPINN,6.2,6.2,6.1,6.1,19028
28-05-19,DELTASPINN,6.2,6.4,6.2,6.3,42809
29-05-19,DELTASPINN,6.3,6.3,6.2,6.2,69100
30-05-19,DELTASPINN,6.2,6.4,6.2,6.3,84890
06-09-19,DELTASPINN,6.3,6.3,6.2,6.2,65930
06-10-19,DELTASPINN,6.2,6.4,6.2,6.3,34315
06-11-19,DELTASPINN,6.3,6.4,6.3,6.3,76564
06-12-19,DELTASPINN,6.3,6.4,6.1,6.2,145091
13-06-19,DELTASPINN,6.2,6.4,6.2,6.3,122548
16-06-19,DELTASPINN,6.3,6.4,6.2,6.3,82721
17-06-19,DELTASPINN,6.3,6.4,6.3,6.3,127276
18-06-19,DELTASPINN,6.3,6.4,6.2,6.4,273756
19-06-19,DELTASPINN,6.4,6.4,6.3,6.4,155476
20-06-19,DELTASPINN,6.4,6.5,6.4,6.5,234331
23-06-19,DELTASPINN,6.5,6.5,6.3,6.3,187789
24-06-19,DELTASPINN,6.4,6.5,6.4,6.5,206292
25-06-19,DELTASPINN,6.4,6.4,6.3,6.3,73578
26-06-19,DELTASPINN,6.3,6.5,6.3,6.3,222649
27-06-19,DELTASPINN,6.3,6.5,6.3,6.5,91540
30-06-19,DELTASPINN,6.4,6.6,6.4,6.6,176471
07-02-19,DELTASPINN,6.5,6.6,6.4,6.6,120837
07-03-19,DELTASPINN,6.6,6.6,6.5,6.6,101523
07-04-19,DELTASPINN,6.6,6.6,6.5,6.6,92667
07-07-19,DELTASPINN,6.6,6.9,6.6,6.7,277534
07-08-19,DELTASPINN,6.6,6.6,6.5,6.6,136504
07-09-19,DELTASPINN,6.5,6.5,6.4,6.4,183839
07-10-19,DELTASPINN,6.3,6.3,6.1,6.1,184153
07-11-19,DELTASPINN,6.1,6.2,6,6.1,112960
14-07-19,DELTASPINN,6,6.1,5.5,5.8,140197
15-07-19,DELTASPINN,5.7,5.8,5.4,5.5,148421
16-07-19,DELTASPINN,5.5,5.6,5.4,5.4,91508
17-07-19,DELTASPINN,5.5,5.6,5.3,5.4,188837
18-07-19,DELTASPINN,5.3,5.3,4.9,4.9,102618
21-07-19,DELTASPINN,4.8,4.8,4.5,4.5,252120
22-07-19,DELTASPINN,4.1,4.3,4.1,4.3,434845
23-07-19,DELTASPINN,4.2,4.7,4.2,4.7,131428
24-07-19,DELTASPINN,4.6,4.7,4.3,4.4,253155
25-07-19,DELTASPINN,4.4,4.8,4.3,4.8,125542
28-07-19,DELTASPINN,4.8,4.9,4.7,4.8,97824
29-07-19,DELTASPINN,4.9,5,4.8,5,41902
30-07-19,DELTASPINN,5,5.1,4.8,4.9,55179
31-07-19,DELTASPINN,4.9,5,4.9,4.9,77843
08-01-19,DELTASPINN,4.8,4.8,4.5,4.6,131409
08-04-19,DELTASPINN,4.5,4.6,4.4,4.5,54350
08-05-19,DELTASPINN,4.5,4.5,4.3,4.4,47605
08-06-19,DELTASPINN,4.4,4.5,4.2,4.3,116362
08-07-19,DELTASPINN,4.3,4.4,4.3,4.3,146638
08-08-19,DELTASPINN,4.3,4.4,4.3,4.4,60196
18-08-19,DELTASPINN,4.5,4.8,4.5,4.7,63750
19-08-19,DELTASPINN,4.7,4.8,4.4,4.5,38434
20-08-19,DELTASPINN,4.6,4.9,4.6,4.9,270515
21-08-19,DELTASPINN,5,5.3,5,5.3,327974
