DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,EMERALDOIL,13.1,14.4,13.1,14.4,564814
24-12-18,EMERALDOIL,14.5,15.5,13.6,14.1,574671
26-12-18,EMERALDOIL,14.1,14.5,13.5,14.3,237411
27-12-18,EMERALDOIL,15,15.4,14.3,15.1,424528
01-01-19,EMERALDOIL,15.5,16.6,15.4,16.6,314327
01-02-19,EMERALDOIL,16.9,18.2,16.4,16.5,704423
01-03-19,EMERALDOIL,17.9,18.1,17,18.1,450580
01-06-19,EMERALDOIL,18.5,18.9,16.9,17.2,428157
01-07-19,EMERALDOIL,17.8,17.8,16.9,17.1,510533
01-08-19,EMERALDOIL,17.3,18.6,17.1,18.1,352483
01-09-19,EMERALDOIL,18.1,19.9,18.1,19.9,423536
01-10-19,EMERALDOIL,21,21.8,21,21.8,285779
13-01-19,EMERALDOIL,23.9,23.9,21.7,23.9,1979790
14-01-19,EMERALDOIL,26,26.2,23.1,24.2,1221770
15-01-19,EMERALDOIL,25,25.7,22.1,22.6,576982
16-01-19,EMERALDOIL,23.8,24.7,21.2,22.3,684999
17-01-19,EMERALDOIL,22.9,24.5,22.3,24.4,632672
20-01-19,EMERALDOIL,24.7,26.8,24.7,26.6,856718
21-01-19,EMERALDOIL,27,28.2,26.6,27.3,523480
22-01-19,EMERALDOIL,28.3,28.4,26.2,26.6,338546
23-01-19,EMERALDOIL,26.6,28.2,26.6,27.7,557495
24-01-19,EMERALDOIL,28,28.5,27,27.1,423270
27-01-19,EMERALDOIL,27.4,27.4,24.4,24.6,460876
28-01-19,EMERALDOIL,24.2,24.2,22.2,22.2,304885
29-01-19,EMERALDOIL,22,23,20,21.3,497797
30-01-19,EMERALDOIL,21.9,21.9,19.9,20.7,174626
31-01-19,EMERALDOIL,21,22.7,21,22.7,108050
02-03-19,EMERALDOIL,24.9,24.9,24.9,24.9,91487
02-04-19,EMERALDOIL,27.3,27.3,26.3,26.9,1096350
02-05-19,EMERALDOIL,26.9,26.9,25.2,25.5,445191
02-06-19,EMERALDOIL,25,27.4,25,25.6,213595
02-07-19,EMERALDOIL,26,26.5,25.8,26,223451
02-10-19,EMERALDOIL,26.9,26.9,25.7,26.4,322458
02-11-19,EMERALDOIL,26.2,26.3,24.5,25.3,317974
02-12-19,EMERALDOIL,25.6,27.5,24,25.1,445642
13-02-19,EMERALDOIL,24,24.9,23.1,24.6,132358
14-02-19,EMERALDOIL,24.5,24.6,22.7,22.9,282871
17-02-19,EMERALDOIL,23.2,23.2,20.7,20.8,522454
18-02-19,EMERALDOIL,21.1,22.8,21.1,22.8,123482
19-02-19,EMERALDOIL,24,25,24,25,248752
20-02-19,EMERALDOIL,26.4,26.5,22.7,23.3,441644
24-02-19,EMERALDOIL,23.1,23.1,21,21.4,480779
25-02-19,EMERALDOIL,22.2,22.2,19.3,20.2,1003150
26-02-19,EMERALDOIL,20,20,18.2,18.2,957192
27-02-19,EMERALDOIL,16.4,16.7,16.4,16.4,806383
03-03-19,EMERALDOIL,15,18,15,17.9,327331
03-04-19,EMERALDOIL,18.7,19.6,18.1,19.5,296973
03-05-19,EMERALDOIL,19.9,20.3,18.1,19,64249
03-06-19,EMERALDOIL,19.9,19.9,19,19.1,54917
03-07-19,EMERALDOIL,19,19.5,18.1,18.4,78898
03-10-19,EMERALDOIL,19,19.5,18.3,19.3,71152
03-11-19,EMERALDOIL,19.3,19.8,18.8,19.6,77077
03-12-19,EMERALDOIL,19.3,19.3,18.2,18.4,119613
13-03-19,EMERALDOIL,18.1,18.8,18,18.1,91337
14-03-19,EMERALDOIL,18.1,18.2,16.5,16.8,118674
18-03-19,EMERALDOIL,17.2,17.2,16.3,16.4,94559
19-03-19,EMERALDOIL,17.7,17.7,15.2,15.9,36946
20-03-19,EMERALDOIL,16.6,16.6,15.6,16,31303
21-03-19,EMERALDOIL,17.2,17.2,15.7,16.1,36510
24-03-19,EMERALDOIL,17.2,17.2,15.9,16.1,15263
25-03-19,EMERALDOIL,16.5,16.7,16.3,16.5,7911
27-03-19,EMERALDOIL,17.1,17.1,15.2,16.3,15660
28-03-19,EMERALDOIL,16.9,16.9,15.9,16,30140
31-03-19,EMERALDOIL,16.4,16.4,15.6,15.7,83529
04-01-19,EMERALDOIL,15.7,15.7,15.2,15.3,60550
04-02-19,EMERALDOIL,15.4,16.4,15.3,16,69156
04-03-19,EMERALDOIL,16.7,16.7,15.9,16.1,11349
04-04-19,EMERALDOIL,15.5,16.7,15.5,16.6,41487
04-07-19,EMERALDOIL,16.6,18.2,16.6,18.2,214533
04-08-19,EMERALDOIL,18.5,19,17.5,17.9,128213
04-09-19,EMERALDOIL,18.3,18.3,17,17.5,44076
04-10-19,EMERALDOIL,17.6,17.8,17.5,17.6,47565
04-11-19,EMERALDOIL,17.7,18,17.5,17.8,23321
15-04-19,EMERALDOIL,18,18.9,17.9,18.1,46491
16-04-19,EMERALDOIL,17.9,17.9,16.5,16.7,41894
17-04-19,EMERALDOIL,16.8,17.5,16.7,17.4,27287
18-04-19,EMERALDOIL,17.5,17.5,16.5,16.9,40942
21-04-19,EMERALDOIL,17.5,17.5,16.2,16.6,21957
23-04-19,EMERALDOIL,17.2,17.2,16.4,16.5,26610
24-04-19,EMERALDOIL,16.7,16.7,15.8,15.9,18364
25-04-19,EMERALDOIL,16.9,16.9,15.5,15.7,30173
28-04-19,EMERALDOIL,15.7,15.8,15,15,58206
29-04-19,EMERALDOIL,15,15,14.3,14.5,97348
30-04-19,EMERALDOIL,14.9,15.3,14.5,15.1,35697
05-02-19,EMERALDOIL,15.4,16.6,15.1,16.6,164237
05-05-19,EMERALDOIL,16.9,18.1,16.9,17.5,66829
05-06-19,EMERALDOIL,17.7,17.7,16.3,16.4,25079
05-07-19,EMERALDOIL,16.7,17,16.5,16.8,16977
05-08-19,EMERALDOIL,17.2,17.2,16.5,16.6,4371
05-09-19,EMERALDOIL,17,17.6,16,16.2,37357
05-12-19,EMERALDOIL,16.4,16.4,15,15.3,55111
13-05-19,EMERALDOIL,16.6,16.6,15,15.3,23001
14-05-19,EMERALDOIL,15.8,16.1,15.4,15.6,6850
15-05-19,EMERALDOIL,16,16,15.4,15.6,27833
16-05-19,EMERALDOIL,16,16,15.3,15.5,10847
19-05-19,EMERALDOIL,15.6,17,15.6,17,128098
20-05-19,EMERALDOIL,17.5,18.7,17.2,18.7,513431
21-05-19,EMERALDOIL,18.7,19.5,18.3,18.6,233364
22-05-19,EMERALDOIL,18,18.9,17.6,18.5,44072
23-05-19,EMERALDOIL,18.5,19.1,18,18.9,96358
26-05-19,EMERALDOIL,18.4,19.3,18.4,19.1,128813
27-05-19,EMERALDOIL,19,19.3,18.4,18.5,47844
28-05-19,EMERALDOIL,19.2,19.2,18.2,18.5,17913
29-05-19,EMERALDOIL,18.2,19,18,18.2,14601
30-05-19,EMERALDOIL,18.5,18.5,17.7,17.9,32031
06-09-19,EMERALDOIL,16.8,18.3,16.8,17.1,64831
06-10-19,EMERALDOIL,17.3,17.7,17,17,40935
06-11-19,EMERALDOIL,17,17.5,16.8,17.4,19670
06-12-19,EMERALDOIL,17,17.5,16.8,17,21725
13-06-19,EMERALDOIL,16.9,17.4,16.6,16.8,39278
16-06-19,EMERALDOIL,16.7,16.9,15.3,15.4,264508
17-06-19,EMERALDOIL,15.9,16.4,15.3,15.6,28169
18-06-19,EMERALDOIL,15.4,16,15.1,15.3,69536
19-06-19,EMERALDOIL,15.6,15.6,15.5,15.6,9964
20-06-19,EMERALDOIL,15.6,16.5,15.6,16,48024
23-06-19,EMERALDOIL,15.5,16.1,15.5,15.8,37829
24-06-19,EMERALDOIL,16,16.2,15.5,15.6,63084
25-06-19,EMERALDOIL,15.6,15.8,14.5,15.3,50892
26-06-19,EMERALDOIL,15.3,15.8,15.1,15.2,33820
27-06-19,EMERALDOIL,15.2,15.8,14.9,15.2,72510
30-06-19,EMERALDOIL,15.8,15.8,15,15.1,5764
07-02-19,EMERALDOIL,15.1,15.1,14.4,14.5,102733
07-03-19,EMERALDOIL,14.6,14.6,13.8,14.3,69623
07-04-19,EMERALDOIL,14.1,14.1,12.9,13.6,69979
07-07-19,EMERALDOIL,13.2,13.5,12.5,12.8,71702
07-08-19,EMERALDOIL,12.7,14,12.6,13.9,96596
07-09-19,EMERALDOIL,14.3,15.1,14.3,14.7,78581
07-10-19,EMERALDOIL,14.2,14.2,13.9,13.9,40742
07-11-19,EMERALDOIL,13.7,14.4,13,14,41771
14-07-19,EMERALDOIL,13.8,13.9,13,13.1,30720
15-07-19,EMERALDOIL,12.4,13.8,11.9,12,60022
16-07-19,EMERALDOIL,12.5,12.5,12,12.2,33493
17-07-19,EMERALDOIL,13.1,13.1,11.7,11.9,26158
18-07-19,EMERALDOIL,11.9,11.9,10.9,11.1,28180
21-07-19,EMERALDOIL,10.5,11.5,10,10,72070
22-07-19,EMERALDOIL,9.5,9.5,9,9,56546
23-07-19,EMERALDOIL,9.1,9.9,9.1,9.9,71054
24-07-19,EMERALDOIL,10.1,10.8,10,10.8,50924
25-07-19,EMERALDOIL,11.4,11.8,11.4,11.8,22595
28-07-19,EMERALDOIL,12.2,12.9,11.5,12.9,186365
29-07-19,EMERALDOIL,13.1,13.5,11.7,11.8,361239
30-07-19,EMERALDOIL,11.8,11.9,11.5,11.8,81529
31-07-19,EMERALDOIL,12,12.6,11.4,11.5,143652
08-01-19,EMERALDOIL,11.5,12.6,11.4,12.6,200078
08-04-19,EMERALDOIL,12.2,13.4,12.2,13.1,145900
08-05-19,EMERALDOIL,13,13.3,12.4,12.7,114730
08-06-19,EMERALDOIL,13.3,13.3,12.3,12.4,59053
08-07-19,EMERALDOIL,12.9,12.9,11.3,11.7,59782
08-08-19,EMERALDOIL,11.8,12.2,11,11.1,153112
18-08-19,EMERALDOIL,11.7,12.2,11.7,12.2,40981
19-08-19,EMERALDOIL,12.4,13.1,12.4,12.9,82342
20-08-19,EMERALDOIL,13.1,13.5,12.6,12.7,127108
21-08-19,EMERALDOIL,12.5,12.5,11.7,11.9,176330
22-08-19,EMERALDOIL,12.4,12.5,11.9,12.1,60080
25-08-19,EMERALDOIL,12.7,12.7,12.2,12.3,45235
26-08-19,EMERALDOIL,12.2,12.6,12.2,12.2,38849
27-08-19,EMERALDOIL,12,12.2,11.8,12,165715
28-08-19,EMERALDOIL,11.8,12.1,11.7,11.8,105721
29-08-19,EMERALDOIL,11.8,12,11.3,11.7,217450
09-01-19,EMERALDOIL,12,12.6,11.8,12.3,167668
09-02-19,EMERALDOIL,12.6,13,12,12.7,234810
09-03-19,EMERALDOIL,13.2,13.3,12.7,13.1,195296
09-04-19,EMERALDOIL,12.8,13,12.7,12.8,17674
09-05-19,EMERALDOIL,12.8,13.4,12.6,13.3,143470
09-08-19,EMERALDOIL,13.6,13.6,13.4,13.5,61158
09-09-19,EMERALDOIL,13.4,13.7,13.1,13.6,104664
09-11-19,EMERALDOIL,13.5,13.6,13.3,13.5,173356
09-12-19,EMERALDOIL,13.6,14.2,13.6,13.9,55023
15-09-19,EMERALDOIL,13.9,14.1,13.8,13.9,60819
16-09-19,EMERALDOIL,13.9,14,13.8,13.9,51660
17-09-19,EMERALDOIL,13.8,14,13.5,13.5,69420
18-09-19,EMERALDOIL,13.5,13.5,12.9,13,79346
19-09-19,EMERALDOIL,13.5,13.5,12.6,12.6,64810
22-09-19,EMERALDOIL,12.1,12.1,11.4,11.4,217480
23-09-19,EMERALDOIL,12,12.1,12,12,7800
24-09-19,EMERALDOIL,12.3,12.3,12,12.1,422
25-09-19,EMERALDOIL,12.2,12.6,12,12.4,238690
26-09-19,EMERALDOIL,12.1,12.7,12.1,12.7,194506
29-09-19,EMERALDOIL,12.6,12.7,12.5,12.6,90257
30-09-19,EMERALDOIL,12.9,12.9,12,12.1,134662
10-01-19,EMERALDOIL,12.3,12.7,12.2,12.6,193340
10-02-19,EMERALDOIL,12.6,12.7,12.3,12.5,359132
10-03-19,EMERALDOIL,12.6,12.8,12.6,12.7,26630
10-06-19,EMERALDOIL,12.8,12.9,12.7,12.7,30135
10-07-19,EMERALDOIL,12.7,12.7,12.5,12.5,26796
10-09-19,EMERALDOIL,12.5,13,12.5,12.8,104546
10-10-19,EMERALDOIL,12.7,12.8,12.5,12.6,73390
13-10-19,EMERALDOIL,12.8,12.8,12.5,12.5,11600
14-10-19,EMERALDOIL,12.6,12.7,12.4,12.5,101220
15-10-19,EMERALDOIL,12.5,12.7,12.4,12.6,145548
16-10-19,EMERALDOIL,12.5,12.7,12.4,12.6,60691
17-10-19,EMERALDOIL,12.6,12.7,11.5,11.8,68953
20-10-19,EMERALDOIL,11.9,12.9,11.9,12.9,166353
21-10-19,EMERALDOIL,13.5,14.1,13.5,14.1,250282
22-10-19,EMERALDOIL,15.3,15.5,15.3,15.5,151350
23-10-19,EMERALDOIL,17,17,16.8,17,227091
24-10-19,EMERALDOIL,18.7,18.7,16.6,17.5,913824
27-10-19,EMERALDOIL,15.9,16.8,15.8,15.8,47450
28-10-19,EMERALDOIL,14.4,17.3,14.4,17.2,109550
29-10-19,EMERALDOIL,18.5,18.5,16,16.5,72264
30-10-19,EMERALDOIL,16,17.4,15.9,17.1,38284
31-10-19,EMERALDOIL,17.8,17.8,16.6,17.1,47324
11-03-19,EMERALDOIL,16.5,16.6,16,16.2,16692
11-04-19,EMERALDOIL,16.4,16.5,15.3,15.7,57549
11-05-19,EMERALDOIL,15.1,15.8,14.5,14.8,42175
11-06-19,EMERALDOIL,13.7,16.2,13.5,16.1,85424
11-07-19,EMERALDOIL,16.1,16.4,15.2,16.1,32570
11-11-19,EMERALDOIL,17.1,17.1,16,16.1,21055
11-12-19,EMERALDOIL,17.5,17.5,15.9,16,39340
13-11-19,EMERALDOIL,16,16.5,15.5,15.8,19340
14-11-19,EMERALDOIL,15.4,16,14.4,14.6,37370
17-11-19,EMERALDOIL,14.1,15.1,13.7,13.9,32637
18-11-19,EMERALDOIL,14.2,15.2,14.2,15.2,66982
19-11-19,EMERALDOIL,15.8,15.8,15.4,15.7,18179
20-11-19,EMERALDOIL,15.5,15.8,14.9,15,14460
21-11-19,EMERALDOIL,15.2,15.2,14,14.2,26039
24-11-19,EMERALDOIL,14.2,15,14.2,14.7,5092
25-11-19,EMERALDOIL,14.6,14.6,13.3,13.9,21593
26-11-19,EMERALDOIL,13.4,13.8,12.6,12.7,301015
27-11-19,EMERALDOIL,13.6,13.7,12.7,12.7,107400
28-11-19,EMERALDOIL,12.8,13.7,12.8,13.4,23059
12-01-19,EMERALDOIL,13.1,13.8,13,13,23061
12-02-19,EMERALDOIL,13.2,13.4,12.7,12.9,61526
12-03-19,EMERALDOIL,12.8,13.5,12.8,13.3,45800
12-04-19,EMERALDOIL,13.2,13.4,13.1,13.1,26575
12-05-19,EMERALDOIL,13.3,13.3,13,13.1,16145
12-08-19,EMERALDOIL,13.1,13.2,12.5,12.6,32047
12-09-19,EMERALDOIL,13,13.4,12.7,13.3,6202
12-10-19,EMERALDOIL,12.8,13.7,12.7,13,9841
12-11-19,EMERALDOIL,12.8,13,12.5,12.5,50069
12-12-19,EMERALDOIL,12.5,12.8,11.5,12,17157
15-12-19,EMERALDOIL,12.9,12.9,12.1,12.2,2520
17-12-19,EMERALDOIL,12.1,12.4,12.1,12.1,15609
18-12-19,EMERALDOIL,12.2,12.9,11.2,11.8,71758
19-12-19,EMERALDOIL,12.3,12.8,11.1,12.7,27916
22-12-19,EMERALDOIL,12,12.7,11.7,12.6,40606
23-12-19,EMERALDOIL,12.8,13.8,12.8,13.4,73599
24-12-19,EMERALDOIL,12.7,12.8,12.3,12.5,57800
26-12-19,EMERALDOIL,12.1,13.7,11.9,13.6,99442
29-12-19,EMERALDOIL,13.3,13.6,12.7,12.8,13190
30-12-19,EMERALDOIL,12.3,13.1,12.3,12.4,46682
01-01-20,EMERALDOIL,12.4,13,11.8,12.2,178662
01-02-20,EMERALDOIL,12.6,13.4,12.6,13.4,46874
01-05-20,EMERALDOIL,14.7,14.7,14.7,14.7,58069
01-06-20,EMERALDOIL,16.1,16.1,16.1,16.1,68741
01-07-20,EMERALDOIL,17.7,17.7,15.3,17.2,1004310
01-08-20,EMERALDOIL,16.7,18.6,16.7,17.9,221488
01-09-20,EMERALDOIL,18,18,16.7,17.3,72907
01-12-20,EMERALDOIL,17,17.3,16.2,17.1,44190
13-01-20,EMERALDOIL,16.9,16.9,15.5,15.5,84695
14-01-20,EMERALDOIL,16.7,16.7,14,14.7,44030
15-01-20,EMERALDOIL,16,16,14.6,15.6,2138
16-01-20,EMERALDOIL,15.6,15.8,14.9,15.1,14949
19-01-20,EMERALDOIL,15.6,16.2,15,16,7082
20-01-20,EMERALDOIL,16,16,15.3,15.5,38619
21-01-20,EMERALDOIL,15.4,15.6,14.8,14.9,31351
22-01-20,EMERALDOIL,15,15,14.6,14.9,29829
23-01-20,EMERALDOIL,14.8,15.3,14.6,14.7,32866
26-01-20,EMERALDOIL,15,15.9,15,15.1,77664
27-01-20,EMERALDOIL,15.1,15.3,14.9,15.2,9885
28-01-20,EMERALDOIL,14.6,15.3,14.6,14.8,97070
29-01-20,EMERALDOIL,15.2,15.2,14.7,14.8,46702
30-01-20,EMERALDOIL,14.7,14.9,14.3,14.4,55510
02-02-20,EMERALDOIL,14.5,15.1,14.4,14.5,41389
02-03-20,EMERALDOIL,14.1,14.8,14,14.2,21848
02-04-20,EMERALDOIL,14.8,15.5,14.4,14.6,23119
