DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,KEYACOSMET,6.3,6.4,6.3,6.3,1000410
24-12-18,KEYACOSMET,6.4,6.5,6.3,6.5,1275850
26-12-18,KEYACOSMET,6.5,6.6,6.4,6.6,2056050
27-12-18,KEYACOSMET,6.6,6.7,6.5,6.6,2056250
01-01-19,KEYACOSMET,6.5,6.6,6.1,6.2,5107710
01-02-19,KEYACOSMET,6.2,6.2,6,6.1,2137690
01-03-19,KEYACOSMET,6,6.5,6,6.4,2618050
01-06-19,KEYACOSMET,6.5,7,6.5,7,2664550
01-07-19,KEYACOSMET,7.1,7.4,7,7,1895750
01-08-19,KEYACOSMET,7.1,7.1,6.9,7,1460900
01-09-19,KEYACOSMET,7,7.1,6.9,7,883811
01-10-19,KEYACOSMET,7,7,6.8,6.9,863216
13-01-19,KEYACOSMET,7,7,6.9,6.9,762496
14-01-19,KEYACOSMET,6.9,6.9,6.7,6.7,1166650
15-01-19,KEYACOSMET,6.7,6.7,6.5,6.7,1409970
16-01-19,KEYACOSMET,6.7,6.7,6.5,6.5,1091230
17-01-19,KEYACOSMET,6.6,6.6,6.4,6.5,1023440
20-01-19,KEYACOSMET,6.5,6.7,6.3,6.5,1403310
21-01-19,KEYACOSMET,6.5,6.7,6.5,6.7,845271
22-01-19,KEYACOSMET,6.7,6.7,6.5,6.6,1064270
23-01-19,KEYACOSMET,6.6,6.6,6.5,6.6,1362640
24-01-19,KEYACOSMET,6.6,6.6,6.3,6.4,2061700
27-01-19,KEYACOSMET,6.4,6.4,6.3,6.4,974688
28-01-19,KEYACOSMET,6.4,6.5,6.3,6.4,463315
29-01-19,KEYACOSMET,6.4,6.4,6.2,6.3,984234
30-01-19,KEYACOSMET,6.3,6.3,6.1,6.2,1204700
31-01-19,KEYACOSMET,6.2,6.3,6.1,6.1,1001030
02-03-19,KEYACOSMET,6.2,6.3,6.1,6.1,541094
02-04-19,KEYACOSMET,6.1,6.3,6.1,6.2,980041
02-05-19,KEYACOSMET,6.2,6.3,6,6.1,981626
02-06-19,KEYACOSMET,6.2,6.2,6,6.1,879179
02-07-19,KEYACOSMET,6.1,6.2,5.8,5.9,2698090
02-10-19,KEYACOSMET,5.9,6,5.8,5.9,668405
02-11-19,KEYACOSMET,5.9,5.9,5.8,5.8,590523
02-12-19,KEYACOSMET,5.9,6,5.8,6,723625
13-02-19,KEYACOSMET,6,6,5.9,6,296275
14-02-19,KEYACOSMET,6,6,5.8,5.9,1200300
17-02-19,KEYACOSMET,6,6,5.8,5.9,505555
18-02-19,KEYACOSMET,5.9,5.9,5.8,5.9,656678
19-02-19,KEYACOSMET,5.8,6,5.8,5.9,511755
20-02-19,KEYACOSMET,5.9,6,5.8,5.9,288765
24-02-19,KEYACOSMET,5.9,6,5.9,5.9,355613
25-02-19,KEYACOSMET,5.9,6,5.9,5.9,444387
26-02-19,KEYACOSMET,5.9,6,5.8,5.9,265407
27-02-19,KEYACOSMET,5.8,5.9,5.8,5.8,685261
03-03-19,KEYACOSMET,5.8,5.9,5.8,5.8,450102
03-04-19,KEYACOSMET,5.8,5.9,5.7,5.7,360664
03-05-19,KEYACOSMET,5.8,5.8,5.6,5.7,545825
03-06-19,KEYACOSMET,5.7,5.7,5.5,5.6,437613
03-07-19,KEYACOSMET,5.5,5.6,5.4,5.4,761056
03-10-19,KEYACOSMET,5.4,5.5,5.3,5.3,979909
03-11-19,KEYACOSMET,5.3,5.4,5.2,5.2,699996
03-12-19,KEYACOSMET,5.2,5.2,5.1,5.1,832888
13-03-19,KEYACOSMET,5.1,5.2,5,5.1,744572
14-03-19,KEYACOSMET,5.1,5.1,4.9,4.9,903039
18-03-19,KEYACOSMET,4.8,4.9,4.8,4.9,785635
19-03-19,KEYACOSMET,4.9,5,4.8,4.9,490453
20-03-19,KEYACOSMET,5,5.1,4.9,5,435770
21-03-19,KEYACOSMET,5,5,4.9,5,218772
24-03-19,KEYACOSMET,5,5,4.9,4.9,307438
25-03-19,KEYACOSMET,5,5,4.9,5,270234
27-03-19,KEYACOSMET,4.9,5,4.9,4.9,293689
28-03-19,KEYACOSMET,5,5,4.9,4.9,288365
31-03-19,KEYACOSMET,4.9,5,4.9,4.9,333967
04-01-19,KEYACOSMET,5,5,4.9,4.9,331305
04-02-19,KEYACOSMET,5,5,4.9,4.9,365800
04-03-19,KEYACOSMET,4.9,5,4.9,4.9,471833
04-04-19,KEYACOSMET,4.9,5,4.8,4.9,413701
04-07-19,KEYACOSMET,4.9,4.9,4.8,4.9,290026
04-08-19,KEYACOSMET,4.9,4.9,4.7,4.8,491371
04-09-19,KEYACOSMET,4.8,4.8,4.6,4.6,405703
04-10-19,KEYACOSMET,4.7,4.7,4.3,4.5,1145530
04-11-19,KEYACOSMET,4.5,4.7,4.4,4.6,290986
15-04-19,KEYACOSMET,4.5,4.7,4.5,4.7,157334
16-04-19,KEYACOSMET,4.7,4.7,4.4,4.5,642708
17-04-19,KEYACOSMET,4.6,4.6,4.4,4.5,267904
18-04-19,KEYACOSMET,4.5,4.6,4.4,4.5,455689
21-04-19,KEYACOSMET,4.6,4.8,4.5,4.7,476881
23-04-19,KEYACOSMET,4.7,4.8,4.6,4.6,223348
24-04-19,KEYACOSMET,4.6,4.6,4.5,4.5,185298
25-04-19,KEYACOSMET,4.5,4.6,4.5,4.6,84545
28-04-19,KEYACOSMET,4.6,4.6,4.5,4.5,358434
29-04-19,KEYACOSMET,4.5,4.6,4.4,4.5,205725
30-04-19,KEYACOSMET,4.6,4.6,4.5,4.5,162007
05-02-19,KEYACOSMET,4.5,4.7,4.5,4.7,297875
05-05-19,KEYACOSMET,4.7,5,4.6,5,589534
05-06-19,KEYACOSMET,5,5.1,4.8,4.8,265178
05-07-19,KEYACOSMET,4.9,4.9,4.7,4.7,192241
05-08-19,KEYACOSMET,4.7,4.8,4.6,4.6,235526
05-09-19,KEYACOSMET,4.7,4.8,4.6,4.7,241624
05-12-19,KEYACOSMET,4.8,4.8,4.7,4.8,235755
13-05-19,KEYACOSMET,4.8,4.8,4.6,4.7,170534
14-05-19,KEYACOSMET,4.7,4.8,4.6,4.6,317432
15-05-19,KEYACOSMET,4.6,4.7,4.6,4.6,218216
16-05-19,KEYACOSMET,4.7,4.7,4.6,4.6,151619
19-05-19,KEYACOSMET,4.7,5,4.7,4.9,1710150
20-05-19,KEYACOSMET,4.8,4.9,4.7,4.7,204312
21-05-19,KEYACOSMET,4.8,4.8,4.7,4.8,108465
22-05-19,KEYACOSMET,4.9,4.9,4.7,4.8,179996
23-05-19,KEYACOSMET,4.8,4.9,4.7,4.8,250701
26-05-19,KEYACOSMET,4.8,4.9,4.7,4.8,146895
27-05-19,KEYACOSMET,4.8,4.8,4.7,4.7,67276
28-05-19,KEYACOSMET,4.8,4.8,4.6,4.7,365165
29-05-19,KEYACOSMET,4.8,4.8,4.6,4.7,345767
30-05-19,KEYACOSMET,4.8,4.8,4.7,4.8,180280
06-09-19,KEYACOSMET,4.9,4.9,4.7,4.8,56988
06-10-19,KEYACOSMET,4.9,4.9,4.7,4.8,170575
06-11-19,KEYACOSMET,4.8,4.9,4.7,4.8,401295
06-12-19,KEYACOSMET,4.8,4.9,4.7,4.7,381207
13-06-19,KEYACOSMET,4.8,4.8,4.6,4.7,353111
16-06-19,KEYACOSMET,4.7,4.8,4.6,4.6,473402
17-06-19,KEYACOSMET,4.7,4.7,4.6,4.6,373599
18-06-19,KEYACOSMET,4.6,4.7,4.5,4.5,745951
19-06-19,KEYACOSMET,4.5,4.6,4.5,4.6,308507
20-06-19,KEYACOSMET,4.6,4.6,4.4,4.5,676624
23-06-19,KEYACOSMET,4.5,4.5,4.3,4.5,577287
24-06-19,KEYACOSMET,4.4,4.5,4.4,4.4,280434
25-06-19,KEYACOSMET,4.4,4.5,4.4,4.4,230417
26-06-19,KEYACOSMET,4.4,4.5,4.3,4.5,295189
27-06-19,KEYACOSMET,4.4,4.5,4.3,4.4,487403
30-06-19,KEYACOSMET,4.4,4.5,4.3,4.3,770500
07-02-19,KEYACOSMET,4.3,4.4,4.3,4.3,375407
07-03-19,KEYACOSMET,4.4,4.4,4.3,4.3,183846
07-04-19,KEYACOSMET,4.3,4.4,4.2,4.3,529912
07-07-19,KEYACOSMET,4.4,4.4,4.2,4.3,481478
07-08-19,KEYACOSMET,4.2,4.3,4.2,4.2,345567
07-09-19,KEYACOSMET,4.2,4.3,3.9,4,991054
07-10-19,KEYACOSMET,4,4,3.8,3.8,763107
07-11-19,KEYACOSMET,3.8,3.9,3.7,3.8,769559
14-07-19,KEYACOSMET,3.8,3.8,3.6,3.6,765283
15-07-19,KEYACOSMET,3.6,3.7,3.5,3.6,435400
16-07-19,KEYACOSMET,3.7,3.7,3.5,3.6,336697
17-07-19,KEYACOSMET,3.5,3.6,3.4,3.5,898323
18-07-19,KEYACOSMET,3.5,3.5,3.3,3.4,447701
21-07-19,KEYACOSMET,3.4,3.4,3.1,3.2,976026
22-07-19,KEYACOSMET,3.3,3.4,2.9,3,1302960
23-07-19,KEYACOSMET,3.1,3.2,2.9,3.1,380384
24-07-19,KEYACOSMET,3.1,3.3,3,3.2,648155
25-07-19,KEYACOSMET,3.1,3.5,3.1,3.5,805941
28-07-19,KEYACOSMET,3.6,3.7,3.5,3.6,594002
29-07-19,KEYACOSMET,3.5,3.7,3.4,3.6,375395
30-07-19,KEYACOSMET,3.7,3.7,3.5,3.6,324673
31-07-19,KEYACOSMET,3.6,3.6,3.4,3.5,584529
08-01-19,KEYACOSMET,3.5,3.5,3.3,3.3,339796
08-04-19,KEYACOSMET,3.4,3.5,3.3,3.4,209813
08-05-19,KEYACOSMET,3.5,3.5,3.4,3.5,277059
08-06-19,KEYACOSMET,3.5,3.6,3.5,3.5,286518
08-07-19,KEYACOSMET,3.6,3.6,3.5,3.5,175137
08-08-19,KEYACOSMET,3.5,3.6,3.5,3.6,539848
18-08-19,KEYACOSMET,3.6,3.9,3.6,3.8,707590
19-08-19,KEYACOSMET,3.9,4.1,3.8,4.1,1639900
20-08-19,KEYACOSMET,4.2,4.5,4.2,4.5,3167820
21-08-19,KEYACOSMET,4.7,4.9,4.5,4.9,2934500
22-08-19,KEYACOSMET,5.2,5.3,4.8,4.9,5862570
25-08-19,KEYACOSMET,4.9,5.2,4.8,4.9,1834670
26-08-19,KEYACOSMET,4.9,4.9,4.5,4.5,866847
27-08-19,KEYACOSMET,4.4,4.5,4.2,4.4,479685
28-08-19,KEYACOSMET,4.4,4.8,4.4,4.6,465372
29-08-19,KEYACOSMET,4.7,4.7,4.5,4.5,331642
09-01-19,KEYACOSMET,4.6,4.7,4.4,4.5,354379
09-02-19,KEYACOSMET,4.5,4.6,4.4,4.4,261217
09-03-19,KEYACOSMET,4.5,4.5,4.3,4.4,349949
09-04-19,KEYACOSMET,4.4,4.4,4.3,4.3,391916
09-05-19,KEYACOSMET,4.4,4.5,4.3,4.5,284617
09-08-19,KEYACOSMET,4.5,4.6,4.4,4.4,357094
09-09-19,KEYACOSMET,4.4,4.5,4.3,4.4,276882
09-11-19,KEYACOSMET,4.4,4.4,4.1,4.1,651342
09-12-19,KEYACOSMET,4.3,4.3,4.1,4.1,156359
15-09-19,KEYACOSMET,4.3,4.3,4.2,4.2,177013
16-09-19,KEYACOSMET,4.3,4.4,4.2,4.3,290946
17-09-19,KEYACOSMET,4.3,4.4,4.3,4.3,387924
18-09-19,KEYACOSMET,4.4,4.4,4.2,4.2,92953
