DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,POPULAR1MF,3.8,3.8,3.7,3.7,203830
24-12-18,POPULAR1MF,3.8,3.9,3.7,3.8,135081
26-12-18,POPULAR1MF,3.8,3.9,3.8,3.8,235301
27-12-18,POPULAR1MF,3.9,3.9,3.8,3.9,108322
01-01-19,POPULAR1MF,3.8,4,3.8,4,553396
01-02-19,POPULAR1MF,4,4,3.8,3.9,221878
01-03-19,POPULAR1MF,3.9,4.2,3.9,4.1,994005
01-06-19,POPULAR1MF,4.2,4.4,4.1,4.3,1488920
01-07-19,POPULAR1MF,4.4,4.5,4.3,4.4,928268
01-08-19,POPULAR1MF,4.4,4.7,4.4,4.7,803820
01-09-19,POPULAR1MF,4.6,4.9,4.5,4.7,1223640
01-10-19,POPULAR1MF,4.6,4.6,4.5,4.5,366609
13-01-19,POPULAR1MF,4.6,4.6,4.4,4.5,365187
14-01-19,POPULAR1MF,4.6,4.6,4.4,4.4,804568
15-01-19,POPULAR1MF,4.5,4.5,4.3,4.4,579715
16-01-19,POPULAR1MF,4.4,4.4,4.3,4.4,1151590
17-01-19,POPULAR1MF,4.4,4.4,4.3,4.4,239391
20-01-19,POPULAR1MF,4.4,4.8,4.4,4.8,3778970
21-01-19,POPULAR1MF,4.8,5.2,4.8,4.9,2145450
22-01-19,POPULAR1MF,4.8,4.9,4.7,4.7,699025
23-01-19,POPULAR1MF,4.7,4.9,4.6,4.9,1031300
24-01-19,POPULAR1MF,4.9,5,4.7,4.8,775042
27-01-19,POPULAR1MF,4.8,4.9,4.7,4.7,608461
28-01-19,POPULAR1MF,4.8,4.8,4.6,4.6,753068
29-01-19,POPULAR1MF,4.6,4.8,4.5,4.6,497656
30-01-19,POPULAR1MF,4.7,4.7,4.6,4.7,476737
31-01-19,POPULAR1MF,4.6,4.7,4.5,4.5,336955
02-03-19,POPULAR1MF,4.5,4.6,4.3,4.4,705900
02-04-19,POPULAR1MF,4.5,4.6,4.4,4.4,355956
02-05-19,POPULAR1MF,4.4,4.5,4.3,4.4,466086
02-06-19,POPULAR1MF,4.3,4.4,4.3,4.4,302997
02-07-19,POPULAR1MF,4.4,4.5,4.3,4.4,527429
02-10-19,POPULAR1MF,4.3,4.4,4.2,4.3,560869
02-11-19,POPULAR1MF,4.2,4.3,4.1,4.1,1072310
02-12-19,POPULAR1MF,4.2,4.3,4.1,4.2,1030980
13-02-19,POPULAR1MF,4.2,4.3,4.2,4.2,170906
14-02-19,POPULAR1MF,4.3,4.3,4.1,4.2,404568
17-02-19,POPULAR1MF,4.2,4.3,4.2,4.2,394688
18-02-19,POPULAR1MF,4.2,4.3,4.1,4.2,241432
19-02-19,POPULAR1MF,4.2,4.3,4.1,4.2,37632
20-02-19,POPULAR1MF,4.2,4.3,4.2,4.2,240217
24-02-19,POPULAR1MF,4.2,4.3,4.1,4.2,51783
25-02-19,POPULAR1MF,4.1,4.3,4.1,4.1,100623
26-02-19,POPULAR1MF,4.2,4.2,4.1,4.2,72118
27-02-19,POPULAR1MF,4.1,4.2,4.1,4.2,84000
03-03-19,POPULAR1MF,4.2,4.2,4.1,4.1,218581
03-04-19,POPULAR1MF,4.1,4.2,4.1,4.1,389016
03-05-19,POPULAR1MF,4.1,4.2,4.1,4.1,189040
03-06-19,POPULAR1MF,4.1,4.2,4.1,4.1,653699
03-07-19,POPULAR1MF,4.1,4.3,4.1,4.2,529874
03-10-19,POPULAR1MF,4.2,4.2,4.1,4.2,40720
03-11-19,POPULAR1MF,4.1,4.2,4.1,4.2,1301150
03-12-19,POPULAR1MF,4.2,4.2,4.1,4.1,1577160
13-03-19,POPULAR1MF,4.1,4.2,4.1,4.2,968725
14-03-19,POPULAR1MF,4.1,4.1,4,4.1,142025
18-03-19,POPULAR1MF,4,4,3.9,3.9,543540
19-03-19,POPULAR1MF,4,4.1,4,4,29100
20-03-19,POPULAR1MF,4.1,4.1,4,4,327955
21-03-19,POPULAR1MF,4,4.1,4,4,79542
24-03-19,POPULAR1MF,4,4,3.9,4,269951
25-03-19,POPULAR1MF,3.9,4,3.9,4,125752
27-03-19,POPULAR1MF,3.9,4,3.9,3.9,115540
28-03-19,POPULAR1MF,3.9,4,3.9,3.9,52070
31-03-19,POPULAR1MF,4,4,3.9,4,132546
04-01-19,POPULAR1MF,4,4,3.9,4,177120
04-02-19,POPULAR1MF,4,4,3.9,4,126736
04-03-19,POPULAR1MF,4,4,3.9,4,73487
04-04-19,POPULAR1MF,3.9,4,3.9,3.9,120529
04-07-19,POPULAR1MF,4,4,3.9,3.9,301294
04-08-19,POPULAR1MF,3.9,3.9,3.8,3.8,555514
04-09-19,POPULAR1MF,3.8,3.9,3.7,3.8,236835
04-10-19,POPULAR1MF,3.8,3.9,3.8,3.8,444767
04-11-19,POPULAR1MF,3.8,3.9,3.8,3.8,70044
15-04-19,POPULAR1MF,3.8,3.9,3.8,3.9,243626
16-04-19,POPULAR1MF,3.8,3.9,3.8,3.8,15872
17-04-19,POPULAR1MF,3.8,3.9,3.8,3.9,233574
18-04-19,POPULAR1MF,3.9,4,3.9,3.9,503729
21-04-19,POPULAR1MF,3.9,3.9,3.8,3.9,277190
23-04-19,POPULAR1MF,3.9,3.9,3.9,3.9,203400
24-04-19,POPULAR1MF,3.9,4,3.9,4,1120870
25-04-19,POPULAR1MF,3.9,4,3.9,3.9,739284
28-04-19,POPULAR1MF,3.9,4,3.9,3.9,32618
29-04-19,POPULAR1MF,4,4,3.9,4,931713
30-04-19,POPULAR1MF,4,4.1,3.9,4.1,998048
05-02-19,POPULAR1MF,4,4.1,4,4.1,12198
05-05-19,POPULAR1MF,4,4.3,4,4,1803160
05-06-19,POPULAR1MF,4.1,4.2,4,4.1,575703
05-07-19,POPULAR1MF,4,4.1,4,4,597088
05-08-19,POPULAR1MF,4,4,3.9,4,878523
05-09-19,POPULAR1MF,4,4.1,3.9,4,269394
05-12-19,POPULAR1MF,4,4.1,3.9,4,811662
13-05-19,POPULAR1MF,4,4.1,4,4,248945
14-05-19,POPULAR1MF,4,4.1,4,4,134481
15-05-19,POPULAR1MF,4.1,4.1,4,4,349310
16-05-19,POPULAR1MF,4,4.1,4,4,387154
19-05-19,POPULAR1MF,4,4.1,4,4,475941
20-05-19,POPULAR1MF,4.1,4.1,4,4.1,750844
21-05-19,POPULAR1MF,4,4.1,4,4,152232
22-05-19,POPULAR1MF,4,4.1,4,4,48674
23-05-19,POPULAR1MF,4.1,4.1,4,4.1,457121
26-05-19,POPULAR1MF,4.1,4.2,4,4.2,287693
27-05-19,POPULAR1MF,4.2,4.2,4.1,4.1,181952
28-05-19,POPULAR1MF,4.2,4.2,4.1,4.2,278785
29-05-19,POPULAR1MF,4.2,4.4,4.2,4.3,325470
30-05-19,POPULAR1MF,4.3,4.3,4.2,4.3,117351
06-09-19,POPULAR1MF,4.2,4.3,4.2,4.3,103745
06-10-19,POPULAR1MF,4.3,4.3,4.2,4.3,75813
06-11-19,POPULAR1MF,4.3,4.4,4.2,4.3,237457
06-12-19,POPULAR1MF,4.4,4.4,4.2,4.3,246310
13-06-19,POPULAR1MF,4.3,4.3,4.2,4.3,22449
16-06-19,POPULAR1MF,4.2,4.3,4.2,4.2,55004
17-06-19,POPULAR1MF,4.2,4.3,4.2,4.2,173569
18-06-19,POPULAR1MF,4.2,4.3,4.2,4.3,101959
19-06-19,POPULAR1MF,4.2,4.4,4.2,4.3,87137
20-06-19,POPULAR1MF,4.3,4.4,4.2,4.3,172985
23-06-19,POPULAR1MF,4.3,4.4,4.2,4.3,174243
24-06-19,POPULAR1MF,4.3,4.6,4.3,4.6,1330600
25-06-19,POPULAR1MF,4.5,4.7,4.4,4.5,455255
26-06-19,POPULAR1MF,4.4,4.6,4.4,4.5,596763
27-06-19,POPULAR1MF,4.4,4.5,4.4,4.4,285192
30-06-19,POPULAR1MF,4.4,4.5,4.4,4.4,140893
07-02-19,POPULAR1MF,4.4,4.7,4.4,4.6,773911
07-03-19,POPULAR1MF,4.5,4.6,4.5,4.6,288848
07-04-19,POPULAR1MF,4.5,5,4.5,5,2630020
07-07-19,POPULAR1MF,5.1,5.5,5.1,5.3,4478660
07-08-19,POPULAR1MF,5.3,5.3,4.9,5,2150610
07-09-19,POPULAR1MF,5,5.4,5,5.3,3173290
07-10-19,POPULAR1MF,5.3,5.4,4.9,5,1501880
07-11-19,POPULAR1MF,4.9,5.1,4.7,4.8,1288140
14-07-19,POPULAR1MF,4.9,4.9,4.6,4.6,825868
15-07-19,POPULAR1MF,4.6,4.7,4.4,4.4,808068
16-07-19,POPULAR1MF,4.5,4.7,4.5,4.5,441273
17-07-19,POPULAR1MF,4.7,4.9,4.7,4.8,3651020
18-07-19,POPULAR1MF,4.7,4.8,4.6,4.7,672271
21-07-19,POPULAR1MF,4.8,4.9,4.7,4.7,665146
22-07-19,POPULAR1MF,4.7,4.8,4.6,4.6,2012740
23-07-19,POPULAR1MF,4.6,4.8,4.6,4.8,774578
24-07-19,POPULAR1MF,4.8,5.1,4.8,5.1,1876080
25-07-19,POPULAR1MF,5.2,5.3,5,5.1,1540250
28-07-19,POPULAR1MF,5,5,4.7,4.7,1568550
29-07-19,POPULAR1MF,4.8,4.8,4.6,4.6,974103
30-07-19,POPULAR1MF,4.6,4.8,4.6,4.6,554358
31-07-19,POPULAR1MF,4.6,4.6,4.1,4.2,1239340
08-01-19,POPULAR1MF,4.2,4.3,4,4.1,1320070
08-04-19,POPULAR1MF,4.1,4.2,4,4,206851
08-05-19,POPULAR1MF,4,4.2,4,4.1,313763
08-06-19,POPULAR1MF,4.1,4.3,4.1,4.2,1537450
08-07-19,POPULAR1MF,4.2,4.3,4.1,4.2,458984
08-08-19,POPULAR1MF,4.1,4.3,4.1,4.2,158433
18-08-19,POPULAR1MF,4.3,4.3,4.1,4.2,285280
19-08-19,POPULAR1MF,4.2,4.3,4.2,4.2,423812
20-08-19,POPULAR1MF,4.2,4.3,4.2,4.2,362710
21-08-19,POPULAR1MF,4.2,4.3,4.1,4.2,422601
22-08-19,POPULAR1MF,4.2,4.3,4.1,4.2,711711
25-08-19,POPULAR1MF,4.2,4.3,4.1,4.1,361928
26-08-19,POPULAR1MF,4.1,4.2,3.9,4,753297
28-08-19,POPULAR1MF,4.2,4.2,4,4.1,246440
29-08-19,POPULAR1MF,4.1,4.2,4,4.1,335170
