DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,PRIMEBANK,14.6,14.7,14.4,14.5,168830
24-12-18,PRIMEBANK,14.6,15,14.6,14.8,737777
26-12-18,PRIMEBANK,15.1,15.4,14.9,15.2,3290700
27-12-18,PRIMEBANK,15.2,15.9,14.9,15.5,3100850
01-01-19,PRIMEBANK,15.1,15.3,15,15.3,1064140
01-02-19,PRIMEBANK,15.2,15.3,15,15.2,1407300
01-03-19,PRIMEBANK,15.3,15.6,15.2,15.5,827636
01-06-19,PRIMEBANK,15.5,15.8,15.4,15.6,1995520
01-07-19,PRIMEBANK,15.8,15.8,15.4,15.5,1035330
01-08-19,PRIMEBANK,15.5,16.2,15.5,16.1,2037560
01-09-19,PRIMEBANK,16.2,16.6,16.1,16.5,3359460
01-10-19,PRIMEBANK,16.6,17.1,16.4,16.6,4489870
13-01-19,PRIMEBANK,16.5,17.1,16.3,17.1,3320130
14-01-19,PRIMEBANK,16.8,17.1,16.8,17,991810
15-01-19,PRIMEBANK,16.9,16.9,16.3,16.6,1520800
16-01-19,PRIMEBANK,16.7,16.7,16.3,16.4,583748
17-01-19,PRIMEBANK,16.5,16.8,16.4,16.6,1689400
20-01-19,PRIMEBANK,16.8,17.2,16.7,17.1,2054200
21-01-19,PRIMEBANK,17.3,17.3,16.7,16.9,1401770
22-01-19,PRIMEBANK,16.9,17.4,16.8,17.3,2150900
23-01-19,PRIMEBANK,17.3,18.3,17.3,18.2,3007880
24-01-19,PRIMEBANK,18.2,18.4,18,18.2,1947060
27-01-19,PRIMEBANK,18.4,18.4,17.5,17.6,1239080
28-01-19,PRIMEBANK,17.5,17.7,17,17.2,1798670
29-01-19,PRIMEBANK,17.1,17.2,16.9,17.2,1626480
30-01-19,PRIMEBANK,17.2,17.6,16.7,16.8,460281
31-01-19,PRIMEBANK,16.7,16.7,16.4,16.4,1053780
02-03-19,PRIMEBANK,16.4,16.6,16.3,16.4,1874320
02-04-19,PRIMEBANK,16.5,17,16.4,16.7,1465490
02-05-19,PRIMEBANK,16.8,16.9,16.5,16.7,959833
02-06-19,PRIMEBANK,16.5,16.5,16.2,16.4,1255970
02-07-19,PRIMEBANK,16.6,16.7,16.4,16.6,686167
02-10-19,PRIMEBANK,16.5,16.6,16.4,16.4,723484
02-11-19,PRIMEBANK,16.3,16.4,15.4,15.6,1082080
02-12-19,PRIMEBANK,15.6,16.2,15.6,16.2,516997
13-02-19,PRIMEBANK,16.1,16.1,15.6,16,843270
14-02-19,PRIMEBANK,16,16.2,15.8,16,547500
17-02-19,PRIMEBANK,15.8,16.7,15.8,16.5,866282
18-02-19,PRIMEBANK,16.4,16.6,16.1,16.3,995161
19-02-19,PRIMEBANK,16,16.1,15.6,15.8,461027
20-02-19,PRIMEBANK,15.6,16.1,15.4,15.5,429505
24-02-19,PRIMEBANK,15.7,15.7,14.7,14.8,554812
25-02-19,PRIMEBANK,14.8,15.6,14.7,15.5,1225190
26-02-19,PRIMEBANK,15.4,15.4,15.2,15.4,558317
27-02-19,PRIMEBANK,15.4,15.5,15.1,15.2,165424
03-03-19,PRIMEBANK,15.3,15.4,15,15.3,248405
03-04-19,PRIMEBANK,15.5,15.5,14.9,14.9,154939
03-05-19,PRIMEBANK,15.4,15.5,15,15.4,789251
03-06-19,PRIMEBANK,15.4,15.6,15.4,15.4,161770
03-07-19,PRIMEBANK,15.6,16,15.4,15.9,755881
03-10-19,PRIMEBANK,16,16.1,15.7,16,402425
03-11-19,PRIMEBANK,15.9,16,15.4,15.5,555839
03-12-19,PRIMEBANK,15.5,15.6,15.3,15.6,950424
13-03-19,PRIMEBANK,15.8,15.9,15.5,15.7,242837
14-03-19,PRIMEBANK,15.8,16.1,15.5,15.8,403991
18-03-19,PRIMEBANK,15.5,15.5,15.5,15.5,2000
18-03-19,PRIMEBANK,15.5,15.8,15.4,15.7,272333
19-03-19,PRIMEBANK,15.7,16,15.5,15.9,945187
20-03-19,PRIMEBANK,16,16,15.3,15.5,803747
21-03-19,PRIMEBANK,15.6,15.6,15,15.2,264818
24-03-19,PRIMEBANK,14.8,15.2,14.7,14.8,271126
25-03-19,PRIMEBANK,14.9,14.9,14.5,14.9,549075
27-03-19,PRIMEBANK,15.3,15.3,14.6,15.1,172551
28-03-19,PRIMEBANK,14.9,15.3,14.7,14.8,204336
31-03-19,PRIMEBANK,14.8,15.2,14.5,14.7,719236
04-01-19,PRIMEBANK,14.9,14.9,14.4,14.4,137793
04-02-19,PRIMEBANK,14.6,14.6,14.2,14.3,724615
04-03-19,PRIMEBANK,14.3,14.6,14.3,14.5,214786
04-04-19,PRIMEBANK,14.8,15.4,14.4,14.8,1307080
04-07-19,PRIMEBANK,14.9,15,14.5,14.7,279699
04-08-19,PRIMEBANK,14.5,14.8,14.3,14.5,1400400
04-09-19,PRIMEBANK,14.6,15.5,14.4,14.6,432926
04-10-19,PRIMEBANK,15.1,15.1,14.5,14.6,407433
04-11-19,PRIMEBANK,14.6,15.2,14.5,14.9,133508
15-04-19,PRIMEBANK,15.1,15.1,14.6,14.6,140321
16-04-19,PRIMEBANK,14.6,14.7,14.2,14.3,193360
17-04-19,PRIMEBANK,14.7,14.7,14.3,14.3,146986
18-04-19,PRIMEBANK,14.7,14.8,14.4,14.6,174263
21-04-19,PRIMEBANK,15.2,15.2,14.5,14.6,222625
23-04-19,PRIMEBANK,14.6,14.8,14.4,14.6,376183
24-04-19,PRIMEBANK,14.7,15,14.3,14.8,1025990
