DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,SAIFPOWER,17.62,18.08,17.62,17.99,805239
24-12-18,SAIFPOWER,17.99,18.35,17.99,18.08,628008
26-12-18,SAIFPOWER,18.35,18.35,17.99,18.08,274645
27-12-18,SAIFPOWER,18.17,18.25,17.9,17.99,665493
01-01-19,SAIFPOWER,18.35,19.16,18.17,18.8,2050936
01-02-19,SAIFPOWER,19.16,19.34,18.88,19.24,1351516
01-03-19,SAIFPOWER,19.34,19.87,19.24,19.79,1606582
01-06-19,SAIFPOWER,20.05,20.32,19.34,20.15,2915593
01-07-19,SAIFPOWER,20.15,20.23,19.52,19.6,1163185
01-08-19,SAIFPOWER,19.6,20.23,19.6,20.15,1346719
01-09-19,SAIFPOWER,20.32,20.41,19.97,20.15,1475537
01-10-19,SAIFPOWER,20.05,20.32,19.69,19.97,1354944
13-01-19,SAIFPOWER,20.23,20.23,19.79,19.87,974891
14-01-19,SAIFPOWER,19.97,20.95,19.97,20.68,3431424
15-01-19,SAIFPOWER,20.78,20.86,20.32,20.41,1328610
16-01-19,SAIFPOWER,20.32,20.6,19.87,19.97,1209586
17-01-19,SAIFPOWER,20.05,20.23,19.52,19.6,622715
20-01-19,SAIFPOWER,19.6,19.87,19.34,19.6,1436360
21-01-19,SAIFPOWER,19.79,20.15,19.6,19.69,955960
22-01-19,SAIFPOWER,19.79,19.79,19.34,19.42,1273929
23-01-19,SAIFPOWER,19.52,19.69,19.42,19.52,1162907
24-01-19,SAIFPOWER,19.6,19.97,19.42,19.6,1114124
27-01-19,SAIFPOWER,19.6,20.15,19.6,19.87,1296044
28-01-19,SAIFPOWER,19.97,19.97,19.69,19.79,952797
29-01-19,SAIFPOWER,19.6,19.6,18.71,18.8,2796891
30-01-19,SAIFPOWER,19.16,19.16,18.43,18.8,1251613
31-01-19,SAIFPOWER,18.8,18.88,18.61,18.71,423534
02-03-19,SAIFPOWER,18.71,19.6,18.71,19.06,1624067
