DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,UNITEDAIR,2.7,2.8,2.7,2.7,420011
24-12-18,UNITEDAIR,2.7,2.8,2.7,2.8,1119640
26-12-18,UNITEDAIR,2.8,2.9,2.7,2.8,983265
27-12-18,UNITEDAIR,2.8,2.9,2.8,2.9,629823
01-01-19,UNITEDAIR,3,3.1,3,3.1,1812820
01-02-19,UNITEDAIR,3.3,3.4,3.1,3.2,3544500
01-03-19,UNITEDAIR,3.3,3.4,3.2,3.4,1838970
01-06-19,UNITEDAIR,3.5,3.7,3.4,3.7,4032160
01-07-19,UNITEDAIR,3.7,3.9,3.5,3.5,2858250
01-08-19,UNITEDAIR,3.6,3.7,3.5,3.7,1396690
01-09-19,UNITEDAIR,3.7,3.8,3.5,3.6,1224780
01-10-19,UNITEDAIR,3.6,3.7,3.5,3.5,772810
13-01-19,UNITEDAIR,3.6,3.6,3.4,3.4,553423
14-01-19,UNITEDAIR,3.4,3.4,3.1,3.1,2300710
15-01-19,UNITEDAIR,2.9,3.1,2.8,3,2217160
16-01-19,UNITEDAIR,3.1,3.2,3,3.2,933233
17-01-19,UNITEDAIR,3.2,3.3,3,3,891953
20-01-19,UNITEDAIR,3,3.2,3,3,877435
21-01-19,UNITEDAIR,3.1,3.2,3,3.1,713083
22-01-19,UNITEDAIR,3,3.2,3,3.1,529309
23-01-19,UNITEDAIR,3.1,3.1,3,3,363118
24-01-19,UNITEDAIR,3,3.1,2.9,3.1,974825
27-01-19,UNITEDAIR,3.1,3.1,2.9,3,1078160
28-01-19,UNITEDAIR,3,3.1,2.9,3,459477
29-01-19,UNITEDAIR,3,3,2.8,2.9,1592790
30-01-19,UNITEDAIR,2.9,3,2.9,2.9,512721
31-01-19,UNITEDAIR,2.9,3,2.8,2.9,1854410
02-03-19,UNITEDAIR,2.9,3,2.8,2.9,922897
02-04-19,UNITEDAIR,2.9,3,2.8,2.9,1032540
02-05-19,UNITEDAIR,2.9,3,2.8,2.8,669665
02-06-19,UNITEDAIR,2.8,2.9,2.8,2.8,540909
02-07-19,UNITEDAIR,2.8,2.9,2.8,2.8,339741
02-10-19,UNITEDAIR,2.8,2.9,2.7,2.8,698973
02-11-19,UNITEDAIR,2.9,2.9,2.7,2.8,552015
02-12-19,UNITEDAIR,2.8,2.9,2.7,2.8,842653
13-02-19,UNITEDAIR,2.9,2.9,2.7,2.8,1375650
14-02-19,UNITEDAIR,2.8,2.8,2.7,2.7,1628640
17-02-19,UNITEDAIR,2.7,2.8,2.6,2.7,1953820
18-02-19,UNITEDAIR,2.7,2.8,2.6,2.7,1346320
19-02-19,UNITEDAIR,2.6,2.9,2.6,2.8,1633730
20-02-19,UNITEDAIR,2.9,2.9,2.7,2.7,795757
24-02-19,UNITEDAIR,2.8,2.9,2.7,2.8,543828
