DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,APEXFOODS,165.8,167.7,162,163.8,26286
24-12-18,APEXFOODS,167.6,167.6,163,164.6,13390
26-12-18,APEXFOODS,167.8,170,165,166.6,17383
27-12-18,APEXFOODS,166,168,165.1,166.7,25671
01-01-19,APEXFOODS,166.8,170.5,165.9,168.1,12205
01-02-19,APEXFOODS,170,170.9,168,169.9,25953
01-03-19,APEXFOODS,171.9,175,170.5,174.3,62051
01-06-19,APEXFOODS,176,179,174.4,176,63394
01-07-19,APEXFOODS,179,193.8,177,193.8,173985
01-09-19,APEXFOODS,209,209.6,196.3,197.7,158749
22-01-19,APEXFOODS,206,207.7,198,199,38370
23-01-19,APEXFOODS,200.3,200.3,191.4,193.2,79371
27-01-19,APEXFOODS,198,198,192,193,48662
28-01-19,APEXFOODS,193.2,197.7,192.1,193.9,31092
29-01-19,APEXFOODS,197.9,197.9,194.2,194.4,12261
30-01-19,APEXFOODS,195.1,196.7,190.1,191.6,20410
31-01-19,APEXFOODS,194,194,185,188.8,15429
02-03-19,APEXFOODS,190,192.9,186,187,10864
02-04-19,APEXFOODS,188,194,186,192.5,26029
02-05-19,APEXFOODS,193.8,195.4,191,193.3,22995
02-06-19,APEXFOODS,191.4,192.9,186.7,187.2,22717
02-07-19,APEXFOODS,188.5,199,188.2,196.7,69534
02-10-19,APEXFOODS,198.5,204,193,195.3,60817
02-11-19,APEXFOODS,195.2,195.2,189.6,190.8,21587
02-12-19,APEXFOODS,192.7,193.9,190,190.3,21431
13-02-19,APEXFOODS,189,194.8,188,189.5,27987
14-02-19,APEXFOODS,194.5,194.5,187,187.7,24393
17-02-19,APEXFOODS,188,190.6,186,187.2,16147
18-02-19,APEXFOODS,185.3,189,185,186.4,13331
19-02-19,APEXFOODS,186.5,189,185.3,188.2,8114
20-02-19,APEXFOODS,188.3,188.9,185.2,185.8,13247
24-02-19,APEXFOODS,186,186.5,185.3,185.4,11776
25-02-19,APEXFOODS,185,185.5,183,183.9,12468
26-02-19,APEXFOODS,184.9,185,181.1,182.1,12568
27-02-19,APEXFOODS,180.1,181.5,176,178.5,16370
03-03-19,APEXFOODS,179.8,179.8,173,173.8,30303
03-04-19,APEXFOODS,174.4,174.6,173,173.8,8003
03-05-19,APEXFOODS,174.8,177,171,173,14793
03-06-19,APEXFOODS,172.2,173.6,169.5,170.4,10569
03-07-19,APEXFOODS,170.9,172.7,169.4,171.4,16006
03-10-19,APEXFOODS,172,175,170.7,173.6,8563
03-11-19,APEXFOODS,173.6,180.9,172,179.7,23424
03-12-19,APEXFOODS,181,181.7,173.5,174.4,12363
13-03-19,APEXFOODS,173.1,179.7,173.1,176.5,17669
14-03-19,APEXFOODS,173.2,180,173.1,177.7,27329
18-03-19,APEXFOODS,175.2,178.9,163,171.1,6204
19-03-19,APEXFOODS,167.1,171,163,168.7,11844
20-03-19,APEXFOODS,165,169.7,165,166.3,13984
