DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,APEXTANRY,134,135.3,133.2,133.2,16522
24-12-18,APEXTANRY,133.5,134.9,132.8,134.1,6104
26-12-18,APEXTANRY,133.5,135.5,133.5,134.1,26953
27-12-18,APEXTANRY,134,136.4,133.7,134.2,25611
01-01-19,APEXTANRY,134.5,135.5,134.4,134.9,8764
01-02-19,APEXTANRY,135.8,137.3,135,135.7,39015
01-03-19,APEXTANRY,135.6,141,135.6,138.6,91545
01-06-19,APEXTANRY,138.5,141.4,138.5,140.7,98219
01-07-19,APEXTANRY,139.5,152.5,139.5,146.4,218386
01-08-19,APEXTANRY,150,155.1,146.5,149.5,204454
01-09-19,APEXTANRY,146.5,149.5,145,146,88044
01-10-19,APEXTANRY,148,149.9,144.3,144.7,180141
13-01-19,APEXTANRY,148.5,151.5,146.6,148.7,166431
14-01-19,APEXTANRY,151.3,153.5,148.4,148.7,146362
15-01-19,APEXTANRY,149,150.4,146.1,147.4,71962
16-01-19,APEXTANRY,147.1,151.5,145,145.7,104735
17-01-19,APEXTANRY,145.2,146.5,143.5,143.7,45792
20-01-19,APEXTANRY,143.5,146.1,141.6,142.4,83876
21-01-19,APEXTANRY,142.7,145,142.3,143.1,32860
22-01-19,APEXTANRY,143.1,144.3,139.5,140.6,45779
23-01-19,APEXTANRY,142.5,142.5,140.1,140.6,32451
24-01-19,APEXTANRY,140.9,145.1,140.5,142.6,70964
27-01-19,APEXTANRY,143.2,144.5,139.7,140.4,64317
28-01-19,APEXTANRY,141,145.5,140.5,143.5,54880
29-01-19,APEXTANRY,143.5,143.6,136.6,137.5,67410
30-01-19,APEXTANRY,136.5,139.5,134.1,136.7,41826
31-01-19,APEXTANRY,138.5,138.5,135,135.8,23016
02-03-19,APEXTANRY,136.5,137.3,134.6,135.6,27021
02-04-19,APEXTANRY,136.5,139.5,135.6,138.5,27391
02-05-19,APEXTANRY,137.2,138.5,137.1,137.8,11647
02-06-19,APEXTANRY,137.5,139.4,137.5,138.3,14000
02-07-19,APEXTANRY,139.5,142.5,139.5,141.7,51384
02-10-19,APEXTANRY,143.3,143.3,138.1,138.8,64087
02-11-19,APEXTANRY,138.8,141,136.5,136.9,65789
02-12-19,APEXTANRY,137.3,138,135.5,136.9,40248
13-02-19,APEXTANRY,137.1,139.5,137.1,138,14917
14-02-19,APEXTANRY,138.3,139.5,136.7,138,26290
17-02-19,APEXTANRY,139,139,138,138.2,14680
18-02-19,APEXTANRY,138.2,139.3,136.7,136.9,26233
19-02-19,APEXTANRY,138.6,138.6,137.4,137.4,8083
20-02-19,APEXTANRY,137.5,138.8,136.5,137.3,21027
24-02-19,APEXTANRY,135.6,138,135.5,137.6,13858
25-02-19,APEXTANRY,137,139.3,136.9,137.4,9827
26-02-19,APEXTANRY,136.2,138,136.2,137,15601
27-02-19,APEXTANRY,137.8,138.9,136.7,137.3,25193
03-03-19,APEXTANRY,136.5,137.9,136.5,137.3,10467
