DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,ATLASBANG,117.5,117.9,116.9,117.3,8815
24-12-18,ATLASBANG,119,120.5,117.2,120,22287
26-12-18,ATLASBANG,120,120.9,118.8,119.5,14157
27-12-18,ATLASBANG,121,122,118.9,121.4,11479
01-01-19,ATLASBANG,120,123.4,119.6,122,14269
01-02-19,ATLASBANG,122,124.5,121.5,122.4,15679
01-03-19,ATLASBANG,124.3,125.3,122.5,123.8,35463
01-06-19,ATLASBANG,124.8,126.5,123.8,124.7,25192
01-07-19,ATLASBANG,124.7,130.4,123.3,128.4,87503
01-08-19,ATLASBANG,131.2,135,130.3,134.3,184841
01-09-19,ATLASBANG,136,147.5,136,144.9,600008
01-10-19,ATLASBANG,144.9,144.9,139,142.6,137026
13-01-19,ATLASBANG,143.6,152.6,142.5,147.2,183062
14-01-19,ATLASBANG,146.5,152.5,143.7,145.2,248583
15-01-19,ATLASBANG,145.4,146.1,140.5,141.7,114802
16-01-19,ATLASBANG,142.4,143.6,135.6,137,97442
17-01-19,ATLASBANG,137,140.2,134.1,135.2,69265
20-01-19,ATLASBANG,135.2,135.2,132.5,133.1,58471
21-01-19,ATLASBANG,138.4,141.5,134.5,136.6,100176
22-01-19,ATLASBANG,139.5,141.8,137.2,137.7,88375
23-01-19,ATLASBANG,141.2,141.2,135.6,135.8,65310
24-01-19,ATLASBANG,135.5,137.8,132,133.3,82544
27-01-19,ATLASBANG,134.3,134.8,129.5,130.3,50669
28-01-19,ATLASBANG,130.6,133.5,129.5,131.3,32249
29-01-19,ATLASBANG,133.5,135.5,131.8,133.6,32625
30-01-19,ATLASBANG,131.5,131.5,127.2,128.3,85141
31-01-19,ATLASBANG,124.5,132.4,123.5,128.4,46819
02-03-19,ATLASBANG,127.6,137,127.6,134.5,84201
02-04-19,ATLASBANG,137.3,139.5,136.5,138.3,142220
02-05-19,ATLASBANG,138.7,143.2,136.5,140.1,147575
02-06-19,ATLASBANG,141.5,149.1,140.5,145,373953
02-07-19,ATLASBANG,145.2,149.1,142.5,145.2,100019
02-10-19,ATLASBANG,145.2,147.2,136,137.3,159881
02-11-19,ATLASBANG,139.5,141.4,137.3,137.9,47452
02-12-19,ATLASBANG,140.5,144.9,138.1,139.2,112241
13-02-19,ATLASBANG,141.8,142.5,136.5,136.6,120660
14-02-19,ATLASBANG,137.6,139.5,135.5,135.9,42242
17-02-19,ATLASBANG,138.4,138.4,136,136.1,31253
18-02-19,ATLASBANG,135.8,141.4,135.5,139,72150
19-02-19,ATLASBANG,139.5,142.5,139.2,141.1,180983
20-02-19,ATLASBANG,141,142.5,140,140.5,66971
24-02-19,ATLASBANG,140,140,137.5,138.9,32594
25-02-19,ATLASBANG,140.2,141.8,138.1,138.9,108550
26-02-19,ATLASBANG,139.2,140.3,136,136.5,26247
27-02-19,ATLASBANG,136.5,138.5,136.1,136.5,112678
03-03-19,ATLASBANG,136.8,141.8,136.7,139.2,75004
03-04-19,ATLASBANG,140.9,141.5,138.8,141,73944
03-05-19,ATLASBANG,141,144.5,140,141.1,95950
03-06-19,ATLASBANG,141.1,144.6,140,143.2,384087
03-07-19,ATLASBANG,143.3,145.5,139.8,140.9,164722
03-10-19,ATLASBANG,140.5,142.2,137.8,138.6,78385
03-11-19,ATLASBANG,137.8,139.8,137.5,137.7,52013
03-12-19,ATLASBANG,138,138,131.5,133.4,92022
13-03-19,ATLASBANG,139.3,139.3,130,131.8,156207
14-03-19,ATLASBANG,132.4,133.9,130.5,131.3,32559
18-03-19,ATLASBANG,130.6,132.7,126.5,131.6,31719
19-03-19,ATLASBANG,131.6,134.5,130,131.9,36301
20-03-19,ATLASBANG,131.2,132.4,130.5,131.3,10043
21-03-19,ATLASBANG,130.5,133.2,130,132.2,14369
24-03-19,ATLASBANG,132.5,136,132.5,134.6,53966
25-03-19,ATLASBANG,135.5,136.5,134.5,136,30150
27-03-19,ATLASBANG,136,138.5,134.9,137.7,87705
28-03-19,ATLASBANG,137.7,141.5,137.7,140.2,275512
31-03-19,ATLASBANG,140.6,140.7,138.3,139.7,100785
04-01-19,ATLASBANG,140.4,142.8,137.8,138.7,87723
04-02-19,ATLASBANG,137.4,138.9,135.2,135.5,100559
04-03-19,ATLASBANG,136.3,136.5,134.4,135.1,94393
04-04-19,ATLASBANG,135.5,138,134.2,136.7,52284
04-07-19,ATLASBANG,138.2,142.5,137.5,140.8,270751
