DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,CONFIDCEM,158.67,158.67,154.85,155.11,218057
24-12-18,CONFIDCEM,156.15,156.76,153.2,153.98,275670
26-12-18,CONFIDCEM,155.89,156.59,148.5,151.28,370777
27-12-18,CONFIDCEM,151.63,156.76,150.93,154.5,700319
01-01-19,CONFIDCEM,157.46,158.5,154.76,158.07,135791
01-02-19,CONFIDCEM,158.59,158.59,154.41,155.28,209808
01-03-19,CONFIDCEM,155.11,159.02,153.72,158.59,248757
01-06-19,CONFIDCEM,159.37,161.2,155.46,159.89,302244
01-07-19,CONFIDCEM,161.11,161.72,158.33,160.33,470977
01-08-19,CONFIDCEM,160.41,167.02,160.15,164.41,826367
01-09-19,CONFIDCEM,165.37,166.67,162.07,162.85,742485
01-10-19,CONFIDCEM,165.2,165.2,159.2,159.63,521298
13-01-19,CONFIDCEM,159.98,166.24,159.8,164.41,357341
14-01-19,CONFIDCEM,164.59,167.72,162.85,164.33,472921
15-01-19,CONFIDCEM,165.37,165.89,160.76,161.46,250311
16-01-19,CONFIDCEM,161.54,164.59,157.63,158.76,289835
17-01-19,CONFIDCEM,157.63,160.15,156.33,157.02,221319
20-01-19,CONFIDCEM,157.2,159.2,155.02,155.89,382936
21-01-19,CONFIDCEM,155.89,157.46,155.89,156.15,250030
22-01-19,CONFIDCEM,156.15,157.46,153.72,154.76,365661
23-01-19,CONFIDCEM,153.72,156.67,152.59,153.02,471821
24-01-19,CONFIDCEM,153.02,158.41,153.02,157.46,255569
27-01-19,CONFIDCEM,158.41,158.5,155.02,155.54,246411
28-01-19,CONFIDCEM,153.98,156.24,153.98,154.85,288474
29-01-19,CONFIDCEM,153.72,155.54,152.59,153.02,293023
30-01-19,CONFIDCEM,151.37,155.54,150.67,153.02,351203
31-01-19,CONFIDCEM,153.28,155.72,153.28,154.59,119319
02-03-19,CONFIDCEM,154.59,154.67,149.54,150.33,454219
02-04-19,CONFIDCEM,150.33,153.28,149.72,150.93,181399
02-05-19,CONFIDCEM,153.2,153.2,149.54,149.98,184546
02-06-19,CONFIDCEM,152.33,152.33,149.8,150.41,173642
