DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DSHGARME,193.73,194.09,187.36,188.09,46365
24-12-18,DSHGARME,190.73,193.64,187.73,192.27,17126
26-12-18,DSHGARME,192.27,195.45,191.36,192.64,25766
27-12-18,DSHGARME,195.36,195.36,189.09,190.18,29082
01-01-19,DSHGARME,191.82,194.09,189.82,191.09,27712
01-02-19,DSHGARME,191.27,198.18,191.27,195.64,56856
01-03-19,DSHGARME,198.09,201.73,195.91,197.64,37870
01-06-19,DSHGARME,202,202.09,195.64,198.45,78256
18-03-19,DSHGARME,206.82,206.82,195.91,196.91,15831
04-01-19,DSHGARME,200.09,202.91,198.27,199,9523
04-03-19,DSHGARME,200,202.64,197.82,199.09,6489
04-04-19,DSHGARME,200,201.82,196.45,199.82,5946
04-07-19,DSHGARME,204.55,204.55,196.82,197.18,10410
04-08-19,DSHGARME,196.36,198.64,193.64,194.64,11472
04-09-19,DSHGARME,194.55,197.27,190.91,191.36,7993
04-10-19,DSHGARME,188.18,199,188.18,191.09,7504
04-11-19,DSHGARME,190.91,196.27,190.91,195.55,15894
15-04-19,DSHGARME,198.09,199.09,192.82,194.18,10924
16-04-19,DSHGARME,191.82,196.55,189.09,195.27,18917
17-04-19,DSHGARME,195.73,195.91,190.91,193.55,7284
18-04-19,DSHGARME,195.91,198,190.45,197.36,5728
23-04-19,DSHGARME,207.27,207.27,192.73,193,7516
24-04-19,DSHGARME,198.09,198.09,190,192.09,11662
25-04-19,DSHGARME,193.82,196.27,192.09,193.36,20867
28-04-19,DSHGARME,193.91,196.36,192.73,193.36,15197
29-04-19,DSHGARME,192.18,193.27,189.09,190.91,10682
30-04-19,DSHGARME,195.91,195.91,190.91,193.64,11667
05-02-19,DSHGARME,190,190.91,177.27,188.64,45221
05-05-19,DSHGARME,189.55,192.09,184.09,188.18,21786
05-06-19,DSHGARME,188.64,189.55,184.36,184.91,16702
05-07-19,DSHGARME,185.55,185.55,180.91,181.55,8169
05-08-19,DSHGARME,181.82,184.36,180.18,181.55,9710
05-09-19,DSHGARME,185.45,185.45,179.91,181,11757
05-12-19,DSHGARME,181.82,181.82,177.27,177.45,10005
13-05-19,DSHGARME,177.64,181.36,175.45,175.64,3215
14-05-19,DSHGARME,181.36,181.36,176.09,176.73,2738
15-05-19,DSHGARME,174.55,175,173,173.36,2279
16-05-19,DSHGARME,172.82,184.36,170.45,182,8578
19-05-19,DSHGARME,184.18,184.45,178.18,178.55,4047
20-05-19,DSHGARME,178.64,179.09,173.82,175.27,3014
21-05-19,DSHGARME,173,176.82,172.82,175.18,2273
22-05-19,DSHGARME,184.18,184.18,174.55,177.36,5092
23-05-19,DSHGARME,179.09,179.09,172.73,173.45,8943
26-05-19,DSHGARME,178,178,172.73,173.36,4723
27-05-19,DSHGARME,172.73,172.73,171.27,171.64,2789
28-05-19,DSHGARME,176.36,176.36,172.73,173,2389
29-05-19,DSHGARME,173.82,176.09,173,174,7693
30-05-19,DSHGARME,172.82,176.36,172.82,173.91,5794
06-09-19,DSHGARME,173.91,177.36,173.64,177.27,5034
06-10-19,DSHGARME,178.82,185.45,178.36,183,9033
06-11-19,DSHGARME,185.36,193.64,183.18,188.09,27377
06-12-19,DSHGARME,187.73,193.64,186.27,187,8925
13-06-19,DSHGARME,188.36,190.73,184,185.09,13495
16-06-19,DSHGARME,186.36,194.55,185.45,192.91,18086
17-06-19,DSHGARME,194.36,203.36,190.91,193.27,27810
18-06-19,DSHGARME,195.18,195.18,187.55,189,6959
19-06-19,DSHGARME,184.55,194.55,184.55,189.18,20833
20-06-19,DSHGARME,190,193.55,190,191,6823
23-06-19,DSHGARME,191.18,191.82,187.36,188.55,12371
24-06-19,DSHGARME,188.73,188.73,186.82,187.18,8704
25-06-19,DSHGARME,187.27,189.91,186.91,187.55,7648
26-06-19,DSHGARME,187.27,190,186.91,187.36,4331
27-06-19,DSHGARME,185.09,187.27,185.09,186.45,3042
30-06-19,DSHGARME,189.82,189.82,183.82,184.73,6766
07-02-19,DSHGARME,185.45,185.45,179.18,179.45,6249
07-03-19,DSHGARME,180.91,181.36,178.18,180,7080
07-04-19,DSHGARME,177.55,181.45,174.91,176,16633
07-07-19,DSHGARME,177.27,177.27,174.55,175.18,7632
07-08-19,DSHGARME,175.18,179,173.64,177.45,2881
07-09-19,DSHGARME,178.73,178.82,173.64,173.73,7569
07-10-19,DSHGARME,170.09,171.64,170.09,171.36,3023
07-11-19,DSHGARME,172.64,172.64,164.64,166.18,9903
14-07-19,DSHGARME,167.27,168.18,164.55,165.55,2906
15-07-19,DSHGARME,164.55,164.55,154.55,155.55,5474
16-07-19,DSHGARME,158.18,160.91,154.91,160,2935
17-07-19,DSHGARME,156.36,158,156.36,157.55,1761
18-07-19,DSHGARME,160.91,163.55,157.73,157.91,11975
21-07-19,DSHGARME,158,158,143.18,143.73,6494
22-07-19,DSHGARME,145.45,145.45,129.36,134,11074
23-07-19,DSHGARME,145.45,145.45,133.64,144.27,15473
24-07-19,DSHGARME,144.27,144.27,137.27,137.73,6645
25-07-19,DSHGARME,141.82,141.82,139.55,140.82,5473
28-07-19,DSHGARME,143.64,154.64,143.09,151.36,22394
29-07-19,DSHGARME,157.18,166.45,157.18,166.45,18268
30-07-19,DSHGARME,170.91,182.64,164.55,166.82,40999
31-07-19,DSHGARME,165.45,175.27,165.45,169.64,23591
08-01-19,DSHGARME,177.27,181.45,170.55,171.91,28205
08-04-19,DSHGARME,171.91,176.09,159.36,164.91,15919
08-05-19,DSHGARME,170,170,156.45,168.27,12718
08-06-19,DSHGARME,172.45,176.18,165.55,166.64,15789
08-07-19,DSHGARME,166.64,171.82,161.18,162.36,13088
08-08-19,DSHGARME,168.09,168.18,160.45,165.91,2574
18-08-19,DSHGARME,166.36,167.82,159.09,163.09,6464
19-08-19,DSHGARME,165.45,171.73,165.45,170.55,12934
20-08-19,DSHGARME,170.91,172.64,166.18,167.45,5850
21-08-19,DSHGARME,169.82,169.91,164.73,165.91,8647
22-08-19,DSHGARME,168,168.18,161.82,164.18,11561
25-08-19,DSHGARME,164.55,164.55,162.36,162.64,4519
26-08-19,DSHGARME,167.27,167.27,159.09,161.18,4301
27-08-19,DSHGARME,161.18,166.27,161,163.45,3286
28-08-19,DSHGARME,163.64,165.18,162.82,163,6235
29-08-19,DSHGARME,163,165,154.73,159.55,5159
09-01-19,DSHGARME,156.45,162.27,155.91,162,7842
09-02-19,DSHGARME,165,170,164.82,166.09,7993
09-03-19,DSHGARME,170.64,182.64,163.91,181.18,50751
09-04-19,DSHGARME,182.73,186.36,175.27,175.82,30802
09-05-19,DSHGARME,173.55,176.36,171.82,174.64,21280
09-08-19,DSHGARME,176.09,180.91,172.09,173,11239
09-09-19,DSHGARME,175.45,175.45,164.55,169.27,13903
09-11-19,DSHGARME,171.82,177.09,168.27,169.73,41767
09-12-19,DSHGARME,170.18,174.45,169.09,169.36,13163
15-09-19,DSHGARME,169.45,169.45,159.73,162.64,18632
16-09-19,DSHGARME,167.27,168.18,160.45,161.55,15684
17-09-19,DSHGARME,167.09,168.18,158.27,159.55,21710
18-09-19,DSHGARME,159.55,159.91,151.09,153,13918
19-09-19,DSHGARME,156.36,156.36,150,151.18,8499
22-09-19,DSHGARME,154.55,157.91,151.36,155.73,5699
23-09-19,DSHGARME,158.45,161.55,157.27,157.82,5290
24-09-19,DSHGARME,160.82,160.82,155.91,156.18,3070
25-09-19,DSHGARME,156.18,158.36,154.18,155.55,3196
26-09-19,DSHGARME,158.09,158.64,152.91,153.45,5709
29-09-19,DSHGARME,155.82,155.82,150.09,151,7290
30-09-19,DSHGARME,151.27,152.27,144,145.64,10508
10-01-19,DSHGARME,150,151.45,145.45,147.55,5552
10-02-19,DSHGARME,148.27,149.82,146.36,147.45,6816
10-03-19,DSHGARME,150,150,145.55,146.27,6723
10-06-19,DSHGARME,146.91,150.91,146.36,146.91,1366
10-07-19,DSHGARME,146.91,146.91,137,139.09,11473
10-09-19,DSHGARME,139.27,142.09,138.18,139.36,11807
10-10-19,DSHGARME,138.27,139.82,134.64,136.09,9316
13-10-19,DSHGARME,135.91,135.91,127.27,129.36,8484
14-10-19,DSHGARME,129.09,129.91,118.18,119.73,6955
15-10-19,DSHGARME,127.18,131.64,121.09,131.64,12590
16-10-19,DSHGARME,133.64,143.64,132,134.27,23954
17-10-19,DSHGARME,134.27,140.82,127.73,135.27,8587
20-10-19,DSHGARME,136.18,138,128.36,133.27,9411
21-10-19,DSHGARME,133.45,133.45,127.27,128.18,7912
22-10-19,DSHGARME,128.18,128.18,119.18,120.45,5158
23-10-19,DSHGARME,127.27,128.64,120,123.91,6480
24-10-19,DSHGARME,128.91,128.91,122.36,125.36,4896
27-10-19,DSHGARME,127.18,129,126,126.82,6953
28-10-19,DSHGARME,131.82,131.82,117.18,120.55,7077
29-10-19,DSHGARME,124.18,130.91,124.18,125.09,6245
