DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,JAMUNAOIL,163.9,164.4,163,163.9,63892
24-12-18,JAMUNAOIL,164,164.8,163.1,164.4,57474
26-12-18,JAMUNAOIL,164.2,166,163.2,164.5,134420
01-01-19,JAMUNAOIL,166,169,165,167.8,170269
01-02-19,JAMUNAOIL,169,170,168,169,144671
01-03-19,JAMUNAOIL,168.6,170.4,168.5,169.3,116402
01-06-19,JAMUNAOIL,169.3,176,168.3,171.6,113872
01-07-19,JAMUNAOIL,173,177,172,173.7,62119
01-08-19,JAMUNAOIL,173.2,175.7,173.2,175.1,43963
01-09-19,JAMUNAOIL,175.8,179.9,175.1,178.7,109743
01-10-19,JAMUNAOIL,180.6,180.6,176.2,180.2,62266
13-01-19,JAMUNAOIL,180,185.5,180,184.1,410235
14-01-19,JAMUNAOIL,186.1,191.9,184.4,187.9,454600
15-01-19,JAMUNAOIL,189,191.4,185.2,190,210056
16-01-19,JAMUNAOIL,188,189.9,185.2,186.1,124341
17-01-19,JAMUNAOIL,184.5,186.8,182.5,182.8,121176
20-01-19,JAMUNAOIL,182,186.9,182,183.9,218872
21-01-19,JAMUNAOIL,186,188.3,183.2,183.5,76217
22-01-19,JAMUNAOIL,182,185.5,182,183.6,126899
23-01-19,JAMUNAOIL,182.5,185.9,182.2,184.3,34280
24-01-19,JAMUNAOIL,182.6,185.1,182.6,184.1,48507
27-01-19,JAMUNAOIL,183,188.4,183,187.8,130452
28-01-19,JAMUNAOIL,189.4,192.7,187,187.9,252803
29-01-19,JAMUNAOIL,187,191.5,186.7,190.8,122334
30-01-19,JAMUNAOIL,191.4,192.8,187.1,188.7,111251
31-01-19,JAMUNAOIL,188,189.8,185.8,186.7,117463
02-03-19,JAMUNAOIL,183,192.7,183,190.4,316831
02-04-19,JAMUNAOIL,191,196,191,193.6,349629
02-05-19,JAMUNAOIL,192.1,193.8,187.7,191.3,113800
02-06-19,JAMUNAOIL,189.7,192,187.6,188.6,104275
02-07-19,JAMUNAOIL,191,191,185.8,186.4,66732
02-10-19,JAMUNAOIL,186.1,188.5,184,187.1,124754
02-11-19,JAMUNAOIL,187,187,183.4,184,93469
02-12-19,JAMUNAOIL,183.7,185.8,181.1,181.9,131067
13-02-19,JAMUNAOIL,185,185.9,180.4,180.8,47744
14-02-19,JAMUNAOIL,180.4,183.8,179.7,180,46734
17-02-19,JAMUNAOIL,180,181,177,179.1,63017
18-02-19,JAMUNAOIL,179.7,179.7,175.1,177.4,128243
19-02-19,JAMUNAOIL,177,179,175,176.2,101658
20-02-19,JAMUNAOIL,176,181.9,176,181.1,131991
