DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,MPETROLEUM,172.2,174.4,172.2,172.8,35439
24-12-18,MPETROLEUM,174,176,173,173.3,22803
26-12-18,MPETROLEUM,174,175.8,172.1,172.3,40315
27-12-18,MPETROLEUM,174.8,174.9,172,173.6,73060
01-01-19,MPETROLEUM,173.1,175,172.2,173.7,20795
01-02-19,MPETROLEUM,175.5,175.5,173.2,173.6,37423
01-03-19,MPETROLEUM,174.8,176,174,175.6,69369
01-06-19,MPETROLEUM,179,179.8,174.6,179.1,134696
01-07-19,MPETROLEUM,179.9,182.5,177.7,181.4,143486
01-08-19,MPETROLEUM,179,182.9,179,182.3,52716
01-09-19,MPETROLEUM,182.8,187,181.4,185.5,135178
01-10-19,MPETROLEUM,187,188.8,185.7,187.5,105425
13-01-19,MPETROLEUM,186,194,185.1,193.3,234564
14-01-19,MPETROLEUM,194.9,203,194.8,196.6,299262
15-01-19,MPETROLEUM,200.8,202.2,195,199.8,228745
16-01-19,MPETROLEUM,200,200,196.1,198.8,200664
17-01-19,MPETROLEUM,198.9,198.9,195.8,197.8,96700
21-01-19,MPETROLEUM,202.3,202.3,198,199,86357
22-01-19,MPETROLEUM,199,199,194.3,196,72257
23-01-19,MPETROLEUM,196,196.9,194.6,195.2,70571
24-01-19,MPETROLEUM,198.9,198.9,195.8,196.6,136007
13-03-19,MPETROLEUM,202,202,199.1,199.2,182021
14-03-19,MPETROLEUM,197.5,200,195,195.3,184224
18-03-19,MPETROLEUM,199,199,187,190.9,379899
19-03-19,MPETROLEUM,188,193,188,191.9,153525
20-03-19,MPETROLEUM,191,194,188.5,189.2,97675
21-03-19,MPETROLEUM,188.6,193,188.6,191.5,97756
24-03-19,MPETROLEUM,189,193.9,188.1,188.7,115323
25-03-19,MPETROLEUM,188.5,190.8,188.1,188.3,122629
27-03-19,MPETROLEUM,190.8,190.8,187.5,188.1,69985
28-03-19,MPETROLEUM,190,190.6,188,188.9,93565
31-03-19,MPETROLEUM,189,189,182.8,183.8,298411
04-01-19,MPETROLEUM,182,184.8,182,183.2,159725
04-02-19,MPETROLEUM,184,186,182.3,183.2,164022
04-03-19,MPETROLEUM,185.6,185.6,180.3,181.4,58431
04-04-19,MPETROLEUM,180,184.2,179.7,180.3,73732
04-07-19,MPETROLEUM,184.8,184.8,179,179.5,54737
04-08-19,MPETROLEUM,181,181,175.2,175.9,100946
04-09-19,MPETROLEUM,178.2,178.2,175.3,175.8,88606
04-10-19,MPETROLEUM,176,178.9,175.3,175.5,76197
04-11-19,MPETROLEUM,178,178,175.5,176.6,46702
15-04-19,MPETROLEUM,176.8,179.6,176.8,178.7,42114
16-04-19,MPETROLEUM,176.5,178.3,176.3,178.1,58185
17-04-19,MPETROLEUM,179.5,179.9,176.3,176.8,61123
18-04-19,MPETROLEUM,176.9,179.3,176.6,178.3,44041
21-04-19,MPETROLEUM,179.9,180,176.5,176.7,56533
23-04-19,MPETROLEUM,179,179,176.1,176.2,46156
24-04-19,MPETROLEUM,176.2,178,174.3,176.5,85333
25-04-19,MPETROLEUM,174.6,177.9,174.6,176.6,33729
28-04-19,MPETROLEUM,175.1,176.7,173.4,175,33901
29-04-19,MPETROLEUM,175,176.4,173.4,175.3,50458
30-04-19,MPETROLEUM,176.5,176.5,173,175.1,92830
05-02-19,MPETROLEUM,179,179,173,173.8,68264
05-05-19,MPETROLEUM,175,176,174.2,175.1,101391
05-06-19,MPETROLEUM,176,176,173.1,173.8,126660
05-07-19,MPETROLEUM,175.9,176,173.3,174.1,37899
05-08-19,MPETROLEUM,175.9,175.9,173.6,173.8,26695
05-09-19,MPETROLEUM,174.2,175.4,173.8,174.4,16460
05-12-19,MPETROLEUM,175.5,175.9,174,174.6,19433
13-05-19,MPETROLEUM,175.8,179,175.5,178.9,98594
14-05-19,MPETROLEUM,179,179.9,177.8,179.2,28402
15-05-19,MPETROLEUM,179.9,179.9,178.1,179.3,16032
16-05-19,MPETROLEUM,180,180.1,175.4,177.5,16768
19-05-19,MPETROLEUM,179.4,179.9,177,179.9,41340
20-05-19,MPETROLEUM,180,180.1,178.7,179.8,14417
21-05-19,MPETROLEUM,180.1,180.1,177.6,177.9,62689
22-05-19,MPETROLEUM,179.7,179.7,177.6,178.7,37318
23-05-19,MPETROLEUM,177.5,179.8,177,178,63167
26-05-19,MPETROLEUM,179.5,179.5,177,177.9,37010
27-05-19,MPETROLEUM,179.8,179.8,177.7,177.9,89357
28-05-19,MPETROLEUM,179.5,182.9,178.4,181.4,87624
29-05-19,MPETROLEUM,180.3,184.6,180.3,184.1,40327
30-05-19,MPETROLEUM,184.9,190.7,182.3,188.8,232865
06-09-19,MPETROLEUM,190.5,192.7,187.5,188,40365
06-10-19,MPETROLEUM,188,188.2,182.9,185.4,165109
06-11-19,MPETROLEUM,185,186.5,182.6,183.4,70643
06-12-19,MPETROLEUM,182.6,183.8,179.1,179.8,149366
13-06-19,MPETROLEUM,184,184,179.5,180.5,17846
16-06-19,MPETROLEUM,182.7,184.3,181,181.1,45473
17-06-19,MPETROLEUM,181.6,183.4,181.5,182,17665
18-06-19,MPETROLEUM,183,183,181,181.7,9088
19-06-19,MPETROLEUM,181.5,182.7,177.6,178.3,56433
20-06-19,MPETROLEUM,178.3,179.5,177.7,178.2,16089
23-06-19,MPETROLEUM,179.6,180.9,178.3,180.5,10387
24-06-19,MPETROLEUM,182.4,183.5,180.2,182.9,37907
25-06-19,MPETROLEUM,183.7,183.8,182,182.7,23076
26-06-19,MPETROLEUM,182.9,183.8,181.4,183.3,51324
27-06-19,MPETROLEUM,183.9,183.9,181.6,182.3,15972
30-06-19,MPETROLEUM,182.3,183.8,181.7,183.1,44194
07-02-19,MPETROLEUM,182,184,179.3,179.8,44878
07-03-19,MPETROLEUM,179.8,182.8,178.9,180.6,18619
07-04-19,MPETROLEUM,180.7,181.4,179.5,179.9,13142
07-07-19,MPETROLEUM,179.3,181.9,179.3,180.7,12110
07-08-19,MPETROLEUM,180.5,181,178.3,178.9,27517
07-09-19,MPETROLEUM,178.4,181.5,178.4,178.9,33709
07-10-19,MPETROLEUM,178,178.6,176.6,177.1,24251
07-11-19,MPETROLEUM,177.2,177.8,175.9,176.9,45964
14-07-19,MPETROLEUM,177.1,179.3,177,177.7,35148
15-07-19,MPETROLEUM,177.7,178.5,176.1,177.4,24108
16-07-19,MPETROLEUM,178.4,178.4,175.9,177,30302
17-07-19,MPETROLEUM,177.4,177.9,175.3,175.8,7199
18-07-19,MPETROLEUM,176,177.5,176,176.4,7796
21-07-19,MPETROLEUM,176.6,176.6,173,173.1,29778
22-07-19,MPETROLEUM,178,191.9,171,171.8,40501
23-07-19,MPETROLEUM,173,176.9,173,176.5,9128
24-07-19,MPETROLEUM,174.5,180,174.5,179.9,19720
25-07-19,MPETROLEUM,177.3,180.9,177.3,180.2,20895
28-07-19,MPETROLEUM,179.8,180,177.5,178.1,18019
29-07-19,MPETROLEUM,177.7,180.5,176.6,179.3,13061
30-07-19,MPETROLEUM,180.8,180.8,176.1,178.7,33513
31-07-19,MPETROLEUM,178,178,176.2,176.5,20799
08-01-19,MPETROLEUM,176.7,177.5,175.4,176.9,28348
08-04-19,MPETROLEUM,180,180,176,177.6,22096
08-05-19,MPETROLEUM,178,178,175.8,176.3,28886
08-06-19,MPETROLEUM,177.9,178.5,175.6,176.1,35466
08-07-19,MPETROLEUM,176.5,178.9,175.2,176,39699
08-08-19,MPETROLEUM,178.3,179.7,176,176.4,22148
18-08-19,MPETROLEUM,176.6,178,176.2,177.2,8754
19-08-19,MPETROLEUM,177.3,179.9,177.3,179.2,18985
20-08-19,MPETROLEUM,181,186.9,181,185.2,128902
21-08-19,MPETROLEUM,188.9,188.9,183.5,184.8,104259
22-08-19,MPETROLEUM,185.2,186.6,183,183.4,17602
25-08-19,MPETROLEUM,183.8,186,183,183.3,17740
26-08-19,MPETROLEUM,183.3,183.3,180,180.2,22340
27-08-19,MPETROLEUM,180.3,181,179,179.6,21589
28-08-19,MPETROLEUM,179.6,181.4,179,179.2,27740
29-08-19,MPETROLEUM,179.5,180.7,177.7,178,26729
09-01-19,MPETROLEUM,182,182,177,177.2,34974
09-02-19,MPETROLEUM,178,178.5,176.4,176.9,27947
09-03-19,MPETROLEUM,177.1,177.1,175.5,175.9,42865
09-04-19,MPETROLEUM,175.8,176.4,171.6,172.1,104959
09-05-19,MPETROLEUM,175,175,168,168.5,144617
09-08-19,MPETROLEUM,173,173,167.1,168.7,50338
09-09-19,MPETROLEUM,172.9,172.9,168,170,29738
09-11-19,MPETROLEUM,170.1,170.1,166.1,166.9,54110
09-12-19,MPETROLEUM,167,167.4,165.5,165.8,35125
15-09-19,MPETROLEUM,167,168,165,165.2,17201
16-09-19,MPETROLEUM,165.8,169.8,165.4,168.9,11175
17-09-19,MPETROLEUM,170.3,170.3,167.3,170,34515
18-09-19,MPETROLEUM,170.7,170.7,166.1,166.3,19137
19-09-19,MPETROLEUM,165.1,170,165.1,167.2,20030
22-09-19,MPETROLEUM,170,170,166,168.9,28179
23-09-19,MPETROLEUM,170.8,171.4,167.2,168.3,43019
24-09-19,MPETROLEUM,170.7,170.7,167.5,167.9,13430
25-09-19,MPETROLEUM,168,168,165.5,166.4,45624
26-09-19,MPETROLEUM,168,168,165.8,166.5,32150
29-09-19,MPETROLEUM,165.6,168.7,165.6,167.5,3932
30-09-19,MPETROLEUM,169.6,171,167.2,169.4,28362
10-01-19,MPETROLEUM,169.1,173.7,169.1,172.1,37975
10-02-19,MPETROLEUM,174,186.9,174,184.8,317295
10-03-19,MPETROLEUM,185,186,178.6,179.1,79186
10-06-19,MPETROLEUM,179.5,179.5,165.1,169.5,126383
10-07-19,MPETROLEUM,170,178,169.5,170.2,19052
10-09-19,MPETROLEUM,171.1,171.9,170.3,171,25428
10-10-19,MPETROLEUM,170,171.8,168.6,171.3,12000
13-10-19,MPETROLEUM,172,172,168.7,168.9,18563
14-10-19,MPETROLEUM,169,170.4,167.1,167.5,27317
15-10-19,MPETROLEUM,171,173,168,170.6,37264
16-10-19,MPETROLEUM,175,175,168.7,169,17372
17-10-19,MPETROLEUM,168,169.9,168,168.4,33814
20-10-19,MPETROLEUM,168,172.2,168,169.8,12978
21-10-19,MPETROLEUM,171.9,171.9,168.3,169.5,20238
22-10-19,MPETROLEUM,169.2,170.3,168.2,169.5,52335
23-10-19,MPETROLEUM,168.5,178,168.5,176.5,71694
24-10-19,MPETROLEUM,180,180,173.2,175.9,36860
27-10-19,MPETROLEUM,176.8,178.9,173,175.1,27547
28-10-19,MPETROLEUM,175.1,176.7,173.1,174.9,26900
29-10-19,MPETROLEUM,174.9,175,172,172.6,31534
30-10-19,MPETROLEUM,172.3,174.7,171,172.9,18902
31-10-19,MPETROLEUM,173.9,174.7,172.6,174.4,36803
11-03-19,MPETROLEUM,175.9,182.1,175.5,181,71649
11-04-19,MPETROLEUM,181.9,186.4,179.6,182.3,193721
11-05-19,MPETROLEUM,185,185,179,181.5,39367
11-06-19,MPETROLEUM,182.7,184.2,179.5,183.4,81514
11-07-19,MPETROLEUM,179,186,179,181.1,172606
11-11-19,MPETROLEUM,184,188.3,104,180.6,150573
11-12-19,MPETROLEUM,187.7,187.7,179.6,180.5,100215
13-11-19,MPETROLEUM,182,182,179.7,180,51903
14-11-19,MPETROLEUM,179.5,181.5,179.5,180.1,46428
17-11-19,MPETROLEUM,182,182,178.4,178.8,36230
18-11-19,MPETROLEUM,180.8,180.8,177.4,178.6,51782
19-11-19,MPETROLEUM,178.6,179.9,178,179.5,47214
20-11-19,MPETROLEUM,179.1,181,179,179.6,126655
21-11-19,MPETROLEUM,179.8,179.8,178.8,179.2,89605
24-11-19,MPETROLEUM,179.1,179.9,178.6,178.7,170735
25-11-19,MPETROLEUM,178.2,179.5,178.2,179.2,302126
26-11-19,MPETROLEUM,182,182,178.1,178.7,564082
27-11-19,MPETROLEUM,179,179.6,178.5,178.6,373255
28-11-19,MPETROLEUM,178.7,178.9,177.8,178.8,219238
12-02-19,MPETROLEUM,193,193,177.1,178.7,124044
12-03-19,MPETROLEUM,180.1,182,178,179.4,50813
12-04-19,MPETROLEUM,178.2,180,177,177.7,25024
12-05-19,MPETROLEUM,178,178,175.2,175.6,61741
12-08-19,MPETROLEUM,177.6,177.6,171.6,172.7,15456
12-09-19,MPETROLEUM,170.5,172.1,168.5,169.9,23008
12-10-19,MPETROLEUM,170.1,172,167.5,168.3,37966
12-11-19,MPETROLEUM,166.2,169.7,165.4,165.9,41582
12-12-19,MPETROLEUM,166,166.5,162.8,163.7,49356
15-12-19,MPETROLEUM,165,165,159.9,162.8,41006
17-12-19,MPETROLEUM,163.5,163.6,161,161.8,22484
18-12-19,MPETROLEUM,162.7,162.7,158.6,160.3,35571
19-12-19,MPETROLEUM,160.3,165,160.3,163.5,23272
22-12-19,MPETROLEUM,162.6,162.6,160.5,161.3,10962
23-12-19,MPETROLEUM,161,162,159.5,160.1,18768
24-12-19,MPETROLEUM,160.3,161.7,159.5,160,22183
26-12-19,MPETROLEUM,159,160.4,158.5,159.9,41326
29-12-19,MPETROLEUM,161.5,162.3,160.6,161.8,5596
30-12-19,MPETROLEUM,161.8,164.9,161.5,163.8,15366
01-01-20,MPETROLEUM,164.8,165.8,163.4,164.9,11085
01-02-20,MPETROLEUM,165.1,167.9,158,162.8,40889
01-05-20,MPETROLEUM,165.5,165.5,162,162.7,9162
01-06-20,MPETROLEUM,162.8,164.7,160,160.2,16415
01-07-20,MPETROLEUM,160.3,161.8,159.1,159.3,35655
01-08-20,MPETROLEUM,160,161.9,158.3,158.8,25831
01-09-20,MPETROLEUM,158,158.3,154.6,155.7,44651
01-12-20,MPETROLEUM,156,160.5,155.8,158,9104
13-01-20,MPETROLEUM,158.1,158.1,154,154.2,32466
14-01-20,MPETROLEUM,154.2,154.8,151,152.2,28030
15-01-20,MPETROLEUM,152.2,156.9,151.5,152.8,19968
16-01-20,MPETROLEUM,154.6,154.8,153,154,13235
19-01-20,MPETROLEUM,157.3,164.9,157,160.6,38088
20-01-20,MPETROLEUM,164,165,160.1,163.6,69467
21-01-20,MPETROLEUM,161,163.4,161,162.3,28935
22-01-20,MPETROLEUM,160.4,160.7,158,158.3,60314
23-01-20,MPETROLEUM,160,163.3,157.8,162.4,36205
26-01-20,MPETROLEUM,163,163.8,160.8,161.1,33647
27-01-20,MPETROLEUM,161.3,163,161,162,23232
28-01-20,MPETROLEUM,161.1,162,158.1,159.1,26721
29-01-20,MPETROLEUM,160,161.4,158,158.3,42287
30-01-20,MPETROLEUM,158,159.3,157,158.3,27570
02-02-20,MPETROLEUM,158,160.8,158,159.9,19970
02-03-20,MPETROLEUM,160.9,163.5,160.9,162.3,31997
02-04-20,MPETROLEUM,162.3,162.7,160,161.5,76515
02-05-20,MPETROLEUM,160.8,162,160.3,161.6,23830
02-06-20,MPETROLEUM,160.1,161,156.3,157,73584
02-09-20,MPETROLEUM,156.2,158.8,156.1,157.2,21113
02-10-20,MPETROLEUM,157.5,157.7,153,153.8,30462
02-11-20,MPETROLEUM,154.5,159.9,153.9,154.2,51672
02-12-20,MPETROLEUM,157,157.9,156,156.9,54809
13-02-20,MPETROLEUM,157.1,162,157.1,159.7,76538
16-02-20,MPETROLEUM,162.8,168.9,161.5,168.4,72802
17-02-20,MPETROLEUM,168.9,172.8,166.1,171.9,158783
18-02-20,MPETROLEUM,171.9,173,169.9,172.2,128869
19-02-20,MPETROLEUM,170,189,169,186.1,336538
20-02-20,MPETROLEUM,186.9,186.9,178.8,180.4,77740
23-02-20,MPETROLEUM,182.6,182.6,177,179.4,69496
24-02-20,MPETROLEUM,179.4,179.4,172,173.4,47392
25-02-20,MPETROLEUM,174.4,174.4,168,169.4,55062
26-02-20,MPETROLEUM,171.9,172,164.2,165,48767
27-02-20,MPETROLEUM,165,167,162.5,163.1,39521
03-01-20,MPETROLEUM,163,170.9,160,168.7,47611
03-02-20,MPETROLEUM,170,172.9,167.1,170.5,34391
03-03-20,MPETROLEUM,172.7,172.8,167.5,169.5,24891
03-04-20,MPETROLEUM,172,172.8,168.1,169.4,60227
03-05-20,MPETROLEUM,168,170.1,165,167.7,55717
03-08-20,MPETROLEUM,168.9,168.9,163.3,164,51916
03-09-20,MPETROLEUM,162.1,165,156,157.4,88758
03-10-20,MPETROLEUM,157.4,166.9,157.4,161.7,23000
03-11-20,MPETROLEUM,165,165,160.6,161.5,30762
03-12-20,MPETROLEUM,166,166,158.1,161.3,53975
15-03-20,MPETROLEUM,156.3,160,151.5,158.9,27537
16-03-20,MPETROLEUM,159,161,155.2,155.7,53961
18-03-20,MPETROLEUM,159,159,150.5,151.6,76968
19-03-20,MPETROLEUM,157,157,157,157,11420
22-03-20,MPETROLEUM,157.8,158.4,157.8,157.8,15762
23-03-20,MPETROLEUM,157.8,157.9,157.8,157.8,9119
24-03-20,MPETROLEUM,157.8,157.8,157.8,157.8,7015
25-03-20,MPETROLEUM,157.8,157.9,157.8,157.8,52643
31-05-20,MPETROLEUM,157.8,157.8,157.8,157.8,18991
06-01-20,MPETROLEUM,157.8,157.8,157.8,157.8,57000
06-02-20,MPETROLEUM,157.8,157.8,157.8,157.8,15696
06-03-20,MPETROLEUM,157.8,157.8,157.8,157.8,2783
06-04-20,MPETROLEUM,157.8,157.8,157.8,157.8,13
06-07-20,MPETROLEUM,157.8,157.8,157.8,157.8,6619
06-08-20,MPETROLEUM,157.8,157.8,157.8,157.8,1833
06-09-20,MPETROLEUM,157.8,157.9,157.8,157.8,108134
06-10-20,MPETROLEUM,157.8,160,157.8,159.2,195211
06-11-20,MPETROLEUM,159.2,160.2,158,159.5,11948
14-06-20,MPETROLEUM,157.9,157.9,157.8,157.8,8158
15-06-20,MPETROLEUM,157.8,157.9,157.8,157.8,26141
16-06-20,MPETROLEUM,157.8,157.9,157.8,157.8,29388
17-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,4627
18-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,421
21-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,3405
22-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,2779
23-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,325
24-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,3402
25-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,2557
28-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,9504
29-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,3997
30-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,3945
07-02-20,MPETROLEUM,157.8,157.8,157.8,157.8,6430
07-05-20,MPETROLEUM,157.8,157.8,157.8,157.8,3047
07-06-20,MPETROLEUM,157.8,157.8,157.8,157.8,298
07-07-20,MPETROLEUM,157.8,157.8,157.8,157.8,48
07-08-20,MPETROLEUM,157.8,157.8,157.8,157.8,2311
07-09-20,MPETROLEUM,157.8,168,157.8,159,55572
07-12-20,MPETROLEUM,164.8,165,160.1,163.7,40394
13-07-20,MPETROLEUM,163.7,163.7,161.1,162.2,24181
14-07-20,MPETROLEUM,159,161.8,159,160.3,1426
15-07-20,MPETROLEUM,158.6,161.6,157.8,158,31681
16-07-20,MPETROLEUM,158.1,158.1,157.8,157.8,11877
19-07-20,MPETROLEUM,157.8,160,157.8,159.7,11903
20-07-20,MPETROLEUM,157.8,159.6,157.8,158,6148
21-07-20,MPETROLEUM,157.9,159.5,157.9,158.6,4098
22-07-20,MPETROLEUM,158.1,159.4,158.1,158.4,4558
23-07-20,MPETROLEUM,158.2,159.9,158.2,158.9,2901
26-07-20,MPETROLEUM,158.9,163,158.9,162.6,24159
27-07-20,MPETROLEUM,163.5,164.4,162.6,164,14517
28-07-20,MPETROLEUM,165,166.5,163.9,165.7,57039
29-07-20,MPETROLEUM,165.5,168.7,164.5,167.8,36169
30-07-20,MPETROLEUM,167,169.2,166.2,168.9,18761
08-03-20,MPETROLEUM,168.1,170.7,166,166.5,33713
08-04-20,MPETROLEUM,166.9,167.7,165.5,166.9,35652
08-05-20,MPETROLEUM,166.9,166.9,165.7,166,20451
08-06-20,MPETROLEUM,166,168.8,164.6,167.7,45055
08-09-20,MPETROLEUM,168.5,175,167.5,174.3,87074
08-10-20,MPETROLEUM,178,178,172,172.8,44452
08-12-20,MPETROLEUM,172.8,175.8,170.2,174.6,53710
13-08-20,MPETROLEUM,175.7,180,175.7,179.4,78483
16-08-20,MPETROLEUM,179.2,191.9,177.1,188.5,127708
17-08-20,MPETROLEUM,192,194.9,186.2,187.6,71711
18-08-20,MPETROLEUM,187.6,188,185,186.9,87257
19-08-20,MPETROLEUM,186.9,189.9,186.9,187.1,20418
20-08-20,MPETROLEUM,185,187,182.1,184.2,98228
23-08-20,MPETROLEUM,184.2,187.5,184.2,187.2,50274
24-08-20,MPETROLEUM,186.2,186.9,184.4,185.2,77506
25-08-20,MPETROLEUM,182.3,186.9,182.3,185.3,51324
26-08-20,MPETROLEUM,185.4,188.2,185,186.3,96949
27-08-20,MPETROLEUM,187,188,185.9,187.1,135825
31-08-20,MPETROLEUM,188,191.9,188,189.2,88175
09-01-20,MPETROLEUM,190.4,192.7,187.5,190.9,168560
09-02-20,MPETROLEUM,192.7,198,191,191.4,225456
09-03-20,MPETROLEUM,193.6,193.7,190,190.8,120017
09-06-20,MPETROLEUM,190.8,191.4,186,187.3,104779
09-07-20,MPETROLEUM,187.9,192.4,187.6,191.3,54231
09-08-20,MPETROLEUM,192,192.9,187,191.7,89999
09-09-20,MPETROLEUM,191.7,198.3,190,197.4,410046
13-09-20,MPETROLEUM,202,204.7,195.1,199.3,276882
14-09-20,MPETROLEUM,200,200,197.2,198.8,73059
22-09-20,MPETROLEUM,200.6,201.9,193,199.2,235998
24-09-20,MPETROLEUM,200.2,200.9,196,197.1,211877
27-09-20,MPETROLEUM,199,200,196.5,196.7,51837
28-09-20,MPETROLEUM,196.7,204.9,196,199.6,82004
29-09-20,MPETROLEUM,198.3,200,196.4,197.8,22623
30-09-20,MPETROLEUM,197,199.2,193.2,195.1,118535
10-01-20,MPETROLEUM,194.4,197,194,194.6,38755
10-04-20,MPETROLEUM,195.2,197,192.8,192.9,41918
10-05-20,MPETROLEUM,196.5,196.5,192.8,193.5,16841
10-06-20,MPETROLEUM,193.5,195,193.2,194.4,23275
10-07-20,MPETROLEUM,194.4,196.5,194.2,194.7,27132
10-08-20,MPETROLEUM,193.2,194.9,193.2,194.1,10639
10-11-20,MPETROLEUM,194,194,190.1,191.6,26771
10-12-20,MPETROLEUM,191.5,192,187.9,188.7,44535
13-10-20,MPETROLEUM,191,192,188.8,189,15517
