DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
01-08-19,NTLTUBES,98.18,104.45,98.09,101.45,1138104
01-09-19,NTLTUBES,102.09,103.64,100.73,102.09,665286
13-01-19,NTLTUBES,99.09,101.36,98.45,100.27,292001
14-01-19,NTLTUBES,100.82,108.18,100.64,104.91,1369390
15-01-19,NTLTUBES,105.45,105.64,102.36,102.73,374208
16-01-19,NTLTUBES,102.73,104.09,100.91,101.45,475741
17-01-19,NTLTUBES,101.82,101.82,100.18,100.45,327764
20-01-19,NTLTUBES,100.82,102.82,100.18,102.27,347390
21-01-19,NTLTUBES,102.73,104.18,101.45,102.09,298843
22-01-19,NTLTUBES,101.82,102.45,100.45,100.82,226707
23-01-19,NTLTUBES,101.36,102.91,101.27,102.09,298208
24-01-19,NTLTUBES,102.73,102.91,101.09,101.36,324721
28-01-19,NTLTUBES,99.91,101.82,99.09,100.82,251851
29-01-19,NTLTUBES,101.09,102.73,100.36,100.64,202951
02-04-19,NTLTUBES,100.82,102.73,100.09,101.64,349804
02-05-19,NTLTUBES,101.82,103.45,101.82,102.55,283643
02-06-19,NTLTUBES,102.73,105,102.27,103.09,1138302
02-07-19,NTLTUBES,104.36,105.36,103.27,103.73,410740
02-10-19,NTLTUBES,105,107.27,103.73,104.27,1024272
02-11-19,NTLTUBES,104.55,104.91,102.82,103.36,263321
02-12-19,NTLTUBES,103.55,104,102.27,102.45,288692
13-02-19,NTLTUBES,102.45,103.18,101.64,101.82,237298
14-02-19,NTLTUBES,103.36,103.36,101.27,101.45,215487
17-02-19,NTLTUBES,101.36,102.45,101,101.18,138225
18-02-19,NTLTUBES,101.09,103.55,100.82,102.64,201853
19-02-19,NTLTUBES,103.45,105.27,102.27,103,358579
20-02-19,NTLTUBES,102.91,105.45,102.45,103.82,369516
24-02-19,NTLTUBES,104.45,106.64,103.91,106.18,533761
25-02-19,NTLTUBES,106.82,109.45,105.82,106.27,1439966
26-02-19,NTLTUBES,107.27,107.27,104.64,105.45,292196
27-02-19,NTLTUBES,105.45,107.18,104.55,106.45,686029
03-03-19,NTLTUBES,108,112.73,107.18,112,1265099
03-04-19,NTLTUBES,112.27,114.27,111,112.82,1144011
03-05-19,NTLTUBES,112.82,115.18,109.64,110.64,1190508
03-06-19,NTLTUBES,110.64,111.64,107.45,108.09,543189
