DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,RANFOUNDRY,139.3,139.3,136.5,137,14501
24-12-18,RANFOUNDRY,138.8,138.8,136.6,137.1,6816
26-12-18,RANFOUNDRY,137.4,137.9,137.1,137.2,15201
27-12-18,RANFOUNDRY,137.3,140.4,137,137.6,25443
01-01-19,RANFOUNDRY,140.2,140.2,137.4,138.8,22893
01-02-19,RANFOUNDRY,138.6,145.3,138.2,141.9,39010
01-03-19,RANFOUNDRY,142,145.3,142,144.3,59010
01-06-19,RANFOUNDRY,144.3,148.4,144.3,145.3,59376
01-07-19,RANFOUNDRY,147.4,150.1,142.9,149,148283
01-08-19,RANFOUNDRY,150.4,161.4,150.4,154.5,135800
01-09-19,RANFOUNDRY,157.3,160.3,151.4,152.6,83167
01-10-19,RANFOUNDRY,155.1,155.1,146.4,147.9,88708
13-01-19,RANFOUNDRY,149.8,152.2,148.7,151.6,46409
14-01-19,RANFOUNDRY,152.4,153.8,146.4,148.3,77092
15-01-19,RANFOUNDRY,148.4,152.9,146.4,151.8,86281
16-01-19,RANFOUNDRY,154.3,159.9,152.4,154.8,206694
17-01-19,RANFOUNDRY,157.3,157.3,148.4,151.6,45957
20-01-19,RANFOUNDRY,149.4,152.3,147.9,148.8,55571
21-01-19,RANFOUNDRY,148.8,151.4,144.4,146.1,48937
22-01-19,RANFOUNDRY,147,148.5,145.9,148.1,37516
23-01-19,RANFOUNDRY,146.4,149.3,144.4,145.4,45133
24-01-19,RANFOUNDRY,145.4,147.4,144.4,144.9,27833
27-01-19,RANFOUNDRY,143.4,146.6,141.9,142.5,34414
28-01-19,RANFOUNDRY,142.5,145.3,142.5,144.6,30257
29-01-19,RANFOUNDRY,145.2,147.2,141.4,143.5,26364
30-01-19,RANFOUNDRY,143.5,145,140.6,141.9,30313
31-01-19,RANFOUNDRY,142.8,142.8,139.4,139.8,33353
02-03-19,RANFOUNDRY,140.4,141.4,138.3,140,27687
02-04-19,RANFOUNDRY,141.4,142.2,139.4,139.7,18887
02-05-19,RANFOUNDRY,141.2,141.2,139,139.6,21765
02-06-19,RANFOUNDRY,141.3,142.3,138.4,139.2,35239
02-07-19,RANFOUNDRY,138.6,143.4,138.4,142.6,28673
02-10-19,RANFOUNDRY,143.6,146.3,141.4,142.9,44306
02-11-19,RANFOUNDRY,142,142.9,140.4,140.9,24046
02-12-19,RANFOUNDRY,141.2,142.2,140.2,140.8,33634
13-02-19,RANFOUNDRY,141.3,145.3,140.4,143.7,59786
14-02-19,RANFOUNDRY,144.2,144.2,140.6,141,28681
