DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,SINGERBD,158.92,162.15,158.92,161.53,180491
24-12-18,SINGERBD,162.99,164.22,160.76,162.38,129112
26-12-18,SINGERBD,162.38,162.99,160.76,161.68,160003
27-12-18,SINGERBD,160.76,163.68,160.38,162.45,429551
01-01-19,SINGERBD,162.53,163.84,162.3,163.61,102604
01-02-19,SINGERBD,164.92,166.22,162.76,165.53,219423
01-03-19,SINGERBD,165.76,166.84,164.15,165.92,322271
01-06-19,SINGERBD,166.15,166.61,164.68,166.22,337520
01-07-19,SINGERBD,168.84,174.61,166.61,169.76,1157892
01-08-19,SINGERBD,172.22,174.22,169.3,170.92,492798
01-09-19,SINGERBD,172.15,180.61,167.68,175.92,1531894
01-10-19,SINGERBD,178.38,181.15,173.07,173.76,737512
13-01-19,SINGERBD,173.92,176.15,171.38,172.15,570587
14-01-19,SINGERBD,172.99,179.99,172.92,176.07,1593618
15-01-19,SINGERBD,176.92,179.99,174.61,176.68,894083
16-01-19,SINGERBD,178.45,180.38,174.99,175.68,690296
17-01-19,SINGERBD,175.68,179.92,169.61,171.76,559774
20-01-19,SINGERBD,173.07,174.15,170.38,170.92,313165
21-01-19,SINGERBD,171.53,174.61,171.38,172.38,253352
22-01-19,SINGERBD,173.53,173.53,169.22,170.22,230836
23-01-19,SINGERBD,171.53,173.38,169.22,172.07,340123
24-01-19,SINGERBD,171.15,172.92,169.76,170.22,312299
27-01-19,SINGERBD,170.3,171.99,169.61,170.84,344687
28-01-19,SINGERBD,170.92,174.99,170.92,173.15,514714
29-01-19,SINGERBD,173.15,175.22,171.53,173.15,388088
30-01-19,SINGERBD,174.61,178.84,173.45,178.07,635159
31-01-19,SINGERBD,177.53,180.61,173.07,173.76,454232
02-03-19,SINGERBD,173.07,176.84,171.53,175.68,314499
02-04-19,SINGERBD,176.92,184.3,176.92,181.84,1227158
02-05-19,SINGERBD,182.61,186.92,178.45,180.61,786313
02-06-19,SINGERBD,180.76,182.3,178.61,179.53,372343
02-07-19,SINGERBD,179.22,184.61,179.22,182.61,496804
02-10-19,SINGERBD,182.3,188.15,182.22,183.92,786841
02-11-19,SINGERBD,182.76,184.53,180.84,181.53,309442
02-12-19,SINGERBD,181.92,182.3,178.53,178.84,277308
13-02-19,SINGERBD,178.45,179.22,175.45,176.68,196622
14-02-19,SINGERBD,176.15,176.15,173.07,174.07,242004
17-02-19,SINGERBD,176.15,176.45,173.15,174.61,124092
18-02-19,SINGERBD,174.22,175.68,174.22,174.68,87932
19-02-19,SINGERBD,174.61,175.76,173.61,174.22,181648
20-02-19,SINGERBD,175.38,180.45,175.07,179.15,235169
24-02-19,SINGERBD,181.3,182.15,178.84,180.45,397458
25-02-19,SINGERBD,180.76,181.53,176.15,177.22,312832
26-02-19,SINGERBD,176.15,179.45,175.45,177.76,219738
27-02-19,SINGERBD,178.15,178.99,176.07,176.92,281002
03-03-19,SINGERBD,184.61,191.53,177.68,183.38,1805726
03-04-19,SINGERBD,183.84,183.84,177.76,179.61,771943
03-05-19,SINGERBD,178.15,188.07,178.15,187.3,957983
03-06-19,SINGERBD,187.3,196.15,187.3,191.84,1196105
03-07-19,SINGERBD,193.07,197.99,190.3,195.76,656608
03-12-19,SINGERBD,202.38,203.84,197.15,199.92,661079
20-03-19,SINGERBD,200.38,201.53,194.22,195.22,621504
21-03-19,SINGERBD,195.22,200.61,193.84,199.15,1152934
25-03-19,SINGERBD,202.3,202.3,181,182.9,2437360
27-03-19,SINGERBD,185.3,193.3,174.6,190.9,680331
28-03-19,SINGERBD,187.3,190.1,183.3,184.4,745999
31-03-19,SINGERBD,184.4,187.2,182.3,186.1,356984
04-01-19,SINGERBD,185.3,188.3,179.8,181.3,431564
04-02-19,SINGERBD,183.2,184.3,177.3,177.9,354633
04-03-19,SINGERBD,178,180.7,174.1,175.5,332121
04-04-19,SINGERBD,175.7,178.8,172.7,177.5,243233
04-07-19,SINGERBD,179.2,179.3,173.3,173.7,229329
04-08-19,SINGERBD,173.9,177.5,173.4,175.3,171474
04-09-19,SINGERBD,174.9,178.3,173.8,174.1,158654
