DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,APEXFOOT,296.5,302.5,290.8,295.6,93865
24-12-18,APEXFOOT,294.5,294.5,283.5,287.7,29802
26-12-18,APEXFOOT,283.6,291.4,279.1,280.2,39397
27-12-18,APEXFOOT,281.3,297.5,278.5,290,43267
01-01-19,APEXFOOT,294.5,298.5,282.6,285.6,20006
01-02-19,APEXFOOT,286.6,289.5,284.8,287.4,6870
01-03-19,APEXFOOT,287.4,312.5,287.4,292.4,24837
01-06-19,APEXFOOT,294.5,297.3,289.5,294.9,33380
01-07-19,APEXFOOT,294.6,303.5,292.9,298.3,43118
01-09-19,APEXFOOT,298.5,303.2,294.9,296.9,27050
01-10-19,APEXFOOT,297.3,303.5,293.5,297.5,28616
16-01-19,APEXFOOT,308.3,311.4,298.3,299.2,23032
20-01-19,APEXFOOT,303.7,304.4,295.5,297.2,17563
21-01-19,APEXFOOT,301.5,301.5,295,295.5,8598
22-01-19,APEXFOOT,295.6,298.8,292.8,293.6,15301
23-01-19,APEXFOOT,295.9,304,289.5,298.9,43725
24-01-19,APEXFOOT,301.5,301.5,289.5,291.2,17981
27-01-19,APEXFOOT,297.1,297.1,291.5,292.3,4309
28-01-19,APEXFOOT,294.5,298.3,293.2,297.1,5691
30-01-19,APEXFOOT,303.5,304.4,287.5,289,23996
31-01-19,APEXFOOT,290,290,283.5,284.5,22375
02-03-19,APEXFOOT,284.5,289.5,284.5,285.6,6734
02-04-19,APEXFOOT,291.1,291.1,285.5,285.9,2297
02-05-19,APEXFOOT,285.5,288.8,285.5,286.4,3522
02-06-19,APEXFOOT,286.6,301.3,284.9,295.9,14760
02-07-19,APEXFOOT,294.5,298.2,290.6,292.2,4665
02-10-19,APEXFOOT,297.4,303,291.7,292.2,7611
02-11-19,APEXFOOT,291.5,299.4,289.7,292.2,8397
02-12-19,APEXFOOT,288.1,289.8,286.6,288,5000
13-02-19,APEXFOOT,294.3,302.5,289.7,291.6,18367
14-02-19,APEXFOOT,296.4,296.4,289.8,291.8,2620
17-02-19,APEXFOOT,291.8,291.8,289.6,289.7,2066
18-02-19,APEXFOOT,289.7,292.5,287.6,289.4,4664
19-02-19,APEXFOOT,287.7,292.4,286.9,289,2476
20-02-19,APEXFOOT,291.6,291.6,288.2,288.4,2200
24-02-19,APEXFOOT,288.4,290,286.5,287.3,4394
25-02-19,APEXFOOT,289.4,296.5,288.6,291.9,1327
26-02-19,APEXFOOT,286.9,292.5,286.7,287.1,8507
27-02-19,APEXFOOT,287.1,287.5,285,285.9,12227
03-03-19,APEXFOOT,284.6,286,282.6,283.6,10342
03-04-19,APEXFOOT,283.6,283.6,279,279.3,16254
03-05-19,APEXFOOT,282.5,286,279.5,284.1,12768
03-06-19,APEXFOOT,286.5,286.5,280.2,280.5,11600
03-07-19,APEXFOOT,284.3,284.5,280.5,280.6,1348
03-10-19,APEXFOOT,280.6,283.5,279.5,280.2,7454
03-11-19,APEXFOOT,283.4,284.5,280.5,283.4,2922
03-12-19,APEXFOOT,283.2,284.5,280.6,282.9,2022
13-03-19,APEXFOOT,285.5,285.5,281.5,281.5,7489
14-03-19,APEXFOOT,279.7,283.4,279.7,281.3,3871
18-03-19,APEXFOOT,278,280.5,277.1,277.2,23491
