DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
15-07-19,ARAMIT,305.1,312,297.1,299.2,7181
21-07-19,ARAMIT,298.1,298.2,281.1,284.8,9184
22-07-19,ARAMIT,270,281,260.7,273.9,10148
23-07-19,ARAMIT,273.8,298,273.8,294.4,4862
24-07-19,ARAMIT,295,295,280,286.9,7192
25-07-19,ARAMIT,289,300,288.4,296.1,3492
10-09-19,ARAMIT,315.7,315.7,296.2,297.4,9615
10-10-19,ARAMIT,297.4,297.4,290,290.6,3020
13-10-19,ARAMIT,291,291,277.2,279.6,2897
14-10-19,ARAMIT,274.2,276,254.7,263.2,5904
15-10-19,ARAMIT,270,286.6,268.1,286.6,5372
16-10-19,ARAMIT,288.2,288.2,272.2,275,5349
17-10-19,ARAMIT,275,283.7,261.7,280.6,2115
20-10-19,ARAMIT,275,280.9,270.5,273.3,2300
21-10-19,ARAMIT,275,275,265,265.4,3650
22-10-19,ARAMIT,265.4,269.7,245,261.8,2429
23-10-19,ARAMIT,247.1,269,247.1,268,2108
24-10-19,ARAMIT,256.2,274.2,256.2,271.1,2151
27-10-19,ARAMIT,276.4,276.4,270.2,271,2655
28-10-19,ARAMIT,267,267.1,259.2,260.6,3451
29-10-19,ARAMIT,265.7,315,263,297.6,25897
30-10-19,ARAMIT,304.5,304.5,285,287.6,8645
31-10-19,ARAMIT,290.9,291,281,288.4,9970
11-03-19,ARAMIT,295,295,285.1,285.8,4690
11-04-19,ARAMIT,283,283,272.1,276.2,4409
11-05-19,ARAMIT,271.5,283,271.5,279.9,2202
11-06-19,ARAMIT,279,282.9,272.2,275.6,5051
11-07-19,ARAMIT,277.5,282.7,275,275.2,5164
11-11-19,ARAMIT,280,280,272.1,273,2485
11-12-19,ARAMIT,274,274,269,269.3,2807
13-11-19,ARAMIT,267,274,263.4,264.3,2556
14-11-19,ARAMIT,265,265,258,258.7,2435
17-11-19,ARAMIT,259,269.7,255,261,5775
18-11-19,ARAMIT,266,274.8,265.5,268.1,4893
19-11-19,ARAMIT,268.1,268.8,255,256.5,5561
20-11-19,ARAMIT,256.7,263.3,255,255.9,4487
24-11-19,ARAMIT,253,261.1,252.9,256.5,5365
25-11-19,ARAMIT,255.4,262,252.1,260.3,4855
26-11-19,ARAMIT,254.2,264.7,254.2,256.1,5735
27-11-19,ARAMIT,261,270,256.7,264.4,8269
28-11-19,ARAMIT,264.5,268.8,259,266,5740
12-01-19,ARAMIT,266.8,268,255,257,9315
12-02-19,ARAMIT,260,260,255.1,255.4,1905
12-03-19,ARAMIT,255.5,259,255.5,255.7,1643
12-04-19,ARAMIT,259.7,260.5,257,258.1,5488
12-05-19,ARAMIT,258.1,259.8,254,256.6,2392
12-08-19,ARAMIT,258.8,260.9,251.5,252.9,5723
12-09-19,ARAMIT,256.3,256.3,251,251.9,3153
12-10-19,ARAMIT,253,253,245,249.3,6269
12-11-19,ARAMIT,246.3,247.1,235.6,237.2,6733
12-12-19,ARAMIT,231.6,245,229,241.7,9723
15-12-19,ARAMIT,248.9,249,236.4,240.3,1729
17-12-19,ARAMIT,240.3,240.3,230,231.7,1208
18-12-19,ARAMIT,232,233.8,230,233.3,1221
19-12-19,ARAMIT,238,238,230.9,232.7,1106
22-12-19,ARAMIT,230.4,232.5,230.4,231.9,645
23-12-19,ARAMIT,232,233.1,230,230.2,1705
24-12-19,ARAMIT,229,230,228.6,228.9,1664
26-12-19,ARAMIT,229.2,233,229.2,232.3,1439
29-12-19,ARAMIT,230.4,234.6,228,229.5,3681
30-12-19,ARAMIT,233.5,233.5,224,228.6,2018
01-01-20,ARAMIT,229.5,238,229.5,237.4,3692
01-02-20,ARAMIT,239.5,242.5,239,241.4,6189
01-05-20,ARAMIT,241.4,241.4,237,237.1,3043
01-06-20,ARAMIT,238.1,238.1,228,228.7,6173
01-07-20,ARAMIT,234.8,234.8,218,219.3,2631
