DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,IBNSINA,239.95,242.85,239.55,240.15,38367
24-12-18,IBNSINA,240.15,245.15,239.75,244.65,20860
26-12-18,IBNSINA,245.15,245.35,242.55,244.45,32873
27-12-18,IBNSINA,246.95,247.15,244.55,244.75,37451
01-01-19,IBNSINA,244.75,255.15,244.25,253.05,67025
01-02-19,IBNSINA,253.05,255.65,250.95,252.95,129710
01-03-19,IBNSINA,253.15,254.65,250.65,252.45,74977
01-06-19,IBNSINA,255.15,258.85,252.65,255.75,105691
01-07-19,IBNSINA,257.15,258.15,250.25,250.75,78117
01-08-19,IBNSINA,249.75,257.15,249.75,253.85,70952
01-09-19,IBNSINA,254.45,256.45,252.55,253.25,182419
01-10-19,IBNSINA,254.15,266.85,254.15,263.85,222191
13-01-19,IBNSINA,265.85,270.15,262.65,266.05,161128
14-01-19,IBNSINA,265.25,268.75,258.35,259.25,144975
15-01-19,IBNSINA,260.65,263.15,256.15,257.55,89160
16-01-19,IBNSINA,258.15,265.15,258.15,259.25,185399
17-01-19,IBNSINA,262.95,263.15,256.65,257.95,68443
20-01-19,IBNSINA,258.15,263.75,256.75,258.85,97689
21-01-19,IBNSINA,261.05,261.05,256.35,257.15,72001
22-01-19,IBNSINA,257.15,258.85,256.15,256.75,104916
23-01-19,IBNSINA,256.45,257.05,253.25,253.55,159118
24-01-19,IBNSINA,253.25,256.15,252.45,253.55,111177
27-01-19,IBNSINA,254.25,255.65,253.25,253.45,52445
28-01-19,IBNSINA,255.85,260.25,254.25,256.85,61965
29-01-19,IBNSINA,258.65,258.95,254.15,255.05,58553
30-01-19,IBNSINA,256.85,256.85,253.75,254.05,53253
31-01-19,IBNSINA,253.15,257.95,252.45,252.95,67437
02-03-19,IBNSINA,255.85,255.85,252.95,253.85,62344
02-04-19,IBNSINA,253.35,256.85,253.25,254.35,30148
02-05-19,IBNSINA,256.05,257.15,253.85,255.25,84747
02-06-19,IBNSINA,255.15,256.65,253.65,254.15,61546
02-07-19,IBNSINA,254.15,255.65,254.05,254.45,75912
02-10-19,IBNSINA,255.45,265.05,254.65,258.55,120390
02-11-19,IBNSINA,260.15,262.95,258.55,260.55,131138
02-12-19,IBNSINA,261.65,261.65,255.65,256.25,34088
13-02-19,IBNSINA,255.85,258.55,255.85,258.15,39728
14-02-19,IBNSINA,256.35,258.05,253.65,254.05,55462
17-02-19,IBNSINA,255.85,256.15,253.65,254.15,31695
18-02-19,IBNSINA,254.25,254.85,252.25,252.75,53420
19-02-19,IBNSINA,252.75,255.85,251.85,253.95,47218
20-02-19,IBNSINA,253.95,256.85,252.55,253.45,46069
24-02-19,IBNSINA,253.75,255.95,253.75,255.05,20259
25-02-19,IBNSINA,254.25,255.05,253.15,254.05,39887
26-02-19,IBNSINA,253.65,256.15,253.15,254.95,18591
27-02-19,IBNSINA,255.65,257.85,253.65,254.25,55514
03-03-19,IBNSINA,255.15,258.45,252.35,255.45,53082
03-04-19,IBNSINA,255.55,257.15,253.55,253.85,14478
03-05-19,IBNSINA,254.15,257.15,253.85,256.55,54389
03-06-19,IBNSINA,256.55,259.65,256.55,259.05,178108
03-07-19,IBNSINA,260.45,264.65,258.25,259.65,122612
03-10-19,IBNSINA,259.95,261.15,259.25,259.65,44608
03-11-19,IBNSINA,260.95,260.95,257.15,257.65,26359
03-12-19,IBNSINA,257.65,258.15,256.15,256.45,36467
13-03-19,IBNSINA,255.45,256.95,253.15,253.45,72808
14-03-19,IBNSINA,256.15,256.15,253.15,253.35,48183
18-03-19,IBNSINA,253.65,255.25,251.25,252.25,48970
19-03-19,IBNSINA,252.25,256.65,250.75,253.25,46617
20-03-19,IBNSINA,256.55,256.55,253.15,253.95,21146
21-03-19,IBNSINA,256.05,256.55,252.35,252.65,81505
24-03-19,IBNSINA,252.65,254.15,251.65,252.35,23901
25-03-19,IBNSINA,253.15,255.45,251.75,252.05,33149
27-03-19,IBNSINA,252.05,253.85,250.65,252.35,17014
28-03-19,IBNSINA,253.15,254.15,248.25,253.25,12763
31-03-19,IBNSINA,252.25,255.15,251.15,251.45,16879
04-01-19,IBNSINA,253.35,255.55,252.15,252.65,47207
04-02-19,IBNSINA,254.85,255.35,252.05,252.15,16709
04-03-19,IBNSINA,253.95,253.95,248.85,251.55,26604
04-04-19,IBNSINA,249.55,254.45,249.45,252.75,24061
04-07-19,IBNSINA,253.15,253.15,251.55,251.65,9276
04-08-19,IBNSINA,250.65,251.15,246.15,247.85,18376
04-09-19,IBNSINA,249.15,249.15,245.95,246.25,28502
04-10-19,IBNSINA,246.65,252.15,243.15,244.65,40822
04-11-19,IBNSINA,246.15,249.15,245.65,248.45,21394
15-04-19,IBNSINA,252.05,253.65,247.15,247.35,16433
16-04-19,IBNSINA,247.35,247.35,244.15,244.25,10992
17-04-19,IBNSINA,244.45,245.95,244.15,244.95,9231
18-04-19,IBNSINA,245.55,248.55,245.55,248.25,10340
21-04-19,IBNSINA,248.65,249.35,246.85,247.25,10952
23-04-19,IBNSINA,246.25,248.15,244.25,246.25,8468
24-04-19,IBNSINA,247.75,249.05,244.25,247.85,12129
25-04-19,IBNSINA,247.65,247.75,245.65,247.15,7360
28-04-19,IBNSINA,247.15,250.95,246.35,249.95,21412
29-04-19,IBNSINA,252.85,252.85,247.95,249.15,25348
30-04-19,IBNSINA,248.25,251.15,247.25,248.75,27032
05-02-19,IBNSINA,249.15,252.15,249.15,251.55,19983
05-05-19,IBNSINA,253.55,255.15,251.55,253.25,26943
05-06-19,IBNSINA,253.25,255.05,249.15,250.35,38019
05-07-19,IBNSINA,250.65,252.75,247.35,247.65,30273
05-08-19,IBNSINA,248.15,250.15,247.35,248.05,19374
05-09-19,IBNSINA,250.15,252.15,248.25,249.95,2098
05-12-19,IBNSINA,252.15,252.15,249.15,249.45,7602
13-05-19,IBNSINA,250.05,250.05,246.95,247.75,18493
14-05-19,IBNSINA,248.15,251.05,246.75,246.85,11754
15-05-19,IBNSINA,246.85,248.75,243.15,244.85,22193
16-05-19,IBNSINA,244.75,246.15,243.15,244.55,9573
19-05-19,IBNSINA,245.05,247.65,243.25,246.55,16955
20-05-19,IBNSINA,246.55,247.65,243.65,244.05,14492
21-05-19,IBNSINA,243.45,245.15,243.35,244.45,12676
22-05-19,IBNSINA,247.45,247.85,244.45,247.15,10049
23-05-19,IBNSINA,247.25,251.05,245.35,249.85,19057
26-05-19,IBNSINA,245.75,251.15,245.75,250.15,27053
27-05-19,IBNSINA,250.15,252.15,247.85,250.75,25741
28-05-19,IBNSINA,252.25,252.35,250.15,251.75,17211
29-05-19,IBNSINA,249.15,252.85,249.15,250.85,12631
30-05-19,IBNSINA,250.35,252.55,250.15,252.25,37657
06-09-19,IBNSINA,253.35,254.05,251.65,251.95,19542
06-10-19,IBNSINA,252.85,255.75,251.75,253.25,66617
06-11-19,IBNSINA,253.15,258.15,253.15,255.95,73880
06-12-19,IBNSINA,256.35,257.65,255.35,256.25,79023
13-06-19,IBNSINA,256.15,257.65,253.15,254.55,32752
16-06-19,IBNSINA,257.15,257.15,252.15,255.05,28517
17-06-19,IBNSINA,254.05,255.35,251.15,253.35,20770
18-06-19,IBNSINA,251.85,253.65,251.25,252.15,12214
19-06-19,IBNSINA,251.35,254.15,250.15,251.15,17693
20-06-19,IBNSINA,253.95,255.05,251.05,253.95,40475
23-06-19,IBNSINA,254.55,254.85,252.65,254.45,7392
24-06-19,IBNSINA,254.15,255.05,252.15,252.65,23265
25-06-19,IBNSINA,251.95,253.25,251.65,252.25,18110
26-06-19,IBNSINA,251.15,254.15,251.15,254.05,35045
27-06-19,IBNSINA,253.95,256.25,253.95,255.95,28127
30-06-19,IBNSINA,257.05,258.15,256.15,257.25,103198
07-02-19,IBNSINA,257.15,257.15,254.45,255.75,15185
07-03-19,IBNSINA,254.15,256.05,254.15,254.55,16919
07-04-19,IBNSINA,256.05,258.15,253.35,257.05,49083
07-07-19,IBNSINA,255.95,256.95,255.55,256.25,8626
07-08-19,IBNSINA,254.75,256.95,254.45,254.55,10821
07-09-19,IBNSINA,254.55,255.45,253.05,253.25,19895
07-10-19,IBNSINA,253.15,254.95,252.55,254.05,62559
07-11-19,IBNSINA,253.15,257.15,252.15,254.55,43493
14-07-19,IBNSINA,253.15,256.05,252.65,254.15,31037
15-07-19,IBNSINA,252.15,252.95,248.35,249.95,27441
16-07-19,IBNSINA,248.35,253.15,248.35,250.85,22224
17-07-19,IBNSINA,251.05,252.05,248.15,250.25,10322
18-07-19,IBNSINA,250.25,254.15,250.05,253.55,16896
21-07-19,IBNSINA,250.15,253.55,243.25,246.65,40162
22-07-19,IBNSINA,252.65,255.15,242.75,243.45,41252
23-07-19,IBNSINA,243.25,253.15,243.15,249.85,36523
24-07-19,IBNSINA,252.55,252.55,247.25,248.95,25675
25-07-19,IBNSINA,250.15,251.15,247.15,247.85,11635
28-07-19,IBNSINA,248.35,248.35,243.75,247.45,39031
29-07-19,IBNSINA,250.05,250.05,247.15,248.35,28263
30-07-19,IBNSINA,250.05,251.35,249.55,250.25,24489
31-07-19,IBNSINA,248.15,251.65,247.85,249.25,14658
08-01-19,IBNSINA,250.35,250.35,246.55,248.15,18453
08-04-19,IBNSINA,248.25,250.15,246.15,246.55,33327
08-05-19,IBNSINA,246.05,248.15,246.05,246.45,17015
08-06-19,IBNSINA,246.85,249.65,246.75,248.15,26365
08-07-19,IBNSINA,249.85,252.55,248.15,248.35,23963
08-08-19,IBNSINA,247.75,251.55,247.75,250.25,11601
18-08-19,IBNSINA,251.15,258.05,250.15,257.45,59660
19-08-19,IBNSINA,258.05,259.35,254.15,256.15,27721
20-08-19,IBNSINA,254.25,255.65,251.65,253.05,24207
21-08-19,IBNSINA,251.75,254.45,251.75,253.45,13019
22-08-19,IBNSINA,252.35,253.25,251.95,252.35,10656
25-08-19,IBNSINA,252.35,253.65,251.15,253.05,50451
26-08-19,IBNSINA,253.35,254.35,250.15,254.05,37649
27-08-19,IBNSINA,254.25,255.15,252.15,253.65,46672
28-08-19,IBNSINA,253.65,255.15,251.65,252.15,20041
29-08-19,IBNSINA,251.65,252.65,250.55,251.95,24576
09-01-19,IBNSINA,251.85,255.15,250.65,255.05,43686
09-02-19,IBNSINA,256.65,263.15,255.45,262.15,207159
09-03-19,IBNSINA,266.05,266.05,257.35,260.65,103926
09-04-19,IBNSINA,259.55,261.05,255.15,256.75,44059
09-05-19,IBNSINA,255.25,258.65,254.65,256.65,37825
09-08-19,IBNSINA,258.75,263.15,258.75,262.75,127236
09-09-19,IBNSINA,264.15,284.05,263.25,274.65,614728
09-11-19,IBNSINA,274.65,274.65,264.15,265.25,143827
09-12-19,IBNSINA,265.25,268.15,259.25,261.15,177292
15-09-19,IBNSINA,261.15,266.45,255.45,257.45,78137
16-09-19,IBNSINA,257.45,261.55,254.95,257.05,70474
17-09-19,IBNSINA,256.15,257.15,235.15,246.55,93846
18-09-19,IBNSINA,246.15,254.15,243.25,244.05,79099
19-09-19,IBNSINA,243.45,247.15,239.15,239.85,48258
22-09-19,IBNSINA,229.85,242.05,218.35,237.75,189740
23-09-19,IBNSINA,237.85,242.15,233.15,235.35,57703
24-09-19,IBNSINA,235.35,241.15,231.25,236.85,57012
25-09-19,IBNSINA,237.75,244.15,234.65,243.25,69444
26-09-19,IBNSINA,244.15,248.05,243.15,246.75,41289
29-09-19,IBNSINA,246.15,250.05,245.15,248.65,55297
30-09-19,IBNSINA,249.45,253.15,245.85,248.45,51568
10-01-19,IBNSINA,246.65,248.45,245.35,246.75,31138
10-02-19,IBNSINA,247.15,248.15,243.25,244.95,27368
10-03-19,IBNSINA,247.65,247.65,243.55,246.65,30231
10-06-19,IBNSINA,248.05,248.05,244.15,245.35,29204
10-07-19,IBNSINA,247.65,251.15,244.55,245.25,35536
10-09-19,IBNSINA,245.35,245.35,235.35,236.25,29363
10-10-19,IBNSINA,238.05,238.15,235.15,235.55,24698
13-10-19,IBNSINA,235.15,241.15,235.15,236.35,24096
15-10-19,IBNSINA,239.35,239.35,232.25,234.65,42392
16-10-19,IBNSINA,231.75,245.85,231.75,240.25,20810
17-10-19,IBNSINA,240.95,245.65,232.25,241.25,17594
20-10-19,IBNSINA,236.15,242.15,236.15,240.15,12919
21-10-19,IBNSINA,240.15,245.15,237.45,242.85,24226
22-10-19,IBNSINA,242.15,242.15,230.15,233.65,15672
23-10-19,IBNSINA,234.15,238.15,231.65,235.25,16214
24-10-19,IBNSINA,235.25,236.15,233.65,234.75,20077
27-10-19,IBNSINA,232.15,243.15,230.85,238.05,43405
28-10-19,IBNSINA,238.25,241.15,234.95,237.95,14281
29-10-19,IBNSINA,237.15,243.05,232.95,234.65,29796
30-10-19,IBNSINA,234.65,236.85,234.25,235.65,9816
31-10-19,IBNSINA,234.25,236.15,233.15,233.85,29935
11-03-19,IBNSINA,233.15,234.25,231.15,231.65,6478
11-04-19,IBNSINA,231.65,240.95,231.35,236.25,21982
11-05-19,IBNSINA,238.95,239.85,234.35,237.65,21438
11-06-19,IBNSINA,235.25,237.05,235.15,235.75,7233
11-07-19,IBNSINA,233.65,236.05,231.15,232.95,56241
11-11-19,IBNSINA,237.95,237.95,234.85,237.25,31190
11-12-19,IBNSINA,237.15,241.95,234.65,240.95,32681
13-11-19,IBNSINA,240.95,246.15,237.65,239.15,54494
14-11-19,IBNSINA,237.65,239.95,234.85,237.65,29784
17-11-19,IBNSINA,238.95,240.65,233.05,238.85,28031
18-11-19,IBNSINA,238.85,239.95,235.85,238.95,31686
19-11-19,IBNSINA,239.05,242.95,237.55,238.65,18138
20-11-19,IBNSINA,241.95,241.95,236.45,236.95,6269
21-11-19,IBNSINA,240.95,240.95,236.25,237.45,7279
24-11-19,IBNSINA,240.75,243.05,236.15,236.25,25070
25-11-19,IBNSINA,240.55,240.55,234.65,237.15,10554
26-11-19,IBNSINA,240.85,240.85,233.25,234.25,14822
27-11-19,IBNSINA,236.15,236.15,231.65,232.25,28337
28-11-19,IBNSINA,236.05,240.65,233.55,234.25,33209
12-01-19,IBNSINA,236.05,241.15,233.95,234.15,36345
12-02-19,IBNSINA,238.05,240.15,234.25,234.75,23376
12-03-19,IBNSINA,238.15,238.25,234.15,234.65,4406
12-04-19,IBNSINA,237.85,237.85,233.65,235.85,12544
12-05-19,IBNSINA,237.05,237.05,233.15,233.75,4248
12-08-19,IBNSINA,233.55,241.15,232.85,233.15,23882
12-09-19,IBNSINA,232.35,234.15,231.15,231.65,7946
