DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
13-01-19,KAY&QUE,202.65,217.15,202.65,217.15,142940
14-01-19,KAY&QUE,223.45,233.85,213.95,218.75,199984
15-01-19,KAY&QUE,215.15,231.75,210.85,225.95,129585
16-01-19,KAY&QUE,229.75,234.85,223.35,224.85,110278
17-01-19,KAY&QUE,224.85,229.75,221.25,223.15,59541
20-01-19,KAY&QUE,226.65,226.65,221.95,223.35,70027
21-01-19,KAY&QUE,226.65,232.65,220.85,222.75,57837
22-01-19,KAY&QUE,225.85,242.25,225.85,241.15,175158
23-01-19,KAY&QUE,240.05,247.85,232.15,233.75,90784
24-01-19,KAY&QUE,235.55,238.85,227.15,228.75,70104
27-01-19,KAY&QUE,230.65,230.65,208.65,209.55,85524
28-01-19,KAY&QUE,205.85,217.85,194.45,214.65,76307
29-01-19,KAY&QUE,216.85,218.85,207.85,210.75,45233
30-01-19,KAY&QUE,209.15,212.75,201.85,204.15,62681
31-01-19,KAY&QUE,206.65,213.85,204.85,212.15,39484
02-03-19,KAY&QUE,215.35,217.85,204.35,205.65,50861
02-04-19,KAY&QUE,208.75,208.75,201.85,203.55,24720
02-05-19,KAY&QUE,204.85,206.65,201.85,205.25,16659
02-06-19,KAY&QUE,207.75,209.35,203.85,205.35,20391
02-07-19,KAY&QUE,205.35,217.35,205.35,214.25,54604
02-10-19,KAY&QUE,216.85,218.85,206.85,209.85,44593
02-11-19,KAY&QUE,210.85,212.35,202.85,205.55,30232
02-12-19,KAY&QUE,208.15,208.15,200.85,201.95,37227
13-02-19,KAY&QUE,203.05,212.45,202.85,207.75,32238
14-02-19,KAY&QUE,207.75,208.85,199.85,200.85,37422
25-02-19,KAY&QUE,191.85,201.85,190.85,200.35,59403
03-04-19,KAY&QUE,200.05,208.85,199.85,205.75,68046
03-12-19,KAY&QUE,197.75,210.85,196.85,201.85,99365
13-03-19,KAY&QUE,204.85,219.55,204.85,219.55,176388
14-03-19,KAY&QUE,215.85,224.25,213.95,217.95,103385
18-03-19,KAY&QUE,219.65,219.65,203.85,209.05,50857
19-03-19,KAY&QUE,211.35,217.15,204.85,211.55,38843
20-03-19,KAY&QUE,211.55,216.05,207.55,210.75,61536
21-03-19,KAY&QUE,212.65,216.85,209.55,215.35,51001
24-03-19,KAY&QUE,217.85,234.15,217.35,230.95,117114
25-03-19,KAY&QUE,234.65,236.85,220.95,223.55,70165
27-03-19,KAY&QUE,223.85,236.75,219.55,230.15,116823
28-03-19,KAY&QUE,233.85,235.75,229.45,232.95,83057
31-03-19,KAY&QUE,235.85,243.85,235.65,238.55,142513
04-01-19,KAY&QUE,238.55,242.45,232.85,234.05,70177
04-02-19,KAY&QUE,237.65,237.65,228.85,229.65,60817
04-03-19,KAY&QUE,229.95,237.25,228.15,233.35,64782
04-04-19,KAY&QUE,236.35,243.85,234.95,242.05,98892
04-07-19,KAY&QUE,243.75,245.85,237.05,240.55,55259
04-08-19,KAY&QUE,239.95,244.35,237.35,240.85,79192
04-09-19,KAY&QUE,242.85,261.55,240.05,255.15,144001
04-10-19,KAY&QUE,257.85,262.15,252.45,254.85,125801
04-11-19,KAY&QUE,256.35,256.85,250.85,252.85,85802
15-04-19,KAY&QUE,255.45,255.55,230.65,234.55,122347
16-04-19,KAY&QUE,233.85,240.75,218.85,234.65,132807
17-04-19,KAY&QUE,238.45,241.15,232.85,235.25,89544
18-04-19,KAY&QUE,233.35,244.75,233.35,242.15,80450
21-04-19,KAY&QUE,246.65,248.85,239.65,243.95,75753
23-04-19,KAY&QUE,244.55,245.85,232.05,233.35,100325
24-04-19,KAY&QUE,231.15,234.15,221.95,224.05,96474
25-04-19,KAY&QUE,224.05,224.85,216.65,219.35,98502
28-04-19,KAY&QUE,222.75,227.85,217.65,222.55,83073
29-04-19,KAY&QUE,217.05,223.75,211.15,221.25,67276
30-04-19,KAY&QUE,222.05,231.85,222.05,225.95,84080
05-02-19,KAY&QUE,228.85,237.75,227.35,236.35,79861
05-05-19,KAY&QUE,238.85,245.85,238.85,240.85,111746
05-06-19,KAY&QUE,243.85,258.55,240.05,255.35,182806
05-07-19,KAY&QUE,263.85,265.75,238.15,240.25,184354
05-08-19,KAY&QUE,240.25,242.75,232.35,239.55,83182
05-09-19,KAY&QUE,240.85,243.85,238.85,240.55,55369
05-12-19,KAY&QUE,243.75,244.85,230.85,232.35,62984
13-05-19,KAY&QUE,235.75,235.75,228.95,232.25,31256
14-05-19,KAY&QUE,234.35,236.75,230.85,235.35,29034
15-05-19,KAY&QUE,237.65,238.05,233.85,234.65,14421
16-05-19,KAY&QUE,236.25,236.65,231.95,232.65,34087
19-05-19,KAY&QUE,234.65,234.65,227.45,229.05,29795
20-05-19,KAY&QUE,232.05,232.05,218.85,221.85,38147
21-05-19,KAY&QUE,219.95,225.85,216.35,222.15,40062
22-05-19,KAY&QUE,222.75,225.35,219.65,222.35,36478
23-05-19,KAY&QUE,223.35,224.15,217.85,219.15,45454
26-05-19,KAY&QUE,218.05,220.65,211.85,213.25,38328
27-05-19,KAY&QUE,213.85,223.85,213.85,222.15,53269
28-05-19,KAY&QUE,225.85,227.85,221.85,225.15,43017
29-05-19,KAY&QUE,227.65,227.75,221.85,224.95,37155
30-05-19,KAY&QUE,222.35,226.55,220.85,223.15,26558
06-09-19,KAY&QUE,223.85,223.85,214.35,214.95,59130
06-10-19,KAY&QUE,216.75,221.35,213.85,218.85,52116
06-11-19,KAY&QUE,221.85,232.35,221.85,229.55,114735
06-12-19,KAY&QUE,233.75,233.75,224.05,225.75,84594
13-06-19,KAY&QUE,225.35,225.35,220.45,221.55,47258
16-06-19,KAY&QUE,226.85,226.85,217.35,218.35,64545
17-06-19,KAY&QUE,218.45,223.35,215.85,218.05,33752
18-06-19,KAY&QUE,219.35,219.35,214.95,215.75,37689
19-06-19,KAY&QUE,213.85,220.85,213.85,218.95,32289
20-06-19,KAY&QUE,219.05,219.35,214.65,214.95,25892
23-06-19,KAY&QUE,213.85,217.05,210.85,213.95,15755
24-06-19,KAY&QUE,213.95,216.55,213.05,213.45,11818
25-06-19,KAY&QUE,213.35,217.75,211.85,216.15,33819
26-06-19,KAY&QUE,214.05,217.75,213.85,214.75,17299
27-06-19,KAY&QUE,216.55,216.65,212.45,213.05,33154
30-06-19,KAY&QUE,212.85,215.65,209.35,210.35,29339
07-02-19,KAY&QUE,210.15,211.15,202.85,204.85,30555
29-07-19,KAY&QUE,187.65,203.65,186.85,200.15,70709
09-01-19,KAY&QUE,194.75,210.15,192.85,210.15,169338
09-02-19,KAY&QUE,215.95,228.55,215.95,228.55,220220
09-03-19,KAY&QUE,233.75,237.45,214.45,218.85,168977
09-04-19,KAY&QUE,214.55,237.45,214.55,235.35,188508
09-05-19,KAY&QUE,236.85,242.85,228.95,233.45,230297
09-08-19,KAY&QUE,232.15,234.85,216.85,219.65,196165
09-09-19,KAY&QUE,221.95,223.85,213.35,218.85,179708
09-11-19,KAY&QUE,221.65,225.85,215.35,216.95,188765
09-12-19,KAY&QUE,218.85,220.65,213.75,215.45,117520
15-09-19,KAY&QUE,209.85,212.75,198.85,203.95,133936
16-09-19,KAY&QUE,205.35,211.75,202.15,209.05,66785
20-11-19,KAY&QUE,185.6,207.6,185.6,203.5,84966
21-11-19,KAY&QUE,208.6,212.1,202.6,206.4,77939
24-11-19,KAY&QUE,210.6,213.1,205.8,209.9,74444
25-11-19,KAY&QUE,204.9,217.5,204.9,214.2,86656
26-11-19,KAY&QUE,215.6,217,206.6,210,74538
27-11-19,KAY&QUE,206.1,213.4,203.3,206.9,46717
