DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
27-12-18,NATLIFEINS,192,214.8,192,213.2,700312
01-03-19,NATLIFEINS,195,208.9,195,204.8,272916
01-06-19,NATLIFEINS,206.5,214.5,203,204.3,243532
01-09-19,NATLIFEINS,198.2,215,198.2,210.4,193311
01-10-19,NATLIFEINS,213,221,204.6,212.1,177438
13-01-19,NATLIFEINS,210.1,216.8,206.6,209.5,157108
14-01-19,NATLIFEINS,210,216,209,209.8,101862
15-01-19,NATLIFEINS,208,216,208,213.2,118564
16-01-19,NATLIFEINS,213.2,224,213.2,219.1,192588
17-01-19,NATLIFEINS,221.8,228,216.2,217.8,157033
20-01-19,NATLIFEINS,220,221.6,209.1,210.9,145526
21-01-19,NATLIFEINS,210.9,215,207,207.9,73268
22-01-19,NATLIFEINS,210.8,211,201.1,202.5,92696
23-01-19,NATLIFEINS,204.1,204.3,198.3,200.2,76692
24-01-19,NATLIFEINS,200.2,207,200,204.9,54590
27-01-19,NATLIFEINS,207.3,208.8,202,202.9,88114
27-05-19,NATLIFEINS,199,215,199,215,570566
28-05-19,NATLIFEINS,216,219.8,206,208.1,411172
29-05-19,NATLIFEINS,206.6,209,199.2,200.8,162898
30-05-19,NATLIFEINS,201.1,218.6,201,218.6,711196
06-09-19,NATLIFEINS,222,237.9,222,237.6,788355
06-10-19,NATLIFEINS,234,245.5,234,241.4,503559
06-11-19,NATLIFEINS,239,242.6,231,233.6,345424
06-12-19,NATLIFEINS,237,250.6,233.6,247.8,434281
13-06-19,NATLIFEINS,250.9,251.9,236,239.7,204663
16-06-19,NATLIFEINS,239.8,240,230.4,231.8,230721
17-06-19,NATLIFEINS,234,245,229,230.6,261497
18-06-19,NATLIFEINS,232,242.9,223.1,231.8,372208
19-06-19,NATLIFEINS,233,241.9,229,234.8,262521
20-06-19,NATLIFEINS,237,245,233,234.7,195647
23-06-19,NATLIFEINS,234.7,238,228.9,230.2,294570
24-06-19,NATLIFEINS,231.1,233,227,231.5,115430
25-06-19,NATLIFEINS,229.7,232,228.1,228.4,128182
26-06-19,NATLIFEINS,228.4,230.9,221,222.6,129748
27-06-19,NATLIFEINS,225.1,227,216,216.7,115838
30-06-19,NATLIFEINS,216.7,220.2,209.2,210.7,192937
