DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,PADMAOIL,207.6,210.5,207.6,208.5,18167
24-12-18,PADMAOIL,212,220,210.3,210.5,15611
26-12-18,PADMAOIL,213.9,213.9,210,210.1,14432
27-12-18,PADMAOIL,209.2,212.8,209.2,212.2,12801
01-01-19,PADMAOIL,212,213.8,211,211.7,2742
01-02-19,PADMAOIL,212,214,212,214,16787
01-03-19,PADMAOIL,213,217,213,215.3,16533
01-06-19,PADMAOIL,215.3,228,214.3,218,48617
01-07-19,PADMAOIL,222,223,219,220.2,18690
01-08-19,PADMAOIL,218.2,223,218.2,222.2,26409
01-09-19,PADMAOIL,222.2,233,222.2,228.4,56945
01-10-19,PADMAOIL,232,237,224.6,228.5,78413
13-01-19,PADMAOIL,228.5,235,227,231.4,30888
14-01-19,PADMAOIL,232.7,243,232.7,236.5,138285
15-01-19,PADMAOIL,236.5,242.9,235.1,238.7,55725
16-01-19,PADMAOIL,238,240.5,232,236.9,45020
17-01-19,PADMAOIL,237,237.9,227,231.5,27905
20-01-19,PADMAOIL,234.6,234.6,228.5,231.1,18401
21-01-19,PADMAOIL,234,236.7,229,231.1,13982
22-01-19,PADMAOIL,230.5,230.7,227,228.3,19168
23-01-19,PADMAOIL,227.3,227.9,224.3,225.3,11032
24-01-19,PADMAOIL,227,227,224,226.1,12895
27-01-19,PADMAOIL,226.1,237,226.1,234.5,34205
28-01-19,PADMAOIL,230,241.9,230,234.2,85520
29-01-19,PADMAOIL,235,238,231,235.7,55990
30-01-19,PADMAOIL,235.7,236.7,230.2,234,30573
31-01-19,PADMAOIL,232.1,233.1,228.5,229.7,29462
02-03-19,PADMAOIL,228.7,240,228,234.4,39953
02-04-19,PADMAOIL,237,246.8,235,242.9,160127
02-05-19,PADMAOIL,242.9,242.9,234,234.9,41365
02-06-19,PADMAOIL,237.4,240.8,234,235.4,59211
02-07-19,PADMAOIL,238,238,230.1,232.3,38687
02-10-19,PADMAOIL,236.7,236.7,226.4,227.2,35102
02-11-19,PADMAOIL,231,231.9,225,225.6,39010
02-12-19,PADMAOIL,227,230,225,225.8,25779
13-02-19,PADMAOIL,226,227.9,224.6,225,9701
14-02-19,PADMAOIL,226.9,226.9,219.5,220.7,43755
17-02-19,PADMAOIL,221.5,227,220.5,223.4,15922
18-02-19,PADMAOIL,223.4,225,221.2,223.8,10691
19-02-19,PADMAOIL,226.7,227,223,224.9,11617
20-02-19,PADMAOIL,224.9,230,224.5,229.1,21617
24-02-19,PADMAOIL,229,230,226.2,227.7,17542
25-02-19,PADMAOIL,227.7,228.5,225.9,228,34644
26-02-19,PADMAOIL,230,232,227.1,228.9,14036
27-02-19,PADMAOIL,230,232,225,225.9,26408
03-03-19,PADMAOIL,225.9,229,225.9,226.8,14043
03-04-19,PADMAOIL,225.1,228.9,224,226.4,18287
03-05-19,PADMAOIL,228,232,226.4,227.1,17696
03-06-19,PADMAOIL,229.9,231,224,224.9,19572
03-07-19,PADMAOIL,227,230,225.1,227.6,11320
