DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
26-08-19,RAHIMTEXT,301.81,301.81,295.08,296.35,14817
28-08-19,RAHIMTEXT,306.9,310.54,295.26,296.81,17105
29-08-19,RAHIMTEXT,304.81,304.81,291.26,291.81,17532
09-01-19,RAHIMTEXT,291.81,296.81,283.26,294.99,9151
09-02-19,RAHIMTEXT,297.81,309.45,294.35,294.9,37148
09-03-19,RAHIMTEXT,295.08,305.08,293.54,297.08,26076
09-04-19,RAHIMTEXT,303.17,303.17,295.99,296.81,10734
09-05-19,RAHIMTEXT,297.17,298.72,295.99,296.99,25021
09-09-19,RAHIMTEXT,299.63,304.08,292.35,293.81,20815
09-11-19,RAHIMTEXT,296.63,296.63,290.54,292.08,22209
09-12-19,RAHIMTEXT,292.54,293.81,289.99,290.81,13797
15-09-19,RAHIMTEXT,287.9,298.63,287.9,293.45,16379
16-09-19,RAHIMTEXT,296.9,296.9,290.72,291.26,7957
17-09-19,RAHIMTEXT,291.45,292.99,287.81,288.26,10826
18-09-19,RAHIMTEXT,292.35,292.35,281.72,282.72,8509
19-09-19,RAHIMTEXT,282.54,282.54,265.08,266.72,16611
22-09-19,RAHIMTEXT,269.63,278.54,260.63,268.26,13243
23-09-19,RAHIMTEXT,271.45,276.9,270.99,272.08,14806
24-09-19,RAHIMTEXT,270.54,274.17,260.72,263.17,8225
25-09-19,RAHIMTEXT,263.17,271.26,260.63,268.45,15023
26-09-19,RAHIMTEXT,275.08,275.08,265.72,269.99,4478
29-09-19,RAHIMTEXT,273.35,273.45,263.26,265.54,12004
30-09-19,RAHIMTEXT,264.26,273.17,260.54,269.9,25681
10-01-19,RAHIMTEXT,266.08,277.63,266.08,269.9,5784
10-02-19,RAHIMTEXT,269.63,274.45,268.81,271.35,8528
10-03-19,RAHIMTEXT,270.26,273.08,268.9,270.35,7762
10-06-19,RAHIMTEXT,275.08,287.72,269.63,277.26,36209
10-07-19,RAHIMTEXT,283.26,283.26,265.45,266.45,16990
10-09-19,RAHIMTEXT,266.54,268.35,253.26,259.08,14186
10-10-19,RAHIMTEXT,259.08,261.45,251.45,258.35,22398
13-10-19,RAHIMTEXT,265.9,274.99,260.54,273.54,32280
14-10-19,RAHIMTEXT,271.45,276.9,263.9,270.72,10784
15-10-19,RAHIMTEXT,274.17,278.45,270.99,276.63,9975
16-10-19,RAHIMTEXT,274.17,275.99,267.81,268.72,8868
17-10-19,RAHIMTEXT,274.45,274.45,265.99,270.72,3023
20-10-19,RAHIMTEXT,266.99,272.26,264.17,267.54,5573
21-10-19,RAHIMTEXT,268.54,268.54,255.99,257.54,5287
22-10-19,RAHIMTEXT,261.35,261.35,248.72,250.63,8682
23-10-19,RAHIMTEXT,246.9,259.45,244.35,248.35,9251
24-10-19,RAHIMTEXT,250.81,270.35,248.9,266.9,46059
27-10-19,RAHIMTEXT,266.99,272.35,264.17,267.63,9436
28-10-19,RAHIMTEXT,266.9,269.26,263.26,267.08,8828
