DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,UPGDCL,225,225.75,221.28,222.77,615439
24-12-18,UPGDCL,224.35,224.92,220.05,220.63,294578
26-12-18,UPGDCL,221.62,221.78,215.91,217.82,318530
27-12-18,UPGDCL,217.82,219.88,212.53,213.93,814818
01-01-19,UPGDCL,218.81,232.36,218.81,225.17,432852
01-02-19,UPGDCL,226.57,235.66,225.75,234.09,482815
01-03-19,UPGDCL,234.84,244.35,234.84,242.27,803539
01-06-19,UPGDCL,244.51,248.47,240.79,246.25,734848
01-07-19,UPGDCL,248.23,248.23,243.18,245.42,390322
01-08-19,UPGDCL,246.41,251.36,244.92,248.81,632731
01-09-19,UPGDCL,246.49,250.45,242.19,242.53,388547
01-10-19,UPGDCL,242.53,243.93,238.97,241.12,269776
13-01-19,UPGDCL,241.45,246.74,239.96,242.77,530307
14-01-19,UPGDCL,244.75,247.24,242.77,246.33,664267
15-01-19,UPGDCL,248.06,252.19,248.06,251.95,623966
16-01-19,UPGDCL,254.26,258.81,254.26,257.24,698354
17-01-19,UPGDCL,259.64,262.61,257.65,259.8,468376
20-01-19,UPGDCL,261.28,267.9,258.81,260.45,570373
21-01-19,UPGDCL,262.94,267.48,262.53,266.41,865727
22-01-19,UPGDCL,270.21,276.99,268.81,275.58,1145236
23-01-19,UPGDCL,278.64,281.95,276.16,278.39,1325579
24-01-19,UPGDCL,279.46,283.6,278.39,280.79,1443796
27-01-19,UPGDCL,282.77,288.55,282.03,287.24,1127422
28-01-19,UPGDCL,288.06,296.74,287.73,295.5,1528871
29-01-19,UPGDCL,295.58,299.22,286.08,288.31,1048995
30-01-19,UPGDCL,291.7,293.44,287.07,289.88,1172799
31-01-19,UPGDCL,290.21,298.47,289.38,297.07,1200967
02-03-19,UPGDCL,297.24,302.36,290.63,298.97,1582656
14-02-19,UPGDCL,304.26,306.33,292.36,298.55,1523523
03-03-19,UPGDCL,310.05,311.45,296.99,298.89,653682
03-04-19,UPGDCL,299.3,300.63,292.53,295.09,1615181
03-07-19,UPGDCL,300.95,300.95,293.35,294.51,432001
04-03-19,UPGDCL,318.47,319.38,290.21,292.27,1662455
04-04-19,UPGDCL,294.35,295.75,276.08,292.19,1069546
04-07-19,UPGDCL,294.35,295.17,286.41,288.64,1070486
04-08-19,UPGDCL,286.16,288.55,280.13,281.62,558283
04-09-19,UPGDCL,281.95,282.36,254.67,254.84,798466
04-10-19,UPGDCL,257.98,262.03,250.29,251.78,321553
04-11-19,UPGDCL,254.51,260.13,250.55,254.26,615291
15-04-19,UPGDCL,257.9,259.64,253.85,256.41,323216
16-04-19,UPGDCL,257.98,257.98,243.35,245.5,175208
17-04-19,UPGDCL,246.41,247.24,224.09,229.8,629858
18-04-19,UPGDCL,229.88,252.19,226.57,244.75,653561
