DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,GP,315.1,319,315,318.6,52658
24-12-18,GP,319,320.9,318.7,319.4,162752
26-12-18,GP,319.5,320.5,319.3,320,105652
27-12-18,GP,320,341,319.3,326.3,285125
01-01-19,GP,329,335,322,327.3,94877
01-02-19,GP,327,327,323.5,324.6,67018
01-03-19,GP,324,327.7,323.2,324.4,136490
01-06-19,GP,326.7,332.5,326.7,332,129676
01-07-19,GP,334,335,330.3,331.1,474937
01-08-19,GP,333,340.6,333,338.7,383681
01-09-19,GP,341,342.5,338.3,341.7,404450
01-10-19,GP,342.2,349,342.2,347.9,306938
13-01-19,GP,349,354,347,348.9,247256
14-01-19,GP,350,350,346.4,348.3,332459
15-01-19,GP,349,349,343,346.1,132043
16-01-19,GP,346.1,346.1,338.5,341.6,171931
17-01-19,GP,341,341.1,333.4,334.1,187591
20-01-19,GP,334,347,331,344.2,114960
21-01-19,GP,346,349.8,342.1,343.6,174827
22-01-19,GP,343,349.9,343,347.9,250422
23-01-19,GP,350,354,347,350.5,323918
24-01-19,GP,350.3,355.9,350.3,354.5,317120
27-01-19,GP,356,359,349.3,352.6,314398
28-01-19,GP,357,369.4,354.5,368.5,1109270
29-01-19,GP,370,378.9,370,374.4,614762
30-01-19,GP,373.4,376.9,367.9,372.8,562260
31-01-19,GP,373,373,352.2,357.2,690305
02-03-19,GP,357.2,357.2,350.5,353,665442
02-04-19,GP,355,366.7,354,361,386437
02-05-19,GP,362,364,357,362.5,255641
02-06-19,GP,362.6,366.8,362.2,363.9,300276
02-07-19,GP,366,368,362,364.5,274097
02-10-19,GP,364.7,371.5,364.1,365.1,269305
02-11-19,GP,364,364,354.6,356.6,349715
02-12-19,GP,356,359,344.4,347.6,465844
13-02-19,GP,347,353,343.3,351.9,326753
14-02-19,GP,354,356.9,345.5,348.9,298184
18-02-19,GP,364,366.7,358.2,364.1,419542
19-02-19,GP,363,369.4,355,366.5,644500
20-02-19,GP,366.5,376.4,364.6,372.7,205386
24-02-19,GP,373,373.7,367.1,372.6,120496
