DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,HEIDELBCEM,324.7,324.7,322.5,322.6,13571
24-12-18,HEIDELBCEM,324.5,328.5,324.4,327.4,578
26-12-18,HEIDELBCEM,326.5,329.3,324.6,325.9,3657
27-12-18,HEIDELBCEM,328.4,328.5,324.8,327.2,3041
01-01-19,HEIDELBCEM,329.2,332.4,328,330.5,4155
01-02-19,HEIDELBCEM,329.5,329.5,325.8,327.7,3422
01-03-19,HEIDELBCEM,330.4,331.5,326.8,328.8,15471
01-06-19,HEIDELBCEM,335.9,340.5,333.1,334.3,15746
01-07-19,HEIDELBCEM,334.7,362.5,334.6,349.8,32947
01-08-19,HEIDELBCEM,356.9,361.5,349.5,351,24968
01-09-19,HEIDELBCEM,357.5,359.5,351,353.2,21409
01-10-19,HEIDELBCEM,357,362.5,353.5,353.9,24400
13-01-19,HEIDELBCEM,353.5,357.5,353.5,354.4,16219
14-01-19,HEIDELBCEM,356.3,356.3,337.8,349,10329
15-01-19,HEIDELBCEM,354.5,358.5,342.5,349.2,12220
16-01-19,HEIDELBCEM,355.5,355.5,348.8,352.5,9011
17-01-19,HEIDELBCEM,352.5,352.5,349.6,350.6,14280
20-01-19,HEIDELBCEM,352.5,352.5,343.6,345.5,6363
21-01-19,HEIDELBCEM,352.5,352.5,337.5,343,9237
22-01-19,HEIDELBCEM,343.5,346.5,342.4,345.8,6249
23-01-19,HEIDELBCEM,349.2,349.2,340.6,342.3,5544
24-01-19,HEIDELBCEM,340.1,347.2,339.5,340.9,11818
27-01-19,HEIDELBCEM,342.5,347.5,339.6,341.2,13549
28-01-19,HEIDELBCEM,339.5,342.5,338.6,338.9,7746
29-01-19,HEIDELBCEM,339.8,339.8,336.5,337.4,7144
30-01-19,HEIDELBCEM,340.5,345,338.6,339.8,7421
31-01-19,HEIDELBCEM,337.5,342.5,337.5,342.4,3349
02-03-19,HEIDELBCEM,345.5,346.5,337.5,339,10951
02-04-19,HEIDELBCEM,337.9,347.5,336.5,344.1,15802
02-05-19,HEIDELBCEM,340,342.5,338.5,340.5,21056
02-06-19,HEIDELBCEM,341.7,344.5,341.7,342.4,32651
02-07-19,HEIDELBCEM,339.5,367.5,339.5,363.4,109147
02-10-19,HEIDELBCEM,372.9,372.9,362.5,362.9,36811
02-11-19,HEIDELBCEM,358.9,361.5,347.5,349.2,19315
02-12-19,HEIDELBCEM,344.7,352.4,342.7,349.4,15461
13-02-19,HEIDELBCEM,350.5,356.5,349.6,354.8,9808
14-02-19,HEIDELBCEM,352.5,352.5,347.5,348.5,4886
17-02-19,HEIDELBCEM,345.5,352.4,344,345.3,8156
18-02-19,HEIDELBCEM,350.5,350.5,342.5,343.2,8170
19-02-19,HEIDELBCEM,343.3,344,340.5,342.3,5745
20-02-19,HEIDELBCEM,343.5,353.5,342.7,344.6,14945
24-02-19,HEIDELBCEM,352.4,352.5,342.5,343.8,13206
25-02-19,HEIDELBCEM,344.5,348.5,341.1,346.6,2918
26-02-19,HEIDELBCEM,342.7,347.5,342.7,346.7,5592
27-02-19,HEIDELBCEM,343.2,347.2,343.2,345,2895
03-03-19,HEIDELBCEM,346.5,347.5,343,343.3,7841
03-04-19,HEIDELBCEM,348.2,348.2,342.9,343.3,3102
03-05-19,HEIDELBCEM,343.1,345.4,341.5,341.7,4051
03-06-19,HEIDELBCEM,342.5,345.9,340.8,341.5,982
03-07-19,HEIDELBCEM,341.5,341.5,336.7,338.4,2625
03-10-19,HEIDELBCEM,338.4,345.4,336.5,338.5,2501
03-11-19,HEIDELBCEM,338.9,343.5,337.6,341.2,6513
03-12-19,HEIDELBCEM,342.6,344.5,332.5,337.2,9872
13-03-19,HEIDELBCEM,343.3,343.5,332.5,334.6,10856
14-03-19,HEIDELBCEM,341.4,352.5,340.2,348.7,35064
18-03-19,HEIDELBCEM,348.7,352.1,346.5,348,5844
19-03-19,HEIDELBCEM,347.5,348.5,339.5,340.5,8104
20-03-19,HEIDELBCEM,340.5,344.5,337.4,338.5,14871
21-03-19,HEIDELBCEM,342.5,342.5,336.1,339.6,4211
24-03-19,HEIDELBCEM,337.5,338.5,334.5,335.4,12710
25-03-19,HEIDELBCEM,335.6,339.5,334.5,334.7,5801
27-03-19,HEIDELBCEM,334.8,337.3,334.5,335.1,4566
28-03-19,HEIDELBCEM,333.6,341.4,333.6,340.3,3891
31-03-19,HEIDELBCEM,342.3,342.3,335.9,336.5,1121
04-01-19,HEIDELBCEM,335,336.6,332.7,333.5,9758
04-02-19,HEIDELBCEM,340.4,349.5,337.5,346.6,46207
04-03-19,HEIDELBCEM,347.5,349.9,344.5,345.4,40157
04-04-19,HEIDELBCEM,344.9,356.3,344.9,354.9,44647
04-07-19,HEIDELBCEM,357,377.5,356.5,363.2,153355
04-08-19,HEIDELBCEM,362.5,362.5,352.6,354.3,32635
04-09-19,HEIDELBCEM,362.5,362.5,344.7,344.9,30142
