DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
01-03-19,JMISMDL,298,310.9,286.3,305.2,678100
01-06-19,JMISMDL,309.9,332.4,309.9,332.4,363685
01-07-19,JMISMDL,340.9,362,340.9,362,411540
01-08-19,JMISMDL,390.9,394.2,374.1,393.9,520280
01-09-19,JMISMDL,414,419,375,384.3,415359
01-10-19,JMISMDL,388,404,351,382.6,706470
21-01-19,JMISMDL,424,424,385.2,388.7,347063
24-01-19,JMISMDL,412,431,387,395.7,441356
27-01-19,JMISMDL,399,407,360.9,367.5,319884
28-01-19,JMISMDL,371,385.9,366,378.5,161402
29-01-19,JMISMDL,385.9,389,359.1,361.3,247723
30-01-19,JMISMDL,363,368,343.2,350.2,291557
31-01-19,JMISMDL,356.2,381,356.2,367.1,242058
02-03-19,JMISMDL,374,380,348.5,352.9,155121
02-04-19,JMISMDL,355,363,344.2,346.3,115219
02-05-19,JMISMDL,357.5,374,350.2,368,239542
02-06-19,JMISMDL,375,383,370,373.8,198802
02-07-19,JMISMDL,378,382,365.1,371.5,199610
02-12-19,JMISMDL,419,432,394,398,309573
13-02-19,JMISMDL,403,407.7,377.1,379.6,233424
14-02-19,JMISMDL,382,394,375.5,378,158627
17-02-19,JMISMDL,411.6,411.6,357.3,360,267469
18-02-19,JMISMDL,331,363.9,331,339.4,210728
19-02-19,JMISMDL,340,368,334,364.7,197008
20-02-19,JMISMDL,369,379.9,364,369,190344
24-02-19,JMISMDL,371,373.6,358,361.4,135717
25-02-19,JMISMDL,361.5,363,347.2,349.6,123416
26-02-19,JMISMDL,349.6,363,349,358.1,89326
27-02-19,JMISMDL,362.9,369.4,354,356.3,155483
03-03-19,JMISMDL,356.3,362,349.2,350.7,90188
03-04-19,JMISMDL,351.2,354,341,344,106530
03-05-19,JMISMDL,349,351,337.1,339.2,85727
03-06-19,JMISMDL,340.1,346,334,334.9,81037
03-07-19,JMISMDL,340,340,325.2,326.1,69662
03-10-19,JMISMDL,327.5,339,327,333.4,84021
03-11-19,JMISMDL,333.6,338,330,331.7,60887
03-12-19,JMISMDL,333.9,337.8,314,317.4,103130
13-03-19,JMISMDL,319,320.9,302,303.6,97896
14-03-19,JMISMDL,307.5,315.8,303.7,304.3,97265
21-03-19,JMISMDL,298.9,321,295.1,321,156611
24-03-19,JMISMDL,326,349.6,325,349.6,279084
25-03-19,JMISMDL,352.9,361,342.3,346.3,198604
27-03-19,JMISMDL,346.3,372,343,368.7,282843
28-03-19,JMISMDL,370,384,359.2,362.8,237356
31-03-19,JMISMDL,367,368,346.1,348.7,180572
04-01-19,JMISMDL,352,372.9,350.1,362,198587
04-02-19,JMISMDL,368,373.3,358.1,359.4,187132
04-03-19,JMISMDL,361.4,363.9,349.6,351.7,153116
04-04-19,JMISMDL,354,361.8,347,357.5,126416
04-07-19,JMISMDL,358.6,361.7,349.4,350.1,126734
04-08-19,JMISMDL,348.5,351,338.1,339.6,129292
04-09-19,JMISMDL,343.8,346.4,325,328.5,131193
04-10-19,JMISMDL,332.8,335.9,324.1,325.5,67241
04-11-19,JMISMDL,332.9,335.3,327.3,332.9,63691
15-04-19,JMISMDL,338.9,342.3,323.1,325,104250
16-04-19,JMISMDL,325.1,325.2,310.1,314.2,87826
17-04-19,JMISMDL,319,319.9,305.1,310.2,71437
18-04-19,JMISMDL,313.9,329,309,321.7,87527
21-04-19,JMISMDL,322,329,318.1,319.2,81973
23-04-19,JMISMDL,319,320.6,307.2,307.8,71780
24-04-19,JMISMDL,312.6,312.6,300.5,304.2,65034
25-04-19,JMISMDL,307.9,314,306,311.5,84582
28-04-19,JMISMDL,312,319.8,307.9,308.6,55986
29-04-19,JMISMDL,311.6,312.4,302,305.1,44466
30-04-19,JMISMDL,309,320.8,308,312.2,88383
05-02-19,JMISMDL,318,330.9,314.2,328.9,127262
05-05-19,JMISMDL,332.1,337.8,330.7,331.9,130177
05-06-19,JMISMDL,331,332.6,320,321.2,109051
05-07-19,JMISMDL,324,327.4,314.6,315.4,85562
05-08-19,JMISMDL,316.5,320.6,312.1,314.8,69041
05-09-19,JMISMDL,321.9,321.9,309.1,310.8,70581
05-12-19,JMISMDL,318.9,318.9,307,308.3,58851
13-05-19,JMISMDL,309.3,310.5,305.1,306,39944
14-05-19,JMISMDL,306.6,313,306.1,309.5,53843
15-05-19,JMISMDL,310.1,313,309,310.1,21966
16-05-19,JMISMDL,311,321,311,316.5,57151
19-05-19,JMISMDL,319,323,312.7,313.5,55768
20-05-19,JMISMDL,315.1,315.1,310,311.5,37362
21-05-19,JMISMDL,310.4,317.9,309,313.6,53653
22-05-19,JMISMDL,315,338,315,333.2,288496
23-05-19,JMISMDL,337,340,323.8,324.5,137516
26-05-19,JMISMDL,324.5,327,317.4,318.8,94746
27-05-19,JMISMDL,314.7,318.9,313.6,314.9,72489
28-05-19,JMISMDL,317.7,333.9,317.7,331.7,181388
29-05-19,JMISMDL,333,359,329,354.3,330193
30-05-19,JMISMDL,374,383,362,367.9,516259
06-09-19,JMISMDL,368.5,372,356.6,360.3,170579
06-10-19,JMISMDL,362,383.9,355.7,379.6,209764
19-09-19,JMISMDL,407.8,418.9,374.4,386.6,197443
25-09-19,JMISMDL,408.7,408.7,389.1,392.3,82022
30-09-19,JMISMDL,404,405.9,386,388.8,88033
20-10-19,JMISMDL,400.3,406.8,378.7,386.4,67599
21-10-19,JMISMDL,387,392,355.4,362.2,78906
22-10-19,JMISMDL,359,369,342.2,360.4,77132
23-10-19,JMISMDL,366.8,376.9,364,371.9,36472
24-10-19,JMISMDL,369.2,386.9,369.1,385.3,59719
28-10-19,JMISMDL,385.3,387.9,368.2,369.4,42697
29-10-19,JMISMDL,369.5,387.5,369.5,383.2,62299
11-03-19,JMISMDL,420.8,422,394.2,398,85623
11-06-19,JMISMDL,408,408.6,394,396.1,58187
11-07-19,JMISMDL,398.1,402,389,390.5,54522
11-11-19,JMISMDL,392,396.9,387,388.6,28960
11-12-19,JMISMDL,393,393,377,382,40171
13-11-19,JMISMDL,386.9,396.7,382.4,388.6,71006
14-11-19,JMISMDL,392,392,382.3,387.1,27064
17-11-19,JMISMDL,387,392,387,390.3,66783
19-11-19,JMISMDL,402,406,389.6,390.7,59882
20-11-19,JMISMDL,389.7,393,386.1,389.7,53241
21-11-19,JMISMDL,393.5,393.8,387,387.5,35501
24-11-19,JMISMDL,390.6,395.5,388.2,390.3,44051
25-11-19,JMISMDL,393,397,390.5,391.4,45543
26-11-19,JMISMDL,392,401,391.6,393.5,82084
27-11-19,JMISMDL,393.7,398,382.2,384.2,80377
28-11-19,JMISMDL,384.2,389.8,380.1,381.5,41524
12-01-19,JMISMDL,384.9,384.9,367.2,371,52185
12-02-19,JMISMDL,371,380.9,365.1,367,47999
12-03-19,JMISMDL,367,373.6,363.2,365.8,29597
12-04-19,JMISMDL,369,371.8,363.1,364.7,29425
12-05-19,JMISMDL,365.3,376.9,365.1,368.7,169990
12-08-19,JMISMDL,372.9,379.9,370.3,370.9,44078
12-09-19,JMISMDL,370.9,371.3,359.5,360.4,34443
12-10-19,JMISMDL,366.9,366.9,342,346.1,84416
