DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
15-01-19,KOHINOOR,287.11,303.02,287.11,301.43,70173
18-08-19,KOHINOOR,286.35,309.07,286.27,302.25,25629
19-08-19,KOHINOOR,308.93,309.07,299.98,303.25,22286
29-08-19,KOHINOOR,298.47,305.29,289.07,301.65,15103
09-01-19,KOHINOOR,304.38,310.52,298.7,307.41,28237
09-02-19,KOHINOOR,312.03,324.23,309.38,314.3,28909
09-03-19,KOHINOOR,316.65,316.65,309.07,311.8,16413
09-04-19,KOHINOOR,310.59,312.79,304.15,310.36,11138
09-05-19,KOHINOOR,310.29,315.89,309.98,313.25,10858
09-08-19,KOHINOOR,309.91,327.48,309.91,324.23,30210
09-09-19,KOHINOOR,327.94,339.3,324.98,328.39,31519
09-11-19,KOHINOOR,331.05,334.84,322.71,324.91,15926
09-12-19,KOHINOOR,329.45,329.45,313.25,316.57,24205
15-09-19,KOHINOOR,312.11,312.86,301.5,302.41,8016
16-09-19,KOHINOOR,305.29,316.65,303.25,308.62,9430
17-09-19,KOHINOOR,309.07,316.65,306.35,309.53,9930
18-09-19,KOHINOOR,314.38,316.5,305.29,307.03,8404
22-09-19,KOHINOOR,299.38,310.82,296.2,306.43,40009
23-09-19,KOHINOOR,309.15,312.71,305.36,308.85,5135
24-09-19,KOHINOOR,308.93,308.93,302.64,304.15,3285
25-09-19,KOHINOOR,307.56,316.43,302.64,312.03,10245
26-09-19,KOHINOOR,312.11,323.39,309,315.52,7325
29-09-19,KOHINOOR,315.89,315.89,308.55,310.59,3707
30-09-19,KOHINOOR,306.12,319.68,305.52,308.55,71408
10-01-19,KOHINOOR,306.8,314.38,306.8,308.77,3582
10-02-19,KOHINOOR,308.16,312.03,308.16,308.55,2165
10-03-19,KOHINOOR,312.86,316.12,307.56,307.86,1971
10-06-19,KOHINOOR,306.43,307.94,305.29,305.82,2559
10-07-19,KOHINOOR,308.32,309,301.5,301.8,4229
10-09-19,KOHINOOR,299.53,303.47,299.53,301.57,2721
14-10-19,KOHINOOR,290.14,307.56,290.14,301.8,8241
15-10-19,KOHINOOR,299.23,311.35,299.23,308.85,5023
16-10-19,KOHINOOR,304.3,311.35,304.3,309.53,3408
17-10-19,KOHINOOR,311.88,311.88,304.61,309.84,6269
20-10-19,KOHINOOR,309.84,316.65,307.56,312.25,4122
21-10-19,KOHINOOR,312.86,315.75,303.02,305.82,2967
22-10-19,KOHINOOR,304.61,311.73,303.77,306.05,5866
23-10-19,KOHINOOR,307.79,316.65,307.79,315.89,7957
24-10-19,KOHINOOR,314.38,318.85,302.71,307.71,4034
27-10-19,KOHINOOR,312.94,317.86,307.94,311.88,13199
28-10-19,KOHINOOR,310.21,313.62,309.84,311.35,5750
29-10-19,KOHINOOR,311.35,311.43,306.8,309,3887
30-10-19,KOHINOOR,309.15,314.38,309.15,312.25,6562
31-10-19,KOHINOOR,315.82,320.59,311.05,319.61,10225
11-03-19,KOHINOOR,324.15,324.15,317.18,318.32,1989
11-04-19,KOHINOOR,316.8,323.25,315.14,316.2,7987
11-05-19,KOHINOOR,319.53,319.53,309.53,313.77,2282
11-06-19,KOHINOOR,316.57,316.57,311.43,316.12,2769
11-07-19,KOHINOOR,333.32,333.32,314.53,318.55,5873
11-11-19,KOHINOOR,316.73,319.3,314.84,315.36,1418
11-12-19,KOHINOOR,320.44,322.25,310.59,314.23,9541
13-11-19,KOHINOOR,310.66,316.57,310.59,312.03,9594
14-11-19,KOHINOOR,312.25,324.84,312.25,321.12,22279
18-11-19,KOHINOOR,323.77,331.95,323.77,327.68,16235
19-11-19,KOHINOOR,333.77,333.77,323.77,323.86,6166
20-11-19,KOHINOOR,323.86,324.77,317.41,318.68,4055
21-11-19,KOHINOOR,319.23,319.32,314.68,315.59,4879
24-11-19,KOHINOOR,314.86,317.41,312.86,316.5,3144
25-11-19,KOHINOOR,314.77,317.68,311.95,316.95,3765
26-11-19,KOHINOOR,313.32,322.86,313.32,317.23,3715
27-11-19,KOHINOOR,314.77,318.95,314.77,316.14,2203
28-11-19,KOHINOOR,315.59,320.05,315.14,318.14,5768
12-01-19,KOHINOOR,317.41,317.86,315.32,315.59,1565
12-02-19,KOHINOOR,315.14,323.77,314.77,321.5,3009
12-03-19,KOHINOOR,321.5,321.95,316.59,318.68,750
12-04-19,KOHINOOR,316.5,318.14,314.68,314.95,2123
12-05-19,KOHINOOR,317.32,320.14,314.68,315.05,1847
12-08-19,KOHINOOR,318.32,318.32,314.41,314.86,1827
12-09-19,KOHINOOR,313.05,315.41,313.05,313.95,1591
12-10-19,KOHINOOR,313.95,319.23,312.86,313.95,281
12-11-19,KOHINOOR,314.68,316.32,310.14,311.14,1386
12-12-19,KOHINOOR,319.14,319.14,307.59,310.95,564
15-12-19,KOHINOOR,308.59,313.77,308.59,308.95,1027
17-12-19,KOHINOOR,311.68,311.95,307.41,308.05,965
18-12-19,KOHINOOR,301.95,308.59,301.95,303.77,210
19-12-19,KOHINOOR,311.5,311.5,303.77,304.41,2043
22-12-19,KOHINOOR,303.77,309.23,303.77,304.5,838
23-12-19,KOHINOOR,304.68,306.05,304.68,305.05,271
24-12-19,KOHINOOR,305.59,307.41,302.86,303.59,460
30-12-19,KOHINOOR,291.77,305.41,291.77,303.05,1023
01-01-20,KOHINOOR,297.86,304.59,297.86,300.77,761
