DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
22-01-20,NORTHERN,414.5,417.5,382,382.6,151367
24-02-20,NORTHERN,384.4,384.4,384.4,384.4,13352
26-02-20,NORTHERN,424.5,424.5,380.7,382.2,115399
27-02-20,NORTHERN,374.4,395.5,364.6,373.4,98677
03-01-20,NORTHERN,381.5,399.4,375.8,380.4,73208
03-02-20,NORTHERN,379.5,391,369.5,374.1,55620
03-03-20,NORTHERN,360.5,406,360.5,397,119174
03-08-20,NORTHERN,405.6,413.9,379.8,386.3,81937
03-09-20,NORTHERN,386.5,386.5,352.5,352.5,66696
03-10-20,NORTHERN,352.7,368.5,339.6,359.3,89176
03-11-20,NORTHERN,368.5,368.5,354.5,365,54617
03-12-20,NORTHERN,369.3,374.5,354.4,355.8,58056
15-03-20,NORTHERN,349.6,356.5,324.7,327.8,76398
19-03-20,NORTHERN,331.7,331.7,331.7,331.7,201
22-03-20,NORTHERN,331.7,331.7,324.4,324.4,11850
23-03-20,NORTHERN,324.4,324.4,324.4,324.4,14597
24-03-20,NORTHERN,324.4,324.4,324.4,324.4,2274
25-03-20,NORTHERN,324.4,324.4,324.4,324.4,1917
31-05-20,NORTHERN,324.4,324.4,324.4,324.4,206
06-01-20,NORTHERN,324.4,324.4,324.4,324.4,1550
06-02-20,NORTHERN,324.4,324.4,324.4,324.4,1550
06-03-20,NORTHERN,324.4,324.4,324.4,324.4,123
06-04-20,NORTHERN,324.4,324.4,324.4,324.4,65
06-07-20,NORTHERN,324.4,324.4,324.4,324.4,124
06-08-20,NORTHERN,324.4,324.4,324.4,324.4,350
06-09-20,NORTHERN,324.4,324.4,324.4,324.4,13
06-10-20,NORTHERN,324.4,324.4,324.4,324.4,52
06-11-20,NORTHERN,324.4,324.4,324.4,324.4,23
14-06-20,NORTHERN,324.4,324.4,324.4,324.4,28
15-06-20,NORTHERN,324.4,324.4,324.4,324.4,22
17-06-20,NORTHERN,324.4,324.4,324.4,324.4,231
18-06-20,NORTHERN,324.4,324.4,324.4,324.4,1
21-06-20,NORTHERN,324.4,324.4,324.4,324.4,15
22-06-20,NORTHERN,324.4,324.4,324.4,324.4,509
23-06-20,NORTHERN,324.4,324.4,324.4,324.4,200
24-06-20,NORTHERN,324.4,324.4,324.4,324.4,1147
25-06-20,NORTHERN,324.4,324.4,324.4,324.4,248
28-06-20,NORTHERN,324.4,324.4,324.4,324.4,20
29-06-20,NORTHERN,324.4,324.4,324.4,324.4,273
30-06-20,NORTHERN,324.4,324.4,324.4,324.4,1605
07-02-20,NORTHERN,324.4,324.4,324.4,324.4,600
07-05-20,NORTHERN,324.4,324.4,324.4,324.4,917
07-06-20,NORTHERN,324.4,324.4,324.4,324.4,46
07-07-20,NORTHERN,324.4,324.4,324.4,324.4,1344
07-08-20,NORTHERN,324.4,324.4,324.4,324.4,172
07-09-20,NORTHERN,324.4,324.4,324.4,324.4,12068
07-12-20,NORTHERN,324.4,334.5,324.4,327.6,53117
13-07-20,NORTHERN,328.5,332.8,324.4,324.4,29242
14-07-20,NORTHERN,327.4,331.2,324.4,324.4,14552
15-07-20,NORTHERN,324.4,324.5,324.4,324.4,6895
16-07-20,NORTHERN,324.4,324.4,324.4,324.4,662
19-07-20,NORTHERN,324.4,324.4,324.4,324.4,180
20-07-20,NORTHERN,324.4,324.4,324.4,324.4,228
21-07-20,NORTHERN,324.4,324.4,324.4,324.4,1853
22-07-20,NORTHERN,324.4,324.4,324.4,324.4,449
23-07-20,NORTHERN,324.4,324.4,324.4,324.4,86
26-07-20,NORTHERN,324.4,324.4,324.4,324.4,250
27-07-20,NORTHERN,324.4,324.4,324.4,324.4,2203
28-07-20,NORTHERN,324.4,324.4,324.4,324.4,4468
29-07-20,NORTHERN,324.4,324.4,324.4,324.4,534
30-07-20,NORTHERN,324.4,329.4,324.4,325,42716
08-03-20,NORTHERN,331,338.2,328.2,335.4,35683
08-04-20,NORTHERN,332.5,344.5,332.5,335.7,33594
08-05-20,NORTHERN,335.7,339.5,324.5,325.1,32432
08-06-20,NORTHERN,333.4,334.5,325.6,326.4,26597
08-09-20,NORTHERN,328,349.5,328,347.5,41084
08-10-20,NORTHERN,350.4,377.9,350.4,377.9,117046
18-08-20,NORTHERN,410,419.2,390.5,395.8,62447
19-08-20,NORTHERN,399.5,411.4,365.5,377.4,62624
20-08-20,NORTHERN,379.5,404.3,375.5,387.9,43134
22-10-20,NORTHERN,431.7,431.8,393.7,399.8,115386
25-10-20,NORTHERN,400.5,400.5,379.5,390.3,22784
27-10-20,NORTHERN,390.7,395.4,359.5,362.7,32035
28-10-20,NORTHERN,359.7,359.7,340.5,354.3,26481
29-10-20,NORTHERN,339.5,353.5,325.5,348.3,23627
11-01-20,NORTHERN,348.4,358.5,345.5,349.5,17797
11-02-20,NORTHERN,354.5,371.3,350.5,366.6,28030
11-03-20,NORTHERN,367.2,398.7,366.7,397.2,43896
11-04-20,NORTHERN,397.2,409.5,373.5,376.9,28619
11-05-20,NORTHERN,377.6,384.2,364.5,366.2,23083
11-08-20,NORTHERN,367.5,373.7,353.1,355.6,24050
11-09-20,NORTHERN,361.5,361.5,348,355.9,18340
11-10-20,NORTHERN,364.5,364.5,349.5,352.1,18822
11-11-20,NORTHERN,352.5,352.5,331.6,333.9,31487
11-12-20,NORTHERN,333.5,349.4,332.5,346.2,16294
15-11-20,NORTHERN,346.2,346.5,324.4,328,47444
16-11-20,NORTHERN,327.9,341,327.5,333.8,12481
17-11-20,NORTHERN,330.6,354.4,330.6,347.3,34888
