DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
21-07-19,SONALIANSH,414.6,414.6,390,395.1,13236
22-07-19,SONALIANSH,395.2,395.2,364.2,375.5,15655
22-10-19,SONALIANSH,403,412,388,399.9,14063
27-10-19,SONALIANSH,403.1,408.5,398.1,399.2,7170
28-10-19,SONALIANSH,402,408,366,380.5,19019
11-03-19,SONALIANSH,420.5,420.5,393,394.3,18350
11-04-19,SONALIANSH,400.8,404,388.5,399,16939
11-06-19,SONALIANSH,402,406,393.1,395.6,13204
11-07-19,SONALIANSH,398,398,389.8,391.1,14030
11-11-19,SONALIANSH,397,397,382.2,383.5,7428
11-12-19,SONALIANSH,384.1,391,378.4,381.3,4795
13-11-19,SONALIANSH,385,385,379,380,7974
14-11-19,SONALIANSH,380,382.9,373,376.6,6669
17-11-19,SONALIANSH,375.2,402.3,375.1,398.8,12380
19-11-19,SONALIANSH,406.8,409,386.7,389.8,14828
21-11-19,SONALIANSH,407.7,410.9,390,392.7,12528
24-11-19,SONALIANSH,397.9,408.7,390.5,391.7,15516
25-11-19,SONALIANSH,393.1,402.9,388,388.6,11791
26-11-19,SONALIANSH,389.8,393,383.2,385,11619
27-11-19,SONALIANSH,386.5,390.7,379.1,380.7,9769
28-11-19,SONALIANSH,381.2,392,381.2,384.7,10495
12-01-19,SONALIANSH,388,388,375.2,376.2,12808
12-02-19,SONALIANSH,379,382.8,370,372,15369
12-03-19,SONALIANSH,373.2,383.1,373.1,379.5,11514
12-04-19,SONALIANSH,384,384,373,374.9,13597
12-08-19,SONALIANSH,381.8,393.8,377.8,380.6,18798
12-09-19,SONALIANSH,382,382,374.4,375.3,5489
12-10-19,SONALIANSH,378,391.8,377.2,379.4,15938
12-11-19,SONALIANSH,381,383.8,370,372.2,7503
12-12-19,SONALIANSH,369.1,380,369.1,371.6,4494
15-12-19,SONALIANSH,374,376.9,364,373.4,9258
17-12-19,SONALIANSH,380.9,380.9,369,369.5,7244
18-12-19,SONALIANSH,369.5,374,365.2,367.2,7917
19-12-19,SONALIANSH,374.9,377,368,374.9,7701
22-12-19,SONALIANSH,383.4,383.4,366,366.7,4307
23-12-19,SONALIANSH,369,369,340,345.3,14291
24-12-19,SONALIANSH,344.2,344.2,325,328.7,10331
26-12-19,SONALIANSH,325.1,337.7,324,328.2,11969
29-12-19,SONALIANSH,329,330.5,321,322.1,9059
30-12-19,SONALIANSH,324,324.2,311.9,315.3,12421
01-01-20,SONALIANSH,323.9,342.9,319,342.9,13522
01-02-20,SONALIANSH,349,367,344,344.6,17786
01-05-20,SONALIANSH,348.1,358.5,341,352.3,13278
01-06-20,SONALIANSH,353,363.8,347.1,348.8,7887
01-07-20,SONALIANSH,353.9,353.9,332,333.5,3956
01-08-20,SONALIANSH,335,338,324,325.5,4495
01-09-20,SONALIANSH,325.5,330.3,322.5,326.8,6506
01-12-20,SONALIANSH,338.5,339,327.5,329.3,3933
13-01-20,SONALIANSH,327,327,309,313.9,6451
15-01-20,SONALIANSH,314,314,301.5,308.5,6399
16-01-20,SONALIANSH,311,313.8,299,302.3,3425
19-01-20,SONALIANSH,314,328.8,314,328.8,6311
20-01-20,SONALIANSH,339,357.6,339,340.8,11421
21-01-20,SONALIANSH,334.1,336.5,322.2,323,8871
22-01-20,SONALIANSH,322,328.6,317.1,318.8,5221
23-01-20,SONALIANSH,326.9,338,324.2,334.8,5214
26-01-20,SONALIANSH,334.8,339,334.8,337.3,6780
27-01-20,SONALIANSH,337.3,337.3,329.3,333.3,2300
28-01-20,SONALIANSH,336,354,336,351.2,12998
29-01-20,SONALIANSH,357,357,341.5,343.7,3947
30-01-20,SONALIANSH,337.1,343,335.1,339.5,4976
02-02-20,SONALIANSH,335.1,346.9,323,328.9,8778
02-03-20,SONALIANSH,324,335,324,326.2,7600
02-04-20,SONALIANSH,326.3,344,324,338.4,11540
02-05-20,SONALIANSH,345.9,356.4,336.2,348.2,26857
02-06-20,SONALIANSH,348.3,353,340,341.2,10941
02-09-20,SONALIANSH,341.4,348,333.3,334.1,13071
02-10-20,SONALIANSH,344.5,344.7,328,330,8945
02-11-20,SONALIANSH,343,343,329.2,330.3,8994
02-12-20,SONALIANSH,331.6,340,331.5,331.9,6426
13-02-20,SONALIANSH,332.1,341.9,332.1,339.2,19168
16-02-20,SONALIANSH,346,348,341,343.9,13277
17-02-20,SONALIANSH,352,374,352,374,20637
24-02-20,SONALIANSH,405,408.8,386,389.9,11714
25-02-20,SONALIANSH,383,402.8,383,391.4,17432
26-02-20,SONALIANSH,395.1,401.5,375.4,380.4,9782
27-02-20,SONALIANSH,380.8,389,369,370.2,17270
03-01-20,SONALIANSH,370.4,383,368,378,14573
03-02-20,SONALIANSH,379,388,373.7,382.5,7858
03-03-20,SONALIANSH,379.1,393,379,382.2,12501
03-04-20,SONALIANSH,382.9,404,382.9,387.2,12835
03-09-20,SONALIANSH,400,404,367.5,367.5,41626
03-10-20,SONALIANSH,367,384.9,359,379.5,17984
03-11-20,SONALIANSH,374,393,374,383.8,18305
03-12-20,SONALIANSH,386,389,371.3,374.6,19537
15-03-20,SONALIANSH,367,367,341.8,342.7,25720
16-03-20,SONALIANSH,349,356,312.7,313,21305
19-03-20,SONALIANSH,347.2,347.2,347.2,347.2,101
22-03-20,SONALIANSH,342,347.5,339.9,339.9,6368
23-03-20,SONALIANSH,339.9,346.9,339.9,340.4,10037
24-03-20,SONALIANSH,339.9,339.9,339.9,339.9,315
25-03-20,SONALIANSH,339.9,339.9,339.9,339.9,924
31-05-20,SONALIANSH,339.9,339.9,339.9,339.9,339
06-01-20,SONALIANSH,339.9,339.9,339.9,339.9,1
06-02-20,SONALIANSH,339.9,339.9,339.9,339.9,1
06-03-20,SONALIANSH,339.9,339.9,339.9,339.9,39
06-04-20,SONALIANSH,339.9,339.9,339.9,339.9,690
06-07-20,SONALIANSH,339.9,339.9,339.9,339.9,1193
06-08-20,SONALIANSH,339.9,339.9,339.9,339.9,3766
06-09-20,SONALIANSH,339.9,339.9,339.9,339.9,235
06-10-20,SONALIANSH,339.9,339.9,339.9,339.9,200
06-11-20,SONALIANSH,339.9,339.9,339.9,339.9,15
14-06-20,SONALIANSH,339.9,339.9,339.9,339.9,27
17-06-20,SONALIANSH,339.9,339.9,339.9,339.9,40
