DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
08-01-19,STANCERAM,299.4,310.2,294.4,310.2,183483
08-04-19,STANCERAM,331.4,331.4,299.4,302.4,141813
08-05-19,STANCERAM,300.4,323.4,287.5,315,146932
08-06-19,STANCERAM,324.4,329.3,307.4,311,103786
08-07-19,STANCERAM,305,310.4,283.8,300.3,109464
08-08-19,STANCERAM,302.4,308.5,296.5,306.7,44572
18-08-19,STANCERAM,309.1,316.4,304.4,314.9,40988
19-08-19,STANCERAM,315.4,327.4,313.6,323.4,54681
20-08-19,STANCERAM,325.5,335.4,325.4,331.3,76574
21-08-19,STANCERAM,337.4,360.3,334.5,360.3,98349
22-08-19,STANCERAM,368.4,373.2,364.4,370.3,95548
25-08-19,STANCERAM,373.4,399.3,373.4,392.8,113599
28-08-19,STANCERAM,398.9,407.3,381.4,386.3,120020
09-09-19,STANCERAM,404.4,404.4,389.4,393.5,66871
03-02-20,STANCERAM,414.9,414.9,387.9,391.9,50883
03-03-20,STANCERAM,394.9,394.9,357.6,358.8,223092
03-04-20,STANCERAM,359.9,390.2,359.9,390.2,62908
03-08-20,STANCERAM,416.9,424.7,376.9,396.8,80569
03-09-20,STANCERAM,391.9,391.9,362.1,362.1,67772
03-10-20,STANCERAM,349.9,372.9,339.9,361.8,41443
03-11-20,STANCERAM,369.4,371.7,349.9,356.5,54057
03-12-20,STANCERAM,359.8,364.9,327.9,336.9,54728
15-03-20,STANCERAM,332.9,332.9,307.5,308,83105
19-03-20,STANCERAM,306.6,306.6,306.6,306.6,373
22-03-20,STANCERAM,307.8,307.8,307.8,307.8,400
23-03-20,STANCERAM,307.8,307.8,307.8,307.8,2705
24-03-20,STANCERAM,307.8,307.8,307.8,307.8,1584
25-03-20,STANCERAM,307.8,307.8,307.8,307.8,964
31-05-20,STANCERAM,307.8,307.8,307.8,307.8,273
06-01-20,STANCERAM,307.8,307.8,307.8,307.8,178
06-02-20,STANCERAM,307.8,307.8,307.8,307.8,88
06-03-20,STANCERAM,307.8,307.8,307.8,307.8,1195
