DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,WATACHEM,375.9,376.62,357.66,361.74,77903
24-12-18,WATACHEM,357.5,369.34,357.5,365.74,55175
26-12-18,WATACHEM,367.1,380.7,362.38,377.02,46639
27-12-18,WATACHEM,383.9,383.9,366.86,371.1,112709
01-01-19,WATACHEM,369.5,382.7,366.3,380.54,133724
01-02-19,WATACHEM,385.34,385.34,377.5,382.46,105833
01-03-19,WATACHEM,383.9,397.5,381.1,390.06,253235
01-08-19,WATACHEM,409.26,413.5,393.5,399.42,180378
01-09-19,WATACHEM,399.82,401.82,390.3,393.42,164481
01-10-19,WATACHEM,395.82,400.7,392.7,396.3,82315
18-03-19,WATACHEM,403.58,403.58,387.9,391.58,21409
19-03-19,WATACHEM,392.86,395.9,386.46,390.94,15394
20-03-19,WATACHEM,390.94,399.9,385.18,386.46,22031
21-03-19,WATACHEM,385.58,398.3,385.5,394.22,27613
24-03-19,WATACHEM,401.5,401.5,391.9,394.22,18038
25-03-19,WATACHEM,392.3,397.34,389.5,394.14,21949
04-02-19,WATACHEM,405.34,405.5,392.7,393.98,40324
04-03-19,WATACHEM,401.5,401.5,393.5,395.26,16578
04-04-19,WATACHEM,397.5,401.5,391.1,399.9,15199
04-07-19,WATACHEM,394.3,401.34,394.3,397.66,15565
04-08-19,WATACHEM,395.9,395.98,386.3,387.26,14048
04-09-19,WATACHEM,388.78,401.1,382.38,385.74,28886
04-10-19,WATACHEM,389.5,392.38,385.5,385.66,9213
04-11-19,WATACHEM,386.14,397.5,386.14,394.14,11291
15-04-19,WATACHEM,409.5,409.5,395.58,397.5,24224
16-04-19,WATACHEM,396.3,398.78,384.7,394.3,17551
17-04-19,WATACHEM,394.3,398.22,391.18,394.38,22718
05-08-19,WATACHEM,401.58,404.7,397.58,398.38,15129
05-09-19,WATACHEM,397.66,402.94,397.66,398.06,11211
05-12-19,WATACHEM,399.66,405.42,397.9,399.1,10340
13-05-19,WATACHEM,403.1,403.1,397.58,398.22,9826
15-05-19,WATACHEM,397.82,401.34,397.66,399.34,10355
16-05-19,WATACHEM,399.26,401.5,396.7,397.66,14224
19-05-19,WATACHEM,399.26,399.9,394.38,395.5,19401
20-05-19,WATACHEM,395.82,395.9,392.3,393.58,12060
21-05-19,WATACHEM,393.5,393.5,385.5,387.1,24495
22-05-19,WATACHEM,387.18,396.62,387.18,390.86,11395
23-05-19,WATACHEM,393.42,395.02,388.7,389.82,17111
26-05-19,WATACHEM,393.26,393.26,382.54,383.5,18658
27-05-19,WATACHEM,397.5,397.5,383.66,385.42,14315
28-05-19,WATACHEM,391.02,391.02,387.9,389.34,5296
29-05-19,WATACHEM,387.26,392.46,383.1,386.86,16280
30-05-19,WATACHEM,391.66,391.66,379.18,380.46,29576
06-09-19,WATACHEM,391.74,391.74,377.74,379.1,15541
06-10-19,WATACHEM,386.94,387.02,378.3,380.06,24930
06-11-19,WATACHEM,381.5,396.7,381.02,387.5,78416
06-12-19,WATACHEM,391.9,393.18,379.1,383.34,47585
13-06-19,WATACHEM,383.9,396.7,383.9,395.82,100879
16-06-19,WATACHEM,397.1,405.5,397.1,399.82,101224
17-06-19,WATACHEM,401.5,405.5,383.9,386.22,51141
18-06-19,WATACHEM,388.7,390.78,382.3,384.78,29360
19-06-19,WATACHEM,391.02,391.02,381.58,386.22,43719
20-06-19,WATACHEM,390.86,392.54,383.1,384.06,20770
23-06-19,WATACHEM,389.66,389.66,382.3,382.38,5293
24-06-19,WATACHEM,389.1,391.1,383.98,384.7,33271
25-06-19,WATACHEM,387.1,388.3,383.1,385.02,45211
26-06-19,WATACHEM,385.5,389.42,383.74,386.3,33081
27-06-19,WATACHEM,385.66,391.02,385.34,386.22,58111
30-06-19,WATACHEM,389.42,389.5,382.3,382.86,14093
07-02-19,WATACHEM,383.1,391.1,383.1,388.86,27965
07-03-19,WATACHEM,388.7,391.1,382.46,383.98,26594
07-04-19,WATACHEM,383.98,386.86,380.7,383.02,9251
07-07-19,WATACHEM,383.26,386.94,373.58,379.58,19479
07-08-19,WATACHEM,378.3,379.58,369.58,372.46,29605
07-09-19,WATACHEM,373.5,375.74,358.62,361.1,21988
07-10-19,WATACHEM,355.58,363.1,353.5,357.02,26873
07-11-19,WATACHEM,357.82,362.54,355.42,356.78,30183
14-07-19,WATACHEM,358.3,358.3,345.58,347.9,30648
15-07-19,WATACHEM,337.5,343.42,330.3,335.42,24101
16-07-19,WATACHEM,333.58,350.3,328.3,344.14,53020
