DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,BATASHOE,1089.3,1097,1081.2,1083.6,2199
24-12-18,BATASHOE,1097,1118,1082.2,1094.8,475
26-12-18,BATASHOE,1102,1106.9,1102,1103,50
27-12-18,BATASHOE,1103,1114.9,1087.7,1093.4,685
01-01-19,BATASHOE,1115.9,1115.9,1088,1089.4,1139
01-02-19,BATASHOE,1092.7,1097,1086,1089,1268
01-03-19,BATASHOE,1097,1103.5,1093,1098.5,1114
01-06-19,BATASHOE,1102,1107,1101,1101.2,3764
01-07-19,BATASHOE,1101.3,1105,1096,1102.6,3000
01-08-19,BATASHOE,1107,1107,1101.5,1103.6,1654
01-09-19,BATASHOE,1102,1107,1101.5,1104.9,9998
01-10-19,BATASHOE,1104.1,1106,1094.1,1102.2,2701
13-01-19,BATASHOE,1106,1117,1099.6,1110.7,6688
14-01-19,BATASHOE,1107,1108,1105,1105.1,6057
15-01-19,BATASHOE,1112,1112,1103,1103,2926
16-01-19,BATASHOE,1104,1104.5,1096,1096.9,973
17-01-19,BATASHOE,1102,1102,1092.1,1094,8725
20-01-19,BATASHOE,1108.8,1108.8,1097,1104.5,378
21-01-19,BATASHOE,1099.1,1109,1098.1,1102.5,630
22-01-19,BATASHOE,1100.1,1105.5,1100,1100.1,1105
23-01-19,BATASHOE,1107,1107,1097,1097.2,2214
24-01-19,BATASHOE,1098,1099,1092,1095.6,1940
27-01-19,BATASHOE,1095,1106.9,1089,1101.8,1252
28-01-19,BATASHOE,1097.5,1099,1097,1097,2029
29-01-19,BATASHOE,1097,1102,1095,1095.2,2101
30-01-19,BATASHOE,1097,1098,1095.1,1095.2,1122
31-01-19,BATASHOE,1095.1,1100,1095.1,1098.4,527
02-03-19,BATASHOE,1102,1129,1099.1,1108.1,12007
02-04-19,BATASHOE,1112,1124.8,1109,1122.7,3447
02-05-19,BATASHOE,1118.3,1159,1118.3,1152,11830
02-06-19,BATASHOE,1162.9,1163,1152,1154,10034
02-07-19,BATASHOE,1159.7,1165.9,1150.2,1159.8,13398
02-10-19,BATASHOE,1169.5,1170,1152.1,1153,34614
02-11-19,BATASHOE,1146,1146,1104.1,1106.5,5327
02-12-19,BATASHOE,1106,1117,1097,1099.1,4308
13-02-19,BATASHOE,1109,1116.8,1099.2,1107.9,4182
14-02-19,BATASHOE,1119,1133,1111.1,1111.2,2726
17-02-19,BATASHOE,1124.5,1127,1111,1112.6,1426
18-02-19,BATASHOE,1112.6,1113,1102,1102.1,2193
19-02-19,BATASHOE,1102.1,1113.9,1102.1,1106.9,643
20-02-19,BATASHOE,1106,1109,1099,1103.5,905
24-02-19,BATASHOE,1105,1105,1101.1,1102.1,696
25-02-19,BATASHOE,1100,1105,1097,1102.6,4221
26-02-19,BATASHOE,1105,1105,1098.1,1099,4246
27-02-19,BATASHOE,1104,1104.9,1098,1098.8,728
03-03-19,BATASHOE,1099,1111.7,1099,1104.8,1046
03-04-19,BATASHOE,1100.1,1112,1099.1,1102.7,701
03-05-19,BATASHOE,1107,1107,1099,1099.7,780
03-06-19,BATASHOE,1099,1112,1096,1107.6,888
03-07-19,BATASHOE,1102,1112,1099.7,1110.6,799
03-10-19,BATASHOE,1112,1116,1102.1,1108.1,835
03-11-19,BATASHOE,1116.9,1118,1107,1116.4,1116
03-12-19,BATASHOE,1120,1156.9,1120,1138.2,9775
13-03-19,BATASHOE,1154,1202,1147,1183.8,67552
14-03-19,BATASHOE,1196,1259.2,1195,1242.3,108430
18-03-19,BATASHOE,1242.3,1264,1237,1242.4,84946
19-03-19,BATASHOE,1247.1,1247.1,1178.3,1185.9,47894
20-03-19,BATASHOE,1178.3,1216.8,1163,1184.5,41544
21-03-19,BATASHOE,1192,1201,1165,1174,27377
24-03-19,BATASHOE,1178.1,1178.1,1139.7,1142.4,22433
25-03-19,BATASHOE,1147,1174,1142,1146,12490
27-03-19,BATASHOE,1151.5,1151.5,1136,1137.4,18343
28-03-19,BATASHOE,1137.4,1140,1128,1128.7,9609
31-03-19,BATASHOE,1127,1144.9,1124,1127.3,12815
04-01-19,BATASHOE,1133,1147,1129.1,1135.7,7074
04-02-19,BATASHOE,1146,1191,1144,1171.2,18386
04-03-19,BATASHOE,1178,1178,1178,1178,250
04-03-19,BATASHOE,1178,1188.9,1155.2,1159.2,21598
04-04-19,BATASHOE,1102,1169,1102,1160.4,4583
04-07-19,BATASHOE,1177,1177,1152.2,1157.4,6567
04-08-19,BATASHOE,1158,1167,1142.5,1154.4,11892
04-09-19,BATASHOE,1157.1,1169.9,1135.2,1145.3,8682
04-10-19,BATASHOE,1132.1,1155,1129,1135.3,7297
04-11-19,BATASHOE,1135.6,1146.9,1135.6,1143.3,5562
15-04-19,BATASHOE,1145.7,1153,1129,1129.8,5340
16-04-19,BATASHOE,1128,1131.1,1113,1121.8,6203
17-04-19,BATASHOE,1136.9,1136.9,1114.3,1128.6,7322
18-04-19,BATASHOE,1119,1135,1117.3,1123,3455
21-04-19,BATASHOE,1131,1131.9,1125.1,1130.7,4422
23-04-19,BATASHOE,1140.9,1140.9,1121.6,1122.5,4797
24-04-19,BATASHOE,1126.9,1132,1109.4,1121.6,7345
25-04-19,BATASHOE,1113,1127.1,1113,1118.3,4485
28-04-19,BATASHOE,1077,1077,927,970.5,31957
29-04-19,BATASHOE,977,977,938,942.1,15134
30-04-19,BATASHOE,942.4,952,933,937.2,17577
05-02-19,BATASHOE,952.9,952.9,919,927.4,14024
05-05-19,BATASHOE,942,942,923,924.7,29729
05-06-19,BATASHOE,935.8,935.8,924,927.2,16039
05-07-19,BATASHOE,932.5,932.5,921,925.4,3859
05-08-19,BATASHOE,924.1,931.3,924.1,928.7,9083
05-09-19,BATASHOE,929,930,924.1,925.8,8262
05-12-19,BATASHOE,925.8,932,925.8,927,5822
13-05-19,BATASHOE,927,930,925.3,927.4,2370
14-05-19,BATASHOE,927.4,928.7,913,919,1896
15-05-19,BATASHOE,919,927.5,919,923.6,2634
16-05-19,BATASHOE,918.2,926,918,925.1,1146
19-05-19,BATASHOE,925.1,928,922,926.7,6822
21-05-19,BATASHOE,928.5,936.5,928.5,934.1,2723
22-05-19,BATASHOE,934.2,937.4,934.1,936.1,3045
23-05-19,BATASHOE,936.1,939.5,935.5,935.8,1200
26-05-19,BATASHOE,937.5,946.5,935.2,940.6,3394
27-05-19,BATASHOE,941.5,942.5,936.2,940.2,1658
28-05-19,BATASHOE,945,977.5,945,969.6,4115
29-05-19,BATASHOE,967.5,996.5,959.6,979.4,1718
30-05-19,BATASHOE,984.5,984.5,969.6,980.1,2402
06-09-19,BATASHOE,982.5,989.4,977.5,980.9,1547
06-10-19,BATASHOE,987.5,1002.5,982.5,994.2,1766
06-11-19,BATASHOE,994.2,999.3,982.5,982.7,2688
06-12-19,BATASHOE,978.5,998.4,977.5,996.2,4603
13-06-19,BATASHOE,997.5,1007.5,992.5,999.6,2003
16-06-19,BATASHOE,999.6,1037.5,999.6,1021.7,3118
17-06-19,BATASHOE,1021.7,1032.7,997.5,1003,1265
18-06-19,BATASHOE,997.7,1002.6,988.5,994.8,1745
19-06-19,BATASHOE,1012.4,1012.4,992.5,992.9,1688
20-06-19,BATASHOE,993,1002.4,992.5,993.5,1767
23-06-19,BATASHOE,997.5,997.5,987.5,987.6,3074
24-06-19,BATASHOE,992.5,996.5,992.5,994.9,670
25-06-19,BATASHOE,989,1007.5,989,1002.9,1429
26-06-19,BATASHOE,1012.2,1016.5,1003.1,1015.8,1662
27-06-19,BATASHOE,1022.5,1031.5,1013,1028.4,3081
30-06-19,BATASHOE,1036.3,1036.4,1003.6,1014.4,1902
07-02-19,BATASHOE,1009.5,1011.9,1007.4,1007.5,2067
07-03-19,BATASHOE,1012.4,1017.5,1012,1012.6,2386
07-04-19,BATASHOE,1012.6,1023.4,1009.5,1015.7,1182
07-07-19,BATASHOE,1003.6,1007.5,1003.5,1004.2,1372
07-08-19,BATASHOE,1005.5,1011.5,1003.6,1008.6,1797
07-09-19,BATASHOE,1004.5,1013.9,1004.5,1006.7,2067
07-10-19,BATASHOE,1000.1,1010,1000.1,1006.9,795
07-11-19,BATASHOE,1007,1011.5,1006.5,1008.2,692
14-07-19,BATASHOE,1012.5,1012.5,1002.5,1005,1812
15-07-19,BATASHOE,1007.5,1022.5,1005,1013.9,3634
16-07-19,BATASHOE,1005.9,1021.5,1002.5,1013.3,1096
17-07-19,BATASHOE,1007.5,1017.3,1007.5,1009.2,151
