DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,BERGERPBL,1318.1,1334,1307,1316.5,5814
24-12-18,BERGERPBL,1316.6,1325,1310,1315.3,5892
26-12-18,BERGERPBL,1315.3,1325,1312,1313.8,6281
27-12-18,BERGERPBL,1313,1323,1312.5,1319.1,9242
01-01-19,BERGERPBL,1315,1323.9,1315,1320.1,7417
01-02-19,BERGERPBL,1317.1,1350,1310,1339.1,27756
01-03-19,BERGERPBL,1350,1357,1341.1,1342.9,23335
01-06-19,BERGERPBL,1350,1359.9,1343.6,1351.3,11581
01-07-19,BERGERPBL,1353.2,1353.2,1345.5,1347.5,10723
01-08-19,BERGERPBL,1348,1349,1327.1,1331.1,20679
01-09-19,BERGERPBL,1333.5,1337,1320,1332.6,14733
01-10-19,BERGERPBL,1333.2,1335,1325,1328.8,13676
13-01-19,BERGERPBL,1334.5,1340,1330.5,1334.6,11131
14-01-19,BERGERPBL,1340,1345,1335,1338.6,21312
15-01-19,BERGERPBL,1340,1354,1337.1,1339.3,19891
16-01-19,BERGERPBL,1340,1346.9,1339.2,1339.9,10783
17-01-19,BERGERPBL,1340,1385,1338.5,1361.9,25986
20-01-19,BERGERPBL,1374.6,1386.2,1365.1,1368.6,12368
21-01-19,BERGERPBL,1375,1390,1370.1,1376.5,14530
22-01-19,BERGERPBL,1380.1,1433.6,1380,1428.3,25655
23-01-19,BERGERPBL,1445,1470,1415,1420.8,27765
24-01-19,BERGERPBL,1418,1420.1,1376.3,1378.3,17865
27-01-19,BERGERPBL,1384,1396,1381.1,1388.9,12494
28-01-19,BERGERPBL,1394,1444,1394,1422.4,24573
29-01-19,BERGERPBL,1444,1445,1415,1431.3,22521
30-01-19,BERGERPBL,1425.3,1437.9,1421.1,1428.3,17435
31-01-19,BERGERPBL,1423,1465,1417.3,1446.7,23336
02-03-19,BERGERPBL,1463,1474,1455,1470.1,24405
02-04-19,BERGERPBL,1475,1540,1465,1515,40362
02-05-19,BERGERPBL,1532,1611.2,1522.1,1610.1,76473
02-06-19,BERGERPBL,1625,1712.2,1622,1711.8,76655
02-07-19,BERGERPBL,1745,1820.3,1727,1819.6,88924
02-10-19,BERGERPBL,1865,1934,1825,1880,55312
02-11-19,BERGERPBL,1882.1,1900,1781,1786.8,42106
02-12-19,BERGERPBL,1786,1795,1697,1765.1,30865
13-02-19,BERGERPBL,1768,1855,1735,1845.6,27197
14-02-19,BERGERPBL,1862,1895,1835,1848.9,24967
17-02-19,BERGERPBL,1827,1830,1790.3,1794.7,12771
18-02-19,BERGERPBL,1780,1813,1760,1773.3,16049
19-02-19,BERGERPBL,1773,1825.9,1755,1806.7,23524
20-02-19,BERGERPBL,1816,1816,1782,1793,11276
24-02-19,BERGERPBL,1796.5,1823,1787,1797.1,8216
25-02-19,BERGERPBL,1803.5,1803.5,1781.4,1785.4,11642
26-02-19,BERGERPBL,1794,1822,1785.1,1813.2,13951
27-02-19,BERGERPBL,1818.9,1833,1806,1809.7,21514
03-03-19,BERGERPBL,1810,1815,1795,1800,12087
03-04-19,BERGERPBL,1788,1914,1780.1,1833.8,28716
03-05-19,BERGERPBL,1828.6,1875,1828.6,1863.7,18299
03-06-19,BERGERPBL,1874,1874,1840,1854.2,4663
03-07-19,BERGERPBL,1855,1864,1835,1839.5,7736
03-10-19,BERGERPBL,1844,1865,1843.1,1855.9,11326
03-11-19,BERGERPBL,1863,1893,1863,1879.5,23829
03-12-19,BERGERPBL,1895,1937,1895,1922.4,30932
13-03-19,BERGERPBL,1925.1,2044.1,1925.1,2043.7,50482
14-03-19,BERGERPBL,2075,2105,2040,2062.5,29865
18-03-19,BERGERPBL,2073.9,2073.9,1983,1998.6,24970
19-03-19,BERGERPBL,1998.6,2013,1915,1930.1,21089
20-03-19,BERGERPBL,1939,1942,1865,1892.6,29818
21-03-19,BERGERPBL,1923,1940,1897.3,1912.9,10366
24-03-19,BERGERPBL,1905.5,1918.9,1865,1886.2,10835
25-03-19,BERGERPBL,1897,1907.5,1850,1861.5,11133
27-03-19,BERGERPBL,1874.8,1885,1840.1,1846.7,7031
28-03-19,BERGERPBL,1854,1854,1765.1,1774.9,14666
31-03-19,BERGERPBL,1809.9,1810,1755,1772.7,14734
04-01-19,BERGERPBL,1775,1825,1775,1806.7,7722
04-02-19,BERGERPBL,1814,1885,1814,1875,10892
04-03-19,BERGERPBL,1880,1924.8,1835,1849.6,11462
04-04-19,BERGERPBL,1869.9,1870,1810.1,1846.6,5826
04-07-19,BERGERPBL,1864,1868,1835,1847.7,3586
04-08-19,BERGERPBL,1845.7,1864,1785,1802,10242
04-09-19,BERGERPBL,1797,1823.5,1765,1790,11537
04-10-19,BERGERPBL,1795,1799.9,1762.2,1765.3,7244
04-11-19,BERGERPBL,1803,1803,1775.1,1787.7,3048
15-04-19,BERGERPBL,1791,1808,1726,1750.5,5879
16-04-19,BERGERPBL,1750.6,1750.6,1660,1707.1,14700
17-04-19,BERGERPBL,1719.8,1742.9,1690,1717.7,5470
18-04-19,BERGERPBL,1735,1737.9,1715,1726.7,5445
21-04-19,BERGERPBL,1752,1752,1709,1713.2,3764
23-04-19,BERGERPBL,1717,1729.9,1688.3,1701.9,3884
24-04-19,BERGERPBL,1715,1715,1686,1695.2,3405
25-04-19,BERGERPBL,1702,1702,1690.1,1693.5,3964
28-04-19,BERGERPBL,1694.3,1713.9,1607,1626.7,6834
29-04-19,BERGERPBL,1630,1630,1523.5,1523.5,13701
30-04-19,BERGERPBL,1525.9,1525.9,1426.8,1426.8,10117
05-02-19,BERGERPBL,1424.7,1517,1356,1515.2,9100
05-05-19,BERGERPBL,1540.6,1611.4,1525,1608.2,13087
05-06-19,BERGERPBL,1623.7,1650,1580,1612.2,8071
05-07-19,BERGERPBL,1623,1623.9,1590.1,1593,5215
05-08-19,BERGERPBL,1593,1593,1555,1573,4583
05-09-19,BERGERPBL,1595,1620,1585.1,1590.6,1817
05-12-19,BERGERPBL,1592,1612.6,1592,1607.4,3099
13-05-19,BERGERPBL,1613,1615.9,1578,1580.5,4503
14-05-19,BERGERPBL,1599.5,1599.5,1556.1,1563.7,2881
15-05-19,BERGERPBL,1571,1571,1557,1560.5,2927
16-05-19,BERGERPBL,1570,1570.6,1560,1562.5,2362
19-05-19,BERGERPBL,1575,1615,1575,1592.2,4656
20-05-19,BERGERPBL,1617,1617,1583.2,1586,5163
21-05-19,BERGERPBL,1585.1,1593,1562,1567.7,4719
22-05-19,BERGERPBL,1575,1575,1468.2,1486.3,14431
23-05-19,BERGERPBL,1495,1498.9,1490,1493.8,5892
26-05-19,BERGERPBL,1500,1500,1481.1,1485.2,8418
27-05-19,BERGERPBL,1489.9,1489.9,1471,1478.9,9577
28-05-19,BERGERPBL,1475.2,1517,1445,1513,5703
29-05-19,BERGERPBL,1473,1500,1375,1389.1,31107
30-05-19,BERGERPBL,1386.1,1408,1380,1403.7,6024
06-09-19,BERGERPBL,1413.9,1413.9,1388,1390.9,5682
06-10-19,BERGERPBL,1401,1404.9,1390,1402.2,10702
06-11-19,BERGERPBL,1402.2,1414.8,1395.2,1410.4,15631
06-12-19,BERGERPBL,1413,1494,1413,1477.6,22234
13-06-19,BERGERPBL,1493.8,1493.8,1465,1476.3,8385
16-06-19,BERGERPBL,1476.3,1498.6,1463,1467.5,13727
17-06-19,BERGERPBL,1467.6,1469.4,1435,1440,8277
18-06-19,BERGERPBL,1445.1,1454,1423.1,1427.3,6084
19-06-19,BERGERPBL,1427.3,1450,1415.9,1442.3,7141
20-06-19,BERGERPBL,1431.1,1441.9,1417.7,1419.9,10138
23-06-19,BERGERPBL,1423,1432,1417.1,1418.8,6400
24-06-19,BERGERPBL,1420,1422.8,1414,1417.6,10358
26-06-19,BERGERPBL,1442.5,1455,1418,1439.6,6117
27-06-19,BERGERPBL,1445,1470,1444,1466.2,11079
30-06-19,BERGERPBL,1478.6,1478.6,1443.2,1447.9,8625
07-02-19,BERGERPBL,1450.5,1450.5,1432,1432.3,4550
07-03-19,BERGERPBL,1432,1433.1,1428,1429,2264
07-04-19,BERGERPBL,1427,1434.5,1420,1424,1981
07-07-19,BERGERPBL,1425,1425,1401,1404.3,5224
07-08-19,BERGERPBL,1400,1409,1360.5,1388.1,5998
07-09-19,BERGERPBL,1380.3,1398,1380.3,1384.1,4785
07-10-19,BERGERPBL,1380,1425,1325.6,1384.4,5128
07-11-19,BERGERPBL,1405,1413.9,1384.9,1398.6,2601
14-07-19,BERGERPBL,1390.1,1409,1370,1389.9,5410
15-07-19,BERGERPBL,1390,1437.8,1380,1385,5401
16-07-19,BERGERPBL,1387.2,1404.9,1387.2,1399.2,4333
17-07-19,BERGERPBL,1413.5,1414,1398,1398.8,4311
18-07-19,BERGERPBL,1414,1446,1414,1434.5,17316
21-07-19,BERGERPBL,1445,1445,1421,1425.2,8283
22-07-19,BERGERPBL,1429.9,1434,1416,1417.5,11273
23-07-19,BERGERPBL,1420.8,1429.2,1414.4,1422.3,3124
24-07-19,BERGERPBL,1420.4,1425.2,1420,1420.9,2814
25-07-19,BERGERPBL,1420.9,1445,1420.9,1439.4,3479
28-07-19,BERGERPBL,1435,1449,1430,1430.7,3488
29-07-19,BERGERPBL,1420.7,1442,1420.7,1438.3,5133
30-07-19,BERGERPBL,1423,1440,1423,1428.5,6441
31-07-19,BERGERPBL,1425.5,1465,1420,1451.5,7506
08-01-19,BERGERPBL,1435.5,1500,1435.5,1496.2,14991
08-04-19,BERGERPBL,1490,1589.7,1490,1573.5,25825
08-05-19,BERGERPBL,1573.6,1580,1527.5,1561.7,10650
08-06-19,BERGERPBL,1561.7,1600,1516.6,1528.3,24873
08-07-19,BERGERPBL,1501,1546,1499,1500.3,5075
08-08-19,BERGERPBL,1501,1519.8,1492,1509.5,3166
18-08-19,BERGERPBL,1505.5,1534.7,1505.5,1530.1,10217
19-08-19,BERGERPBL,1536,1562,1536,1558,10948
20-08-19,BERGERPBL,1558,1568,1530.5,1545.8,8043
21-08-19,BERGERPBL,1540,1548.7,1531.2,1532.2,2518
22-08-19,BERGERPBL,1442,1542,1442,1535.8,3181
25-08-19,BERGERPBL,1535.8,1535.8,1525.5,1526.1,4234
26-08-19,BERGERPBL,1517.2,1524,1514.3,1516.7,6662
27-08-19,BERGERPBL,1516.7,1565,1516,1555.3,6190
28-08-19,BERGERPBL,1559.9,1597,1558,1560.1,19484
29-08-19,BERGERPBL,1560.2,1579.9,1530,1573.7,10285
09-01-19,BERGERPBL,1579,1609,1575,1591.7,17836
09-02-19,BERGERPBL,1571.7,1604,1571.7,1585.7,12826
09-03-19,BERGERPBL,1580.7,1599.9,1575,1577.6,9646
09-04-19,BERGERPBL,1568,1587,1565,1578.4,5413
09-05-19,BERGERPBL,1570,1614.8,1570,1589,9316
09-08-19,BERGERPBL,1599.7,1599.8,1577.4,1596.4,9413
09-09-19,BERGERPBL,1593,1603.9,1585.4,1596.6,7028
09-11-19,BERGERPBL,1596.8,1613.6,1585,1590.5,12607
09-12-19,BERGERPBL,1590.5,1590.5,1576,1578.5,7649
15-09-19,BERGERPBL,1577.1,1577.2,1537,1540.3,7194
16-09-19,BERGERPBL,1535,1564.9,1530.4,1552.8,2700
17-09-19,BERGERPBL,1555.5,1569,1541,1551.6,5188
18-09-19,BERGERPBL,1542.4,1562,1542,1543,4268
19-09-19,BERGERPBL,1543,1543.5,1530,1530.1,4541
22-09-19,BERGERPBL,1530,1552.5,1530,1542.9,3627
23-09-19,BERGERPBL,1555,1564,1548.1,1552.4,2959
24-09-19,BERGERPBL,1550,1552.5,1535.1,1538.6,4444
25-09-19,BERGERPBL,1538.6,1544.7,1530.2,1534.8,6236
26-09-19,BERGERPBL,1548,1548,1535,1536.1,1941
29-09-19,BERGERPBL,1535.6,1545,1530.2,1533.7,3897
30-09-19,BERGERPBL,1530,1535,1530,1530.3,3141
10-01-19,BERGERPBL,1531.2,1550,1525.2,1535,3184
10-02-19,BERGERPBL,1536.6,1546.9,1535,1537.9,1367
10-03-19,BERGERPBL,1537.9,1545,1530,1532.2,836
10-06-19,BERGERPBL,1532.2,1532.2,1518,1521,1092
10-07-19,BERGERPBL,1512.2,1539.7,1501.1,1522.6,4220
10-09-19,BERGERPBL,1534,1534,1516.7,1518.8,1483
10-10-19,BERGERPBL,1515.1,1532.9,1515.1,1516.2,4200
13-10-19,BERGERPBL,1525,1525,1501.5,1504.9,2250
14-10-19,BERGERPBL,1500,1500,1485,1490,2912
15-10-19,BERGERPBL,1490,1498,1480.2,1490.6,2492
16-10-19,BERGERPBL,1482.3,1526.9,1482,1510.9,3820
17-10-19,BERGERPBL,1496,1515,1495.2,1496.6,2834
20-10-19,BERGERPBL,1496.2,1508,1455,1469.4,3363
21-10-19,BERGERPBL,1483,1499,1465,1467.5,1916
