DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DGENX,5265.32,5289.06,5263.76,5281.78,3536
24-12-18,DGENX,5281.78,5306.61,5280.46,5300.09,3574
26-12-18,DGENX,5300.09,5355.25,5300.09,5349.18,3882
27-12-18,DGENX,5349.18,5395.9,5345.91,5385.64,5383
01-01-19,DGENX,5385.64,5456.04,5385.64,5455.58,4112
01-02-19,DGENX,5465.25,5505.51,5443.26,5496.44,6965
01-03-19,DGENX,5496.44,5596.83,5496.44,5590.47,9249
01-06-19,DGENX,5590.47,5703.87,5585.75,5679.94,9436
01-07-19,DGENX,5687.01,5714.66,5646.01,5655.19,9655
01-08-19,DGENX,5655.19,5778.43,5655.19,5770.77,10100
01-09-19,DGENX,5770.77,5812.23,5764.19,5798.59,10257
01-10-19,DGENX,5798.59,5828.33,5781.59,5797.3,8976
13-01-19,DGENX,5797.3,5867.91,5797.3,5860.22,9739
14-01-19,DGENX,5860.22,5888.22,5833.76,5836.23,11463
15-01-19,DGENX,5836.23,5873.29,5834.73,5863.28,11393
16-01-19,DGENX,5863.28,5901.96,5833.58,5839.48,10005
17-01-19,DGENX,5839.48,5848.5,5810.64,5825.57,10116
20-01-19,DGENX,5825.57,5900.03,5825.57,5887.28,9689
21-01-19,DGENX,5887.28,5914.2,5855.2,5859.3,8853
22-01-19,DGENX,5859.3,5899.87,5851.55,5865.46,8907
23-01-19,DGENX,5865.46,5943.64,5865.46,5925.24,10453
24-01-19,DGENX,5925.24,5959.1,5925.24,5950.01,10376
27-01-19,DGENX,5950.01,5992.1,5932.15,5939.46,11986
28-01-19,DGENX,5939.46,5973.01,5898.03,5904.23,10096
29-01-19,DGENX,5904.23,5942.47,5894.73,5924.53,9459
30-01-19,DGENX,5924.53,5942.25,5881.46,5884.11,10246
31-01-19,DGENX,5884.11,5893.76,5816.85,5821.01,9927
02-03-19,DGENX,5821.01,5842.21,5795.39,5801.33,9842
02-04-19,DGENX,5801.33,5855.05,5801.33,5828.07,8891
02-05-19,DGENX,5828.07,5843.15,5788.99,5800.24,7067
02-06-19,DGENX,5800.24,5819.96,5771.47,5786.01,7668
02-07-19,DGENX,5786.01,5841.99,5786.01,5811.92,7730
02-10-19,DGENX,5811.92,5838,5760.04,5763.73,8128
02-11-19,DGENX,5763.73,5768.45,5709.93,5733.91,7191
02-12-19,DGENX,5733.91,5762.1,5717.38,5731.95,9014
13-02-19,DGENX,5731.95,5752.41,5731.95,5748.31,7126
14-02-19,DGENX,5748.31,5768.48,5738.91,5750.29,9324
17-02-19,DGENX,5750.29,5794.57,5750.29,5775.83,7255
18-02-19,DGENX,5775.83,5779.87,5721.04,5724.52,8917
