DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DS30,1842.11,1853.51,1839.49,1850.75,9428180
24-12-18,DS30,1850.75,1858.04,1848.11,1854.76,12443600
26-12-18,DS30,1854.76,1868.58,1854.76,1867.69,11682500
27-12-18,DS30,1867.69,1887.41,1867.69,1880.78,20354400
01-01-19,DS30,1880.78,1908.17,1880.78,1906.78,20712400
01-02-19,DS30,1908.2,1916.06,1896.44,1912.98,27425200
01-03-19,DS30,1912.98,1945.22,1912.98,1941.99,35577400
01-06-19,DS30,1941.99,1980,1935.08,1971.95,32134600
01-07-19,DS30,1974.1,1983.02,1960.66,1963.89,31373600
01-08-19,DS30,1963.89,2002.64,1963.89,2001.19,34919600
01-09-19,DS30,2001.19,2013.68,1999.63,2011.12,29371500
01-10-19,DS30,2011.12,2021.41,2005.42,2011.74,23028400
13-01-19,DS30,2011.74,2034.7,2011.74,2030.43,28256200
14-01-19,DS30,2030.43,2042.32,2023.71,2026,24508900
15-01-19,DS30,2026,2033.79,2020.02,2029.07,25249000
16-01-19,DS30,2029.07,2039.95,2014.74,2017.27,19572100
17-01-19,DS30,2017.27,2020.58,2005.13,2009.49,23651400
20-01-19,DS30,2009.49,2032.81,2009.49,2029.9,34894100
21-01-19,DS30,2029.9,2038.22,2019.72,2021.7,23264900
22-01-19,DS30,2021.7,2030.49,2018.7,2026.11,22820300
23-01-19,DS30,2026.11,2050.02,2026.11,2043.03,42400900
24-01-19,DS30,2043.03,2051.71,2043.03,2049,28099500
27-01-19,DS30,2049,2061.99,2040.91,2043.52,31207600
28-01-19,DS30,2043.52,2057.8,2042.7,2046.77,26707200
29-01-19,DS30,2046.77,2054.31,2042.27,2046.29,22027100
30-01-19,DS30,2046.29,2048.49,2030.12,2031.73,23426700
31-01-19,DS30,2031.73,2035.81,2004.99,2007.96,24211700
02-03-19,DS30,2007.96,2010.03,1996.52,2003.84,22249300
02-04-19,DS30,2003.84,2023.21,2003.84,2018.2,20504200
02-05-19,DS30,2018.2,2024.17,2010.43,2021.23,16241800
02-06-19,DS30,2021.23,2027.78,2014.37,2022.58,17717800
02-07-19,DS30,2022.58,2037.42,2022.05,2026.09,15332500
02-10-19,DS30,2026.09,2038.02,2021.16,2024.68,13973100
02-11-19,DS30,2024.68,2026.45,2000.51,2003.03,13987100
02-12-19,DS30,2003.03,2009.13,1992.75,1999.8,13540100
13-02-19,DS30,1999.8,2005.34,1997.89,2003.32,16389400
14-02-19,DS30,2003.32,2013.07,1995.77,1999.08,12643000
17-02-19,DS30,1999.08,2008.77,1995.09,2004.74,18844800
18-02-19,DS30,2004.74,2004.74,1985.43,1987.39,16637000
19-02-19,DS30,1987.39,1998.51,1983.03,1995,15378400
20-02-19,DS30,1995,2003.63,1992.01,2002.18,12734500
24-02-19,DS30,2002.18,2002.47,1991.39,1996.78,11424900
25-02-19,DS30,1996.78,2019.13,1996.78,2016.74,15548900
26-02-19,DS30,2016.74,2025.17,2011.32,2014.41,13917800
27-02-19,DS30,2014.41,2015.01,1994.37,1998.65,12499300
03-03-19,DS30,1998.65,2004.33,1993.59,2002.42,13218600
03-04-19,DS30,2002.42,2002.61,1985.18,1991.7,12998600
03-05-19,DS30,1991.7,2002.22,1989.81,1995.91,10780300
03-06-19,DS30,1995.91,1998.71,1989.2,1993.13,14273500
03-07-19,DS30,1993.13,1999.77,1985,1990.32,10556600
03-10-19,DS30,1990.32,2004.51,1990.32,2001.33,10176100
03-11-19,DS30,2001.33,2010.18,1996.89,1998.87,11660500
03-12-19,DS30,1998.87,2041.53,1998.87,2013.75,12063700
13-03-19,DS30,2013.75,2015.99,2003.1,2005.49,14620700
14-03-19,DS30,2005.49,2027.12,2005.49,2023.66,15616500
18-03-19,DS30,2023.66,2034.84,2010.8,2017.9,14935600
19-03-19,DS30,2017.9,2023.11,2002.04,2014.68,11361900
20-03-19,DS30,2014.68,2025.19,2002.64,2005.58,13238100
21-03-19,DS30,2005.58,2011.6,1993,1993,8963040
24-03-19,DS30,1993,1993,1969.85,1972.26,10011400
25-03-19,DS30,1972.26,1987.49,1967.1,1980.07,9398730
27-03-19,DS30,1980.07,1983.64,1966.17,1968.75,8941350
28-03-19,DS30,1968.75,1975.62,1967.16,1968.68,9213100
31-03-19,DS30,1968.68,1976.34,1963.75,1967.21,6630300
04-01-19,DS30,1967.21,1979.74,1967.21,1971.64,10648600
04-02-19,DS30,1971.64,1988.08,1971.52,1977.53,8456090
04-03-19,DS30,1977.53,1978.69,1944.52,1947.87,9404800
04-04-19,DS30,1947.87,1953.95,1937.19,1948.47,8039850
04-07-19,DS30,1948.47,1957.69,1941.38,1942.76,6144130
04-08-19,DS30,1942.76,1951.42,1923.24,1924.54,9467040
04-09-19,DS30,1924.54,1926.51,1897.87,1900.54,7904140
04-10-19,DS30,1900.54,1908.71,1874.08,1877.92,7809960
04-11-19,DS30,1877.92,1906.68,1877.92,1902.98,5785650
15-04-19,DS30,1902.98,1919.78,1897.82,1901.36,5054880
16-04-19,DS30,1901.36,1904.95,1866.27,1876.81,7246720
17-04-19,DS30,1876.81,1892,1864.18,1880.51,7263650
18-04-19,DS30,1880.51,1898.24,1875.94,1897.58,9142660
21-04-19,DS30,1897.58,1904.08,1884.54,1892.95,7827320
23-04-19,DS30,1892.95,1896.89,1871.13,1872.74,7318090
24-04-19,DS30,1872.74,1874.57,1857.45,1868.13,7675030
25-04-19,DS30,1868.13,1874.59,1861.2,1863.94,9064650
28-04-19,DS30,1863.94,1869.73,1853.76,1855.92,5795930
29-04-19,DS30,1855.92,1857.21,1830.39,1835.75,9351780
30-04-19,DS30,1835.75,1855.31,1835.75,1846.67,13382900
05-02-19,DS30,1846.67,1875.75,1846.67,1870.58,9836600
05-05-19,DS30,1870.58,1903.53,1870.58,1901.66,13927400
05-06-19,DS30,1901.66,1907.48,1879.36,1881.21,10274100
05-07-19,DS30,1881.21,1886.95,1858.92,1861.82,11716900
05-08-19,DS30,1861.82,1868.76,1852.75,1858.05,13306500
05-09-19,DS30,1858.05,1866.58,1850.05,1851.35,8120310
05-12-19,DS30,1851.35,1860.93,1844.57,1846.48,7501690
13-05-19,DS30,1846.48,1847.89,1834.48,1836.4,10675700
14-05-19,DS30,1836.4,1843.42,1824.07,1825.52,9034260
15-05-19,DS30,1825.52,1830.96,1811.67,1812.82,10179400
16-05-19,DS30,1812.82,1823.31,1811.41,1818.21,14077300
19-05-19,DS30,1818.21,1851.8,1818.21,1849.85,15910200
20-05-19,DS30,1849.85,1851.34,1830.25,1833.37,14975300
21-05-19,DS30,1833.37,1834.04,1817.35,1822.78,9033600
22-05-19,DS30,1822.78,1832.01,1822.78,1830.32,8202210
23-05-19,DS30,1830.32,1837.7,1830.3,1832.82,8702100
26-05-19,DS30,1832.82,1834.09,1821.12,1825.38,6912270
27-05-19,DS30,1825.38,1831.76,1822.65,1828.3,8048900
28-05-19,DS30,1828.3,1861.42,1827.91,1861.37,15131600
29-05-19,DS30,1861.37,1870.99,1857.88,1868.27,8325220
30-05-19,DS30,1868.27,1878.15,1866.21,1876.6,9402010
06-09-19,DS30,1876.6,1891.1,1876.6,1889.04,6498570
06-10-19,DS30,1889.04,1903.38,1888.97,1901.67,13184800
06-11-19,DS30,1901.67,1922.31,1901.67,1921.83,17008000
06-12-19,DS30,1921.83,1926.84,1910.7,1917.36,13117500
13-06-19,DS30,1917.36,1921.06,1913.61,1918.73,11692400
16-06-19,DS30,1918.73,1930.07,1903.96,1905.09,6259110
17-06-19,DS30,1905.09,1908.5,1886.69,1889.39,10427200
18-06-19,DS30,1889.39,1896.6,1881.57,1895.11,9607270
19-06-19,DS30,1895.11,1903.54,1894.89,1898.47,6226280
20-06-19,DS30,1897.81,1904.43,1894,1894.39,9092640
23-06-19,DS30,1894.39,1900.54,1889.55,1896.72,7987030
24-06-19,DS30,1896.72,1897.47,1888.45,1893.82,9744590
25-06-19,DS30,1893.82,1899.69,1891.9,1896.49,10710000
26-06-19,DS30,1896.49,1911.91,1896.49,1911.56,10746700
27-06-19,DS30,1911.56,1927.06,1911.56,1924.91,14599000
30-06-19,DS30,1924.91,1933.92,1920.98,1929.09,12432100
07-02-19,DS30,1929.09,1929.51,1905,1912.58,9230480
07-03-19,DS30,1912.58,1917,1908.33,1909.67,8080890
