DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DSES,1209.38,1215.52,1207.94,1213.87,0
24-12-18,DSES,1213.87,1220.3,1213.59,1218.46,0
26-12-18,DSES,1218.46,1228.33,1218.46,1226.76,0
27-12-18,DSES,1226.76,1238.17,1226.75,1232.82,0
01-01-19,DSES,1232.82,1244.71,1232.82,1244.11,0
01-02-19,DSES,1245.8,1253.19,1241.32,1249.81,0
01-03-19,DSES,1249.81,1273.91,1249.81,1271.37,0
01-06-19,DSES,1271.37,1299.37,1271.37,1294.49,0
01-07-19,DSES,1295.35,1302.11,1287.32,1289.55,0
01-08-19,DSES,1289.55,1311.64,1289.55,1308.06,0
01-09-19,DSES,1308.06,1321.05,1308.06,1315.99,0
01-10-19,DSES,1315.99,1324.81,1313.82,1318.66,0
13-01-19,DSES,1318.66,1331.05,1318.66,1329.87,0
14-01-19,DSES,1329.87,1338.36,1325.83,1326.58,0
15-01-19,DSES,1326.58,1332.16,1325.35,1330.62,0
16-01-19,DSES,1330.62,1339.05,1320.12,1322.71,0
17-01-19,DSES,1322.71,1323.3,1309.24,1309.8,0
20-01-19,DSES,1309.8,1322.37,1309.8,1318.86,0
21-01-19,DSES,1318.86,1324.21,1314.71,1315.79,0
22-01-19,DSES,1315.79,1323.26,1315.79,1319.35,0
23-01-19,DSES,1319.35,1327.6,1319.35,1321.79,0
24-01-19,DSES,1321.79,1327.9,1320.59,1321.61,0
27-01-19,DSES,1321.61,1330.47,1320.72,1322.27,0
28-01-19,DSES,1322.27,1334.7,1322.27,1329.45,0
29-01-19,DSES,1329.45,1336.44,1329.11,1331.62,0
30-01-19,DSES,1331.62,1334.22,1322.36,1324.04,0
31-01-19,DSES,1324.04,1327.63,1309.37,1310.6,0
02-03-19,DSES,1310.6,1316.18,1307.11,1311.38,0
02-04-19,DSES,1311.38,1324.96,1309.79,1319.23,0
02-05-19,DSES,1319.23,1322.36,1315.18,1317.08,0
02-06-19,DSES,1317.08,1321.52,1308.84,1312.04,0
02-07-19,DSES,1312.04,1325.3,1312.04,1323.4,0
02-10-19,DSES,1323.4,1332.84,1318.73,1320.28,0
02-11-19,DSES,1320.28,1321.38,1306.18,1311.63,0
02-12-19,DSES,1311.63,1315.49,1305.6,1309.58,0
13-02-19,DSES,1309.58,1313.73,1307.6,1311.32,0
14-02-19,DSES,1311.32,1316.64,1309.24,1311.45,0
17-02-19,DSES,1311.45,1317.62,1311.45,1314.77,0
18-02-19,DSES,1314.77,1314.77,1303.61,1304.71,0
19-02-19,DSES,1304.71,1310.53,1300.26,1307.56,0
20-02-19,DSES,1307.56,1316.57,1307.56,1312.91,0
24-02-19,DSES,1312.91,1315.22,1308.43,1312.58,0
25-02-19,DSES,1312.58,1320.97,1312.58,1319.96,0
26-02-19,DSES,1319.96,1324.86,1318.8,1319.73,0
27-02-19,DSES,1319.73,1321.13,1310.43,1314.64,0
03-03-19,DSES,1314.64,1320.29,1313.49,1317.91,0
03-04-19,DSES,1317.91,1317.99,1307.08,1309.2,0
03-05-19,DSES,1309.2,1310.43,1301.57,1304.2,0
03-06-19,DSES,1304.2,1307.48,1302.34,1303.68,0
03-07-19,DSES,1303.68,1310.33,1300.87,1303.04,0
03-10-19,DSES,1303.04,1311.85,1303.04,1311.05,0
03-11-19,DSES,1311.05,1314.28,1307.6,1308.99,0
03-12-19,DSES,1308.99,1311.68,1299.5,1303.93,0
13-03-19,DSES,1303.93,1306.87,1291.5,1292.2,0
14-03-19,DSES,1292.2,1299.19,1291.95,1292.83,0
18-03-19,DSES,1292.83,1295.34,1279.42,1283.01,0
19-03-19,DSES,1283.01,1295.32,1279.46,1292.93,0
20-03-19,DSES,1292.93,1300.16,1288.6,1289.71,0
21-03-19,DSES,1289.71,1293.37,1283.89,1284.44,0
24-03-19,DSES,1284.44,1285.95,1278.86,1281.84,0
25-03-19,DSES,1281.84,1288.88,1279.1,1286.33,0
27-03-19,DSES,1286.33,1291.73,1280.73,1281.73,0
28-03-19,DSES,1281.73,1285.28,1280.69,1281.46,0
31-03-19,DSES,1281.46,1283.97,1274.43,1275.45,0
04-01-19,DSES,1275.45,1281.85,1275.45,1277.66,0
04-02-19,DSES,1277.66,1286.45,1277.66,1281.16,0
04-03-19,DSES,1281.16,1281.16,1268.83,1269.28,0
04-04-19,DSES,1269.28,1272.09,1262.5,1269.42,0
04-07-19,DSES,1269.42,1269.62,1256.76,1258.76,0
04-08-19,DSES,1258.76,1259.96,1239.31,1240.62,0
04-09-19,DSES,1240.62,1247.2,1231.19,1233,0
04-10-19,DSES,1233,1235.44,1217.49,1217.86,0
04-11-19,DSES,1217.86,1236.23,1217.86,1233.22,0
15-04-19,DSES,1233.22,1243.64,1228.58,1228.8,0
16-04-19,DSES,1228.8,1228.8,1207.44,1212.37,0
17-04-19,DSES,1212.37,1224.21,1207.36,1217.04,0
18-04-19,DSES,1217.04,1230.06,1217.04,1227.62,0
21-04-19,DSES,1227.62,1237.62,1227.16,1231.21,0
23-04-19,DSES,1231.21,1232.86,1214.83,1215.41,0
24-04-19,DSES,1215.41,1218.61,1204.61,1211.15,0
25-04-19,DSES,1211.15,1219.9,1211.15,1214.87,0
28-04-19,DSES,1214.87,1219.36,1207.87,1209.25,0
29-04-19,DSES,1209.25,1210.27,1196.9,1198.82,0
30-04-19,DSES,1198.82,1208.71,1198.82,1205.15,0
05-02-19,DSES,1205.15,1228.79,1205.15,1224.97,0
05-05-19,DSES,1224.97,1242.62,1224.97,1240.61,0
05-06-19,DSES,1240.61,1243.42,1232.38,1233.64,0
05-07-19,DSES,1233.64,1239.49,1220.28,1222.48,0
05-08-19,DSES,1222.48,1224.55,1216.08,1217.98,0
