DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DSEX,5265.32,5289.06,5263.76,5281.78,75985000
24-12-18,DSEX,5281.78,5306.61,5280.46,5300.09,79941100
26-12-18,DSEX,5300.09,5355.25,5300.09,5349.18,98877400
27-12-18,DSEX,5349.18,5395.9,5345.91,5385.64,118808000
01-01-19,DSEX,5385.64,5460.03,5385.64,5460.03,108083000
01-02-19,DSEX,5465.25,5505.51,5443.26,5496.44,173418000
01-03-19,DSEX,5496.44,5596.83,5496.44,5590.47,240884000
01-06-19,DSEX,5590.47,5703.87,5585.75,5679.94,252889000
01-07-19,DSEX,5687.01,5714.66,5646.01,5655.19,261314000
01-08-19,DSEX,5655.19,5778.43,5655.19,5770.77,271059000
01-09-19,DSEX,5770.77,5812.23,5764.19,5798.59,252356000
01-10-19,DSEX,5798.59,5828.33,5781.59,5797.3,200801000
13-01-19,DSEX,5797.3,5867.91,5797.3,5860.22,224898000
14-01-19,DSEX,5860.22,5888.22,5833.76,5836.23,231322000
15-01-19,DSEX,5836.23,5873.29,5834.73,5863.28,262289000
16-01-19,DSEX,5863.28,5901.96,5833.58,5839.48,230264000
17-01-19,DSEX,5839.48,5848.5,5810.64,5825.57,255873000
20-01-19,DSEX,5825.57,5900.03,5825.57,5887.28,259553000
21-01-19,DSEX,5887.28,5914.2,5855.2,5859.3,216420000
22-01-19,DSEX,5859.3,5899.87,5851.55,5865.46,248947000
23-01-19,DSEX,5865.46,5943.64,5865.46,5925.24,311893000
24-01-19,DSEX,5925.24,5959.1,5925.24,5950.01,313379000
27-01-19,DSEX,5950.01,5992.1,5932.15,5939.46,349896000
28-01-19,DSEX,5939.46,5973.01,5898.03,5904.23,253279000
29-01-19,DSEX,5904.23,5942.47,5894.73,5924.53,231745000
30-01-19,DSEX,5924.53,5942.25,5881.46,5884.11,232136000
31-01-19,DSEX,5884.11,5893.76,5816.85,5821.01,229374000
02-03-19,DSEX,5821.01,5842.21,5795.39,5801.33,217353000
02-04-19,DSEX,5801.33,5855.05,5801.33,5828.07,182206000
02-05-19,DSEX,5828.07,5843.15,5788.99,5800.24,154135000
02-06-19,DSEX,5800.24,5819.96,5771.47,5786.01,140831000
02-07-19,DSEX,5786.01,5841.99,5786.01,5811.92,143940000
02-10-19,DSEX,5811.92,5838,5760.04,5763.73,145372000
02-11-19,DSEX,5763.73,5768.45,5709.93,5733.91,141471000
02-12-19,DSEX,5733.91,5762.1,5717.38,5731.95,169658000
13-02-19,DSEX,5731.95,5752.41,5731.95,5748.31,149053000
14-02-19,DSEX,5748.31,5768.48,5738.91,5750.29,218747000
17-02-19,DSEX,5750.29,5794.57,5750.29,5775.83,164189000
18-02-19,DSEX,5775.83,5779.87,5721.04,5724.52,173014000
19-02-19,DSEX,5724.52,5742.24,5713.48,5735.92,113428000
20-02-19,DSEX,5735.92,5756.52,5735.92,5745.83,106566000
24-02-19,DSEX,5745.83,5750.62,5710.36,5714.27,106377000
25-02-19,DSEX,5714.27,5762.1,5714.27,5755.79,114582000
26-02-19,DSEX,5755.79,5770.39,5735.17,5738.64,117813000
27-02-19,DSEX,5738.64,5745.11,5703.17,5711.83,119843000
03-03-19,DSEX,5711.83,5730.8,5704.67,5723.08,115200000
03-04-19,DSEX,5723.08,5732.24,5680.61,5682.42,104849000
03-05-19,DSEX,5682.42,5710.05,5678.43,5687.49,107587000
03-06-19,DSEX,5687.49,5705.53,5682.47,5686.38,104735000
03-07-19,DSEX,5686.38,5709.19,5676.47,5688.46,97095100
