DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,EASTRNLUB,1350,1351,1325.1,1328.2,2313
24-12-18,EASTRNLUB,1329.3,1358.9,1329.2,1337.5,4133
26-12-18,EASTRNLUB,1379.9,1385,1335,1339.9,1306
27-12-18,EASTRNLUB,1339.9,1357,1331,1335,1900
01-01-19,EASTRNLUB,1337.1,1349,1336,1345.3,3220
01-02-19,EASTRNLUB,1357.8,1370,1346.2,1361,8520
01-03-19,EASTRNLUB,1374.9,1426.8,1374,1408.9,10949
01-06-19,EASTRNLUB,1415,1464,1411,1433.4,10988
01-07-19,EASTRNLUB,1433.5,1440,1390,1394.4,7202
01-08-19,EASTRNLUB,1395,1420,1370,1378.5,8873
01-09-19,EASTRNLUB,1409.4,1409.4,1370,1373.6,5664
01-10-19,EASTRNLUB,1375.2,1390,1365,1371.7,6608
13-01-19,EASTRNLUB,1400,1410,1372.1,1376.8,8682
14-01-19,EASTRNLUB,1390,1404.3,1380.1,1382.2,13282
15-01-19,EASTRNLUB,1391,1401,1373.1,1388,12045
16-01-19,EASTRNLUB,1399.9,1423.1,1391,1394.5,9352
17-01-19,EASTRNLUB,1395.7,1415,1380,1383.6,7225
20-01-19,EASTRNLUB,1385,1400,1365,1372.1,4997
21-01-19,EASTRNLUB,1372.5,1387,1360,1360.5,5173
22-01-19,EASTRNLUB,1375,1375,1356,1359,3772
23-01-19,EASTRNLUB,1360.1,1398,1360.1,1382.4,9360
24-01-19,EASTRNLUB,1390,1398,1351.1,1355.9,7375
27-01-19,EASTRNLUB,1355.9,1380,1326.1,1332.9,7298
28-01-19,EASTRNLUB,1326.1,1346,1326,1332.1,3779
29-01-19,EASTRNLUB,1325.1,1350,1325.1,1334.7,3209
30-01-19,EASTRNLUB,1290,1290,1250.7,1250.7,7678
31-01-19,EASTRNLUB,1191,1288.5,1172,1274.1,16451
02-03-19,EASTRNLUB,1274,1278.8,1231.1,1236,4436
02-04-19,EASTRNLUB,1237,1237,1209.3,1217.5,4569
02-05-19,EASTRNLUB,1223.8,1248,1216,1236.7,3584
02-06-19,EASTRNLUB,1238,1280,1238,1264.8,5703
02-07-19,EASTRNLUB,1278.8,1344.4,1278.8,1344.4,12939
02-10-19,EASTRNLUB,1389,1428.9,1365,1373.9,19852
02-11-19,EASTRNLUB,1320,1373.9,1320,1348.4,4199
02-12-19,EASTRNLUB,1349,1359,1320.1,1331.9,5210
13-02-19,EASTRNLUB,1351.9,1360,1323,1327.7,2814
14-02-19,EASTRNLUB,1328,1360,1300,1305.4,6562
17-02-19,EASTRNLUB,1300,1329,1300,1309.9,1756
18-02-19,EASTRNLUB,1309.9,1322.8,1290,1296.3,3272
19-02-19,EASTRNLUB,1305,1305,1275.7,1281.4,4626
20-02-19,EASTRNLUB,1282.1,1299,1278.1,1279.2,1289
24-02-19,EASTRNLUB,1289,1296,1250.1,1258.8,3726
25-02-19,EASTRNLUB,1258.8,1284.9,1250.1,1261.9,1566
26-02-19,EASTRNLUB,1278,1278,1252.2,1258.5,1124
27-02-19,EASTRNLUB,1260.5,1277,1255.2,1257.1,1539
03-03-19,EASTRNLUB,1260.4,1267.1,1244,1250.1,1648
03-04-19,EASTRNLUB,1250.3,1258,1240.1,1245.8,1443
03-05-19,EASTRNLUB,1252,1254.9,1230,1233.6,2186
03-06-19,EASTRNLUB,1242.9,1245.1,1233,1239.3,2461
03-07-19,EASTRNLUB,1245,1250,1237,1239,888
03-10-19,EASTRNLUB,1242,1250,1240,1247.4,777
03-11-19,EASTRNLUB,1257,1279.8,1246.9,1275.1,1359
03-12-19,EASTRNLUB,1285.7,1320,1262,1278.7,4223
13-03-19,EASTRNLUB,1290,1318,1290,1295.9,2624
14-03-19,EASTRNLUB,1308.5,1324.9,1300,1308.8,5459
18-03-19,EASTRNLUB,1320,1389.7,1320,1365.6,13518
19-03-19,EASTRNLUB,1385,1409.9,1350.1,1351.9,12128
20-03-19,EASTRNLUB,1364,1385,1339,1371.3,12092
21-03-19,EASTRNLUB,1389,1457.6,1375,1457.6,44488
24-03-19,EASTRNLUB,1491,1527,1422,1437.4,24442
25-03-19,EASTRNLUB,1418.1,1457.8,1392,1400.2,11630
27-03-19,EASTRNLUB,1392,1488.3,1392,1488.3,16288
28-03-19,EASTRNLUB,1519,1558.9,1490,1493.4,35631
31-03-19,EASTRNLUB,1504,1587.3,1481.1,1587.3,29169
04-01-19,EASTRNLUB,1625.1,1660,1570,1590.9,30970
04-02-19,EASTRNLUB,1603.9,1620,1570.1,1599,22603
04-03-19,EASTRNLUB,1626,1699.5,1626,1699.3,23626
04-04-19,EASTRNLUB,1735,1760,1676,1697.7,34243
04-07-19,EASTRNLUB,1715,1757,1675,1706,34062
04-08-19,EASTRNLUB,1710,1726.9,1599,1612.8,29722
04-09-19,EASTRNLUB,1620,1629.4,1511.4,1516.8,27475
04-10-19,EASTRNLUB,1525,1559.9,1455.5,1472.9,19965
04-11-19,EASTRNLUB,1475,1565.5,1475,1565.4,13173
15-04-19,EASTRNLUB,1570,1638.9,1492.1,1527.5,22008
16-04-19,EASTRNLUB,1508,1529.9,1475.3,1485.8,9190
