DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,LIBRAINFU,1075,1084,1031,1033.9,11812
24-12-18,LIBRAINFU,1040,1048,1019,1024.9,15263
26-12-18,LIBRAINFU,1025,1025,992,995.8,26541
27-12-18,LIBRAINFU,1000,1009.9,990.2,999.3,12218
01-01-19,LIBRAINFU,999.9,1013.5,979.3,984.2,14488
01-02-19,LIBRAINFU,981.2,1003,980,986.4,16044
01-03-19,LIBRAINFU,992,1058.7,992,1016.5,41256
01-06-19,LIBRAINFU,1025,1035,1000.2,1011.3,29731
01-07-19,LIBRAINFU,1012,1024,1001,1004.6,24799
01-08-19,LIBRAINFU,995,1012.3,985,989.9,28024
01-09-19,LIBRAINFU,995,1007,950,954.6,32046
01-10-19,LIBRAINFU,968,968,945,961.2,22073
13-01-19,LIBRAINFU,970,1008,965,1004.8,30709
14-01-19,LIBRAINFU,1020,1059,1015,1035.1,46637
15-01-19,LIBRAINFU,1035.1,1048,1015.1,1020.1,32597
16-01-19,LIBRAINFU,1026.2,1040,1002,1012.1,26389
17-01-19,LIBRAINFU,1010,1020,990,991.7,22844
20-01-19,LIBRAINFU,991.9,1009,952,974.9,23480
21-01-19,LIBRAINFU,975,988,960,968.1,13546
22-01-19,LIBRAINFU,983.9,983.9,950,959.4,14794
23-01-19,LIBRAINFU,962,973.5,935,941.9,13974
24-01-19,LIBRAINFU,950,950,930,930.6,14213
27-01-19,LIBRAINFU,927.1,938.8,900,901.7,14741
28-01-19,LIBRAINFU,901,915,885,888.4,20232
29-01-19,LIBRAINFU,904.8,918,882,885.4,11906
30-01-19,LIBRAINFU,880.1,880.1,822,836.6,29556
31-01-19,LIBRAINFU,840,899.3,829,899.3,26165
02-03-19,LIBRAINFU,925,966.7,925,966.1,53036
02-04-19,LIBRAINFU,978,985,952.7,966.6,31004
02-05-19,LIBRAINFU,970,970,940,940.9,14522
02-06-19,LIBRAINFU,935.7,1007,935.7,1004,36661
02-07-19,LIBRAINFU,1019,1066.7,1019,1066.7,45541
02-10-19,LIBRAINFU,1098,1133.3,1040,1047.1,69675
02-11-19,LIBRAINFU,1047.2,1048.5,985.1,1020.5,36992
02-12-19,LIBRAINFU,1040,1040,990,1004.1,39375
13-02-19,LIBRAINFU,1010,1059.9,1005,1031.2,31008
14-02-19,LIBRAINFU,1040,1047.8,1006,1012.8,21582
17-02-19,LIBRAINFU,1015,1015,990,997.1,15691
18-02-19,LIBRAINFU,992.2,992.2,991,991,5
18-02-19,LIBRAINFU,992.2,1002.5,970.1,973.2,14363
19-02-19,LIBRAINFU,975.2,980.3,958,965.5,7887
20-02-19,LIBRAINFU,961,999.8,961,988.3,12733
24-02-19,LIBRAINFU,999,1009.8,976.2,982.4,9277
25-02-19,LIBRAINFU,983,988,965,968.6,9044
26-02-19,LIBRAINFU,968.6,971.7,951.1,958.1,6859
27-02-19,LIBRAINFU,958,977,952,963.6,13294
03-03-19,LIBRAINFU,973,982.4,966.3,968.3,10235
03-04-19,LIBRAINFU,979,979,938,944.5,14351
03-05-19,LIBRAINFU,951,956,910.1,925.5,13978
03-06-19,LIBRAINFU,939,940,910,919.4,8834
03-07-19,LIBRAINFU,932,939,922.7,932.6,6188
03-10-19,LIBRAINFU,934,940,921.1,926.4,6575
03-11-19,LIBRAINFU,938,938,927,931.6,4575
03-12-19,LIBRAINFU,938,955,930,946.2,10452
13-03-19,LIBRAINFU,952.1,1017.1,948.1,1017.1,43169
14-03-19,LIBRAINFU,1037.8,1050,995.2,999.1,22319
18-03-19,LIBRAINFU,1006,1019,950.1,971.2,14350
19-03-19,LIBRAINFU,980,988,955.1,969.3,7203
20-03-19,LIBRAINFU,980.1,1020,972.2,1011.4,21141
21-03-19,LIBRAINFU,1024.9,1069.9,995,1051.1,50207
24-03-19,LIBRAINFU,1060,1067,1015,1019.4,24770
25-03-19,LIBRAINFU,1016,1030,995.1,1002.3,18162
27-03-19,LIBRAINFU,1010,1048.5,1001.6,1033.9,23688
28-03-19,LIBRAINFU,1046.9,1068,1005,1013.9,23821
31-03-19,LIBRAINFU,1022.8,1050,1005,1036.1,26039
04-01-19,LIBRAINFU,1050.9,1060,1021,1026.9,19592
04-02-19,LIBRAINFU,1030,1040,1015,1018.6,16351
04-03-19,LIBRAINFU,1016,1060,1016,1054.2,38852
04-04-19,LIBRAINFU,1043.2,1065,1035,1039.8,22259
04-07-19,LIBRAINFU,1041,1044.9,1018,1025.2,22109
04-08-19,LIBRAINFU,1026,1037.8,1007,1010.6,17404
04-09-19,LIBRAINFU,1010.1,1015.9,950,957.4,22026
04-10-19,LIBRAINFU,950,977.5,942,951.1,13409
04-11-19,LIBRAINFU,960,1022.4,960,1022.4,21924
15-04-19,LIBRAINFU,1050,1086.3,1042,1059,56411
16-04-19,LIBRAINFU,1031,1060,1011.1,1045.4,29442
17-04-19,LIBRAINFU,1050,1069.8,1012.1,1018.6,39649
18-04-19,LIBRAINFU,1011,1030,1001,1018.3,31203
21-04-19,LIBRAINFU,1019,1029,1000,1012.8,32276
23-04-19,LIBRAINFU,1003,1008,985,986.8,17494
24-04-19,LIBRAINFU,980,981.1,951,955.7,16533
25-04-19,LIBRAINFU,951.1,969.9,951.1,963.3,8711
28-04-19,LIBRAINFU,966,966,905,913.4,8303
29-04-19,LIBRAINFU,915,915,877.5,881.4,10813
30-04-19,LIBRAINFU,851,921.8,851,912.2,5124
05-02-19,LIBRAINFU,935,980.5,935,976,13934
05-05-19,LIBRAINFU,980.5,1010,976.2,980,14615
05-06-19,LIBRAINFU,994.9,994.9,950,951.9,9260
05-07-19,LIBRAINFU,974,974,941,943.6,5168
05-08-19,LIBRAINFU,941,949.7,931.2,935.8,4247
05-09-19,LIBRAINFU,950.6,950.6,918.2,922.6,8398
05-12-19,LIBRAINFU,935,935,897,901.9,5901
13-05-19,LIBRAINFU,910,910,895,898.5,2764
14-05-19,LIBRAINFU,909.7,909.7,885,888,2648
15-05-19,LIBRAINFU,890.5,918.5,890.5,908.4,4244
16-05-19,LIBRAINFU,916,931.5,916,927.9,5773
19-05-19,LIBRAINFU,928,936.8,905,908.9,5934
20-05-19,LIBRAINFU,906,909.9,900,904.4,1893
21-05-19,LIBRAINFU,890,904.4,890,894,5225
22-05-19,LIBRAINFU,894,920,890,910.8,3632
23-05-19,LIBRAINFU,912,916.9,895.3,903.7,4853
26-05-19,LIBRAINFU,903.7,903.7,892.3,894,2366
27-05-19,LIBRAINFU,894,898,886.7,890,6697
28-05-19,LIBRAINFU,890.2,904,887.1,889.4,4297
29-05-19,LIBRAINFU,889.4,897,884,890.3,3647
30-05-19,LIBRAINFU,898,912.5,891,904.4,7081
06-09-19,LIBRAINFU,910,910,895.5,900.2,5918
06-10-19,LIBRAINFU,905,909,898,901,4470
06-11-19,LIBRAINFU,905,954.8,905,936.5,11898
06-12-19,LIBRAINFU,937,950,920,925.2,8391
13-06-19,LIBRAINFU,928,932,918.3,919.7,6976
16-06-19,LIBRAINFU,925.7,948.8,920.1,943.4,14164
17-06-19,LIBRAINFU,945.1,965,935,939.3,15064
18-06-19,LIBRAINFU,925,937.4,900,912.9,8261
19-06-19,LIBRAINFU,924,930,901,911.7,10949
20-06-19,LIBRAINFU,922,922,890,901.5,10070
23-06-19,LIBRAINFU,903.3,914.5,860,876.9,15837
24-06-19,LIBRAINFU,870,900,870,882.9,13189
