DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,LINDEBD,1099,1102.5,1096.5,1098.7,1568
24-12-18,LINDEBD,1111.4,1111.5,1093.2,1098.9,1600
26-12-18,LINDEBD,1109.3,1109.3,1099.1,1101.6,881
27-12-18,LINDEBD,1102.5,1112.4,1098.5,1110.9,3580
01-01-19,LINDEBD,1093.5,1112.5,1093.5,1108.8,1809
01-02-19,LINDEBD,1112.5,1112.5,1095,1100.3,6876
01-03-19,LINDEBD,1100.4,1110.5,1098.6,1099.8,4145
01-06-19,LINDEBD,1111.5,1111.5,1096.5,1098.4,9954
01-07-19,LINDEBD,1099.6,1110,1096.5,1101.6,4265
01-08-19,LINDEBD,1104.5,1106.4,1097.6,1099.8,2924
01-09-19,LINDEBD,1107.4,1107.4,1099.5,1100.6,2721
01-10-19,LINDEBD,1111.4,1174,1107.5,1168.5,28677
13-01-19,LINDEBD,1192.4,1212.5,1152.5,1171.9,32069
14-01-19,LINDEBD,1152.5,1171.9,1145.5,1148.7,9631
15-01-19,LINDEBD,1177.5,1177.5,1133.5,1143.4,17330
16-01-19,LINDEBD,1152.5,1152.5,1130.5,1146,8942
17-01-19,LINDEBD,1139.8,1146.4,1132.5,1141.5,4930
20-01-19,LINDEBD,1147.6,1152.5,1135.6,1148.9,3111
21-01-19,LINDEBD,1150,1160.5,1143.6,1150.4,10364
22-01-19,LINDEBD,1157.5,1158.5,1138,1142,4868
23-01-19,LINDEBD,1144.8,1151.5,1137.5,1142.7,2716
24-01-19,LINDEBD,1143.5,1143.5,1128.5,1130.9,6936
27-01-19,LINDEBD,1138.5,1138.5,1102.5,1120.3,2008
28-01-19,LINDEBD,1120.5,1157.5,1120.5,1126.4,3997
29-01-19,LINDEBD,1132.5,1147.3,1124.6,1142.4,7506
30-01-19,LINDEBD,1143,1155.2,1138.5,1149.1,9520
31-01-19,LINDEBD,1139.5,1197.5,1138.5,1181.1,14750
02-03-19,LINDEBD,1196.5,1197.5,1181.1,1189,13955
02-04-19,LINDEBD,1197.5,1217.5,1182.5,1208.8,47295
02-05-19,LINDEBD,1212.5,1227.5,1194.5,1199.8,25261
02-06-19,LINDEBD,1211.3,1241.3,1195.5,1220.7,39011
02-07-19,LINDEBD,1232.5,1257,1230.5,1252.8,46856
02-10-19,LINDEBD,1254.7,1291.4,1232.6,1248,58490
02-11-19,LINDEBD,1252.5,1252.6,1194.5,1210.4,22744
02-12-19,LINDEBD,1203.5,1216,1183,1193.9,14040
13-02-19,LINDEBD,1194.5,1207.5,1192.6,1200.8,12984
14-02-19,LINDEBD,1211.5,1211.5,1187.7,1190.1,15830
17-02-19,LINDEBD,1192.5,1197.5,1183.5,1184.5,6263
18-02-19,LINDEBD,1174.5,1187.1,1163.1,1168.8,6845
19-02-19,LINDEBD,1169.6,1179.5,1155.6,1166.4,5589
20-02-19,LINDEBD,1168.5,1220.5,1168.5,1200.1,16097
24-02-19,LINDEBD,1202.4,1224.5,1192.7,1213.8,5615
25-02-19,LINDEBD,1217.5,1263.5,1217.5,1254.4,54570
26-02-19,LINDEBD,1259.5,1292.5,1259.5,1271.8,71042
27-02-19,LINDEBD,1272.7,1292.5,1252.5,1263.3,34041
03-03-19,LINDEBD,1277.5,1296.5,1270.6,1280.2,62497
03-04-19,LINDEBD,1292.4,1292.5,1247.5,1260.3,42237
03-05-19,LINDEBD,1260.2,1260.2,919.8,1173.4,50120
03-06-19,LINDEBD,1173.3,1207.4,1150.5,1155.6,28024
03-07-19,LINDEBD,1181.6,1191.5,1146.5,1155.5,12021
03-10-19,LINDEBD,1179.5,1181.5,1163.1,1168.1,11556
03-11-19,LINDEBD,1179.5,1180.5,1149.6,1154.6,16619
03-12-19,LINDEBD,1158.4,1177.4,1136.5,1139,32627
13-03-19,LINDEBD,1150.4,1179.5,1150.3,1168.4,30776
14-03-19,LINDEBD,1176.1,1212.5,1163.5,1202.1,52606
18-03-19,LINDEBD,1207.5,1218.5,1164.5,1170.6,25499
19-03-19,LINDEBD,1189.4,1189.4,1144.5,1150.6,16915
20-03-19,LINDEBD,1160.5,1176.9,1137.5,1143.2,17746
21-03-19,LINDEBD,1159.4,1159.5,1132.6,1148.7,8814
24-03-19,LINDEBD,1142.5,1142.9,1132.5,1134.9,12221
27-03-19,LINDEBD,1170,1170,1135,1140.4,6935
28-03-19,LINDEBD,1131,1143.5,1131,1135,10322
31-03-19,LINDEBD,1141,1141.9,1132.1,1138.1,9887
04-01-19,LINDEBD,1143.8,1143.8,1130,1130.7,13410
04-02-19,LINDEBD,1128,1139.2,1127.1,1137.2,8893
04-03-19,LINDEBD,1138.9,1140,1131.8,1134.3,12097
04-04-19,LINDEBD,1130,1160,1127,1151.2,9089
04-07-19,LINDEBD,1155.1,1190.5,1155.1,1171.1,7103
04-08-19,LINDEBD,1176.4,1176.4,1161.1,1162,9151
04-09-19,LINDEBD,1160.1,1160.1,1101.1,1148.6,4309
04-10-19,LINDEBD,1141,1149.9,1135,1137.4,5127
04-11-19,LINDEBD,1148.8,1148.8,1134.1,1134.8,3470
15-04-19,LINDEBD,1132.1,1144,1132,1132.3,1698
16-04-19,LINDEBD,1130.1,1134.5,1117,1123.6,3044
17-04-19,LINDEBD,1123.6,1129.9,1116.3,1120.2,4626
18-04-19,LINDEBD,1125,1128,1119.2,1120.2,3133
21-04-19,LINDEBD,1120.2,1138.9,1120.2,1128.2,3230
23-04-19,LINDEBD,1128.3,1133,1120,1120,5723
24-04-19,LINDEBD,1120.8,1129,1120.2,1122.6,4702
25-04-19,LINDEBD,1139,1139,1111,1112.9,5010
28-04-19,LINDEBD,1118.9,1121,1114,1115.1,4059
29-04-19,LINDEBD,1115.1,1115.1,1090.1,1099,6830
30-04-19,LINDEBD,1107,1107,1099,1101.4,3053
05-02-19,LINDEBD,1100.1,1122,1099,1104.7,2322
05-05-19,LINDEBD,1119.9,1119.9,1101,1103.7,5306
05-06-19,LINDEBD,1106,1115,1100.1,1103.1,4405
05-07-19,LINDEBD,1106,1106,1100,1100.6,4255
05-08-19,LINDEBD,1100.1,1106.5,1095,1097.6,2576
05-09-19,LINDEBD,1097.6,1098,1092.5,1094,2967
05-12-19,LINDEBD,1095,1104.5,1092.1,1095.4,2914
13-05-19,LINDEBD,1096,1104.7,1096,1098.5,1828
14-05-19,LINDEBD,1097,1099,1095,1095.7,2282
15-05-19,LINDEBD,1095,1106.8,1092,1095.2,2626
16-05-19,LINDEBD,1092.2,1093,1088.2,1089.9,3577
19-05-19,LINDEBD,1098,1098,1087,1088.7,5633
