DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,RENATA,1025.45,1025.45,1009.27,1014.82,9981
24-12-18,RENATA,1014.82,1022.73,1011.82,1015.64,7094
26-12-18,RENATA,1015.64,1021.82,1015.55,1018.18,19775
27-12-18,RENATA,1021.82,1030.91,1017.27,1027.82,11133
01-01-19,RENATA,1021.82,1024.45,1018.36,1019.18,6437
01-02-19,RENATA,1022.73,1026.18,1022,1022.36,10077
01-03-19,RENATA,1017.64,1028.36,1017.55,1028.09,10072
01-06-19,RENATA,1027.27,1033.73,1023.18,1028.09,16980
01-07-19,RENATA,1028.18,1032.64,1026.73,1029.73,7591
01-08-19,RENATA,1027.27,1034.55,1027.27,1033.45,8340
01-09-19,RENATA,1034.55,1035.91,1030.91,1032.36,13019
01-10-19,RENATA,1034.55,1034.55,1028.45,1029.36,8292
13-01-19,RENATA,1029.36,1035.36,1029.18,1033.18,22497
14-01-19,RENATA,1034.45,1034.45,1031.09,1033.36,4214
15-01-19,RENATA,1034.55,1035.91,1032.09,1035,20068
16-01-19,RENATA,1035.45,1037.36,1026.36,1031.09,11142
17-01-19,RENATA,1030,1033.64,1027.27,1030.27,4107
20-01-19,RENATA,1031.82,1033.64,1023.09,1024.91,9666
21-01-19,RENATA,1028.18,1035.45,1026.36,1026.36,24558
22-01-19,RENATA,1030.91,1035.45,1029.09,1035.09,18911
23-01-19,RENATA,1035.45,1038,1030.91,1032.45,5330
24-01-19,RENATA,1035.45,1035.45,1025,1027.09,5071
27-01-19,RENATA,1036.73,1036.73,1023.64,1025.91,15365
28-01-19,RENATA,1026.36,1029.73,1025.91,1026.55,5444
29-01-19,RENATA,1035.09,1035.09,1025.45,1027.64,8396
30-01-19,RENATA,1030.91,1035.09,1026.36,1028.45,3290
31-01-19,RENATA,1028.45,1031.82,1024.55,1026,18376
02-03-19,RENATA,1026.36,1026.36,1020.91,1023.18,11157
02-04-19,RENATA,1025.45,1034.18,1020.91,1027.91,7861
02-05-19,RENATA,1028.27,1037.27,1028.27,1033.45,16871
02-06-19,RENATA,1037.27,1038.18,1028.36,1029.64,16311
02-07-19,RENATA,1030,1062.73,1029.27,1039.27,67107
02-10-19,RENATA,1044.55,1088.18,1044.55,1082.18,32979
02-11-19,RENATA,1082.18,1082.18,1040.91,1046,13984
02-12-19,RENATA,1046.64,1059.09,1035.45,1050.18,13785
13-02-19,RENATA,1053.64,1053.64,1035.45,1045.27,11635
14-02-19,RENATA,1059.09,1080,1049.09,1059.64,28084
17-02-19,RENATA,1042.82,1067.18,1042.82,1062.36,15357
18-02-19,RENATA,1062.45,1062.73,1045.73,1054,8306
19-02-19,RENATA,1053.64,1065.36,1041.09,1053.55,4528
20-02-19,RENATA,1046.36,1062.55,1042.45,1053.36,5775
24-02-19,RENATA,1049.27,1055.45,1044.55,1053.91,13123
25-02-19,RENATA,1051.82,1055.64,1050.55,1055,3395
26-02-19,RENATA,1061.73,1062.73,1051.82,1056.91,5451
27-02-19,RENATA,1052.91,1052.91,1047.45,1050.91,6415
03-03-19,RENATA,1050.91,1060.36,1050.91,1052,3081
03-04-19,RENATA,1052.73,1052.73,1040,1047.45,7899
03-05-19,RENATA,1050.91,1050.91,1038.64,1044.91,8534
03-06-19,RENATA,1044.82,1053.55,1038.45,1045.27,7715
