DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,ACMELAB,74.7,75.5,73.9,75.1,74139
24-12-18,ACMELAB,75.1,76.1,74.8,75.8,69218
26-12-18,ACMELAB,75.6,78,75.5,77.8,219511
27-12-18,ACMELAB,77,82,76.7,79.9,303417
01-01-19,ACMELAB,81.8,81.8,78.3,78.5,119233
01-02-19,ACMELAB,78,79,77.1,78.1,130070
01-03-19,ACMELAB,78.9,79.4,78,79.1,54614
01-06-19,ACMELAB,79.8,85.7,78.3,83.2,164023
01-07-19,ACMELAB,83,84,80.8,81.9,65925
01-08-19,ACMELAB,82.5,85.3,82.2,84.1,204118
01-09-19,ACMELAB,85,86.7,84.2,86.3,181843
01-10-19,ACMELAB,86.5,88.7,85.5,88.1,280836
13-01-19,ACMELAB,88.1,89.7,88,88.7,298088
14-01-19,ACMELAB,87.5,88.9,86.5,86.7,60501
15-01-19,ACMELAB,87.7,87.7,85,86.8,69901
16-01-19,ACMELAB,86.3,86.5,84.8,85,64410
17-01-19,ACMELAB,85,86,84,84.1,64377
20-01-19,ACMELAB,84,84.8,83,83.9,45702
21-01-19,ACMELAB,83.9,84,82.8,83.1,35410
22-01-19,ACMELAB,83.5,85,82.5,83.4,133736
23-01-19,ACMELAB,83.5,86.3,83.5,84.9,85778
24-01-19,ACMELAB,85.9,88.9,85.1,85.4,55574
27-01-19,ACMELAB,85.1,86.4,84.2,84.4,38772
28-01-19,ACMELAB,85.8,86.4,84.2,85.8,83040
29-01-19,ACMELAB,84.5,85.8,84,84.5,51680
30-01-19,ACMELAB,84.5,85,84,84.4,61571
31-01-19,ACMELAB,84.4,86,83.1,84.8,63406
02-03-19,ACMELAB,84,85.4,83.9,85.3,97081
02-04-19,ACMELAB,85.4,86.9,84.4,85.7,72817
02-05-19,ACMELAB,85.7,88.2,85.5,87.9,332916
02-06-19,ACMELAB,88.9,88.9,86.7,87.4,164895
02-07-19,ACMELAB,87.4,89,86.7,88.4,297035
02-10-19,ACMELAB,88.1,91.5,88.1,89.4,420697
02-11-19,ACMELAB,89.4,91.4,88.5,89.5,276575
02-12-19,ACMELAB,90,90,88.2,89.7,145245
13-02-19,ACMELAB,89.8,90.4,88.1,89.3,166043
14-02-19,ACMELAB,89.3,90,87.4,88.2,246125
17-02-19,ACMELAB,88.1,88.9,87.3,88,43374
18-02-19,ACMELAB,87.6,89.7,87.3,89.2,161937
19-02-19,ACMELAB,88,88.5,87.4,88.3,25781
20-02-19,ACMELAB,87.7,88.7,87,87.3,199963
24-02-19,ACMELAB,87.1,87.9,86.6,87.4,203365
25-02-19,ACMELAB,87,87.8,85.8,86,283812
26-02-19,ACMELAB,86,87.5,86,86.8,192788
27-02-19,ACMELAB,86.3,87.4,86,86.4,92316
03-03-19,ACMELAB,86.4,86.4,85.9,86,32745
03-04-19,ACMELAB,86,86,85.1,85.4,18419
03-05-19,ACMELAB,85,87,84.1,85.8,41603
03-06-19,ACMELAB,85.1,86.7,84.5,85.5,27886
03-07-19,ACMELAB,85,87,85,85.6,16067
03-10-19,ACMELAB,85.6,85.6,84.9,85,22433
03-11-19,ACMELAB,86.2,87,84.6,84.9,41309
03-12-19,ACMELAB,85,85.2,83.6,84.1,104420
13-03-19,ACMELAB,84,84.5,80,80.1,202007
14-03-19,ACMELAB,80.1,81,79.9,80.4,47004
18-03-19,ACMELAB,80.6,81,79.5,80.8,14130
19-03-19,ACMELAB,79,81.1,77,77.4,136970
20-03-19,ACMELAB,77.9,77.9,75.9,76.1,44073
21-03-19,ACMELAB,77,77,74,74.7,47691
24-03-19,ACMELAB,74.6,75.4,73.5,74.8,109324
25-03-19,ACMELAB,75.6,75.7,74.5,74.8,81058
27-03-19,ACMELAB,75,75.2,74.1,75,75777
