DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,BBSCABLES,82.64,83.27,81.73,82,375251
24-12-18,BBSCABLES,81.91,83,81.73,82.36,478625
26-12-18,BBSCABLES,82.73,82.82,82.18,82.45,283960
27-12-18,BBSCABLES,82.91,87.45,82.91,86.55,1323168
01-01-19,BBSCABLES,87.18,94.45,87.18,93.36,3412475
01-02-19,BBSCABLES,94.45,97.18,91.64,94.55,3202760
01-03-19,BBSCABLES,95,98.82,93.18,97,2770119
01-06-19,BBSCABLES,98.09,101.73,96.09,98.36,3115574
01-07-19,BBSCABLES,98.91,99.91,95.36,96.18,2228655
01-08-19,BBSCABLES,97.18,98.64,95.82,96.18,1703680
01-09-19,BBSCABLES,98.27,100.36,97.09,99.55,2954237
01-10-19,BBSCABLES,100.27,102.18,98.73,99.55,2612071
15-01-19,BBSCABLES,100.82,101.45,98.73,99.73,2811677
16-01-19,BBSCABLES,99.73,100.64,97.18,97.82,1576058
17-01-19,BBSCABLES,97.82,99.09,96.73,97.18,1472944
20-01-19,BBSCABLES,97.18,98.27,94.55,95.18,1480688
21-01-19,BBSCABLES,96.09,98.09,95.36,96.36,1643928
22-01-19,BBSCABLES,97.09,97.82,95.18,95.45,1134364
23-01-19,BBSCABLES,96.18,96.73,94.55,96.09,1139600
24-01-19,BBSCABLES,96.27,99.64,96.27,98.64,1462175
27-01-19,BBSCABLES,98.91,99.91,96,96.73,1457775
28-01-19,BBSCABLES,97.18,97.55,94.91,95.27,1201277
29-01-19,BBSCABLES,97.18,99,95.55,96.09,1993783
30-01-19,BBSCABLES,96.09,96.82,94.91,95.55,1046076
31-01-19,BBSCABLES,95.55,96.64,94.55,94.82,786442
02-03-19,BBSCABLES,95.36,97.36,94.91,96.18,768175
02-04-19,BBSCABLES,97.18,98,96.36,96.91,1058688
02-05-19,BBSCABLES,97.18,97.18,95.27,95.64,551980
02-06-19,BBSCABLES,96,97.18,95.18,95.36,746724
02-07-19,BBSCABLES,96.55,96.55,94.82,95.09,627111
02-10-19,BBSCABLES,95.36,95.64,92.73,93.73,786012
02-11-19,BBSCABLES,93.91,94.45,92.36,93,594176
02-12-19,BBSCABLES,93,94.09,92.27,92.64,795017
13-02-19,BBSCABLES,93,93.73,92.64,92.73,495389
14-02-19,BBSCABLES,93.45,93.91,92.64,92.82,666724
17-02-19,BBSCABLES,93.45,94.45,92.91,93.45,637971
18-02-19,BBSCABLES,93.91,94.45,92.73,93.18,807736
19-02-19,BBSCABLES,93.55,93.91,92.64,92.73,429070
20-02-19,BBSCABLES,93.55,93.55,92.27,92.36,426691
24-02-19,BBSCABLES,92.45,92.64,89.27,90,821542
25-02-19,BBSCABLES,90.09,90.64,88.09,88.55,582667
26-02-19,BBSCABLES,88.64,89,86.73,87.55,551157
27-02-19,BBSCABLES,87.55,88.36,86.45,86.82,812727
03-03-19,BBSCABLES,87,92,86.82,91.36,913273
03-04-19,BBSCABLES,91.91,92.91,89.91,90.45,832569
03-05-19,BBSCABLES,90.45,90.82,88.64,89.82,585061
03-06-19,BBSCABLES,89.45,92,89.36,89.82,596408
03-07-19,BBSCABLES,90.64,90.73,89.09,89.45,397211
03-10-19,BBSCABLES,90.73,92.09,89.91,91.27,606350
03-11-19,BBSCABLES,91.45,91.82,90.45,90.82,394589
03-12-19,BBSCABLES,90.73,90.82,87.73,88,627176
13-03-19,BBSCABLES,88.27,89,86.45,87.09,485024
14-03-19,BBSCABLES,87.18,87.91,85.45,85.91,403178
18-03-19,BBSCABLES,85.91,86.27,82.82,83.73,518812
19-03-19,BBSCABLES,82.64,85,82.64,84,453308
20-03-19,BBSCABLES,84.09,86.27,83.64,84.91,479870
21-03-19,BBSCABLES,84.73,84.73,82.73,82.91,497046
24-03-19,BBSCABLES,83.36,83.91,82.64,83.36,235586
25-03-19,BBSCABLES,83.64,84.82,83.55,84.18,236816
27-03-19,BBSCABLES,84.27,85.09,84.09,84.45,207239
28-03-19,BBSCABLES,84.55,85.09,83.55,83.82,160867
31-03-19,BBSCABLES,84.45,84.45,81.91,82.36,331729
04-01-19,BBSCABLES,83.18,83.27,81.27,82,370803
04-02-19,BBSCABLES,82.64,83.55,82,82.27,281774
04-03-19,BBSCABLES,82.36,83.27,79.73,80.18,362957
04-04-19,BBSCABLES,81.27,81.55,79.91,81,235013
04-07-19,BBSCABLES,81.18,81.45,78.18,79,342434
04-08-19,BBSCABLES,79.09,79.09,76.45,76.91,493880
04-09-19,BBSCABLES,78,79,76.36,77,368486
04-10-19,BBSCABLES,77.64,78.55,76.91,77.55,287056
04-11-19,BBSCABLES,78.09,79.82,77.82,79.27,262298
15-04-19,BBSCABLES,79.27,81.64,79.27,79.45,382271
16-04-19,BBSCABLES,79.45,79.45,77.73,78.45,198447
17-04-19,BBSCABLES,78.36,83.18,78.27,82.55,664814
18-04-19,BBSCABLES,82.55,84.27,82.27,83.82,473550
21-04-19,BBSCABLES,84,84,81.73,82.82,426184
23-04-19,BBSCABLES,82.91,83,81.55,82,249997
24-04-19,BBSCABLES,82.64,84.09,81.36,82.27,640143
25-04-19,BBSCABLES,83.27,83.82,82.27,82.64,348414
28-04-19,BBSCABLES,83.18,83.45,82,82.36,387683
29-04-19,BBSCABLES,82.36,82.73,81.91,82.09,330914
30-04-19,BBSCABLES,83.09,85.82,82.09,84.91,805944
05-02-19,BBSCABLES,85.45,87.36,85.45,87.09,641805
05-05-19,BBSCABLES,87.18,88.45,87.18,88,808279
05-06-19,BBSCABLES,88.18,88.36,85.36,85.64,767011
