DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,BSRMLTD,73.8,74.1,72.9,73.1,284918
24-12-18,BSRMLTD,73.5,73.8,72.9,73,232812
26-12-18,BSRMLTD,73,73.6,72.6,72.8,126150
27-12-18,BSRMLTD,73.3,74.6,72.6,74.2,251671
01-01-19,BSRMLTD,74.5,77.2,74.3,76.8,351016
01-02-19,BSRMLTD,77.7,78.3,75,77.7,548752
01-03-19,BSRMLTD,78.4,80.1,77.3,79.6,564894
01-06-19,BSRMLTD,79.9,83,78.5,81.2,694912
01-07-19,BSRMLTD,81.5,81.6,79.5,79.9,407095
01-08-19,BSRMLTD,80.1,82,79.1,81,530057
01-09-19,BSRMLTD,82,82,80.4,80.7,344866
01-10-19,BSRMLTD,81.8,82,80,80.1,256819
13-01-19,BSRMLTD,80.5,81.5,80,80.9,288265
14-01-19,BSRMLTD,81.9,82,80.5,80.9,310186
15-01-19,BSRMLTD,80.6,81.4,80.2,81,304408
16-01-19,BSRMLTD,81.4,82.3,80.5,81.4,784231
17-01-19,BSRMLTD,81.9,82.2,80,80.1,274326
20-01-19,BSRMLTD,80.1,81.5,80,80.5,328139
21-01-19,BSRMLTD,81,81,79.9,80.2,224706
22-01-19,BSRMLTD,80,80,77.3,77.6,693310
23-01-19,BSRMLTD,78,78,76,76.5,378255
24-01-19,BSRMLTD,76.3,76.5,74.8,75.6,480993
27-01-19,BSRMLTD,75.6,75.9,75.1,75.3,278190
28-01-19,BSRMLTD,75.5,76.3,74.5,74.8,305244
29-01-19,BSRMLTD,75.2,75.6,75.1,75.2,139621
30-01-19,BSRMLTD,75.2,75.9,74.8,75,139249
31-01-19,BSRMLTD,75.6,75.6,73,73.2,241400
02-03-19,BSRMLTD,73.3,74.3,72.1,72.4,387704
02-04-19,BSRMLTD,72.5,73.7,72,72.3,594061
02-05-19,BSRMLTD,72.5,74,72.4,73.7,260622
02-06-19,BSRMLTD,73.5,73.7,72.3,72.6,127907
02-07-19,BSRMLTD,72.8,73.3,71.8,72.5,303422
02-10-19,BSRMLTD,72.2,72.9,72,72.3,153600
02-11-19,BSRMLTD,72.8,72.8,71.9,72.4,189759
02-12-19,BSRMLTD,72.6,72.8,72,72.2,166252
13-02-19,BSRMLTD,72.4,74.6,72.4,74.2,285557
14-02-19,BSRMLTD,74.7,74.8,73.1,73.3,197069
17-02-19,BSRMLTD,73.6,74.4,73.2,73.6,165655
18-02-19,BSRMLTD,73.7,73.8,72.5,72.8,147781
19-02-19,BSRMLTD,72.8,73,72.3,72.5,77549
20-02-19,BSRMLTD,72.4,72.9,72.2,72.3,93871
