DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,DOREENPWR,62.22,62.22,61.25,61.57,87952
24-12-18,DOREENPWR,61.57,61.74,61.34,61.49,48438
26-12-18,DOREENPWR,61.34,61.49,61.09,61.34,39590
27-12-18,DOREENPWR,62.22,62.22,61.01,61.74,82668
01-01-19,DOREENPWR,62.22,66.24,62.22,65.67,417689
01-02-19,DOREENPWR,66.48,69.86,65.35,69.22,592802
01-03-19,DOREENPWR,69.45,72.27,68.97,71.71,525246
01-06-19,DOREENPWR,71.87,73.56,70.66,72.19,571052
01-07-19,DOREENPWR,72.19,72.52,71.15,71.71,356832
01-08-19,DOREENPWR,71.71,76.14,71.39,74.93,639484
01-09-19,DOREENPWR,75.49,77.26,74.05,75.97,687695
01-10-19,DOREENPWR,76.94,77.58,75.17,76.78,1000646
13-01-19,DOREENPWR,76.78,77.91,74.69,77.02,820631
14-01-19,DOREENPWR,77.1,77.66,75.17,76.14,567364
15-01-19,DOREENPWR,76.22,76.45,73.96,74.28,617187
16-01-19,DOREENPWR,73.24,74.28,71.39,72.59,320447
17-01-19,DOREENPWR,72.35,73,71.79,72.11,350001
20-01-19,DOREENPWR,72.11,73.65,71.79,73.15,383876
21-01-19,DOREENPWR,73.08,73.4,72.59,72.84,169041
22-01-19,DOREENPWR,72.67,73,70.02,70.83,588119
23-01-19,DOREENPWR,72.59,73.8,71.39,73.4,362255
24-01-19,DOREENPWR,73.88,75.65,73.32,75.01,639608
27-01-19,DOREENPWR,75.57,80.32,75.57,80,1042937
28-01-19,DOREENPWR,80,81.85,77.26,78.47,672027
29-01-19,DOREENPWR,78.71,79.52,76.3,78.71,649525
30-01-19,DOREENPWR,78.71,79.03,75.74,77.26,372528
31-01-19,DOREENPWR,77.26,77.91,75.49,77.42,1110737
02-03-19,DOREENPWR,77.42,79.52,76.78,79.11,1358189
02-04-19,DOREENPWR,79.92,83.14,79.92,82.09,1528989
02-05-19,DOREENPWR,83.45,83.45,79.59,80.48,658862
02-06-19,DOREENPWR,80.4,80.88,77.83,79.75,649006
02-07-19,DOREENPWR,80.32,83.29,79.52,82.74,1421557
02-10-19,DOREENPWR,83.54,85.06,82.49,83.05,979560
02-11-19,DOREENPWR,82.97,83.22,76.62,78.31,2797794
02-12-19,DOREENPWR,77.83,77.91,73.88,75.17,601128
13-02-19,DOREENPWR,75.89,77.02,72.44,75.57,506735
14-02-19,DOREENPWR,76.3,76.94,73.65,74.13,359974
17-02-19,DOREENPWR,73.56,75.01,73.08,74.13,321557
18-02-19,DOREENPWR,75.41,75.41,72.52,73.96,322508
19-02-19,DOREENPWR,74.45,74.45,72.27,73.65,583975
20-02-19,DOREENPWR,73.15,73.48,69.86,70.35,1088384
24-02-19,DOREENPWR,70.66,70.98,68.09,69.78,519839
25-02-19,DOREENPWR,69.3,70.18,66.65,67.21,830783
26-02-19,DOREENPWR,67.93,69.94,67.05,69.45,409959
27-02-19,DOREENPWR,69.86,69.86,68.49,69.38,247245
03-03-19,DOREENPWR,69.38,71.06,68.89,70.75,395613
03-04-19,DOREENPWR,70.98,71.15,68.89,69.22,254571
03-05-19,DOREENPWR,68.65,70.1,67.61,68.17,189255
03-06-19,DOREENPWR,67.93,69.05,67.45,67.61,209815
03-07-19,DOREENPWR,67.61,69.7,67.45,68.09,122291
03-10-19,DOREENPWR,68.65,69.62,68.17,69.3,136691
03-11-19,DOREENPWR,69.3,69.62,68.41,68.57,84406
03-12-19,DOREENPWR,68.57,68.89,68.33,68.74,133077
13-03-19,DOREENPWR,69.05,69.05,67.85,68.33,173385
14-03-19,DOREENPWR,68.33,68.82,66.24,67.21,162589
18-03-19,DOREENPWR,66.4,66.4,64.63,64.87,146519
19-03-19,DOREENPWR,64.87,67.21,63.99,64.79,83188
20-03-19,DOREENPWR,64.87,65.84,64.87,65.19,70408
21-03-19,DOREENPWR,64.79,66.16,63.43,64.63,160962
24-03-19,DOREENPWR,64.87,64.87,63.26,64.55,140935
25-03-19,DOREENPWR,63.66,65.52,63.66,64.79,185746
27-03-19,DOREENPWR,64.79,66.24,63.99,65.27,515419
28-03-19,DOREENPWR,64.71,65.52,64.23,65.44,67175
31-03-19,DOREENPWR,64.87,65.52,64.79,64.95,46446
04-01-19,DOREENPWR,64.87,65.35,63.43,64.47,216987
04-02-19,DOREENPWR,64.39,64.95,63.43,64.47,294049
04-03-19,DOREENPWR,64.55,64.79,63.43,64.47,289337
04-04-19,DOREENPWR,63.66,65.04,63.43,64.71,362643
04-07-19,DOREENPWR,65.44,65.44,64.06,64.55,360531
04-08-19,DOREENPWR,64.47,64.79,62.86,63.83,368131
04-09-19,DOREENPWR,62.95,64.39,61.82,63.26,312013
04-10-19,DOREENPWR,61.82,63.43,61.82,63.26,257093
04-11-19,DOREENPWR,63.43,64.15,61.82,63.83,436075
15-04-19,DOREENPWR,64.71,65.04,63.58,64.55,517471
16-04-19,DOREENPWR,63.83,64.23,61.82,63.02,176040
17-04-19,DOREENPWR,63.02,63.43,61.82,62.95,315109
18-04-19,DOREENPWR,63.43,64.87,61.82,64.15,575730
21-04-19,DOREENPWR,63.43,65.04,62.62,64.15,376530
23-04-19,DOREENPWR,63.75,65.04,61.74,64.06,761165
24-04-19,DOREENPWR,64.06,64.55,61.82,64.23,738770
25-04-19,DOREENPWR,63.83,65.04,62.22,64.47,753136
28-04-19,DOREENPWR,64.47,65.19,62.62,64.87,745745
29-04-19,DOREENPWR,64.23,64.63,62.62,64.06,713537
30-04-19,DOREENPWR,62.95,64.63,62.95,64.31,516578
05-02-19,DOREENPWR,64.47,66.48,63.99,65.6,465823
05-05-19,DOREENPWR,65.75,68.41,65.52,67.36,686975
05-06-19,DOREENPWR,67.21,67.85,65.84,67.21,664544
05-07-19,DOREENPWR,67.21,68.17,64.95,66.16,623624
05-08-19,DOREENPWR,66.24,66.4,64.23,66.16,545836
05-09-19,DOREENPWR,65.84,66.4,65.04,65.92,287089
05-12-19,DOREENPWR,65.92,66.16,64.95,65.92,420274
13-05-19,DOREENPWR,65.44,65.84,64.39,65.35,319183
14-05-19,DOREENPWR,65.04,65.35,64.23,65.04,320782
15-05-19,DOREENPWR,65.84,65.84,63.58,64.79,519196
16-05-19,DOREENPWR,64.39,64.87,63.43,64.71,579535
19-05-19,DOREENPWR,64.71,64.95,64.23,64.79,469554
20-05-19,DOREENPWR,65.11,65.11,63.02,64.31,1084912
21-05-19,DOREENPWR,63.5,64.23,62.62,63.75,1153988
22-05-19,DOREENPWR,63.18,63.66,62.45,63.58,685559
23-05-19,DOREENPWR,63.66,63.66,62.38,63.1,833418
26-05-19,DOREENPWR,61.82,63.18,60.21,61.89,1235967
27-05-19,DOREENPWR,61.97,61.97,59.8,60.53,585964
28-05-19,DOREENPWR,60.69,61.09,59.96,60.77,474293
29-05-19,DOREENPWR,60.85,60.85,59.32,60.21,965523
30-05-19,DOREENPWR,60.21,62.45,59.24,61.97,1259905
06-09-19,DOREENPWR,61.97,62.22,60.61,61.74,115979
06-10-19,DOREENPWR,61.57,62.95,61.57,62.62,784616
06-11-19,DOREENPWR,62.78,63.75,61.82,63.5,1371999
06-12-19,DOREENPWR,63.66,63.99,61.82,63.66,1216433
13-06-19,DOREENPWR,62.86,63.83,62.78,63.66,540558
16-06-19,DOREENPWR,63.75,63.83,61.97,62.78,804937
17-06-19,DOREENPWR,62.38,62.78,60.21,61.01,939440
18-06-19,DOREENPWR,61.01,61.65,60.53,61.57,433812
19-06-19,DOREENPWR,61.57,62.62,60.61,62.05,766031
20-06-19,DOREENPWR,61.49,62.3,60.61,61.74,481226
23-06-19,DOREENPWR,61.01,61.17,59.8,60.29,354967
24-06-19,DOREENPWR,60.61,61.65,59.8,61.17,526156
25-06-19,DOREENPWR,61.01,62.62,60.21,61.57,736627
26-06-19,DOREENPWR,61.01,61.49,60.36,61.09,323805
27-06-19,DOREENPWR,61.25,61.74,60.45,61.17,440509
30-06-19,DOREENPWR,61.57,61.89,59.8,60.36,360494
07-02-19,DOREENPWR,60.69,61.09,60.05,60.77,317471
07-03-19,DOREENPWR,60.77,61.01,60.05,60.85,305364
07-04-19,DOREENPWR,60.29,60.93,59.96,60.77,313417
07-07-19,DOREENPWR,60.77,60.77,59,60.21,557075
07-08-19,DOREENPWR,59.88,59.88,58.75,59.56,273658
07-09-19,DOREENPWR,59.8,59.88,58.19,58.84,217346
07-10-19,DOREENPWR,58.27,58.27,56.99,57.55,373536
07-11-19,DOREENPWR,57.55,58.19,56.91,57.95,369664
14-07-19,DOREENPWR,57.87,57.87,56.66,57.63,348709
15-07-19,DOREENPWR,56.83,57.31,55.95,56.99,294887
16-07-19,DOREENPWR,56.91,57.31,56.02,57.15,284306
17-07-19,DOREENPWR,56.99,57.23,55.95,57.07,374456
18-07-19,DOREENPWR,56.58,57.15,56.1,56.83,616309
21-07-19,DOREENPWR,56.83,56.83,55.38,56.35,536072
22-07-19,DOREENPWR,55.54,56.91,51.84,56.26,921427
23-07-19,DOREENPWR,56.26,59.96,55.38,58.04,1069548
24-07-19,DOREENPWR,58.84,59.4,55.78,58.19,970276
25-07-19,DOREENPWR,58.19,60.85,56.83,59.73,1179547
28-07-19,DOREENPWR,59.56,60.05,58.35,59.73,871219
29-07-19,DOREENPWR,59.73,59.88,58.75,59.73,581449
30-07-19,DOREENPWR,59.73,60.21,58.6,59.8,1133955
31-07-19,DOREENPWR,58.92,60.36,58.68,59.8,664769
08-01-19,DOREENPWR,59.8,60.53,59.73,60.36,646990
08-04-19,DOREENPWR,60.29,60.53,59.88,60.36,274925
08-05-19,DOREENPWR,60.21,60.36,59.48,60.13,469411
08-06-19,DOREENPWR,59.73,64.06,59.73,63.35,1388692
08-07-19,DOREENPWR,63.83,64.06,61.82,62.45,893311
08-08-19,DOREENPWR,61.74,63.02,61.49,62.86,681350
