DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,MEGHNACEM,82.26,82.45,81.27,82.18,20983
24-12-18,MEGHNACEM,82.08,82.63,81.63,82,13384
26-12-18,MEGHNACEM,83.18,83.62,81.9,82.63,18928
27-12-18,MEGHNACEM,82.63,83.26,82.08,82.54,14048
01-01-19,MEGHNACEM,83.36,83.36,82.45,82.81,25342
01-02-19,MEGHNACEM,83.62,86.53,83.62,86.07,59528
01-03-19,MEGHNACEM,84.72,86.53,82.36,83.99,35957
01-06-19,MEGHNACEM,85.08,88.35,85.08,86.35,80415
01-07-19,MEGHNACEM,85.71,88.07,85.71,86.53,76185
01-08-19,MEGHNACEM,86.07,88.07,86.07,86.89,75920
01-09-19,MEGHNACEM,85.62,94.6,85.62,91.06,218014
01-10-19,MEGHNACEM,91.06,91.98,86.71,87.43,79881
13-01-19,MEGHNACEM,87.43,91.06,86.53,89.16,77741
14-01-19,MEGHNACEM,89.25,94.69,89.25,93.97,256569
15-01-19,MEGHNACEM,93.79,96.41,91.98,95.05,172150
16-01-19,MEGHNACEM,97.32,97.96,92.16,92.6,101054
17-01-19,MEGHNACEM,92.6,93.79,88.89,89.34,104905
20-01-19,MEGHNACEM,89.34,91.88,86.53,87.89,151237
21-01-19,MEGHNACEM,86.62,90.7,86.26,88.25,56888
22-01-19,MEGHNACEM,88.71,89.98,86.89,87.61,51098
23-01-19,MEGHNACEM,86.62,88.35,84.9,85.26,58624
24-01-19,MEGHNACEM,85.26,88.17,85.26,85.99,41569
27-01-19,MEGHNACEM,85.08,86.53,85.08,85.8,114521
28-01-19,MEGHNACEM,85.89,87.25,85.62,86.35,30851
29-01-19,MEGHNACEM,86.53,88.61,86.53,87.53,28656
30-01-19,MEGHNACEM,88.35,88.98,86.53,87.07,36325
31-01-19,MEGHNACEM,89.25,92.79,85.89,86.89,42512
02-03-19,MEGHNACEM,88.07,89.25,84.99,86.99,38590
02-04-19,MEGHNACEM,86.26,87.25,85.8,85.89,21454
02-05-19,MEGHNACEM,85.35,87.17,84.8,85.26,22471
02-06-19,MEGHNACEM,86.53,88.35,85.17,85.26,21339
02-07-19,MEGHNACEM,85.44,87.07,84.9,85.44,35035
02-10-19,MEGHNACEM,86.53,86.53,84.9,85.17,23924
02-11-19,MEGHNACEM,85.17,86.26,84.8,84.9,16177
02-12-19,MEGHNACEM,85.08,86.53,85.08,85.8,17616
13-02-19,MEGHNACEM,85.8,86.8,85.8,86.53,10187
14-02-19,MEGHNACEM,86.07,86.53,85.62,85.71,17060
17-02-19,MEGHNACEM,85.71,87.35,85.17,86.89,33914
18-02-19,MEGHNACEM,86.62,87.25,85.62,85.8,31658
19-02-19,MEGHNACEM,85.89,86.99,84.8,86.44,37001
