DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,MJLBD,82.4,84.8,82.4,84.2,99843
24-12-18,MJLBD,82,85,82,83.1,92470
26-12-18,MJLBD,83.1,88.5,83.1,86.5,583839
27-12-18,MJLBD,84.6,88.7,84.5,85.7,751990
01-01-19,MJLBD,85.5,87.5,84.6,85.6,117090
01-02-19,MJLBD,87.3,87.3,85.2,85.6,137765
01-03-19,MJLBD,86.2,86.8,85.3,86.3,171225
01-06-19,MJLBD,87.1,87.7,85.5,87,152292
01-07-19,MJLBD,86.8,89.5,86.5,87.4,257881
01-08-19,MJLBD,87.6,88,87.1,87.6,198647
01-09-19,MJLBD,88,89.7,87.1,88.4,198571
01-10-19,MJLBD,88.2,88.9,86.9,87.3,187666
13-01-19,MJLBD,88.5,90.4,86.8,87.1,191072
14-01-19,MJLBD,88.5,91,87.2,89.9,686416
15-01-19,MJLBD,90,91.7,89.5,91,477706
16-01-19,MJLBD,90.3,91.2,89.9,90.6,209571
17-01-19,MJLBD,91.5,92.5,90.3,90.7,371335
20-01-19,MJLBD,89.5,90.5,89,89.3,152575
21-01-19,MJLBD,88.7,89.4,88.5,88.8,47622
22-01-19,MJLBD,88.7,89.1,87.3,87.7,218397
23-01-19,MJLBD,87,88.3,86.5,87,162329
24-01-19,MJLBD,87.5,88.5,86.5,87.8,169984
27-01-19,MJLBD,87.5,88.5,86.5,87.1,114251
28-01-19,MJLBD,87,89,87,88.4,292823
29-01-19,MJLBD,89.5,90.9,87.1,89.9,832671
30-01-19,MJLBD,89.3,89.9,86.3,86.7,426720
31-01-19,MJLBD,86.8,88.6,86.1,86.6,87297
02-03-19,MJLBD,87,87.5,85.5,87,84411
02-04-19,MJLBD,87.4,90.5,87.3,88.4,253868
02-05-19,MJLBD,88.5,90.5,88.2,89.6,335775
02-06-19,MJLBD,89.6,90.9,89,89.7,256761
02-07-19,MJLBD,90.3,90.3,88.6,89,134737
02-10-19,MJLBD,88.5,89.5,88.2,88.4,105364
02-11-19,MJLBD,87.6,90.4,87.6,88.3,137092
02-12-19,MJLBD,87.7,89.4,87.7,88.6,103216
13-02-19,MJLBD,89.5,90.3,87.5,88,71852
14-02-19,MJLBD,87.5,88.7,87.4,88.3,47328
17-02-19,MJLBD,88,88.8,87.4,87.9,92812
18-02-19,MJLBD,87.1,88.8,86.5,87.3,103225
19-02-19,MJLBD,86.6,88.4,86.6,87.3,83416
20-02-19,MJLBD,87.4,88.4,86.8,87.4,26417
24-02-19,MJLBD,87,88.4,86.3,86.8,99057
25-02-19,MJLBD,86.5,87,86.3,86.5,125864
26-02-19,MJLBD,86.7,86.7,85.6,85.9,195707
27-02-19,MJLBD,85.9,86.6,85.6,86,32618
03-03-19,MJLBD,85.7,86.5,84.6,85,40748
03-04-19,MJLBD,84.6,86.7,84.6,85.6,67463
03-05-19,MJLBD,85.8,86.2,84.4,84.5,76387
03-06-19,MJLBD,84.7,87.4,84.1,85.9,47988
03-07-19,MJLBD,85.5,87.3,84.6,86.4,81775
03-10-19,MJLBD,86.4,86.5,85,86,22509
03-11-19,MJLBD,86.4,88.5,85,85.1,81640
03-12-19,MJLBD,85,85.2,84.4,84.5,31195
13-03-19,MJLBD,84,85.9,83.5,83.8,118678
14-03-19,MJLBD,83.3,84.1,83.1,83.3,70520
18-03-19,MJLBD,83.3,85.3,81.9,82.4,104601
19-03-19,MJLBD,84.3,85.9,81.6,82.1,51812
20-03-19,MJLBD,82.1,83.2,81.5,81.8,176150
21-03-19,MJLBD,83,83.7,79.4,80.2,219183
24-03-19,MJLBD,81,81,79.4,79.6,124841
25-03-19,MJLBD,81.2,81.9,79.6,80.1,125661
27-03-19,MJLBD,81.2,81.3,79.8,80.2,119291
28-03-19,MJLBD,80,81.5,80,81,50268
31-03-19,MJLBD,80.5,83,80.5,82.6,140511
04-01-19,MJLBD,83.4,83.4,81.7,82.8,137106
04-02-19,MJLBD,83.4,83.8,81.8,83.4,49261
04-03-19,MJLBD,83,84.5,82.1,84.2,186018
04-04-19,MJLBD,82.6,84.4,82.6,83.2,117921
04-07-19,MJLBD,82,83.5,82,82.7,20206
04-08-19,MJLBD,81.5,83.3,81.4,82.7,96679
04-09-19,MJLBD,81,87.7,80.8,81.9,105733
04-10-19,MJLBD,83.2,83.4,81.2,81.5,111940
04-11-19,MJLBD,81.5,81.7,81.1,81.4,80306
15-04-19,MJLBD,80.7,81.3,79.2,79.5,84949
16-04-19,MJLBD,79.2,80.5,78.5,79,109227
17-04-19,MJLBD,79.1,79.1,77.7,78,64262
18-04-19,MJLBD,78.5,79.3,78.1,78.8,76323
21-04-19,MJLBD,78.5,79.8,78.5,79.5,16207
23-04-19,MJLBD,78.4,79.5,78.3,78.4,29380
24-04-19,MJLBD,78.3,78.6,78.2,78.3,22611
