DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-12-23,NPOLYMAR,55.96,57.43,55.96,56.2,40419
2018-12-24,NPOLYMAR,55.96,56.7,55.96,56.12,84767
2018-12-26,NPOLYMAR,56.04,57.35,56.04,56.78,35064
2018-12-27,NPOLYMAR,56.78,57.27,56.04,56.7,72908
2019-01-01,NPOLYMAR,57.35,57.52,56.37,57.27,84074
2019-02-01,NPOLYMAR,57.52,58.83,57.43,58.42,300668
2019-03-01,NPOLYMAR,58.75,59.81,58.42,59.16,244545
2019-06-01,NPOLYMAR,59.65,62.27,59.32,60.88,710822
2019-07-01,NPOLYMAR,62.02,63.58,61.37,62.84,831428
2019-08-01,NPOLYMAR,63.42,65.63,62.35,63.42,686967
2019-09-01,NPOLYMAR,64.07,64.07,61.29,61.78,494553
2019-10-01,NPOLYMAR,61.7,62.27,59.48,60.22,561488
2019-01-13,NPOLYMAR,61.2,61.2,59.65,60.47,384040
2019-01-14,NPOLYMAR,60.55,63.75,60.55,63.09,1176009
2019-01-15,NPOLYMAR,63.91,67.11,63.25,66.29,1939300
2019-01-16,NPOLYMAR,66.78,67.11,64.32,64.73,906522
2019-01-17,NPOLYMAR,64.16,64.89,62.43,62.93,635862
2019-01-20,NPOLYMAR,62.93,63.91,62.27,62.6,305831
2019-01-21,NPOLYMAR,63.09,64.65,62.02,62.52,460064
2019-01-22,NPOLYMAR,63.83,63.99,60.88,61.2,280998
2019-01-23,NPOLYMAR,61.94,63.17,61.29,61.53,302177
2019-01-24,NPOLYMAR,61.53,63.66,61.37,62.68,304680
2019-01-27,NPOLYMAR,62.84,65.22,62.76,64.16,787303
2019-01-28,NPOLYMAR,65.47,65.47,63.01,63.09,463243
2019-01-29,NPOLYMAR,68.99,69.48,65.55,69.48,3412157
2019-01-30,NPOLYMAR,72.27,72.27,67.76,69.24,1120536
2019-01-31,NPOLYMAR,68.99,69.32,66.61,67.19,952014
2019-03-02,NPOLYMAR,68.01,68.17,65.63,66.2,669318
2019-04-02,NPOLYMAR,66.61,68.66,65.96,66.53,871955
2019-05-02,NPOLYMAR,67.27,68.17,65.96,66.29,410356
2019-06-02,NPOLYMAR,66.29,67.76,64.98,65.3,502763
2019-07-02,NPOLYMAR,65.47,67.19,64.48,65.06,508812
2019-10-02,NPOLYMAR,65.71,66.04,62.11,62.6,919387
2019-11-02,NPOLYMAR,62.43,64.07,62.35,63.58,246416
2019-12-02,NPOLYMAR,64.07,65.96,63.25,65.39,544457
2019-02-13,NPOLYMAR,66.04,68.17,66.04,66.53,1235043
2019-02-14,NPOLYMAR,66.78,66.94,65.71,66.12,371802
2019-02-17,NPOLYMAR,66.53,67.19,65.06,66.04,361358
2019-02-18,NPOLYMAR,66.53,68.17,65.88,66.29,836200
2019-02-19,NPOLYMAR,65.96,67.35,65.88,66.45,217271
2019-02-20,NPOLYMAR,66.29,68.99,66.04,68.42,1102496
2019-02-24,NPOLYMAR,69.07,70.47,68.09,68.5,1113135
2019-02-25,NPOLYMAR,68.5,69.07,67.19,67.84,629254
2019-02-26,NPOLYMAR,68.17,68.17,66.45,66.61,510779
2019-02-27,NPOLYMAR,66.45,72.02,66.2,71.61,2115761
2019-03-03,NPOLYMAR,71.61,75.88,71.61,73.58,2115248
2019-04-03,NPOLYMAR,73.42,73.66,70.47,71.2,1018870
2019-05-03,NPOLYMAR,71.2,76.94,70.63,76.12,2914141
2019-06-03,NPOLYMAR,76.53,77.19,74.32,76.29,1796169
2019-07-03,NPOLYMAR,76.29,76.37,74.4,74.73,981378
2019-10-03,NPOLYMAR,74.73,77.02,72.84,75.71,1705865
2019-11-03,NPOLYMAR,76.37,78.34,74.73,75.47,1531991
2019-12-03,NPOLYMAR,75.47,75.63,73.99,74.4,1309560
2019-03-13,NPOLYMAR,74.48,74.65,71.29,71.86,1059793
2019-03-14,NPOLYMAR,72.6,73.83,70.96,71.2,777408
2019-03-18,NPOLYMAR,70.71,71.7,68.34,69.07,398408
2019-03-19,NPOLYMAR,70.14,71.94,68.99,70.14,427281
2019-03-20,NPOLYMAR,70.47,71.2,69.07,69.57,335294
2019-03-21,NPOLYMAR,69.48,70.8,68.66,69.73,348857
2019-03-24,NPOLYMAR,69.89,74.65,69.89,74.16,977426
2019-03-25,NPOLYMAR,74.24,75.88,72.93,73.58,469343
2019-03-27,NPOLYMAR,73.91,74.16,71.94,72.27,291179
2019-03-28,NPOLYMAR,72.27,73.42,71.86,72.11,304955
2019-03-31,NPOLYMAR,73.09,73.09,71.45,71.7,303637
2019-01-04,NPOLYMAR,72.27,72.76,71.94,72.11,330000
2019-02-04,NPOLYMAR,73.01,74.4,72.43,73.91,469455
2019-03-04,NPOLYMAR,74.24,76.04,73.75,73.99,1341878
2019-04-04,NPOLYMAR,74.57,75.55,73.17,75.47,534461
2019-07-04,NPOLYMAR,75.8,77.11,74.48,74.89,847224
2019-08-04,NPOLYMAR,75.39,76.2,73.91,74.4,360580
2019-09-04,NPOLYMAR,74.73,75.55,73.83,74.73,366942
2019-10-04,NPOLYMAR,75.55,75.55,73.58,73.91,237112
2019-11-04,NPOLYMAR,73.91,75.22,73.58,74.16,219768
2019-04-15,NPOLYMAR,75.22,75.22,73.5,73.58,201349
2019-04-16,NPOLYMAR,73.42,73.58,72.02,73.25,144393
2019-04-17,NPOLYMAR,74.32,74.32,72.27,72.76,262551
2019-04-18,NPOLYMAR,72.93,74.73,72.93,74.07,387280
2019-04-21,NPOLYMAR,74.32,74.57,73.25,73.42,337773
2019-04-23,NPOLYMAR,73.25,73.34,71.04,71.37,293229
2019-04-24,NPOLYMAR,71.2,73.5,69.98,72.11,336366
2019-04-25,NPOLYMAR,72.76,75.39,72.76,75.14,702736
2019-04-28,NPOLYMAR,76.37,82.02,76.37,78.58,2107233
2019-04-29,NPOLYMAR,78.83,78.83,76.37,77.43,778799
2019-04-30,NPOLYMAR,77.43,84.89,77.19,83.01,2009938
2019-02-05,NPOLYMAR,83.01,87.19,82.68,85.22,1058117
2019-05-05,NPOLYMAR,85.39,86.2,83.66,85.55,1252440
2019-06-05,NPOLYMAR,86.53,88.58,84.98,85.55,1433707
2019-07-05,NPOLYMAR,86.94,86.94,83.34,84.16,906974
2019-08-05,NPOLYMAR,84.16,84.57,82.02,83.66,599941
2019-09-05,NPOLYMAR,84.57,87.02,83.58,86.2,679364
2019-12-05,NPOLYMAR,87.02,87.02,83.34,83.66,545729
2019-05-13,NPOLYMAR,84.57,84.57,80.8,81.7,608069
2019-05-14,NPOLYMAR,82.6,82.6,79.81,81.61,318636
2019-05-15,NPOLYMAR,82.52,83.75,81.61,83.34,276614
2019-05-16,NPOLYMAR,82.11,84.48,82.11,83.42,267679
2019-05-19,NPOLYMAR,84.07,84.48,83.01,84.16,325150
2019-05-20,NPOLYMAR,84.48,84.98,82.76,83.01,309414
2019-05-21,NPOLYMAR,84.07,84.24,82.19,83.66,247909
2019-05-22,NPOLYMAR,84.16,84.98,83.34,83.58,335789
2019-05-23,NPOLYMAR,83.75,83.75,81.86,82.11,278332
2019-05-26,NPOLYMAR,81.78,82.93,79.89,80.14,254610
2019-05-27,NPOLYMAR,79.81,80.96,78.91,80.3,219966
2019-05-28,NPOLYMAR,80.55,82.11,80.47,81.78,127208
2019-05-29,NPOLYMAR,82.11,82.11,80.06,80.88,209426
2019-05-30,NPOLYMAR,81.29,81.29,79.24,80.8,332544
2019-09-06,NPOLYMAR,81.94,81.94,80.14,80.8,110340
2019-10-06,NPOLYMAR,81.61,83.66,80.14,82.52,342367
2019-11-06,NPOLYMAR,82.93,84.98,82.68,84.57,770426
2019-12-06,NPOLYMAR,83.99,84.32,82.35,82.84,424204
2019-06-13,NPOLYMAR,83.25,83.42,80.96,81.86,503072
2019-06-16,NPOLYMAR,82.76,82.76,79.65,80.39,434859
2019-06-17,NPOLYMAR,80.39,81.45,78.09,78.42,407861
2019-06-18,NPOLYMAR,78.83,81.94,78.42,80.22,432355
2019-06-19,NPOLYMAR,80.47,80.47,78.17,78.58,152720
2019-06-20,NPOLYMAR,78.91,79.48,77.84,78.01,306298
2019-06-23,NPOLYMAR,78.83,78.83,76.86,76.94,141464
2019-06-24,NPOLYMAR,77.52,83.58,76.29,82.93,1196643
2019-06-25,NPOLYMAR,83.09,83.75,80.71,81.29,603353
2019-06-26,NPOLYMAR,81.94,86.45,81.94,85.71,1643242
2019-06-27,NPOLYMAR,86.2,87.84,84.81,86.37,937299
2019-06-30,NPOLYMAR,87.84,91.7,87.52,88.75,1674767
2019-02-07,NPOLYMAR,89.48,94.4,87.84,93.58,1450287
2019-03-07,NPOLYMAR,94.4,95.22,91.29,91.53,1024665
2019-04-07,NPOLYMAR,91.53,92.93,90.3,90.55,723440
2019-07-07,NPOLYMAR,90.55,91.53,88.17,88.75,681681
2019-08-07,NPOLYMAR,88.01,92.84,87.93,92.68,683010
2019-09-07,NPOLYMAR,92.76,94.32,90.39,92.27,745948
2019-10-07,NPOLYMAR,90.3,92.19,89.07,89.65,246517
2019-11-07,NPOLYMAR,90.3,90.3,87.02,87.76,389552
2019-07-14,NPOLYMAR,87.84,89.89,86.61,87.19,306902
2019-07-15,NPOLYMAR,87.84,89.48,86.7,89.07,359907
2019-07-16,NPOLYMAR,90.63,92.11,88.99,91.7,400811
2019-07-17,NPOLYMAR,91.94,94.16,91.61,93.34,692884
2019-07-18,NPOLYMAR,93.58,97.6,93.58,95.88,1052115
2019-07-21,NPOLYMAR,96.78,96.78,93.58,94.48,379114
2019-07-22,NPOLYMAR,94.48,95.96,91.12,94.65,618307
2019-07-24,NPOLYMAR,100.96,100.96,97.35,98.09,262266
2019-07-28,NPOLYMAR,102.11,103.01,99.16,99.81,593714
2019-07-30,NPOLYMAR,100.8,101.29,97.27,98.17,457160
2019-07-31,NPOLYMAR,98.17,100.3,97.02,99.07,550957
2019-07-08,NPOLYMAR,104.16,104.24,97.68,99.16,315735
2019-08-19,NPOLYMAR,100.96,101.53,98.09,98.58,215709
2019-08-20,NPOLYMAR,100.06,100.06,96.04,96.7,294957
2019-08-21,NPOLYMAR,96.2,98.17,95.55,97.27,235814
2019-08-28,NPOLYMAR,102.52,102.52,96.29,97.84,504705
2019-08-29,NPOLYMAR,97.84,97.84,87.93,90.3,1404854
2019-01-09,NPOLYMAR,92.11,94.73,86.2,90.22,956245
2019-02-09,NPOLYMAR,90.22,90.39,82.93,83.42,1011264
2019-03-09,NPOLYMAR,80.47,85.3,80.47,83.25,510608
2019-04-09,NPOLYMAR,81.29,86.78,81.29,85.96,338310
2019-05-09,NPOLYMAR,85.8,88.34,85.8,87.6,592958
2019-08-09,NPOLYMAR,87.19,89.48,86.7,86.94,474602
2019-09-09,NPOLYMAR,86.94,87.35,83.17,83.75,286840
2019-11-09,NPOLYMAR,83.75,83.75,80.71,82.43,305958
2019-12-09,NPOLYMAR,82.93,84.57,81.7,82.35,294297
2019-09-15,NPOLYMAR,82.6,84.32,81.45,82.84,567832
2019-09-16,NPOLYMAR,82.93,83.75,80.55,80.96,272128
2019-09-17,NPOLYMAR,82.11,82.11,76.37,77.76,554649
2019-09-18,NPOLYMAR,77.76,82.02,75.22,78.91,464352
2019-09-19,NPOLYMAR,80.39,82.84,78.91,81.04,835606
2019-09-23,NPOLYMAR,83.5,89.2,83.5,89.2,780043
2019-09-24,NPOLYMAR,89.5,94.5,89.5,90.8,814149
2019-09-25,NPOLYMAR,91.5,92.2,89.7,91.0,435067
2019-09-26,NPOLYMAR,91.5,98.3,91.5,95.5,1231610
2019-09-29,NPOLYMAR,96.5,100.2,96.5,98.2,723032
2019-09-30,NPOLYMAR,98.5,99.4,95.7,96.6,408064
2019-01-10,NPOLYMAR,97.4,97.4,93.0,93.5,406387
2019-02-10,NPOLYMAR,94.3,94.4,91.6,92.8,242094
2019-03-10,NPOLYMAR,92.8,92.8,89.5,90.1,328900
2019-06-10,NPOLYMAR,89.3,90.5,87.3,87.9,285195
2019-07-10,NPOLYMAR,88.5,88.9,83.2,84.4,284645
2019-09-10,NPOLYMAR,84.8,85.0,80.5,81.2,315359
2019-10-10,NPOLYMAR,81.5,81.5,77.5,78.3,382152
