DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,ORIONINFU,52.6,53,51.7,51.8,71550
24-12-18,ORIONINFU,52.6,52.7,51.1,51.4,79202
26-12-18,ORIONINFU,52.4,52.4,50.5,50.7,166752
27-12-18,ORIONINFU,51.9,51.9,50,50.2,132500
01-01-19,ORIONINFU,51.2,52.3,50.6,52,93533
01-02-19,ORIONINFU,52.4,53.3,51.7,52.9,175567
01-03-19,ORIONINFU,52.9,55.2,52.7,54.7,370679
01-06-19,ORIONINFU,55.1,55.4,53.9,54.6,257129
01-07-19,ORIONINFU,54.7,56.4,54.4,54.8,482865
01-08-19,ORIONINFU,55.1,57.4,55.1,55.9,560899
01-09-19,ORIONINFU,56.8,57.5,55.1,55.5,367319
01-10-19,ORIONINFU,55.3,56.2,54.1,54.4,252387
13-01-19,ORIONINFU,55.1,55.2,53.9,54.3,194770
14-01-19,ORIONINFU,55.2,56.1,54.8,55,287375
15-01-19,ORIONINFU,56,60.7,55.4,60.7,1159860
16-01-19,ORIONINFU,63.6,65.6,61.4,62,1656990
17-01-19,ORIONINFU,62.3,62.3,58.6,59,575217
20-01-19,ORIONINFU,59.5,64.5,58.6,60.5,1161290
21-01-19,ORIONINFU,61.4,63.3,60.2,61,729770
22-01-19,ORIONINFU,61,61.6,57.7,58.8,428910
23-01-19,ORIONINFU,59.4,60.1,56.9,57.3,420116
24-01-19,ORIONINFU,57.2,58.7,55.9,56.3,313724
27-01-19,ORIONINFU,57.1,59.6,56.1,58.9,518242
28-01-19,ORIONINFU,59.5,60.4,57.5,57.8,300663
29-01-19,ORIONINFU,58.6,59.1,57.6,58.1,190729
30-01-19,ORIONINFU,58.3,61,57.9,60.4,591532
31-01-19,ORIONINFU,61.2,62.5,60.5,61.2,542633
02-03-19,ORIONINFU,62.4,63,59.5,59.9,534377
02-04-19,ORIONINFU,59.6,60.4,57.6,58.2,350736
02-05-19,ORIONINFU,58.1,59.6,57.6,57.9,187753
02-06-19,ORIONINFU,58.7,58.7,57.1,57.6,186481
02-07-19,ORIONINFU,58.2,60.3,57.9,59,222862
02-10-19,ORIONINFU,58.7,60.7,58.1,58.4,300698
02-11-19,ORIONINFU,58.1,58.6,57,58.3,254765
02-12-19,ORIONINFU,58.1,58.8,57.7,57.9,106891
13-02-19,ORIONINFU,58.1,59.5,57.9,58.8,156745
14-02-19,ORIONINFU,59.4,59.6,58.1,58.9,148367
17-02-19,ORIONINFU,58.9,59.2,58,58.1,82255
18-02-19,ORIONINFU,58.2,58.7,57.4,57.8,140021
19-02-19,ORIONINFU,58.4,58.4,57.3,57.8,82884
